McCC,CLOC,LLOC,Number of developer commits,Number of previous modifications,Number of previous fixes,Number of committers,target
2,0,62,2899,9,0,2,0
253,0,997,1733,159,0,8,1
33,0,525,575,26,1,7,0
13,0,92,1118,9,0,2,0
1,0,35,1118,4,0,1,0
1,0,4,575,1,0,1,0
20,0,209,1733,20,1,7,0
30,0,273,1118,7,1,3,0
19,0,133,1118,9,0,3,0
22,0,140,753,87,0,7,0
19,0,116,2899,8,0,4,0
7,0,68,1733,13,0,5,0
1,0,7,1118,4,0,2,0
224,0,1125,575,82,1,6,0
52,0,312,1733,10,0,3,0
1,0,67,1733,5,0,3,0
11,0,167,1733,18,0,5,0
1,0,44,1733,7,0,3,1
27,0,179,1733,23,0,6,0
1,0,10,1733,5,0,2,0
1,0,10,1733,5,0,2,0
1,0,10,1733,5,0,2,0
10,0,109,1733,10,0,3,1
2,0,26,753,10,0,5,1
18,0,173,575,51,0,8,1
6,0,101,1733,14,0,5,0
19,0,138,1733,13,0,4,1
2,0,35,1733,10,0,5,0
1,0,28,1733,8,0,3,1
15,0,76,1733,14,0,5,0
8,0,114,1733,11,0,4,1
1,0,42,1733,2,0,1,1
10,0,109,1733,10,0,3,1
1,0,12,1733,5,0,2,0
6,0,79,1733,10,0,4,1
1,0,9,1118,1,0,1,0
18,0,85,2899,4,0,2,0
1,0,27,1118,1,0,1,0
14,0,53,1118,10,0,3,0
1,0,4,1118,1,0,1,0
3,0,18,575,4,0,3,0
1,0,7,575,6,0,4,0
18,0,125,575,21,0,5,0
1,0,4,1118,1,0,1,0
1,0,22,1118,1,0,1,0
15,0,72,2899,2,0,2,0
1,0,35,2899,4,0,2,0
3,0,11,753,6,0,4,0
4,0,16,831,10,0,4,0
4,0,16,831,10,0,4,0
1,0,6,1118,3,0,1,0
2,0,14,753,6,0,5,0
1,0,43,575,7,0,4,0
3,0,63,575,12,1,6,0
1,0,43,575,5,0,4,0
1,0,5,2899,2,0,1,0
1,0,3,2899,2,0,1,0
1,0,11,575,6,0,4,0
1,0,3,575,6,0,4,0
1,0,12,575,9,0,4,0
1,0,6,575,6,0,4,0
1,0,4,575,7,0,4,0
1,0,7,575,5,0,4,0
1,0,3,575,5,0,4,0
1,0,12,575,10,0,5,0
1,0,18,575,21,0,6,0
1,0,7,575,8,0,5,0
1,0,8,753,11,0,5,0
1,0,12,575,6,0,4,0
1,0,3,575,6,0,4,0
1,0,5,575,10,0,5,0
1,0,3,575,13,0,5,0
1,0,9,831,3,0,2,0
1,0,20,575,28,0,6,1
13,0,131,575,11,0,5,0
4,0,39,1118,4,0,3,0
11,0,68,753,27,0,5,0
24,0,129,575,22,0,4,0
18,0,143,831,35,0,7,0
20,0,204,575,17,0,7,0
17,0,171,575,58,1,7,0
1,0,5,575,9,0,5,0
59,0,437,575,107,4,8,1
4,0,58,1118,15,1,4,0
1,0,7,1118,7,0,4,0
1,0,22,1118,6,0,3,0
15,0,82,831,28,0,4,0
4,0,44,831,5,0,3,0
1,0,9,831,5,0,3,0
18,0,335,1118,10,0,3,0
1,0,66,1118,2,0,1,0
1,0,4,1118,4,0,3,0
55,0,251,1118,11,0,3,0
26,0,173,1118,9,0,2,0
1,0,10,831,11,0,4,0
21,0,136,575,32,1,6,0
1,0,50,575,37,0,6,0
23,0,192,575,59,2,9,0
1,0,8,1118,2,0,1,1
16,0,185,753,91,0,6,0
87,0,386,753,103,0,7,0
1,0,147,753,6,0,2,0
12,0,74,1118,52,1,7,0
1,0,4,1118,3,0,1,0
25,0,109,1118,24,0,3,0
11,0,86,2899,51,0,5,0
21,0,118,1118,14,0,3,0
1,0,23,1118,2,0,1,0
20,0,140,831,36,5,4,0
1,0,6,1118,2,0,1,1
29,0,177,753,21,0,5,0
40,0,204,575,11,0,3,0
1,0,7,2899,5,0,2,0
1,0,4,753,7,0,4,0
1,0,7,575,6,0,3,0
1,0,8,1118,2,0,2,0
25,0,168,753,57,1,7,0
1,0,31,2899,7,0,4,0
1,0,7,2899,7,0,3,0
1,0,6,2899,2,0,2,0
1,0,8,753,51,0,6,0
7,0,62,831,3,1,2,1
1,0,9,575,3,0,2,0
1,0,56,575,16,0,3,1
1,0,5,1733,7,0,3,0
59,0,253,2899,39,7,5,0
1,0,11,1733,16,0,3,0
1,0,14,575,6,1,4,0
57,0,245,2899,28,2,4,0
9,0,62,1118,2,0,1,0
28,0,123,1733,18,0,4,1
1,0,6,1733,9,0,4,0
9,0,75,575,26,0,4,1
144,0,910,575,86,5,8,1
1,0,8,575,3,1,2,0
1,0,30,1118,6,0,1,0
4,0,29,1118,1,0,1,0
19,0,98,575,6,1,4,0
34,0,209,1733,31,1,6,0
29,0,126,1118,8,2,4,0
8,0,64,2899,4,0,1,0
1,0,7,2899,2,0,1,0
1,0,8,2899,2,0,1,0
1,0,11,2899,2,0,1,0
1,0,8,2899,2,0,1,0
1,0,17,2899,3,0,1,0
5,0,47,575,4,0,2,0
6,0,46,831,5,0,3,0
101,0,429,575,22,3,5,0
49,0,232,2053,3,0,2,0
7,0,47,575,11,0,6,0
1,0,51,2899,2,1,1,0
1,0,8,2899,3,0,2,0
1,0,21,1118,7,0,3,0
1,0,11,2899,2,0,2,0
5,0,75,2899,4,1,3,0
1,0,27,831,7,0,5,0
1,0,21,831,5,0,4,0
3,0,36,1118,5,0,1,0
1,0,3,1118,1,0,1,0
9,0,119,2899,16,1,3,0
2,0,54,831,4,0,3,0
15,0,123,2899,4,1,3,0
8,0,77,2899,9,0,2,0
66,0,447,2899,7,1,2,0
1,0,42,831,6,1,3,0
5,0,39,831,6,0,2,0
1,0,40,1118,1,0,1,0
1,0,7,1118,1,0,1,0
1,0,5,1118,2,0,1,0
3,0,22,1118,2,0,1,0
1,0,12,1118,2,0,1,0
1,0,15,1118,1,0,1,0
1,0,47,1118,2,0,1,0
1,0,5,1118,1,0,1,0
1,0,23,1118,5,0,1,0
17,0,218,575,25,1,4,0
1,0,7,1118,1,0,1,0
1,0,19,2899,3,0,2,0
1,0,12,1118,10,0,2,0
6,0,38,1118,2,0,1,0
3,0,106,1118,10,0,2,0
1,0,4,1118,1,0,1,0
1,0,17,831,8,1,3,0
21,0,229,831,22,1,7,0
7,0,80,2899,14,0,2,0
8,0,61,831,5,0,3,0
18,0,108,753,11,0,5,0
11,0,90,2899,7,0,5,0
1,0,38,753,10,0,4,0
3,0,23,575,11,0,4,0
18,0,92,831,13,0,4,0
1,0,17,1118,5,0,2,0
11,0,73,1118,6,0,2,0
1,0,5,1118,4,0,2,0
9,0,57,2899,5,0,2,0
3,0,36,2899,2,0,2,0
1,0,5,1118,4,0,2,0
9,0,68,2899,11,1,2,0
4,0,47,1118,1,0,1,0
1,0,23,1118,8,1,2,0
3,0,69,831,1,0,1,0
48,0,233,831,19,0,3,0
2,0,11,1118,1,0,1,0
21,0,140,831,3,0,3,0
10,0,90,1118,3,0,1,0
2,0,70,2899,12,1,2,0
1,0,26,2899,2,0,2,0
2,0,20,2899,4,0,2,0
22,0,111,2899,8,0,2,0
1,0,6,2899,2,0,2,0
8,0,51,2899,9,0,3,0
3,0,10,86,2,0,2,0
5,0,40,2899,4,0,3,0
3,0,10,1118,3,0,2,0
6,0,62,2899,6,0,2,0
2,0,38,2899,6,0,2,0
3,0,35,2899,6,0,2,0
16,0,124,1118,16,0,4,0
15,0,126,753,25,0,6,0
5,0,52,831,4,0,3,0
5,0,60,2899,6,0,2,1
2,0,16,2899,2,1,2,0
1,0,9,2899,4,0,2,0
6,0,35,831,6,0,4,0
1,0,8,2053,4,0,2,0
21,0,162,831,19,0,6,0
4,0,48,753,2,0,1,0
16,0,152,2899,10,0,4,0
1,0,26,1118,8,0,3,0
1,0,43,1118,3,0,2,0
4,0,55,1118,4,0,2,0
2,0,36,1118,4,0,2,0
1,0,10,1118,3,0,2,0
1,0,27,2899,12,0,4,0
16,0,157,575,1,0,1,0
1,0,35,1118,6,0,2,0
22,0,151,575,11,0,4,0
1,0,22,753,2,0,1,0
3,0,41,753,2,0,1,0
1,0,38,1118,5,0,3,0
10,0,75,753,2,0,1,0
4,0,36,753,2,0,1,0
1,0,22,753,2,0,1,0
1,0,51,1118,2,0,2,0
4,0,77,1118,4,0,3,0
4,0,36,1118,7,0,3,0
101,0,631,1733,71,2,8,0
7,0,85,831,3,0,3,0
1,0,27,753,2,0,1,0
1,0,22,2899,2,0,2,0
1,0,22,753,2,0,1,0
5,0,66,2899,11,0,3,0
10,0,115,1118,11,0,3,0
1,0,28,753,2,0,1,0
1,0,22,2899,4,0,2,0
2,0,28,1118,5,0,2,0
9,0,86,2899,6,0,2,0
6,0,34,1118,5,0,3,0
25,0,135,1118,7,0,4,0
3,0,45,1118,6,0,2,0
1,0,35,1118,5,0,3,0
1,0,38,2899,3,0,2,0
2,0,52,1118,2,0,2,0
3,0,73,1118,2,0,2,0
6,0,87,831,3,0,2,0
1,0,39,1118,2,0,2,0
1,0,10,1118,2,0,2,0
1,0,57,1118,2,0,2,0
1,0,10,1118,2,0,2,0
3,0,74,831,1,0,1,0
1,0,31,1118,2,0,2,0
1,0,33,1118,2,0,2,0
1,0,10,1118,2,0,2,0
1,0,66,1118,2,0,2,0
1,0,182,753,5,0,4,0
2,0,56,1118,2,0,2,0
1,0,62,1118,2,0,2,0
1,0,68,1118,2,0,2,0
1,0,82,1118,2,0,2,0
1,0,10,1118,2,0,2,0
1,0,24,1118,2,0,2,0
1,0,10,1118,2,0,2,0
2,0,61,1118,2,0,2,0
2,0,98,1118,2,0,2,0
1,0,77,831,3,0,3,0
33,0,245,2899,8,0,2,0
8,0,88,2899,6,1,3,0
2,0,84,1118,2,0,2,0
6,0,111,1118,2,0,2,0
2,0,53,1118,2,0,2,0
7,0,34,575,3,0,2,0
7,0,37,575,13,0,4,0
8,0,68,1118,6,0,2,0
4,0,21,575,13,0,3,0
1,0,12,1118,5,0,2,0
1,0,6,1118,5,0,2,0
11,0,86,2899,5,1,2,0
1,0,35,1118,16,0,3,0
9,0,116,2899,25,1,2,0
4,0,24,2899,3,0,2,0
7,0,110,1118,13,0,2,0
28,0,132,753,18,0,3,0
1,0,4,1118,1,0,1,0
1,0,35,1118,1,0,1,0
16,0,146,2899,10,0,4,0
1,0,13,1118,10,0,2,0
7,0,40,2899,4,0,2,0
143,0,643,2899,31,0,2,0
1,0,35,1118,3,0,2,0
15,0,86,1118,6,0,2,0
3,0,16,1118,6,0,2,0
1,0,11,1118,1,0,1,0
17,0,124,2899,22,0,3,0
2,0,22,1118,1,0,1,0
1,0,7,1118,2,0,1,0
11,0,69,2899,12,2,4,0
20,0,147,575,13,0,6,0
4,0,40,1118,4,0,3,0
6,0,50,1118,1,0,1,0
1,0,7,1118,1,0,1,0
21,0,138,1118,1,0,1,0
1,0,21,831,8,0,5,0
400,0,1734,831,10,0,5,0
10,0,126,831,8,0,5,0
4,0,47,1118,2,0,1,0
4,0,24,1118,1,0,1,0
4,0,34,2053,4,0,3,0
1,0,11,1118,1,0,1,0
6,0,48,1118,2,0,1,0
1,0,14,1118,2,0,1,0
8,0,43,575,5,0,2,0
3,0,22,1118,2,0,1,0
9,0,58,1118,10,0,3,0
1,0,62,1118,1,0,1,0
1,0,12,1118,2,0,1,0
9,0,83,1118,3,0,1,0
6,0,45,1118,2,0,1,0
12,0,65,575,5,0,2,0
3,0,26,1118,1,0,1,0
3,0,20,1118,2,0,1,0
4,0,29,575,3,0,2,0
1,0,25,1118,2,0,1,0
2,0,65,1118,2,0,1,0
1,0,16,1118,2,0,1,0
5,0,85,831,7,0,3,0
1,0,13,831,5,0,3,0
5,0,22,1118,2,0,1,0
2,0,20,1118,1,0,1,0
9,0,44,1118,2,0,1,0
5,0,22,1118,6,0,1,0
2,0,20,1118,2,0,1,0
10,0,64,2899,13,0,3,0
37,0,108,2899,3,0,2,0
2,0,20,1118,2,0,1,0
11,0,79,2899,11,0,3,0
4,0,52,1118,6,0,2,0
70,0,772,2899,34,3,4,0
10,0,124,1118,9,2,3,0
49,0,816,2899,41,8,5,0
38,0,462,2899,20,1,2,0
114,0,2422,2899,214,1,4,0
13,0,374,575,47,2,4,0
1,0,53,831,12,0,5,0
19,0,397,575,9,0,3,0
4,0,131,1118,8,0,2,0
13,0,183,1118,12,1,4,0
1,0,65,831,1,0,1,0
65,0,1436,1733,79,6,6,0
22,0,236,1118,7,0,2,0
59,0,359,1118,21,0,3,0
5,0,204,1118,10,0,2,0
1,0,159,1118,8,0,2,0
10,0,409,1118,8,0,2,0
2,0,17,1118,4,0,1,0
22,0,308,575,5,1,2,0
5,0,44,1118,5,0,2,0
3,0,39,575,9,0,3,0
9,0,269,1118,14,0,3,0
7,0,29,1118,3,0,2,0
1,0,63,1118,4,0,3,0
14,0,255,2899,23,0,4,0
30,0,425,575,32,1,5,0
1,0,43,831,1,0,1,0
37,0,1277,2899,100,10,5,0
13,0,198,1118,14,0,2,0
6,0,46,1118,4,0,2,0
2,0,73,1118,7,0,2,0
19,0,119,1118,4,0,2,0
2,0,21,1118,4,0,2,0
14,0,111,1118,4,0,2,0
2,0,20,1118,4,0,2,0
9,0,74,1118,4,0,2,0
5,0,56,1118,6,0,3,0
1,0,58,1118,6,1,2,0
17,0,276,2899,14,0,3,0
69,0,1237,575,58,8,4,0
3,0,86,1118,25,0,4,0
6,0,243,2899,10,2,3,0
1,0,68,1118,10,0,2,0
1,0,45,1118,6,0,2,0
1,0,67,1118,8,0,2,0
3,0,48,1118,7,0,2,0
1,0,119,1118,8,0,3,0
1,0,22,1118,9,0,2,0
1,0,22,1118,6,0,3,0
1,0,28,1118,6,0,2,0
3,0,136,753,29,0,5,0
3,0,77,575,4,0,3,0
6,0,105,2899,3,0,1,0
16,0,182,2899,11,0,4,0
1,0,116,575,14,1,5,0
6,0,99,575,26,1,4,0
3,0,130,575,15,0,5,0
1,0,206,2899,41,1,6,0
95,0,1110,2899,77,8,8,0
5,0,113,2899,10,1,3,0
6,0,81,2899,4,0,3,0
18,0,99,2899,5,1,2,0
7,0,76,753,26,1,7,0
6,0,35,2899,2,0,2,0
5,0,69,2899,4,0,2,0
8,0,89,2899,6,1,2,0
4,0,36,2899,4,0,2,0
4,0,36,2899,3,0,2,0
7,0,105,2899,3,0,2,0
4,0,66,2899,7,0,3,0
1,0,73,1118,5,0,2,0
7,0,39,1118,13,0,6,0
14,0,74,1118,26,0,6,0
1,0,60,575,46,0,8,0
1,0,10,1118,14,0,7,0
10,0,74,1118,43,0,7,0
1,0,6,575,17,0,6,0
4,0,111,1118,35,0,6,0
18,0,98,1118,18,0,6,0
1,0,65,1118,22,0,6,0
7,0,84,1118,21,0,7,0
6,0,40,831,32,0,7,0
4,0,27,1118,19,0,6,0
5,0,48,1118,21,0,6,0
1,0,16,753,17,0,7,0
8,0,84,1733,66,0,7,0
1,0,77,753,53,2,8,0
3,0,66,831,57,0,7,0
47,0,288,2899,118,3,8,1
1,0,23,1118,19,0,6,0
6,0,64,1733,34,0,6,0
3,0,44,753,58,0,7,0
1,0,8,1118,12,0,5,0
27,0,189,1733,54,0,6,0
7,0,44,2899,11,0,6,0
27,0,285,2899,203,0,9,1
1,0,27,1733,33,0,7,0
14,0,80,753,72,0,7,0
12,0,75,753,46,0,7,0
3,0,19,1118,14,0,5,0
8,0,129,753,35,0,8,0
1,0,22,1118,14,0,5,0
1,0,23,1118,9,0,5,0
1,0,34,1118,12,0,5,0
1,0,22,1118,11,0,5,0
4,0,102,1118,35,0,7,0
4,0,79,1733,51,0,6,1
17,0,344,2899,128,0,8,0
5,0,68,1118,14,0,5,0
4,0,67,1118,9,0,5,0
6,0,172,1733,60,0,7,0
8,0,34,1118,14,0,5,0
1,0,5,1118,5,0,4,0
1,0,9,1118,16,0,7,0
41,0,204,753,92,0,7,0
21,0,239,1118,52,0,7,0
1,0,11,1118,27,0,7,0
3,0,22,1118,30,0,7,0
4,0,27,1118,30,0,7,0
2,0,33,1733,36,0,6,0
25,0,200,1733,78,0,7,0
15,0,159,1733,60,2,8,0
4,0,36,1118,8,0,5,0
5,0,136,1733,31,0,6,1
3,0,47,1118,36,0,7,0
4,0,73,1733,44,0,7,0
1,0,25,1733,37,0,6,0
10,0,82,1118,18,0,6,0
2,0,22,1118,15,0,5,0
15,0,106,1733,31,0,6,0
13,0,99,575,26,0,6,0
3,0,44,1118,27,0,7,0
41,0,170,753,61,2,8,0
9,0,64,753,49,0,7,0
2,0,46,753,47,2,8,0
4,0,23,1118,16,0,6,0
12,0,102,1733,64,0,7,0
8,0,50,1733,38,0,6,0
8,0,60,753,48,0,7,0
12,0,81,1733,55,2,7,0
2,0,65,1118,18,0,6,0
1,0,21,1733,22,0,6,0
3,0,64,831,23,0,8,0
1,0,63,1118,33,2,8,0
1,0,241,753,45,0,7,0
1,0,18,1118,20,0,6,0
1,0,26,1118,22,0,6,0
1,0,70,575,19,0,7,0
5,0,268,831,57,0,7,0
10,0,162,1118,23,0,6,0
8,0,190,1118,36,0,5,0
3,0,30,1118,23,0,6,0
17,0,233,1118,30,0,6,0
4,0,92,1118,32,0,6,0
51,0,947,753,100,0,7,0
21,0,401,575,48,0,6,0
11,0,237,1118,32,0,6,0
19,0,256,1733,22,0,6,0
22,0,230,1733,30,0,6,0
33,0,775,575,97,2,9,0
1,0,22,1118,17,0,6,0
9,0,162,1733,34,0,7,0
2,0,128,575,26,0,6,0
2,0,87,753,27,3,6,0
2,0,50,1118,21,0,6,0
15,0,130,1118,27,0,7,0
4,0,33,753,19,0,6,0
13,0,197,1118,18,0,6,0
2,0,48,1733,47,0,7,0
1,0,158,1118,22,0,7,0
6,0,64,1118,20,0,7,0
2,0,96,1733,39,0,6,0
2,0,68,1733,34,0,7,0
3,0,105,2899,10,0,6,0
48,0,1069,575,64,0,8,0
20,0,197,1118,30,0,6,0
15,0,108,1118,16,0,6,0
4,0,58,1733,14,0,6,0
6,0,72,1733,30,0,6,0
1,0,33,1118,29,0,6,0
1,0,51,1118,12,0,5,0
5,0,32,1733,29,1,6,0
1,0,18,1118,14,0,5,0
12,0,36,831,18,0,6,0
6,0,89,1118,34,0,6,0
1,0,24,1118,24,0,6,0
1,0,30,1118,30,0,6,0
1,0,41,1118,21,0,6,0
1,0,33,1118,36,1,6,0
18,0,122,831,26,0,6,0
4,0,29,1118,16,0,6,0
6,0,62,1118,19,0,6,0
15,0,77,753,32,0,6,0
4,0,33,1118,14,0,6,0
21,0,110,1733,31,0,6,0
1,0,9,1118,14,0,6,0
5,0,30,1118,19,0,6,0
2,0,43,1118,14,0,5,0
1,0,39,575,20,0,6,0
41,0,203,2899,18,0,6,0
1,0,39,575,20,0,6,0
7,0,45,1118,13,0,5,0
10,0,62,1118,13,0,5,0
5,0,91,1118,29,0,6,0
4,0,51,1118,22,0,6,0
5,0,43,1118,27,0,6,0
2,0,60,1118,38,0,6,0
1,0,27,1118,23,0,6,0
1,0,50,1118,12,0,5,0
1,0,64,1118,12,0,5,0
6,0,43,1118,13,0,5,0
6,0,43,1118,13,0,5,0
1,0,10,1118,12,0,5,0
1,0,10,1118,26,0,6,0
1,0,12,1118,12,0,5,0
1,0,23,1118,24,0,6,0
1,0,150,1733,46,1,6,0
11,0,159,1118,27,0,6,0
2,0,37,1118,19,0,6,0
4,0,69,1118,12,0,5,0
5,0,79,1118,23,0,6,0
1,0,24,575,24,0,6,0
1,0,57,1118,17,0,6,0
1,0,48,1118,13,0,6,0
1,0,44,1118,21,0,6,0
1,0,39,1118,15,0,6,0
1,0,9,1118,17,0,6,0
6,0,64,1118,18,2,6,0
9,0,100,1118,29,0,6,0
3,0,39,1118,18,2,6,0
7,0,37,1118,12,0,6,1
14,0,76,575,25,0,7,1
149,0,714,575,55,2,7,1
3,0,39,1118,16,0,6,0
2,0,20,575,31,0,7,0
4,0,54,1118,12,0,6,0
8,0,68,1118,14,0,6,0
5,0,48,1118,15,0,6,0
1,0,8,1118,15,0,6,0
