McCC,CLOC,PDA,PUA,LLOC,LOC,ID.1,LongName.1,Parent.1,McCC.1,CLOC.1,LLOC.1,Number of developer commits,Number of committers,Number of previous fixes,Number of previous modifications,target
2,0,1,1,25,56,15,29,1,2.0,0.0,25.0,0.0,0.0,0.0,1.0,0
8,0,1,23,275,402,16,30,1,8.0,0.0,275.0,0.0,0.0,0.0,1.0,0
8,0,1,23,275,403,17,31,1,8.0,0.0,275.0,0.0,0.0,0.0,1.0,0
1,0,1,4,50,84,18,32,1,1.0,0.0,50.0,0.0,0.0,0.0,1.0,0
27,0,1,0,237,411,20,33,2,27.0,0.0,237.0,0.0,0.0,0.0,1.0,0
1,0,0,1,12,33,21,34,2,1.0,0.0,12.0,0.0,0.0,0.0,1.0,0
1,0,0,5,36,61,22,35,2,1.0,0.0,36.0,0.0,0.0,0.0,1.0,1
8,0,1,2,82,120,23,36,2,8.0,0.0,82.0,0.0,0.0,0.0,1.0,0
3,0,0,3,30,56,24,37,2,3.0,0.0,30.0,0.0,0.0,0.0,1.0,0
1,0,0,2,15,34,31,38,6,1.0,0.0,15.0,0.0,0.0,0.0,1.0,0
1,0,0,2,11,30,32,39,6,1.0,0.0,11.0,0.0,0.0,0.0,1.0,0
8,0,0,3,58,88,33,40,6,8.0,0.0,58.0,0.0,0.0,0.0,1.0,0
8,0,1,1,61,99,34,41,6,8.0,0.0,61.0,0.0,0.0,0.0,1.0,1
5,0,0,4,21,45,35,42,6,5.0,0.0,21.0,0.0,0.0,0.0,1.0,0
2,0,1,4,24,53,36,43,7,2.0,0.0,24.0,0.0,0.0,0.0,1.0,0
3,0,1,0,33,60,37,44,7,3.0,0.0,33.0,0.0,0.0,0.0,1.0,0
5,0,0,4,44,67,38,45,8,5.0,0.0,44.0,0.0,0.0,0.0,1.0,0
12,0,0,4,99,147,39,46,8,12.0,0.0,99.0,0.0,0.0,0.0,1.0,0
10,0,1,1,91,138,40,47,8,10.0,0.0,91.0,0.0,0.0,0.0,1.0,1
10,0,0,0,84,120,41,48,8,10.0,0.0,84.0,0.0,0.0,0.0,1.0,0
2,0,0,2,22,43,42,49,9,2.0,0.0,22.0,0.0,0.0,0.0,1.0,0
2,0,1,1,28,59,43,50,9,2.0,0.0,28.0,0.0,0.0,0.0,1.0,1
9,0,0,1,74,110,44,51,10,9.0,0.0,74.0,0.0,0.0,0.0,1.0,1
3,0,0,0,21,49,45,52,10,3.0,0.0,21.0,0.0,0.0,0.0,1.0,0
3,0,0,0,49,77,46,53,10,3.0,0.0,49.0,0.0,0.0,0.0,1.0,0
5,0,0,0,88,124,47,54,10,5.0,0.0,88.0,0.0,0.0,0.0,1.0,0
6,0,0,0,99,135,48,55,10,6.0,0.0,99.0,0.0,0.0,0.0,1.0,0
17,0,0,0,109,149,49,56,10,17.0,0.0,109.0,0.0,0.0,0.0,1.0,0
4,0,0,0,36,61,50,57,10,4.0,0.0,36.0,0.0,0.0,0.0,1.0,0
10,0,0,0,149,179,51,58,10,10.0,0.0,149.0,0.0,0.0,0.0,1.0,0
2,0,0,0,30,60,52,59,11,2.0,0.0,30.0,0.0,0.0,0.0,1.0,1
1,0,0,2,11,32,53,60,11,1.0,0.0,11.0,0.0,0.0,0.0,1.0,0
3,0,0,2,24,48,54,61,11,3.0,0.0,24.0,0.0,0.0,0.0,1.0,0
1,0,0,2,14,35,55,62,11,1.0,0.0,14.0,0.0,0.0,0.0,1.0,0
1,0,0,2,11,29,56,63,11,1.0,0.0,11.0,0.0,0.0,0.0,1.0,0
1,0,0,2,11,29,57,64,11,1.0,0.0,11.0,0.0,0.0,0.0,1.0,0
3,0,0,2,22,45,58,65,11,3.0,0.0,22.0,0.0,0.0,0.0,1.0,0
3,0,1,1,44,78,59,66,11,3.0,0.0,44.0,0.0,0.0,0.0,1.0,1
3,0,1,1,58,95,60,67,11,3.0,0.0,58.0,0.0,0.0,0.0,1.0,1
26,0,0,4,124,168,61,68,11,26.0,0.0,124.0,0.0,0.0,0.0,1.0,0
1,0,1,1,21,46,62,69,11,1.0,0.0,21.0,0.0,0.0,0.0,1.0,0
1,0,1,1,19,44,63,70,11,1.0,0.0,19.0,0.0,0.0,0.0,1.0,0
3,0,0,2,18,36,64,71,11,3.0,0.0,18.0,0.0,0.0,0.0,1.0,0
1,0,0,2,10,28,65,72,11,1.0,0.0,10.0,0.0,0.0,0.0,1.0,0
2,0,0,0,28,57,66,73,12,2.0,0.0,28.0,0.0,0.0,0.0,1.0,0
1,0,1,1,14,38,67,74,12,1.0,0.0,14.0,0.0,0.0,0.0,1.0,0
2,0,0,3,28,51,68,75,12,2.0,0.0,28.0,0.0,0.0,0.0,1.0,0
3,0,0,2,20,39,69,76,12,3.0,0.0,20.0,0.0,0.0,0.0,1.0,0
1,0,1,1,14,38,70,77,12,1.0,0.0,14.0,0.0,0.0,0.0,1.0,0
2,0,0,2,17,37,71,78,13,2.0,0.0,17.0,0.0,0.0,0.0,1.0,0
3,0,0,0,33,61,72,79,13,3.0,0.0,33.0,0.0,0.0,0.0,1.0,0
1,0,1,1,10,33,73,80,13,1.0,0.0,10.0,0.0,0.0,0.0,1.0,0
1,0,1,1,10,33,74,81,13,1.0,0.0,10.0,0.0,0.0,0.0,1.0,0
3,0,0,3,39,62,75,82,14,3.0,0.0,39.0,0.0,0.0,0.0,1.0,0
2,0,1,1,34,63,76,83,14,2.0,0.0,34.0,0.0,0.0,0.0,1.0,1
2,0,0,3,25,47,77,84,14,2.0,0.0,25.0,0.0,0.0,0.0,1.0,0
2,0,1,1,50,85,78,85,14,2.0,0.0,50.0,0.0,0.0,0.0,1.0,1
2,0,0,3,26,49,79,86,14,2.0,0.0,26.0,0.0,0.0,0.0,1.0,0
2,0,2,3,40,75,80,87,14,2.0,0.0,40.0,0.0,0.0,0.0,1.0,0
4,0,0,3,50,72,81,88,14,4.0,0.0,50.0,0.0,0.0,0.0,1.0,0
2,0,1,1,45,78,82,89,14,2.0,0.0,45.0,0.0,0.0,0.0,1.0,1
2,0,0,3,23,45,83,90,15,2.0,0.0,23.0,0.0,0.0,0.0,1.0,0
4,0,0,3,46,68,84,91,15,4.0,0.0,46.0,0.0,0.0,0.0,1.0,0
2,0,1,1,48,81,85,92,15,2.0,0.0,48.0,0.0,0.0,0.0,1.0,1
3,0,1,4,47,76,86,93,15,3.0,0.0,47.0,0.0,0.0,0.0,1.0,0
3,0,0,3,39,62,87,94,15,3.0,0.0,39.0,0.0,0.0,0.0,1.0,0
2,0,1,1,34,64,88,95,15,2.0,0.0,34.0,0.0,0.0,0.0,1.0,1
5,0,0,1,101,133,89,96,16,5.0,0.0,101.0,0.0,0.0,0.0,1.0,0
3,0,0,7,44,73,90,97,16,3.0,0.0,44.0,0.0,0.0,0.0,1.0,0
8,0,0,5,458,486,104,98,19,8.0,0.0,458.0,0.0,0.0,0.0,1.0,0
5,0,6,0,39,86,91,99,17,5.0,0.0,39.0,0.0,0.0,0.0,1.0,0
4,0,0,0,48,82,92,100,17,4.0,0.0,48.0,0.0,0.0,0.0,1.0,0
10,0,0,0,80,121,93,101,17,10.0,0.0,80.0,0.0,0.0,0.0,1.0,0
5,0,1,3,32,66,94,102,17,5.0,0.0,32.0,0.0,0.0,0.0,1.0,0
5,0,2,2,31,68,95,103,17,5.0,0.0,31.0,0.0,0.0,0.0,1.0,0
13,0,1,6,81,119,96,104,17,13.0,0.0,81.0,0.0,0.0,0.0,1.0,0
8,0,0,0,74,117,98,105,17,8.0,0.0,74.0,0.0,0.0,0.0,1.0,0
2,0,0,0,40,76,97,106,17,2.0,0.0,40.0,0.0,0.0,0.0,1.0,0
1,0,5,0,10,112,99,107,17,1.0,0.0,10.0,0.0,0.0,0.0,1.0,0
85,0,11,20,801,1058,100,108,17,85.0,0.0,801.0,0.0,0.0,0.0,1.0,1
1,0,3,0,8,73,120,109,21,1.0,0.0,8.0,0.0,0.0,0.0,1.0,0
5,0,2,1,40,83,121,110,21,5.0,0.0,40.0,0.0,0.0,0.0,1.0,0
1,0,0,0,18,51,122,111,21,1.0,0.0,18.0,0.0,0.0,0.0,1.0,0
1,0,1,3,19,49,123,112,21,1.0,0.0,19.0,0.0,0.0,0.0,1.0,0
8,0,4,1,87,149,124,113,22,8.0,0.0,87.0,0.0,0.0,0.0,1.0,1
5,0,11,4,101,178,125,114,22,5.0,0.0,101.0,0.0,0.0,0.0,1.0,0
17,0,0,0,220,276,126,115,22,17.0,0.0,220.0,0.0,0.0,0.0,1.0,1
5,0,1,4,67,99,106,116,20,5.0,0.0,67.0,0.0,0.0,0.0,1.0,1
4,0,1,1,61,102,105,117,20,4.0,0.0,61.0,0.0,0.0,0.0,1.0,1
9,0,1,0,48,80,107,118,20,9.0,0.0,48.0,0.0,0.0,0.0,1.0,1
6,0,1,0,48,88,108,119,20,6.0,0.0,48.0,0.0,0.0,0.0,1.0,1
6,0,1,0,45,81,109,120,20,6.0,0.0,45.0,0.0,0.0,0.0,1.0,1
15,0,1,0,71,115,110,121,20,15.0,0.0,71.0,0.0,0.0,0.0,1.0,1
4,0,1,0,24,55,111,122,20,4.0,0.0,24.0,0.0,0.0,0.0,1.0,0
9,0,1,0,76,113,112,123,20,9.0,0.0,76.0,0.0,0.0,0.0,1.0,1
2,0,1,0,19,47,113,124,20,2.0,0.0,19.0,0.0,0.0,0.0,1.0,0
9,0,1,0,48,84,114,125,20,9.0,0.0,48.0,0.0,0.0,0.0,1.0,1
12,0,1,0,75,120,115,126,20,12.0,0.0,75.0,0.0,0.0,0.0,1.0,0
8,0,1,0,47,89,116,127,20,8.0,0.0,47.0,0.0,0.0,0.0,1.0,1
1,0,1,0,11,38,117,128,20,1.0,0.0,11.0,0.0,0.0,0.0,1.0,0
9,0,1,0,59,97,118,129,20,9.0,0.0,59.0,0.0,0.0,0.0,1.0,1
8,0,1,0,51,86,119,130,20,8.0,0.0,51.0,0.0,0.0,0.0,1.0,1
1,0,1,4,65,100,101,131,18,1.0,0.0,65.0,0.0,0.0,0.0,1.0,0
4,0,0,0,25,50,102,132,18,4.0,0.0,25.0,0.0,0.0,0.0,1.0,0
3,0,0,0,26,51,103,133,18,3.0,0.0,26.0,0.0,0.0,0.0,1.0,0
7,0,0,5,52,74,141,134,27,7.0,0.0,52.0,0.0,0.0,0.0,1.0,0
4,0,0,0,22,44,134,135,25,4.0,0.0,22.0,0.0,0.0,0.0,1.0,0
3,0,4,7,59,109,135,136,25,3.0,0.0,59.0,0.0,0.0,0.0,1.0,1
13,0,1,2,88,136,136,137,25,13.0,0.0,88.0,0.0,0.0,0.0,1.0,1
42,0,18,0,289,449,137,138,25,42.0,0.0,289.0,0.0,0.0,0.0,1.0,1
6,0,2,2,42,79,138,139,25,6.0,0.0,42.0,0.0,0.0,0.0,1.0,1
6,0,1,3,45,102,142,140,28,6.0,0.0,45.0,0.0,0.0,0.0,1.0,0
2,0,1,0,25,55,143,141,28,2.0,0.0,25.0,0.0,0.0,0.0,1.0,0
1,0,1,2,24,50,139,142,26,1.0,0.0,24.0,0.0,0.0,0.0,1.0,0
1,0,1,2,32,59,140,143,26,1.0,0.0,32.0,0.0,0.0,0.0,1.0,0
4,0,1,1,40,72,144,144,29,4.0,0.0,40.0,0.0,0.0,0.0,1.0,0
1,0,1,2,23,50,172,145,35,1.0,0.0,23.0,0.0,0.0,0.0,1.0,0
8,0,7,0,75,139,127,146,23,8.0,0.0,75.0,0.0,0.0,0.0,1.0,0
1,0,4,0,22,67,128,147,23,1.0,0.0,22.0,0.0,0.0,0.0,1.0,0
12,0,7,0,88,164,129,148,23,12.0,0.0,88.0,0.0,0.0,0.0,1.0,0
11,0,9,4,82,170,183,149,38,11.0,0.0,82.0,0.0,0.0,0.0,1.0,0
58,0,17,4,386,562,184,150,38,58.0,0.0,386.0,0.0,0.0,0.0,1.0,0
63,0,18,4,475,682,185,151,38,63.0,0.0,475.0,0.0,0.0,0.0,1.0,0
66,0,14,5,293,433,186,152,38,66.0,0.0,293.0,0.0,0.0,0.0,1.0,0
7,0,3,3,65,128,187,153,38,7.0,0.0,65.0,0.0,0.0,0.0,1.0,0
25,0,5,4,131,245,193,154,40,25.0,0.0,131.0,0.0,0.0,0.0,1.0,0
16,0,13,0,119,229,194,155,40,16.0,0.0,119.0,0.0,0.0,0.0,1.0,0
7,0,11,0,85,218,195,156,40,7.0,0.0,85.0,0.0,0.0,0.0,1.0,0
1,0,1,1,7,47,199,157,42,1.0,0.0,7.0,0.0,0.0,0.0,1.0,0
1,0,3,1,21,59,200,158,42,1.0,0.0,21.0,0.0,0.0,0.0,1.0,0
2,0,4,3,37,82,201,159,42,2.0,0.0,37.0,0.0,0.0,0.0,1.0,0
1,0,3,1,19,58,202,160,42,1.0,0.0,19.0,0.0,0.0,0.0,1.0,0
4,0,0,0,33,66,203,161,42,4.0,0.0,33.0,0.0,0.0,0.0,1.0,0
3,0,3,5,42,101,204,162,42,3.0,0.0,42.0,0.0,0.0,0.0,1.0,0
1,0,2,0,4,53,205,163,42,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0
1,0,2,0,5,54,206,164,42,1.0,0.0,5.0,0.0,0.0,0.0,1.0,0
3,0,3,4,42,87,207,165,43,3.0,0.0,42.0,0.0,0.0,0.0,1.0,0
1,0,1,2,11,39,145,166,30,1.0,0.0,11.0,0.0,0.0,0.0,1.0,0
3,0,1,2,35,63,146,167,30,3.0,0.0,35.0,0.0,0.0,0.0,1.0,1
4,0,0,0,31,59,147,168,30,4.0,0.0,31.0,0.0,0.0,0.0,1.0,0
1,0,1,2,8,33,148,169,30,1.0,0.0,8.0,0.0,0.0,0.0,1.0,0
3,0,0,0,25,53,149,170,30,3.0,0.0,25.0,0.0,0.0,0.0,1.0,0
1,0,0,0,7,47,150,171,30,1.0,0.0,7.0,0.0,0.0,0.0,1.0,0
11,0,7,0,83,168,151,172,30,11.0,0.0,83.0,0.0,0.0,0.0,1.0,0
7,0,4,14,85,138,152,173,30,7.0,0.0,85.0,0.0,0.0,0.0,1.0,0
69,0,21,26,566,859,153,174,30,69.0,0.0,566.0,0.0,0.0,0.0,1.0,0
4,0,4,0,26,63,154,175,30,4.0,0.0,26.0,0.0,0.0,0.0,1.0,0
1,0,1,3,15,40,155,176,30,1.0,0.0,15.0,0.0,0.0,0.0,1.0,0
1,0,3,0,5,41,156,177,30,1.0,0.0,5.0,0.0,0.0,0.0,1.0,0
1,0,1,0,11,37,157,178,30,1.0,0.0,11.0,0.0,0.0,0.0,1.0,0
3,0,2,9,61,117,158,179,30,3.0,0.0,61.0,0.0,0.0,0.0,1.0,0
2,0,6,0,22,74,159,180,30,2.0,0.0,22.0,0.0,0.0,0.0,1.0,0
11,0,5,0,60,107,209,181,45,11.0,0.0,60.0,0.0,0.0,0.0,1.0,0
16,0,0,6,113,138,211,182,47,16.0,0.0,113.0,0.0,0.0,0.0,1.0,1
3,0,4,0,34,81,212,183,48,3.0,0.0,34.0,0.0,0.0,0.0,1.0,0
16,0,6,0,94,163,213,184,48,16.0,0.0,94.0,0.0,0.0,0.0,1.0,0
7,0,10,0,77,146,214,185,49,7.0,0.0,77.0,0.0,0.0,0.0,1.0,0
5,0,3,2,31,68,215,186,49,5.0,0.0,31.0,0.0,0.0,0.0,1.0,0
9,0,1,11,130,177,216,187,49,9.0,0.0,130.0,0.0,0.0,0.0,1.0,1
2,0,2,0,18,52,220,188,51,2.0,0.0,18.0,0.0,0.0,0.0,1.0,0
2,0,1,0,19,48,221,189,51,2.0,0.0,19.0,0.0,0.0,0.0,1.0,0
1,0,1,0,5,31,222,190,51,1.0,0.0,5.0,0.0,0.0,0.0,1.0,0
5,0,3,8,72,120,173,191,36,5.0,0.0,72.0,0.0,0.0,0.0,1.0,0
5,0,4,8,79,132,174,192,36,5.0,0.0,79.0,0.0,0.0,0.0,1.0,0
4,0,7,2,40,92,175,193,36,4.0,0.0,40.0,0.0,0.0,0.0,1.0,0
1,0,6,1,32,79,176,194,36,1.0,0.0,32.0,0.0,0.0,0.0,1.0,0
16,0,8,0,84,151,177,195,36,16.0,0.0,84.0,0.0,0.0,0.0,1.0,0
4,0,5,2,42,86,178,196,36,4.0,0.0,42.0,0.0,0.0,0.0,1.0,0
1,0,1,2,19,46,130,197,24,1.0,0.0,19.0,0.0,0.0,0.0,1.0,0
1,0,1,6,28,57,131,198,24,1.0,0.0,28.0,0.0,0.0,0.0,1.0,0
7,0,3,4,90,167,132,199,24,7.0,0.0,90.0,0.0,0.0,0.0,1.0,0
1,0,1,2,39,66,133,200,24,1.0,0.0,39.0,0.0,0.0,0.0,1.0,0
10,0,1,8,112,164,188,201,39,10.0,0.0,112.0,0.0,0.0,0.0,1.0,0
5,0,1,8,110,162,189,202,39,5.0,0.0,110.0,0.0,0.0,0.0,1.0,0
4,0,1,8,106,158,190,203,39,4.0,0.0,106.0,0.0,0.0,0.0,1.0,0
7,0,1,10,128,185,191,204,39,7.0,0.0,128.0,0.0,0.0,0.0,1.0,0
4,0,1,8,86,121,192,205,39,4.0,0.0,86.0,0.0,0.0,0.0,1.0,0
1,0,1,9,49,84,196,206,41,1.0,0.0,49.0,0.0,0.0,0.0,1.0,0
1,0,1,2,44,75,197,207,41,1.0,0.0,44.0,0.0,0.0,0.0,1.0,0
20,0,1,8,154,208,198,208,41,20.0,0.0,154.0,0.0,0.0,0.0,1.0,0
2,0,1,2,23,51,208,209,44,2.0,0.0,23.0,0.0,0.0,0.0,1.0,0
1,0,1,2,23,51,160,210,31,1.0,0.0,23.0,0.0,0.0,0.0,1.0,0
1,0,0,0,14,37,161,211,31,1.0,0.0,14.0,0.0,0.0,0.0,1.0,0
3,0,1,6,77,109,162,212,31,3.0,0.0,77.0,0.0,0.0,0.0,1.0,0
1,0,1,1,14,40,163,213,31,1.0,0.0,14.0,0.0,0.0,0.0,1.0,0
1,0,1,3,23,51,164,214,31,1.0,0.0,23.0,0.0,0.0,0.0,1.0,0
1,0,1,6,80,114,165,215,31,1.0,0.0,80.0,0.0,0.0,0.0,1.0,0
1,0,1,4,33,62,166,216,31,1.0,0.0,33.0,0.0,0.0,0.0,1.0,0
1,0,1,3,53,82,210,217,46,1.0,0.0,53.0,0.0,0.0,0.0,1.0,0
1,0,1,7,40,71,217,218,50,1.0,0.0,40.0,0.0,0.0,0.0,1.0,0
1,0,1,1,11,37,218,219,50,1.0,0.0,11.0,0.0,0.0,0.0,1.0,0
1,0,1,6,75,124,219,220,50,1.0,0.0,75.0,0.0,0.0,0.0,1.0,0
2,0,1,5,43,73,179,221,37,2.0,0.0,43.0,0.0,0.0,0.0,1.0,0
3,0,1,6,58,89,180,222,37,3.0,0.0,58.0,0.0,0.0,0.0,1.0,0
1,0,1,1,18,44,181,223,37,1.0,0.0,18.0,0.0,0.0,0.0,1.0,0
1,0,1,1,17,42,182,224,37,1.0,0.0,17.0,0.0,0.0,0.0,1.0,0
11,0,0,0,58,114,223,225,52,11.0,0.0,58.0,0.0,0.0,0.0,1.0,0
2,0,5,1,37,90,224,226,52,2.0,0.0,37.0,0.0,0.0,0.0,1.0,0
16,0,1,0,119,202,225,227,52,16.0,0.0,119.0,0.0,0.0,0.0,1.0,1
34,0,2,1,286,376,226,228,52,34.0,0.0,286.0,0.0,0.0,0.0,1.0,1
8,0,3,6,68,108,227,229,52,8.0,0.0,68.0,0.0,0.0,0.0,1.0,1
1,0,0,0,6,35,228,230,52,1.0,0.0,6.0,0.0,0.0,0.0,1.0,0
1,0,1,2,9,34,229,231,52,1.0,0.0,9.0,0.0,0.0,0.0,1.0,0
34,0,1,4,339,457,230,232,52,34.0,0.0,339.0,0.0,0.0,0.0,1.0,1
1,0,1,6,38,71,231,233,52,1.0,0.0,38.0,0.0,0.0,0.0,1.0,1
1,0,0,1,6,26,232,234,52,1.0,0.0,6.0,0.0,0.0,0.0,1.0,0
8,0,3,2,83,130,233,235,52,8.0,0.0,83.0,0.0,0.0,0.0,1.0,1
2,0,7,1,56,111,234,236,52,2.0,0.0,56.0,0.0,0.0,0.0,1.0,0
1,0,1,0,8,37,235,237,52,1.0,0.0,8.0,0.0,0.0,0.0,1.0,0
2,0,1,5,46,84,237,238,54,2.0,0.0,46.0,0.0,0.0,0.0,1.0,0
1,0,0,5,34,58,238,239,55,1.0,0.0,34.0,0.0,0.0,0.0,1.0,1
1,0,0,5,37,62,239,240,55,1.0,0.0,37.0,0.0,0.0,0.0,1.0,1
2,0,0,4,51,86,240,241,55,2.0,0.0,51.0,0.0,0.0,0.0,1.0,1
1,0,0,3,10,30,241,242,55,1.0,0.0,10.0,0.0,0.0,0.0,1.0,0
1,0,0,3,19,41,242,243,55,1.0,0.0,19.0,0.0,0.0,0.0,1.0,0
2,0,1,4,34,62,243,244,55,2.0,0.0,34.0,0.0,0.0,0.0,1.0,0
1,0,1,1,22,46,244,245,56,1.0,0.0,22.0,0.0,0.0,0.0,1.0,0
6,0,0,9,83,117,245,246,57,6.0,0.0,83.0,0.0,0.0,0.0,1.0,0
1,0,1,1,16,41,246,247,57,1.0,0.0,16.0,0.0,0.0,0.0,1.0,0
1,0,4,0,7,40,247,248,57,1.0,0.0,7.0,0.0,0.0,0.0,1.0,0
11,0,0,15,100,138,248,249,57,11.0,0.0,100.0,0.0,0.0,0.0,1.0,0
1,0,19,0,22,170,249,250,57,1.0,0.0,22.0,0.0,0.0,0.0,1.0,0
6,0,1,20,119,169,251,251,57,6.0,0.0,119.0,0.0,0.0,0.0,1.0,0
1,0,0,4,16,37,250,252,57,1.0,0.0,16.0,0.0,0.0,0.0,1.0,0
3,0,1,23,114,162,252,253,57,3.0,0.0,114.0,0.0,0.0,0.0,1.0,0
1,0,6,0,10,56,253,254,57,1.0,0.0,10.0,0.0,0.0,0.0,1.0,0
9,0,1,3,42,68,254,255,57,9.0,0.0,42.0,0.0,0.0,0.0,1.0,0
1,0,0,3,13,35,255,256,57,1.0,0.0,13.0,0.0,0.0,0.0,1.0,0
2,0,0,5,31,56,256,257,58,2.0,0.0,31.0,0.0,0.0,0.0,1.0,0
2,0,0,22,95,135,257,258,58,2.0,0.0,95.0,0.0,0.0,0.0,1.0,0
9,0,0,8,75,106,258,259,58,9.0,0.0,75.0,0.0,0.0,0.0,1.0,0
8,0,0,2,33,55,259,260,58,8.0,0.0,33.0,0.0,0.0,0.0,1.0,0
1,0,0,5,26,49,260,261,59,1.0,0.0,26.0,0.0,0.0,0.0,1.0,0
3,0,0,22,106,147,261,262,59,3.0,0.0,106.0,0.0,0.0,0.0,1.0,0
2,0,0,8,47,74,262,263,59,2.0,0.0,47.0,0.0,0.0,0.0,1.0,0
2,0,0,21,89,131,263,264,60,2.0,0.0,89.0,0.0,0.0,0.0,1.0,0
14,0,1,6,176,233,264,265,61,14.0,0.0,176.0,0.0,0.0,0.0,1.0,0
1,0,0,6,21,44,266,266,63,1.0,0.0,21.0,0.0,0.0,0.0,1.0,0
7,0,0,0,42,61,267,267,63,7.0,0.0,42.0,0.0,0.0,0.0,1.0,0
13,0,0,12,109,144,268,268,63,13.0,0.0,109.0,0.0,0.0,0.0,1.0,0
3,0,0,10,44,74,269,269,63,3.0,0.0,44.0,0.0,0.0,0.0,1.0,0
17,0,0,8,173,217,270,270,63,17.0,0.0,173.0,0.0,0.0,0.0,1.0,0
14,0,0,10,89,120,271,271,63,14.0,0.0,89.0,0.0,0.0,0.0,1.0,0
15,0,0,17,90,127,272,272,63,15.0,0.0,90.0,0.0,0.0,0.0,1.0,0
13,0,0,6,153,194,273,273,64,13.0,0.0,153.0,0.0,0.0,0.0,1.0,0
4,0,1,3,65,92,274,274,64,4.0,0.0,65.0,0.0,0.0,0.0,1.0,0
21,0,4,6,119,198,275,275,65,21.0,0.0,119.0,0.0,0.0,0.0,1.0,0
1,0,1,5,56,87,236,276,53,1.0,0.0,56.0,0.0,0.0,0.0,1.0,0
4,0,1,1,40,70,265,277,62,4.0,0.0,40.0,0.0,0.0,0.0,1.0,0
9,0,0,5,87,111,276,278,66,9.0,0.0,87.0,0.0,0.0,0.0,1.0,0
17,0,0,5,229,267,277,279,66,17.0,0.0,229.0,0.0,0.0,0.0,1.0,0
