McCC,CLOC,PDA,PUA,LLOC,LOC,ID.1,LongName.1,Parent.1,McCC.1,CLOC.1,LLOC.1,Number of previous fixes,Number of previous modifications,Number of developer commits,Number of committers,target
17,0,1,26,425,546,293,59,13,17.0,0.0,425.0,0.0,4.0,4057.0,2.0,0
14,0,2,3,70,118,833,60,106,14.0,0.0,70.0,2.0,12.0,4057.0,3.0,0
1,0,25,0,28,209,834,61,106,1.0,0.0,28.0,1.0,14.0,1649.0,4.0,0
56,0,2,0,215,294,835,62,106,56.0,0.0,215.0,8.0,26.0,4057.0,3.0,0
24,0,0,0,55,83,836,63,106,24.0,0.0,55.0,2.0,5.0,72.0,3.0,0
1,0,0,0,16,45,837,64,106,1.0,0.0,16.0,0.0,5.0,72.0,2.0,0
57,0,2,28,291,361,838,65,106,57.0,0.0,291.0,7.0,18.0,4057.0,4.0,0
2,0,1,13,70,104,839,66,106,2.0,0.0,70.0,0.0,4.0,1649.0,2.0,0
2,0,1,12,64,99,840,67,106,2.0,0.0,64.0,0.0,4.0,1649.0,2.0,0
2,0,2,8,45,79,841,68,106,2.0,0.0,45.0,0.0,5.0,1649.0,2.0,0
45,0,0,15,300,367,842,69,106,45.0,0.0,300.0,0.0,2.0,4057.0,1.0,1
3,0,1,4,48,82,843,70,106,3.0,0.0,48.0,0.0,18.0,1649.0,3.0,0
2,0,0,3,18,41,844,71,106,2.0,0.0,18.0,0.0,6.0,1649.0,3.0,0
3,0,2,6,58,96,845,72,106,3.0,0.0,58.0,0.0,13.0,1649.0,3.0,0
2,0,2,4,42,77,846,73,106,2.0,0.0,42.0,0.0,13.0,1649.0,3.0,0
5,0,1,7,61,94,847,74,106,5.0,0.0,61.0,0.0,3.0,1649.0,2.0,0
1,0,1,3,9,32,848,75,106,1.0,0.0,9.0,0.0,3.0,1649.0,2.0,1
1,0,1,6,15,41,849,76,106,1.0,0.0,15.0,0.0,3.0,1649.0,2.0,1
1,0,1,5,13,38,850,77,106,1.0,0.0,13.0,0.0,3.0,1649.0,2.0,1
19,0,3,6,142,237,851,78,106,19.0,0.0,142.0,2.0,24.0,4057.0,3.0,1
1,0,0,1,17,78,852,79,106,1.0,0.0,17.0,0.0,3.0,72.0,2.0,0
1,0,1,3,11,39,853,80,106,1.0,0.0,11.0,0.0,4.0,4057.0,2.0,0
26,0,4,0,100,167,854,81,106,26.0,0.0,100.0,1.0,16.0,4057.0,3.0,1
19,0,1,2,124,209,855,82,106,19.0,0.0,124.0,4.0,36.0,4057.0,3.0,1
5,0,1,0,16,42,856,83,106,5.0,0.0,16.0,0.0,12.0,4057.0,3.0,0
32,0,1,6,185,291,857,84,106,32.0,0.0,185.0,5.0,44.0,1649.0,3.0,1
3,0,0,0,40,88,858,85,106,3.0,0.0,40.0,0.0,4.0,72.0,2.0,0
69,0,49,3,523,1326,859,86,106,69.0,0.0,523.0,0.0,24.0,4057.0,3.0,1
1,0,4,0,6,46,860,87,106,1.0,0.0,6.0,0.0,25.0,4057.0,4.0,0
10,0,4,4,82,185,861,88,106,10.0,0.0,82.0,0.0,11.0,4057.0,3.0,0
1,0,2,1,6,32,862,89,106,1.0,0.0,6.0,0.0,6.0,1649.0,3.0,0
15,0,4,1,119,213,863,90,106,15.0,0.0,119.0,0.0,11.0,4057.0,2.0,1
117,0,1,0,543,755,864,91,106,117.0,0.0,543.0,0.0,7.0,4057.0,2.0,1
14,0,1,0,85,134,865,92,106,14.0,0.0,85.0,0.0,5.0,4057.0,2.0,1
1,0,5,1,9,63,866,93,106,1.0,0.0,9.0,0.0,16.0,1649.0,4.0,0
1,0,3,0,25,89,867,94,106,1.0,0.0,25.0,0.0,12.0,1649.0,3.0,0
4,0,1,0,29,58,868,95,106,4.0,0.0,29.0,1.0,15.0,1649.0,3.0,0
1,0,3,1,7,49,869,96,106,1.0,0.0,7.0,0.0,15.0,1649.0,4.0,0
1,0,3,0,27,121,870,97,106,1.0,0.0,27.0,0.0,12.0,1649.0,3.0,1
2,0,1,0,20,45,871,98,106,2.0,0.0,20.0,0.0,14.0,1649.0,3.0,0
63,0,5,4,233,488,872,99,106,63.0,0.0,233.0,0.0,8.0,4057.0,3.0,0
1,0,3,5,43,85,873,100,106,1.0,0.0,43.0,0.0,10.0,4057.0,2.0,0
19,0,10,3,119,224,874,101,106,19.0,0.0,119.0,0.0,8.0,4057.0,2.0,1
1,0,1,4,55,94,875,102,106,1.0,0.0,55.0,0.0,5.0,1649.0,2.0,1
49,0,13,0,232,387,877,103,106,49.0,0.0,232.0,2.0,25.0,4057.0,4.0,0
9,0,6,0,72,134,878,104,106,9.0,0.0,72.0,0.0,14.0,4057.0,3.0,0
25,0,2,4,120,172,879,105,106,25.0,0.0,120.0,3.0,12.0,4057.0,3.0,0
46,0,1,13,285,356,891,106,108,46.0,0.0,285.0,0.0,13.0,4057.0,3.0,1
17,0,1,8,94,130,892,107,108,17.0,0.0,94.0,0.0,9.0,1649.0,3.0,1
28,0,2,12,185,230,893,108,108,28.0,0.0,185.0,0.0,9.0,4057.0,3.0,1
1,0,3,3,12,43,894,109,108,1.0,0.0,12.0,0.0,6.0,1649.0,3.0,0
1,0,0,2,17,40,895,110,108,1.0,0.0,17.0,0.0,4.0,4057.0,2.0,0
16,0,4,6,129,190,896,111,108,16.0,0.0,129.0,0.0,10.0,4057.0,3.0,0
10,0,2,13,123,170,897,112,108,10.0,0.0,123.0,0.0,10.0,1649.0,3.0,0
9,0,1,16,143,193,898,113,108,9.0,0.0,143.0,0.0,9.0,1649.0,3.0,0
1,0,7,3,15,68,899,114,108,1.0,0.0,15.0,0.0,6.0,1649.0,3.0,0
1,0,18,3,32,189,900,115,108,1.0,0.0,32.0,0.0,8.0,1649.0,3.0,0
1,0,7,0,13,67,901,116,108,1.0,0.0,13.0,0.0,6.0,4057.0,3.0,0
8,0,0,0,102,225,902,117,108,8.0,0.0,102.0,0.0,7.0,4057.0,2.0,0
287,0,17,12,1436,2093,903,118,108,287.0,0.0,1436.0,0.0,21.0,4.0,4.0,1
97,0,17,6,600,1054,904,119,108,97.0,0.0,600.0,0.0,17.0,4.0,4.0,1
1,0,3,1,8,37,905,120,108,1.0,0.0,8.0,0.0,3.0,71.0,2.0,0
8,0,0,0,73,106,906,121,108,8.0,0.0,73.0,0.0,7.0,1649.0,3.0,1
9,0,1,14,94,131,907,122,108,9.0,0.0,94.0,0.0,8.0,1649.0,3.0,0
9,0,1,16,116,160,908,123,108,9.0,0.0,116.0,0.0,8.0,1649.0,3.0,0
13,0,1,32,180,239,909,124,108,13.0,0.0,180.0,0.0,7.0,1649.0,3.0,0
10,0,1,35,202,265,910,125,108,10.0,0.0,202.0,0.0,7.0,1649.0,3.0,0
1,0,0,0,1,21,911,126,108,1.0,0.0,1.0,0.0,1.0,71.0,1.0,0
1,0,0,0,1,21,876,127,106,1.0,0.0,1.0,0.0,6.0,4057.0,2.0,0
1,0,4,1,18,62,0,128,0,1.0,0.0,18.0,0.0,10.0,1649.0,3.0,1
7,0,8,1,59,147,1,129,0,7.0,0.0,59.0,0.0,15.0,1649.0,4.0,1
3,0,8,1,41,128,2,130,0,3.0,0.0,41.0,0.0,12.0,1649.0,3.0,1
1,0,4,1,18,62,4,131,0,1.0,0.0,18.0,0.0,10.0,1649.0,3.0,1
1,0,4,1,18,63,5,132,0,1.0,0.0,18.0,0.0,10.0,1649.0,3.0,1
3,0,7,1,35,102,6,133,0,3.0,0.0,35.0,0.0,10.0,1649.0,3.0,1
1,0,0,0,7,48,7,134,0,1.0,0.0,7.0,0.0,7.0,72.0,2.0,0
7,0,0,0,57,110,8,135,0,7.0,0.0,57.0,0.0,11.0,1649.0,3.0,0
12,0,2,1,77,129,9,136,0,12.0,0.0,77.0,0.0,25.0,1649.0,4.0,1
6,0,1,0,49,83,10,137,0,6.0,0.0,49.0,0.0,17.0,1649.0,3.0,0
1,0,2,0,6,77,11,138,0,1.0,0.0,6.0,0.0,1.0,71.0,1.0,0
1,0,2,0,6,74,12,139,0,1.0,0.0,6.0,0.0,1.0,71.0,1.0,0
71,0,2,0,262,436,13,140,0,71.0,0.0,262.0,0.0,35.0,1649.0,4.0,1
20,0,2,0,90,176,14,141,0,20.0,0.0,90.0,3.0,30.0,1649.0,4.0,0
1,0,2,0,6,77,15,142,0,1.0,0.0,6.0,0.0,10.0,72.0,4.0,0
1,0,2,0,6,74,16,143,0,1.0,0.0,6.0,0.0,6.0,72.0,2.0,0
2,0,10,0,56,153,17,144,0,2.0,0.0,56.0,1.0,26.0,4057.0,5.0,0
22,0,4,0,161,293,18,145,0,22.0,0.0,161.0,15.0,49.0,1649.0,5.0,0
17,0,4,0,117,232,19,146,0,17.0,0.0,117.0,3.0,11.0,1649.0,3.0,0
17,0,4,0,118,233,20,147,0,17.0,0.0,118.0,16.0,48.0,1649.0,5.0,0
17,0,4,0,118,232,21,148,0,17.0,0.0,118.0,14.0,48.0,1649.0,5.0,0
5,0,3,0,34,97,22,149,0,5.0,0.0,34.0,0.0,17.0,4057.0,4.0,0
1,0,3,2,27,71,23,150,0,1.0,0.0,27.0,0.0,7.0,1649.0,3.0,1
1,0,1,2,10,33,24,151,0,1.0,0.0,10.0,0.0,5.0,72.0,2.0,0
9,0,10,0,81,204,25,152,0,9.0,0.0,81.0,1.0,31.0,1649.0,6.0,1
12,0,4,0,101,214,26,153,0,12.0,0.0,101.0,3.0,37.0,1649.0,6.0,0
8,0,4,0,83,181,27,154,0,8.0,0.0,83.0,1.0,9.0,1649.0,3.0,0
8,0,4,0,82,181,28,155,0,8.0,0.0,82.0,3.0,35.0,1649.0,6.0,0
8,0,4,0,83,180,29,156,0,8.0,0.0,83.0,3.0,35.0,1649.0,6.0,0
5,0,5,0,52,124,30,157,0,5.0,0.0,52.0,0.0,18.0,4057.0,4.0,0
5,0,1,6,81,126,31,158,0,5.0,0.0,81.0,0.0,16.0,4057.0,5.0,1
7,0,1,2,67,97,32,159,0,7.0,0.0,67.0,0.0,11.0,4057.0,5.0,0
4,0,0,0,41,111,33,160,0,4.0,0.0,41.0,0.0,12.0,72.0,4.0,1
5,0,2,0,23,74,34,161,0,5.0,0.0,23.0,0.0,7.0,71.0,3.0,0
1,0,0,0,1,38,3,162,0,1.0,0.0,1.0,0.0,9.0,4057.0,3.0,0
1,0,3,0,98,389,46,163,3,1.0,0.0,98.0,0.0,7.0,4057.0,2.0,0
4,0,2,0,48,140,47,164,3,4.0,0.0,48.0,0.0,9.0,4057.0,3.0,0
3,0,1,0,24,83,48,165,3,3.0,0.0,24.0,0.0,4.0,4057.0,2.0,0
1,0,1,1,15,42,49,166,3,1.0,0.0,15.0,0.0,4.0,4057.0,2.0,0
1,0,3,0,26,84,50,167,3,1.0,0.0,26.0,0.0,11.0,1649.0,3.0,0
1,0,1,1,22,47,51,168,3,1.0,0.0,22.0,0.0,11.0,4057.0,3.0,0
1,0,3,0,30,89,52,169,3,1.0,0.0,30.0,0.0,11.0,1649.0,3.0,0
1,0,1,1,22,47,53,170,3,1.0,0.0,22.0,0.0,11.0,4057.0,3.0,0
18,0,2,0,90,293,54,171,3,18.0,0.0,90.0,0.0,8.0,4057.0,3.0,0
3,0,2,0,17,52,55,172,3,3.0,0.0,17.0,0.0,6.0,4057.0,2.0,0
1,0,0,0,1,22,45,173,3,1.0,0.0,1.0,0.0,5.0,4057.0,2.0,0
4,0,3,8,80,124,60,174,4,4.0,0.0,80.0,0.0,24.0,1649.0,3.0,0
2,0,4,5,50,97,61,175,4,2.0,0.0,50.0,0.0,14.0,1649.0,3.0,0
2,0,1,3,31,62,62,176,4,2.0,0.0,31.0,0.0,11.0,1649.0,3.0,0
41,0,0,13,282,346,63,177,4,41.0,0.0,282.0,0.0,1.0,1649.0,1.0,0
2,0,2,6,54,91,64,178,4,2.0,0.0,54.0,0.0,14.0,1649.0,3.0,0
1,0,1,1,7,28,65,179,4,1.0,0.0,7.0,0.0,10.0,4057.0,3.0,0
1,0,2,3,26,57,66,180,4,1.0,0.0,26.0,0.0,11.0,1649.0,3.0,0
2,0,3,5,47,88,67,181,4,2.0,0.0,47.0,0.0,12.0,1649.0,3.0,0
11,0,1,13,153,200,68,182,4,11.0,0.0,153.0,0.0,15.0,1649.0,3.0,0
2,0,2,6,54,90,69,183,4,2.0,0.0,54.0,0.0,12.0,1649.0,3.0,0
6,0,2,12,106,150,70,184,4,6.0,0.0,106.0,0.0,14.0,1649.0,3.0,0
3,0,2,5,49,83,71,185,4,3.0,0.0,49.0,0.0,7.0,1649.0,3.0,0
10,0,0,0,295,359,73,186,4,10.0,0.0,295.0,0.0,24.0,4057.0,3.0,0
1,0,0,1,6,25,74,187,4,1.0,0.0,6.0,0.0,4.0,72.0,2.0,0
1,0,1,0,3,24,75,188,4,1.0,0.0,3.0,0.0,4.0,4057.0,2.0,0
1,0,2,5,18,51,76,189,4,1.0,0.0,18.0,0.0,22.0,1649.0,3.0,0
1,0,0,1,3,22,77,190,4,1.0,0.0,3.0,0.0,1.0,4057.0,1.0,0
1,0,3,5,47,88,78,191,4,1.0,0.0,47.0,0.0,21.0,4057.0,3.0,0
149,0,3,1,609,802,79,192,4,149.0,0.0,609.0,0.0,45.0,1649.0,3.0,1
53,0,3,1,288,351,80,193,4,53.0,0.0,288.0,0.0,55.0,4057.0,3.0,1
1,0,5,0,7,44,81,194,4,1.0,0.0,7.0,0.0,17.0,1649.0,3.0,0
1,0,4,0,6,43,82,195,4,1.0,0.0,6.0,0.0,10.0,1649.0,3.0,0
2,0,0,0,18,39,83,196,4,2.0,0.0,18.0,0.0,13.0,1649.0,3.0,0
1,0,0,0,10,30,84,197,4,1.0,0.0,10.0,0.0,12.0,1649.0,3.0,0
14,0,0,0,77,108,85,198,4,14.0,0.0,77.0,0.0,12.0,1.0,3.0,0
7,0,0,0,42,66,86,199,4,7.0,0.0,42.0,0.0,13.0,72.0,2.0,0
7,0,0,0,46,70,87,200,4,7.0,0.0,46.0,0.0,12.0,1649.0,3.0,0
22,0,38,1,257,502,88,201,4,22.0,0.0,257.0,0.0,22.0,4057.0,3.0,1
1,0,1,3,9,33,89,202,4,1.0,0.0,9.0,0.0,16.0,1649.0,3.0,0
1,0,2,4,36,68,90,203,4,1.0,0.0,36.0,0.0,16.0,4057.0,3.0,0
26,0,2,0,179,284,91,204,4,26.0,0.0,179.0,0.0,40.0,4057.0,3.0,1
17,0,2,0,137,290,92,205,4,17.0,0.0,137.0,0.0,34.0,4057.0,3.0,1
1,0,17,0,60,169,93,206,4,1.0,0.0,60.0,0.0,20.0,4057.0,4.0,0
8,0,1,1,40,69,94,207,4,8.0,0.0,40.0,1.0,16.0,4057.0,3.0,1
1,0,1,0,3,24,95,208,4,1.0,0.0,3.0,0.0,14.0,72.0,3.0,0
8,0,2,4,93,165,96,209,4,8.0,0.0,93.0,2.0,16.0,1649.0,2.0,1
1,0,3,0,5,33,97,210,4,1.0,0.0,5.0,0.0,14.0,1649.0,3.0,0
1,0,5,0,14,52,98,211,4,1.0,0.0,14.0,0.0,13.0,4057.0,3.0,0
1,0,5,0,7,43,99,212,4,1.0,0.0,7.0,0.0,15.0,1649.0,3.0,0
23,0,0,0,202,266,100,213,4,23.0,0.0,202.0,0.0,20.0,4057.0,3.0,0
117,0,2,8,517,921,101,214,4,117.0,0.0,517.0,3.0,50.0,4057.0,3.0,1
6,0,5,4,54,114,102,215,4,6.0,0.0,54.0,0.0,8.0,4057.0,3.0,0
1,0,13,0,24,107,103,216,4,1.0,0.0,24.0,0.0,16.0,1649.0,3.0,0
1,0,5,0,7,44,104,217,4,1.0,0.0,7.0,0.0,1.0,1649.0,1.0,0
16,0,5,4,94,188,105,218,4,16.0,0.0,94.0,0.0,13.0,4057.0,3.0,0
1,0,1,3,9,32,106,219,4,1.0,0.0,9.0,0.0,14.0,1649.0,3.0,0
1,0,7,3,15,66,107,220,4,1.0,0.0,15.0,0.0,16.0,1649.0,3.0,0
1,0,5,0,7,44,108,221,4,1.0,0.0,7.0,0.0,11.0,1649.0,3.0,0
1,0,0,0,1,20,72,222,4,1.0,0.0,1.0,0.0,10.0,4057.0,3.0,0
4,0,0,17,392,462,880,223,107,4.0,0.0,392.0,5.0,21.0,72.0,2.0,0
4,0,0,6,99,127,881,224,107,4.0,0.0,99.0,2.0,13.0,72.0,3.0,0
4,0,0,2,20,48,882,225,107,4.0,0.0,20.0,0.0,3.0,4057.0,2.0,0
3,0,0,5,57,89,883,226,107,3.0,0.0,57.0,1.0,13.0,4057.0,3.0,0
5,0,0,2,40,61,884,227,107,5.0,0.0,40.0,1.0,8.0,72.0,2.0,0
1,0,0,3,44,73,885,228,107,1.0,0.0,44.0,0.0,5.0,4057.0,2.0,0
2,0,0,6,87,118,886,229,107,2.0,0.0,87.0,0.0,10.0,1649.0,3.0,0
2,0,0,7,100,141,887,230,107,2.0,0.0,100.0,0.0,1.0,4057.0,1.0,0
1,0,1,2,26,50,888,231,107,1.0,0.0,26.0,0.0,3.0,4057.0,2.0,0
4,0,1,1,44,72,889,232,107,4.0,0.0,44.0,2.0,9.0,4057.0,3.0,0
4,0,3,6,203,259,890,233,107,4.0,0.0,203.0,2.0,10.0,4057.0,3.0,0
2,0,1,1,39,74,912,234,109,2.0,0.0,39.0,0.0,2.0,4057.0,2.0,0
7,0,0,15,102,137,35,235,1,7.0,0.0,102.0,0.0,7.0,4057.0,4.0,0
1,0,0,2,45,72,36,236,1,1.0,0.0,45.0,0.0,17.0,4057.0,4.0,0
1,0,0,2,40,65,37,237,1,1.0,0.0,40.0,0.0,14.0,4057.0,4.0,0
1,0,0,2,40,65,38,238,1,1.0,0.0,40.0,0.0,14.0,4057.0,4.0,0
1,0,0,6,126,175,39,239,1,1.0,0.0,126.0,0.0,17.0,4057.0,4.0,0
16,0,0,3,242,348,109,240,5,16.0,0.0,242.0,2.0,34.0,1649.0,3.0,0
3,0,0,3,22,45,132,241,6,3.0,0.0,22.0,0.0,2.0,1649.0,2.0,0
7,0,3,2,45,84,133,242,6,7.0,0.0,45.0,0.0,4.0,1649.0,2.0,0
5,0,1,2,48,75,135,243,6,5.0,0.0,48.0,0.0,5.0,1649.0,2.0,1
2,0,2,2,21,53,136,244,6,2.0,0.0,21.0,0.0,5.0,1649.0,2.0,0
4,0,1,2,38,65,137,245,6,4.0,0.0,38.0,0.0,5.0,1649.0,2.0,1
3,0,0,3,22,45,138,246,6,3.0,0.0,22.0,0.0,2.0,1649.0,2.0,0
3,0,0,3,20,43,139,247,6,3.0,0.0,20.0,0.0,2.0,1649.0,2.0,0
16,0,5,2,86,139,140,248,6,16.0,0.0,86.0,0.0,8.0,1649.0,2.0,0
9,0,1,2,72,99,141,249,6,9.0,0.0,72.0,0.0,5.0,1649.0,2.0,1
6,0,3,2,53,93,142,250,6,6.0,0.0,53.0,0.0,4.0,1649.0,2.0,0
9,0,1,2,72,99,143,251,6,9.0,0.0,72.0,0.0,5.0,1649.0,2.0,1
3,0,0,3,28,50,144,252,6,3.0,0.0,28.0,0.0,2.0,1649.0,2.0,0
3,0,0,3,22,45,145,253,6,3.0,0.0,22.0,0.0,2.0,1649.0,2.0,0
10,0,0,0,62,104,146,254,6,10.0,0.0,62.0,0.0,1.0,1649.0,1.0,0
3,0,2,2,25,58,147,255,6,3.0,0.0,25.0,0.0,4.0,1649.0,2.0,0
5,0,1,2,46,74,148,256,6,5.0,0.0,46.0,0.0,5.0,1649.0,2.0,1
2,0,2,2,20,52,149,257,6,2.0,0.0,20.0,0.0,4.0,1649.0,2.0,0
4,0,1,2,39,67,150,258,6,4.0,0.0,39.0,0.0,5.0,1649.0,2.0,1
2,0,4,0,19,62,151,259,6,2.0,0.0,19.0,0.0,5.0,1649.0,2.0,0
1,0,1,1,16,42,152,260,6,1.0,0.0,16.0,0.0,2.0,4057.0,2.0,0
1,0,0,1,6,24,153,261,6,1.0,0.0,6.0,0.0,2.0,1649.0,2.0,0
3,0,0,3,21,43,154,262,6,3.0,0.0,21.0,0.0,2.0,1649.0,2.0,0
2,0,2,0,14,47,155,263,6,2.0,0.0,14.0,0.0,4.0,1649.0,2.0,0
1,0,1,0,7,28,156,264,6,1.0,0.0,7.0,0.0,2.0,1649.0,2.0,0
2,0,2,0,14,47,157,265,6,2.0,0.0,14.0,0.0,4.0,1649.0,2.0,0
1,0,1,0,7,28,158,266,6,1.0,0.0,7.0,0.0,2.0,1649.0,2.0,0
3,0,0,3,20,43,159,267,6,3.0,0.0,20.0,0.0,2.0,1649.0,2.0,0
1,0,1,2,10,38,160,268,6,1.0,0.0,10.0,0.0,1.0,1649.0,1.0,0
1,0,1,2,10,38,161,269,6,1.0,0.0,10.0,0.0,1.0,1649.0,1.0,0
1,0,0,0,1,22,131,270,6,1.0,0.0,1.0,0.0,4.0,4057.0,2.0,0
1,0,0,2,19,39,162,271,7,1.0,0.0,19.0,0.0,2.0,4057.0,2.0,0
7,0,0,4,61,82,163,272,7,7.0,0.0,61.0,0.0,1.0,1649.0,1.0,0
2,0,0,2,25,46,164,273,7,2.0,0.0,25.0,0.0,6.0,1649.0,2.0,0
2,0,0,2,13,31,165,274,7,2.0,0.0,13.0,0.0,1.0,1649.0,1.0,0
12,0,0,5,82,106,166,275,7,12.0,0.0,82.0,0.0,6.0,1649.0,2.0,0
9,0,0,6,66,92,167,276,7,9.0,0.0,66.0,0.0,3.0,1649.0,2.0,0
4,0,0,2,31,52,168,277,7,4.0,0.0,31.0,0.0,6.0,1649.0,2.0,0
3,0,0,2,18,37,169,278,7,3.0,0.0,18.0,0.0,3.0,1649.0,2.0,0
1,0,0,0,13,36,170,279,7,1.0,0.0,13.0,0.0,1.0,1649.0,1.0,0
2,0,0,2,13,31,171,280,7,2.0,0.0,13.0,0.0,1.0,1649.0,1.0,0
