McCC,CLOC,LLOC,Number of previous fixes,Number of committers,Number of previous modifications,Number of developer commits,target
53,0,477,0,3,35,1615,0
43,0,279,0,2,11,1615,0
6,0,92,0,4,11,142,0
3,0,29,0,3,9,1615,0
1,0,20,0,3,7,142,0
1,0,22,0,2,8,1615,0
1,0,12,0,2,3,1077,0
12,0,76,0,2,10,1077,0
1,0,87,1,2,5,1615,0
34,0,295,0,2,20,1615,0
31,0,259,0,2,9,1077,0
71,0,1110,10,3,55,1615,0
8,0,102,0,3,25,1077,0
26,0,228,1,2,16,1077,0
1,0,2,0,2,2,1077,0
1,0,2,0,2,5,1077,0
1,0,2,0,2,2,1077,0
1,0,2,0,2,4,1077,0
1,0,2,0,2,2,1077,0
23,0,273,0,2,7,1077,0
2,0,35,0,2,2,1615,0
9,0,76,0,1,1,1077,0
16,0,213,1,2,17,1077,0
3,0,16,0,1,2,1077,0
1,0,131,0,3,21,1615,0
1,0,11,0,1,1,1077,0
1,0,21,0,2,6,1615,0
8,0,120,0,2,8,1615,0
6,0,163,0,2,7,1077,0
5,0,42,0,1,1,1615,0
23,0,96,0,1,1,1615,0
1,0,16,0,1,1,1615,0
1,0,7,0,1,1,1615,0
14,0,80,0,1,1,1615,0
1,0,10,0,1,1,1615,0
4,0,29,0,1,1,1615,0
4,0,33,0,1,1,1615,0
6,0,35,0,1,1,1615,0
2,0,20,0,1,1,1615,0
1,0,37,0,2,6,1077,0
6,0,44,0,1,1,1077,0
2,0,18,0,1,3,1077,0
11,0,153,0,1,1,1077,0
11,0,571,0,2,11,1077,0
1,0,29,0,2,6,1077,0
2,0,22,0,1,4,1077,0
3,0,37,0,1,2,1077,0
1,0,15,0,2,2,1615,0
1,0,14,0,1,2,1077,0
1,0,16,0,1,3,1077,0
10,0,148,0,2,6,1077,0
15,0,127,0,1,3,1077,0
5,0,80,0,2,5,1615,0
14,0,208,0,2,5,1077,0
14,0,100,0,1,7,1077,0
1,0,77,0,1,2,1077,0
1,0,7,0,1,2,1077,0
21,0,267,1,3,18,1615,0
4,0,16,0,2,4,1077,0
2,0,38,0,1,4,1077,0
1,0,33,0,2,4,1077,0
1,0,21,0,1,3,1077,0
10,0,64,0,1,5,1077,0
1,0,3,0,1,1,1077,0
48,0,403,1,4,53,1615,0
6,0,186,0,3,19,1615,0
1,0,8,0,2,8,1615,0
13,0,54,0,1,8,1077,0
1,0,13,0,1,2,1077,0
1,0,8,0,2,4,1077,0
1,0,11,0,2,3,1077,0
3,0,27,0,2,3,1077,0
1,0,13,0,1,2,1077,0
1,0,17,0,2,7,1077,0
1,0,11,0,2,3,1077,0
1,0,5,0,2,4,1615,0
1,0,7,0,2,6,1615,0
1,0,22,0,2,3,1615,0
1,0,6,0,2,5,1615,0
1,0,15,0,1,1,1077,0
1,0,14,0,2,3,1615,0
1,0,16,0,2,4,1077,0
3,0,15,0,2,5,1615,0
1,0,10,0,2,6,1077,0
1,0,13,0,1,2,1077,0
1,0,10,0,1,2,1077,0
1,0,18,0,2,8,1615,0
1,0,17,0,1,1,1077,0
1,0,13,0,1,1,1077,0
1,0,17,0,2,13,1615,0
1,0,30,0,2,13,1615,0
1,0,7,0,1,4,1077,0
1,0,5,0,1,2,1077,0
1,0,33,0,2,5,1615,0
1,0,7,0,1,1,1077,0
1,0,13,0,1,2,1077,0
1,0,30,0,2,18,1615,0
1,0,9,0,2,5,1615,0
1,0,22,0,1,2,1077,0
1,0,35,0,2,9,1615,0
1,0,10,0,2,5,1615,0
1,0,10,0,2,16,1615,0
1,0,9,0,1,1,1077,0
1,0,90,0,3,10,1077,0
2,0,17,0,1,3,1077,0
1,0,26,0,1,9,1077,0
7,0,87,0,1,4,1077,0
1,0,16,0,3,5,1615,0
1,0,7,0,2,2,1615,0
2,0,43,0,2,5,1077,0
18,0,136,1,3,21,1077,0
6,0,62,0,3,19,1615,0
7,0,114,0,3,16,1615,0
1,0,14,0,1,4,1077,0
1,0,6,0,1,8,1077,0
3,0,31,0,1,5,1077,0
1,0,13,0,1,10,1077,0
13,0,120,0,2,14,1615,0
6,0,68,0,1,7,1077,0
2,0,64,0,3,16,1077,0
8,0,104,0,2,11,1077,0
6,0,91,0,2,3,1077,0
12,0,114,0,3,17,1077,1
1,0,5,0,1,3,1077,0
1,0,17,0,2,8,1077,0
1,0,9,0,2,6,1077,0
8,0,42,0,2,12,1615,0
1,0,19,0,3,24,1615,0
1,0,8,0,2,4,1077,0
1,0,6,0,2,7,1615,0
10,0,67,0,3,12,1615,1
8,0,54,0,3,10,1615,1
1,0,51,0,3,12,1615,0
12,0,74,0,2,10,1615,1
4,0,82,0,2,3,1077,0
6,0,74,0,3,8,1077,0
1,0,11,0,3,8,1077,0
1,0,5,0,1,4,1077,0
1,0,32,0,1,3,1077,0
17,0,179,0,3,11,1077,0
20,0,128,0,3,8,1077,0
1,0,4,0,3,5,1077,0
5,0,42,0,3,6,1077,0
1,0,11,0,3,7,1077,0
3,0,37,0,2,7,1077,0
1,0,5,0,3,6,1077,0
1,0,14,0,2,8,1615,0
1,0,14,0,2,8,1615,0
1,0,16,0,2,2,1615,0
13,0,70,0,1,3,1077,0
55,0,255,0,4,22,1615,0
5,0,14,0,2,6,1077,0
5,0,42,0,2,6,1077,0
11,0,66,0,2,4,1077,0
6,0,49,0,3,6,1077,0
5,0,99,0,3,7,1615,0
10,0,267,0,3,10,1077,1
1,0,33,0,1,3,1077,0
3,0,87,0,2,3,1077,0
3,0,81,0,2,4,1077,0
1,0,4,0,2,3,1615,0
5,0,119,0,2,4,1615,0
6,0,102,0,2,6,1615,0
1,0,5,0,2,6,1077,0
10,0,79,0,2,11,1077,0
3,0,13,0,2,3,1615,0
1,0,51,0,2,2,1615,0
1,0,20,0,2,6,1615,0
10,0,168,1,3,27,1615,0
38,0,188,0,4,21,1615,0
3,0,51,0,2,8,1077,0
37,0,402,0,4,29,1077,1
7,0,50,0,2,7,1077,0
1,0,27,0,1,2,1077,0
77,0,399,0,2,21,1077,0
46,0,301,1,3,26,1615,0
1,0,12,0,1,2,1077,0
49,0,288,4,3,40,1615,1
1,0,9,0,1,4,1077,0
14,0,196,0,2,7,1615,0
7,0,67,0,3,11,142,0
17,0,48,0,1,3,1077,0
7,0,26,0,1,2,1077,0
1,0,9,0,1,2,1077,0
1,0,15,0,1,4,1077,0
1,0,10,0,1,5,1077,0
1,0,19,0,2,7,1615,0
17,0,108,0,2,2,1615,0
7,0,46,0,1,2,1077,0
94,0,351,0,2,12,1077,1
1,0,4,0,1,1,1077,0
1,0,30,0,2,4,1615,0
1,0,24,0,2,3,1615,0
2,0,66,0,1,3,1077,0
1,0,12,0,1,3,1077,0
12,0,97,0,2,6,1615,0
23,0,186,0,2,9,1077,1
5,0,63,0,2,2,1615,0
9,0,187,0,2,3,1615,0
1,0,6,0,1,4,1077,0
1,0,9,0,1,4,1077,0
41,0,277,0,2,7,1615,0
54,0,222,0,2,13,1615,0
19,0,51,0,1,2,1077,0
3,0,62,0,1,2,1077,0
1,0,53,0,1,6,1077,0
7,0,182,0,3,18,1615,0
6,0,86,0,1,2,1077,0
6,0,71,0,1,4,1077,0
2,0,61,0,1,6,1077,0
23,0,138,0,2,7,1615,0
20,0,109,2,2,11,1615,1
16,0,101,1,2,9,1615,0
7,0,21,0,1,3,1077,0
25,0,86,0,1,5,1077,1
28,0,120,0,1,6,1077,0
6,0,71,1,2,7,1615,0
6,0,71,1,2,7,1615,0
1,0,5,0,1,2,1077,0
132,0,785,5,3,53,1615,1
3,0,135,0,2,3,1077,0
1,0,18,0,2,3,1077,0
14,0,47,0,1,4,1077,0
6,0,48,1,2,7,1615,0
1,0,19,0,2,3,1615,0
8,0,62,0,1,4,1077,0
8,0,130,0,2,3,1077,0
3,0,91,0,2,3,1077,0
18,0,149,1,2,18,1077,0
1,0,4,0,1,1,1077,0
4,0,74,0,1,2,1077,0
2,0,31,0,1,2,1077,0
1,0,6,0,1,2,1077,0
1,0,30,0,1,2,1077,0
7,0,57,0,1,1,1077,0
15,0,183,0,3,11,142,0
9,0,55,0,3,19,1615,0
1,0,15,0,1,1,1077,0
1,0,28,0,1,2,1077,0
8,0,79,0,3,10,1615,0
15,0,184,0,1,8,1077,0
3,0,49,0,2,5,1615,0
4,0,40,1,2,7,1615,0
4,0,40,1,2,7,1615,0
5,0,81,0,2,10,1615,0
43,0,184,0,1,10,1077,0
24,0,95,0,2,12,1615,0
1,0,25,0,1,2,1077,0
9,0,71,0,4,11,1077,0
4,0,72,0,2,5,1077,0
1,0,24,0,2,10,1077,0
5,0,30,0,2,4,1077,0
16,0,64,0,1,1,1077,0
26,0,85,0,1,1,1077,0
5,0,19,0,1,1,1077,0
20,0,270,0,1,2,1077,0
4,0,9,0,1,1,1077,0
1,0,4,0,1,1,1077,0
7,0,56,0,1,1,1077,0
9,0,109,0,1,4,1077,0
1,0,9,0,1,1,1077,0
7,0,55,0,1,1,1077,0
5,0,42,0,1,3,1077,0
1,0,32,0,1,1,1077,0
3,0,14,0,1,1,1077,0
5,0,55,0,1,1,1077,0
20,0,75,0,1,2,1077,0
12,0,137,0,1,2,1077,0
1,0,4,0,1,3,1077,0
1,0,4,0,1,3,1077,0
4,0,32,0,1,3,1077,0
1,0,28,0,1,1,1077,0
3,0,47,0,1,1,1077,0
17,0,108,0,3,6,1077,0
6,0,62,0,1,1,1077,0
10,0,34,0,1,1,1077,0
6,0,18,0,1,1,1077,0
30,0,156,1,2,10,1077,0
12,0,164,1,3,22,1615,0
6,0,89,0,3,16,1077,0
2,0,34,0,2,2,1615,0
1,0,10,0,3,8,1615,0
35,0,263,0,2,3,1615,0
1,0,6,0,3,3,1615,0
4,0,68,0,2,2,1615,0
1,0,13,0,3,3,1615,0
1,0,16,0,2,4,1077,0
1,0,18,0,2,4,1077,0
1,0,14,0,2,6,1615,0
1,0,8,0,2,4,1615,0
1,0,12,0,2,4,1077,0
4,0,62,0,3,8,1615,0
2,0,25,0,2,4,1077,0
1,0,10,0,2,6,1615,0
34,0,301,0,3,20,1615,0
1,0,9,0,2,6,1615,0
11,0,96,0,3,12,1615,0
23,0,267,0,2,19,1077,0
2,0,34,0,2,4,1077,0
7,0,49,0,2,6,1077,0
5,0,91,0,3,16,1615,0
12,0,141,0,2,9,1077,0
1,0,16,0,2,4,1077,0
1,0,50,0,3,13,1615,0
1,0,4,0,1,1,1077,0
1,0,13,0,1,1,1077,0
23,0,135,0,1,3,1077,0
1,0,13,0,1,1,1077,0
58,0,336,0,2,12,1077,0
19,0,117,0,2,7,1077,0
22,0,175,0,2,7,1077,0
2,0,18,0,2,9,1615,0
1,0,9,0,2,2,1615,0
7,0,25,0,2,2,1615,0
1,0,21,0,2,3,1615,0
3,0,35,0,2,2,1615,0
1,0,13,0,2,5,1615,0
1,0,51,1,3,16,1615,0
3,0,35,0,1,1,1077,0
1,0,14,0,1,1,1077,0
18,0,53,0,1,3,1077,0
8,0,44,0,1,1,1077,1
4,0,28,0,1,1,1077,0
4,0,27,0,1,1,1077,0
6,0,37,0,2,4,1615,0
4,0,37,0,1,2,1077,0
1,0,22,0,1,1,1077,0
14,0,88,0,1,1,1077,0
4,0,55,0,1,1,1077,0
4,0,36,0,1,1,1077,0
14,0,79,0,2,4,1615,0
1,0,35,0,1,3,1077,0
1,0,22,0,1,2,1077,0
1,0,22,0,1,2,1077,0
3,0,32,0,1,3,1077,0
10,0,56,0,1,4,1077,0
3,0,28,1,1,2,1077,0
1,0,8,1,1,2,1077,0
1,0,30,1,1,2,1077,0
10,0,79,0,2,2,1615,0
1,0,11,0,2,3,1615,0
2,0,199,0,2,9,1615,0
7,0,67,0,2,10,1615,0
5,0,83,0,1,5,1077,0
5,0,34,0,1,6,1077,0
17,0,75,0,1,4,1077,0
1,0,23,0,1,4,1077,0
5,0,70,0,1,7,1077,0
1,0,12,0,1,2,1077,0
1,0,6,0,1,2,1077,0
14,0,70,0,1,2,1077,0
6,0,43,0,1,3,1077,0
1,0,11,0,1,3,1077,0
1,0,10,0,1,1,1077,0
11,0,74,0,1,3,1077,0
1,0,18,0,1,1,1077,0
8,0,31,1,2,5,1615,0
7,0,30,1,2,5,1615,0
3,0,32,1,2,6,1615,0
4,0,28,0,2,6,1615,0
6,0,56,1,2,6,1615,0
8,0,58,1,2,6,1615,0
3,0,16,0,2,2,1615,0
5,0,18,0,2,2,1615,0
14,0,42,0,2,2,1615,0
7,0,30,0,2,5,1615,0
5,0,29,0,2,5,1615,0
7,0,30,1,2,5,1615,0
5,0,38,0,2,3,1615,0
1,0,41,0,2,2,1615,0
1,0,22,0,2,3,1615,0
2,0,76,0,3,9,1615,0
15,0,153,0,3,14,1615,0
5,0,42,0,1,1,1615,0
91,0,432,2,3,28,1077,0
1,0,50,0,1,9,1077,0
87,0,393,1,2,15,1077,0
1,0,20,1,1,5,1077,0
15,0,125,0,1,4,1077,0
1,0,43,0,1,8,1077,0
10,0,57,0,2,2,1077,0
4,0,112,0,1,1,1615,0
1,0,8,0,1,1,1615,0
1,0,14,0,1,1,1615,0
1,0,32,0,1,1,1615,0
1,0,8,0,2,3,1077,0
1,0,8,0,1,1,1615,0
