McCC,CLOC,LLOC,Number of previous fixes,Number of previous modifications,Number of developer commits,Number of committers,target
2,0,33,0,11,1649,2,0
1,0,17,0,4,4057,1,0
1,0,21,0,3,4057,2,0
7,0,143,0,7,4057,2,0
5,0,45,0,16,1649,2,0
5,0,46,0,18,1649,2,0
2,0,62,0,7,4057,3,0
1,0,1,0,1,4,1,0
15,0,90,0,2,4057,2,0
8,0,55,1,4,4057,3,0
2,0,67,0,1,1649,1,0
14,0,147,0,1,1649,1,0
2,0,63,0,1,1649,1,0
4,0,45,0,3,4057,3,0
2,0,40,0,1,1649,1,0
3,0,24,1,3,1,3,0
1,0,59,1,3,1649,2,0
2,0,63,0,1,1649,1,0
18,0,85,0,1,1649,1,0
15,0,112,1,6,1649,4,0
2,0,70,0,1,1649,1,0
5,0,117,0,2,4057,2,0
1,0,1,0,1,1649,1,0
9,0,50,0,2,4057,2,0
2,0,36,0,2,1,2,0
2,0,81,1,5,1649,3,0
9,0,50,0,2,4057,2,0
1,0,1,0,1,1649,1,0
3,0,24,0,1,4057,1,0
1,0,22,0,1,4057,1,0
45,0,272,0,3,27,2,0
36,0,216,0,1,4057,1,0
1,0,15,0,2,4057,1,0
3,0,25,0,2,4057,1,0
15,0,107,0,2,4057,1,0
1,0,1,0,1,4057,1,0
5,0,761,0,1,4057,1,0
100,0,735,0,17,86,4,0
66,0,577,0,10,86,3,1
66,0,486,0,6,86,3,1
36,0,367,0,8,86,3,0
50,0,365,0,1,86,1,1
3,0,46,0,1,86,1,1
5,0,51,0,1,86,1,1
14,0,120,0,3,86,1,0
37,0,350,0,7,86,3,0
7,0,63,0,1,86,1,0
1,0,122,0,6,86,2,0
1,0,4,0,1,86,1,0
4,0,69,0,4,86,2,0
8,0,110,0,8,86,3,1
1,0,43,0,7,86,1,1
1,0,27,0,2,86,1,0
1,0,23,0,2,86,1,0
1,0,28,0,1,86,1,0
13,0,116,0,3,86,2,0
1,0,55,0,3,86,1,0
4,0,94,0,4,86,1,1
1,0,26,0,4,86,2,0
1,0,12,0,3,86,1,0
1,0,15,0,1,86,1,0
1,0,36,0,3,86,2,0
9,0,125,0,2,4057,2,1
1,0,7,0,1,86,1,1
1,0,7,0,1,86,1,0
1,0,11,0,3,86,1,0
3,0,116,0,3,86,1,0
9,0,80,0,3,86,1,0
1,0,14,0,5,86,2,0
3,0,105,0,3,86,2,0
4,0,100,0,4,86,2,0
17,0,90,0,6,86,3,1
1,0,45,0,3,86,1,0
1,0,16,0,1,86,1,0
1,0,8,0,2,4057,2,0
1,0,1,0,1,86,1,0
1,0,316,0,5,86,1,0
2,0,286,0,8,86,3,0
3,0,48,0,2,4057,2,0
1,0,86,0,5,86,3,0
1,0,346,0,6,86,2,0
1,0,499,0,14,86,4,0
2,0,196,0,12,86,3,0
2,0,350,0,6,86,3,0
1,0,69,0,1,86,1,0
1,0,32,0,2,86,1,0
2,0,21,0,1,4057,1,0
14,0,70,2,16,4057,3,0
1,0,65,2,5,4057,2,0
1,0,28,1,16,4057,4,0
56,0,215,8,27,1649,3,0
24,0,59,2,9,4057,4,0
1,0,16,0,5,72,2,0
57,0,291,7,20,4057,4,0
2,0,95,0,11,4057,2,1
2,0,90,0,12,4057,2,1
2,0,61,0,13,4057,2,0
31,0,215,1,16,4057,3,0
4,0,55,0,24,4057,3,1
2,0,18,0,7,4057,3,0
5,0,67,0,22,4057,3,1
3,0,48,0,21,4057,3,1
6,0,91,0,13,4057,2,0
1,0,58,0,1,4057,1,0
1,0,15,1,7,4057,3,0
1,0,21,1,6,4057,2,0
1,0,19,1,6,4057,2,0
4,0,43,0,2,1649,2,1
19,0,135,4,39,4057,4,0
13,0,119,0,4,4057,2,0
1,0,17,0,3,72,2,0
1,0,17,0,7,4057,2,0
26,0,102,2,21,4057,3,0
28,0,156,10,54,4057,4,0
6,0,29,0,14,1649,3,0
32,0,205,17,71,4057,3,0
3,0,51,0,10,4057,5,0
1,0,148,1,39,1,4,0
4,0,47,0,1,4057,1,0
31,0,143,0,2,4057,1,0
1,0,6,0,27,4057,4,0
12,0,100,0,14,4057,3,0
1,0,3,0,7,4057,3,0
12,0,294,5,37,1649,3,1
102,0,540,5,36,4057,3,1
31,0,135,1,24,10,5,1
1,0,9,0,18,4057,4,0
1,0,30,0,14,1649,3,0
8,0,46,2,22,1649,3,0
1,0,7,0,17,4057,4,0
1,0,31,2,17,27,4,0
2,0,17,0,20,4057,4,0
72,0,296,0,13,4057,5,0
1,0,21,0,16,86,4,0
21,0,208,0,3,4057,2,0
23,0,152,1,14,4057,3,0
1,0,77,2,13,4057,2,0
1,0,1,0,6,4057,2,0
50,0,226,4,29,4057,4,0
9,0,71,0,16,4057,4,0
25,0,120,3,17,4057,3,0
1,0,1,0,5,4057,2,0
1,0,99,0,9,4057,3,0
4,0,48,0,9,4057,3,0
3,0,28,0,6,1649,2,0
1,0,15,0,4,4057,2,0
1,0,30,0,13,1649,3,0
1,0,22,0,15,4057,3,0
1,0,34,0,14,27,4,0
1,0,22,0,16,4057,3,0
18,0,90,0,8,4057,3,0
3,0,17,0,6,4057,2,0
5,0,105,0,33,4057,3,0
2,0,50,0,19,4057,3,0
4,0,83,0,6,4057,3,0
2,0,70,0,20,4057,4,0
1,0,26,0,16,4057,3,0
1,0,44,0,17,4057,3,0
11,0,153,0,20,4057,3,0
2,0,30,0,4,4057,2,0
1,0,40,0,15,4057,3,0
5,0,91,0,18,4057,3,0
3,0,49,0,11,4057,3,0
1,0,1,0,10,4057,3,0
10,0,270,0,30,4057,4,0
1,0,24,0,27,4057,3,0
1,0,3,0,1,0,0,0
13,0,242,0,31,4057,3,1
68,0,349,1,60,18,5,0
1,0,19,0,1,0,0,0
11,0,125,2,68,4057,5,0
1,0,7,0,20,4057,3,0
1,0,10,0,3,2,1,0
2,0,17,1,4,4057,3,0
15,0,91,1,8,4057,3,0
49,0,234,1,9,4057,3,0
10,0,65,1,7,4057,3,0
11,0,86,1,11,4057,2,0
9,0,69,1,9,4057,3,0
1,0,35,1,30,4057,5,0
1,0,12,0,18,4057,3,0
1,0,10,0,22,1649,3,0
29,0,235,1,54,1649,4,0
20,0,154,2,46,4057,5,1
1,0,13,0,21,4057,4,0
8,0,40,2,22,4057,3,0
10,0,97,3,35,1649,5,0
1,0,5,0,17,4057,3,0
1,0,14,0,14,4057,3,0
1,0,9,0,18,4057,3,0
39,0,276,1,28,4057,3,0
114,0,521,8,82,4057,6,0
6,0,54,0,11,4057,3,0
1,0,25,0,21,4057,3,0
1,0,7,0,4,4057,2,0
16,0,94,0,16,4057,3,0
1,0,9,0,15,1649,3,0
1,0,15,0,19,4057,3,0
1,0,16,0,7,4057,2,0
1,0,7,0,14,4057,3,0
11,0,222,0,6,4057,2,0
24,0,148,0,7,4057,3,0
1,0,1,0,1,34,1,0
55,0,332,2,22,4057,4,0
8,0,97,1,16,4057,4,1
37,0,227,4,21,4057,5,0
1,0,18,0,9,4057,3,0
5,0,34,0,7,4057,3,0
17,0,179,0,16,4057,5,1
12,0,156,0,17,27,5,1
13,0,172,0,15,27,4,1
1,0,21,0,9,4057,3,0
1,0,41,0,13,4057,4,1
1,0,14,0,9,4057,5,1
8,0,102,0,7,4057,2,0
242,0,1212,1,7,4057,4,1
18,0,192,5,44,4057,7,1
103,0,765,5,42,4057,9,1
79,0,451,0,7,4057,4,1
1,0,17,0,6,4057,3,0
1,0,17,0,2,4057,2,1
12,0,119,1,13,4057,3,0
11,0,127,0,14,4057,4,1
11,0,141,0,13,4057,3,1
16,0,235,0,13,4057,4,1
13,0,254,1,14,4057,4,1
1,0,1,0,1,71,1,0
1,0,42,1,15,4057,3,0
7,0,83,1,22,27,5,0
3,0,56,1,18,1649,3,0
1,0,1,0,10,4057,3,0
1,0,42,1,15,4057,3,0
1,0,42,1,15,4057,3,0
3,0,59,1,16,1,4,0
14,0,58,0,1,1,1,0
4,0,54,0,1,1649,1,0
13,0,82,1,31,1,5,0
7,0,65,0,20,1649,3,1
1,0,6,0,1,71,1,0
1,0,6,0,1,71,1,0
68,0,270,5,50,1,6,0
25,0,115,3,36,27,5,0
1,0,6,0,10,72,4,0
1,0,6,0,6,72,2,0
13,0,137,3,38,4057,5,0
21,0,140,15,56,4057,5,0
16,0,98,3,19,4057,3,0
16,0,98,16,57,4057,5,0
18,0,105,14,59,4057,6,0
5,0,34,0,18,4057,4,0
5,0,54,1,7,1,3,0
4,0,42,0,10,4057,2,0
1,0,50,1,13,4057,3,0
7,0,51,2,9,4057,2,0
1,0,4,0,2,4057,2,0
1,0,5,0,2,4057,2,0
1,0,10,0,5,72,2,0
3,0,22,0,5,1649,2,0
17,0,144,5,52,4057,6,0
11,0,87,3,49,4057,6,0
7,0,62,1,20,4057,3,0
7,0,61,3,45,4057,6,0
7,0,61,3,46,4057,6,0
5,0,57,0,20,4057,4,0
7,0,98,2,32,1,6,0
7,0,77,0,23,4057,5,0
4,0,44,1,13,1649,4,0
5,0,23,0,7,71,3,0
1,0,1,0,1,1,1,0
1,0,3,0,1,1,1,0
15,0,80,0,1,1,1,0
1,0,5,0,1,1,1,0
1,0,9,0,1,1,1,0
3,0,23,0,1,1,1,0
1,0,5,0,1,1,1,0
1,0,5,0,1,1,1,0
15,0,78,0,1,1,1,0
1,0,4,0,1,1,1,0
19,0,90,0,1,1,1,0
1,0,4,0,1,1,1,0
18,0,99,0,1,1,1,0
16,0,101,0,1,1,1,0
7,0,60,0,1,1,1,0
6,0,58,0,1,1,1,0
1,0,1,0,1,1,1,0
4,0,26,0,1,1,1,0
5,0,27,0,1,1,1,0
25,0,133,0,2,27,2,0
9,0,40,0,1,1,1,0
10,0,40,0,1,1,1,0
21,0,131,0,2,27,2,0
1,0,11,0,1,1,1,0
1,0,8,0,1,1,1,0
4,0,407,5,24,4057,4,0
4,0,104,2,15,1649,4,0
4,0,20,0,3,4057,2,0
7,0,89,0,3,4057,2,0
11,0,98,1,16,1649,4,0
5,0,231,2,15,4057,3,0
1,0,189,4,11,4057,2,0
1,0,34,0,8,4057,4,0
1,0,34,0,1,4057,1,0
2,0,88,0,19,4057,3,0
4,0,243,1,24,1649,3,0
7,0,173,0,8,4057,3,0
1,0,62,1,6,1649,3,0
13,0,404,3,16,4057,2,0
1,0,84,0,2,4057,2,0
4,0,76,4,15,4057,3,0
4,0,221,3,12,1649,4,0
1,0,38,0,1,1,1,0
11,0,1152,1,17,4057,3,0
4,0,409,1,3,1649,1,0
4,0,174,1,3,1649,1,0
20,0,272,2,51,4057,6,0
1,0,96,0,5,4057,2,0
3,0,239,0,8,4057,2,0
2,0,56,0,4,4057,3,0
8,0,235,2,12,85,6,0
4,0,161,0,4,4057,2,0
1,0,12,0,1,34,1,0
5,0,114,1,7,4057,2,0
7,0,102,0,9,1649,5,0
3,0,61,0,25,1649,4,0
3,0,59,0,19,1649,4,0
3,0,59,0,19,1649,4,0
2,0,126,0,30,4057,5,0
1,0,180,0,1,1,1,0
4,0,87,0,1,1,1,0
1,0,121,0,1,1,1,0
1,0,49,0,1,1,1,0
1,0,45,0,1,1,1,0
1,0,58,0,1,1,1,0
1,0,113,0,1,1,1,0
1,0,74,0,1,1,1,0
1,0,131,0,2,1649,2,0
1,0,111,0,1,1,1,0
1,0,96,0,1,1,1,0
1,0,136,0,1,1,1,0
2,0,18,0,2,4057,1,0
1,0,36,0,2,4057,2,0
1,0,4,0,1,23,1,0
15,0,60,0,1,23,1,0
1,0,39,0,3,4057,2,0
2,0,61,0,6,4057,2,0
1,0,15,0,3,4057,2,0
1,0,68,0,4,4057,2,0
1,0,17,0,5,4057,2,0
1,0,12,0,3,4057,2,0
1,0,3,0,2,4057,2,0
1,0,1,0,1,23,1,0
23,0,148,1,6,4057,2,0
5,0,31,0,3,4057,2,0
7,0,157,0,5,4057,2,0
8,0,63,0,5,4057,2,0
1,0,33,0,6,4057,2,0
3,0,53,1,6,4057,2,0
1,0,40,0,1,4057,1,0
1,0,13,0,6,4057,2,0
1,0,30,1,5,4057,2,0
1,0,17,0,4,4057,2,0
1,0,13,0,6,4057,2,0
1,0,30,1,5,4057,2,0
1,0,17,0,4,4057,2,0
1,0,16,0,2,4057,1,0
1,0,11,0,5,4057,2,0
1,0,48,0,7,4057,2,0
1,0,48,0,7,4057,2,0
4,0,76,0,6,4057,2,0
4,0,76,0,6,4057,2,0
1,0,16,0,3,4057,2,0
1,0,16,0,3,4057,2,0
1,0,1,0,1,23,1,0
4,0,162,0,10,4057,2,0
1,0,116,0,6,23,2,0
1,0,45,0,7,4057,2,0
25,0,72,0,1,4057,1,0
1,0,10,0,2,1,2,0
1,0,18,0,2,1,2,0
1,0,17,0,1,1,1,0
1,0,47,0,1,1,1,0
2,0,33,0,2,1,2,0
1,0,74,0,1,1,1,0
53,0,349,0,3,27,3,0
45,0,294,0,2,1,2,0
1,0,47,0,2,1,2,0
4,0,49,0,1,1,1,0
15,0,56,0,2,1,2,0
3,0,24,0,2,1,2,0
3,0,32,0,2,1,2,0
1,0,10,0,1,1,1,0
2,0,68,0,1,1,1,0
1,0,24,0,1,1,1,0
3,0,21,0,1,4057,1,0
1,0,17,0,1,1,1,0
6,0,41,0,2,1,2,0
1,0,17,0,1,1,1,0
2,0,23,0,1,1,1,0
1,0,24,0,2,1,2,0
1,0,10,0,1,1,1,0
1,0,17,0,1,1,1,0
2,0,23,0,1,1,1,0
1,0,5,0,1,1,1,0
1,0,1,0,1,1,1,0
3,0,327,0,2,1,2,0
1,0,1,0,4,4057,2,0
3,0,22,0,4,4057,2,0
7,0,45,0,5,4057,2,0
5,0,46,1,11,4057,2,0
2,0,21,0,6,4057,2,0
4,0,37,1,11,4057,2,0
3,0,22,0,4,4057,2,0
3,0,20,0,4,4057,2,0
16,0,86,2,11,4057,2,0
9,0,71,1,12,4057,2,0
20,0,106,2,8,4057,3,0
9,0,70,1,12,4057,3,0
3,0,28,0,4,4057,2,0
3,0,22,0,4,4057,2,0
9,0,65,0,2,4057,2,0
3,0,25,0,5,4057,2,0
5,0,43,1,11,4057,2,0
2,0,20,0,5,4057,2,0
4,0,37,1,11,4057,2,0
2,0,19,0,6,4057,2,0
1,0,12,0,3,4057,2,0
1,0,6,0,2,1649,2,0
3,0,21,0,4,4057,2,0
2,0,14,0,4,1649,2,0
1,0,7,0,2,1649,2,0
2,0,14,0,4,1649,2,0
1,0,7,0,2,1649,2,0
3,0,20,0,4,4057,2,0
1,0,10,0,2,4057,2,0
1,0,10,0,2,4057,2,0
1,0,19,0,4,4057,2,0
7,0,61,0,1,1649,1,0
2,0,25,0,10,4057,3,0
2,0,13,1,2,1649,1,0
12,0,86,1,11,1649,3,0
9,0,66,1,5,1649,3,0
6,0,53,0,13,4057,4,0
5,0,103,1,5,1649,3,0
1,0,13,0,2,4057,2,0
2,0,13,0,2,4,2,0
2,0,13,0,1,1649,1,0
1,0,41,0,1,4057,1,0
2,0,71,0,2,4057,1,0
2,0,69,0,3,27,3,0
1,0,56,0,1,4057,1,0
2,0,36,0,3,4057,1,0
1,0,68,0,1,4057,1,0
1,0,1,0,2,1,2,0
1,0,17,0,2,1,2,0
1,0,8,0,2,1,2,0
1,0,17,0,1,4057,1,0
1,0,15,0,2,1,2,0
1,0,45,0,4,4057,2,0
1,0,5,0,1,4057,1,0
1,0,3,0,2,4057,1,0
1,0,47,0,4,27,2,0
38,0,219,0,3,27,2,0
5,0,47,0,2,4057,1,0
1,0,78,0,2,4057,1,0
1,0,102,0,2,4057,1,0
1,0,39,0,2,4057,1,0
1,0,30,0,3,4057,2,0
19,0,179,4,20,4057,3,0
14,0,164,4,14,4057,3,0
1,0,1,0,6,4057,3,0
1,0,25,0,11,72,4,0
1,0,35,3,15,4057,3,0
1,0,17,1,6,4057,2,0
11,0,112,0,10,4057,3,0
2,0,42,0,15,17,4,0
1,0,18,0,7,72,3,0
1,0,35,3,11,4057,3,0
1,0,1,0,1,1649,1,0
4,0,33,0,10,4057,3,0
8,0,41,0,10,4057,3,0
3,0,19,0,4,4057,3,0
1,0,18,0,6,4057,3,0
35,0,323,2,22,1649,5,0
12,0,183,2,14,1649,4,0
1,0,1,0,1,72,1,0
42,0,379,2,18,1649,5,0
25,0,243,2,16,1649,5,0
1,0,1,0,1,72,1,0
1,0,22,0,2,1649,2,0
1,0,6,0,2,1649,2,0
1,0,6,0,2,1649,2,0
1,0,4,0,2,1649,2,0
1,0,18,0,5,1649,3,0
1,0,4,0,2,1649,2,0
1,0,3,0,2,1649,2,0
1,0,1,0,4,1649,2,0
1,0,6,0,2,1649,2,0
1,0,33,0,7,1649,3,0
1,0,27,0,5,1649,3,0
1,0,5,0,2,1649,2,0
1,0,29,0,5,1649,3,0
1,0,6,0,2,1649,2,0
1,0,6,0,2,1649,2,0
1,0,18,0,3,1649,2,0
5,0,48,0,2,4057,1,0
1,0,6,0,4,4057,2,0
1,0,5,0,2,4057,2,0
10,0,109,0,4,4057,2,1
1,0,1,0,2,28,2,0
5,0,28,0,1,4057,1,0
2,0,30,0,1,4057,1,0
34,0,325,0,42,4057,4,0
1,0,16,0,10,4057,5,1
1,0,1,0,4,4057,2,0
14,0,107,1,6,4057,2,0
9,0,133,1,5,4057,2,0
18,0,142,2,7,4057,3,0
7,0,212,0,3,4057,2,0
5,0,125,0,3,86,2,0
1,0,17,0,4,72,3,0
2,0,38,1,2,86,2,0
98,0,653,1,6,86,2,1
30,0,229,1,5,27,3,0
1,0,44,1,2,86,2,0
1,0,1,0,1,4057,1,0
11,0,107,1,3,86,2,0
8,0,134,1,4,4057,2,1
145,0,794,47,161,86,6,1
2,0,20,0,3,4057,2,0
1,0,5,1,2,86,2,0
8,0,87,0,9,1649,2,1
1,0,7,0,7,1649,2,1
12,0,100,0,10,4057,2,1
11,0,81,0,9,4057,2,1
8,0,71,0,7,4057,2,1
42,0,267,19,75,2,4,1
1,0,1,0,1,4057,1,0
1,0,22,0,5,4057,2,0
28,0,253,4,37,1649,4,0
1,0,1,0,1,4057,1,0
1,0,6,0,2,4057,1,0
14,0,114,1,23,1649,3,0
1,0,10,0,2,4057,1,0
1,0,6,0,2,4057,1,0
7,0,64,4,27,1649,3,0
18,0,161,9,42,4057,5,1
2,0,28,2,15,1649,4,1
3,0,38,0,12,1649,4,1
1,0,1,0,9,4057,4,0
11,0,161,1,15,1649,4,1
1,0,31,1,2,86,2,0
15,0,125,1,4,4057,3,0
1,0,37,1,2,86,2,0
3,0,49,1,3,86,2,0
1,0,1,1,2,86,2,0
8,0,117,1,2,86,2,0
6,0,67,1,4,4057,3,0
1,0,61,1,2,86,2,0
4,0,100,0,2,4057,2,0
4,0,250,0,5,4057,2,0
1,0,19,1,2,4057,2,0
2,0,39,2,2,4057,1,0
8,0,155,1,23,4057,3,0
8,0,73,2,2,4057,1,0
19,0,97,1,7,4057,2,0
1,0,11,0,4,4057,2,0
1,0,21,1,8,4057,2,0
1,0,5,0,9,86,3,0
5,0,53,0,5,4057,2,0
1,0,5,1,1,4057,1,0
6,0,34,1,2,4057,1,0
22,0,149,1,11,4057,3,0
70,0,471,6,49,1649,6,0
2,0,20,0,1,4057,1,0
101,0,432,2,16,4057,3,1
1,0,1,0,4,4057,2,0
31,0,263,0,11,27,4,1
1,0,10,0,3,4057,1,0
13,0,97,2,6,1649,2,0
1,0,6,0,3,4057,1,0
37,0,276,0,27,4057,2,0
1,0,4,0,1,4057,1,0
3,0,65,2,9,4057,2,0
24,0,147,3,6,4057,1,0
1,0,8,0,7,4057,4,0
1,0,7,0,3,4057,1,0
1,0,5,0,2,4057,1,0
17,0,134,0,3,4057,2,0
60,0,330,1,5,2,3,1
1,0,20,0,1,86,1,0
1,0,1,0,1,86,1,0
2,0,164,0,1,4057,1,0
1,0,102,1,10,4057,2,0
1,0,75,1,4,4057,2,0
4,0,26,0,2,4057,2,0
1,0,14,0,1,1649,1,0
8,0,97,0,5,1649,2,0
