McCC,CLOC,PDA,PUA,LLOC,LOC,ID.1,LongName.1,Parent.1,McCC.1,CLOC.1,LLOC.1,Number of previous fixes,Number of developer commits,Number of committers,Number of previous modifications,target
1,0,1,4,20,51,3030,47,723,1.0,0.0,20.0,1.0,1466.0,2.0,2.0,0
66,0,8,1,455,778,3031,48,723,66.0,0.0,455.0,1.0,1466.0,2.0,3.0,0
82,0,8,15,639,1053,232,49,50,82.0,0.0,639.0,1.0,1466.0,3.0,8.0,1
12,0,4,1,105,264,233,50,50,12.0,0.0,105.0,1.0,1466.0,2.0,4.0,0
28,0,1,2,120,162,281,51,64,28.0,0.0,120.0,4.0,1466.0,4.0,17.0,1
4,0,3,7,67,116,292,52,70,4.0,0.0,67.0,0.0,4735.0,1.0,1.0,1
10,0,0,5,101,144,293,53,70,10.0,0.0,101.0,1.0,4735.0,3.0,9.0,1
6,0,1,12,57,95,294,54,70,6.0,0.0,57.0,2.0,1466.0,2.0,7.0,0
4,0,1,1,20,45,295,55,70,4.0,0.0,20.0,1.0,1466.0,2.0,2.0,0
1,0,1,5,60,97,397,56,92,1.0,0.0,60.0,1.0,1466.0,2.0,3.0,0
16,0,9,0,78,156,398,57,92,16.0,0.0,78.0,1.0,1466.0,1.0,2.0,0
1,0,1,2,9,37,399,58,92,1.0,0.0,9.0,1.0,1466.0,1.0,2.0,0
1,0,1,4,17,45,400,59,92,1.0,0.0,17.0,1.0,1466.0,1.0,2.0,0
1,0,1,3,12,39,401,60,92,1.0,0.0,12.0,1.0,1466.0,1.0,2.0,0
1,0,1,3,12,38,402,61,92,1.0,0.0,12.0,1.0,1466.0,1.0,2.0,0
1,0,1,3,14,42,403,62,92,1.0,0.0,14.0,1.0,1466.0,1.0,2.0,0
1,0,1,2,9,36,404,63,92,1.0,0.0,9.0,1.0,1466.0,1.0,2.0,0
1,0,1,1,4,29,405,64,92,1.0,0.0,4.0,1.0,1466.0,1.0,2.0,0
16,0,1,6,81,114,406,65,92,16.0,0.0,81.0,3.0,1466.0,3.0,7.0,1
66,0,3,14,336,408,407,66,92,66.0,0.0,336.0,1.0,1466.0,8.0,83.0,1
1,0,1,1,9,36,409,67,94,1.0,0.0,9.0,1.0,1466.0,3.0,7.0,0
1,0,7,0,15,99,410,68,94,1.0,0.0,15.0,1.0,31.0,3.0,6.0,0
1,0,3,0,5,39,411,69,94,1.0,0.0,5.0,1.0,1466.0,2.0,3.0,0
5,0,2,1,257,312,412,70,94,5.0,0.0,257.0,1.0,762.0,9.0,27.0,0
1,0,3,3,31,77,413,71,94,1.0,0.0,31.0,1.0,1466.0,3.0,6.0,0
1,0,4,5,44,90,415,72,94,1.0,0.0,44.0,1.0,1466.0,4.0,8.0,0
3,0,1,5,31,63,417,73,94,3.0,0.0,31.0,1.0,1466.0,2.0,4.0,0
1,0,1,2,15,43,418,74,94,1.0,0.0,15.0,1.0,1466.0,2.0,4.0,0
1,0,1,2,12,40,419,75,94,1.0,0.0,12.0,1.0,1466.0,2.0,4.0,0
1,0,4,2,24,68,420,76,94,1.0,0.0,24.0,1.0,1466.0,3.0,4.0,0
1,0,3,0,5,39,421,77,94,1.0,0.0,5.0,1.0,1466.0,2.0,3.0,0
1,0,1,4,19,47,422,78,94,1.0,0.0,19.0,2.0,1466.0,2.0,4.0,0
1,0,1,1,6,31,425,79,94,1.0,0.0,6.0,1.0,1466.0,2.0,3.0,0
1,0,1,1,7,33,426,80,94,1.0,0.0,7.0,1.0,1466.0,2.0,4.0,0
1,0,1,5,27,60,427,81,94,1.0,0.0,27.0,1.0,1466.0,3.0,5.0,0
1,0,5,0,10,54,428,82,94,1.0,0.0,10.0,1.0,1466.0,3.0,4.0,0
15,0,3,6,70,115,429,83,94,15.0,0.0,70.0,1.0,1466.0,2.0,4.0,0
1,0,1,2,12,38,430,84,94,1.0,0.0,12.0,1.0,1466.0,2.0,4.0,1
3,0,1,3,59,95,431,85,94,3.0,0.0,59.0,1.0,1466.0,4.0,9.0,1
2,0,1,2,20,47,432,86,94,2.0,0.0,20.0,1.0,1466.0,3.0,6.0,0
2,0,1,1,10,35,433,87,94,2.0,0.0,10.0,1.0,1466.0,3.0,3.0,0
9,0,1,3,39,72,434,88,94,9.0,0.0,39.0,1.0,1466.0,2.0,4.0,0
1,0,1,1,13,40,544,89,138,1.0,0.0,13.0,1.0,1466.0,3.0,4.0,0
1,0,1,2,18,46,558,90,141,1.0,0.0,18.0,1.0,1466.0,3.0,3.0,0
10,0,2,20,143,196,559,91,141,10.0,0.0,143.0,1.0,474.0,6.0,12.0,0
1,0,2,10,56,96,560,92,141,1.0,0.0,56.0,1.0,474.0,6.0,9.0,0
25,0,4,17,248,324,561,93,141,25.0,0.0,248.0,2.0,1466.0,4.0,9.0,0
4,0,1,2,26,55,562,94,141,4.0,0.0,26.0,1.0,1466.0,2.0,4.0,0
26,0,1,17,221,294,563,95,141,26.0,0.0,221.0,1.0,1466.0,4.0,9.0,0
1,0,1,9,65,111,564,96,141,1.0,0.0,65.0,1.0,1466.0,3.0,4.0,0
41,0,1,1,187,234,565,97,141,41.0,0.0,187.0,2.0,474.0,8.0,19.0,0
1,0,1,5,33,65,769,98,229,1.0,0.0,33.0,1.0,1466.0,3.0,3.0,0
1,0,1,2,18,46,770,99,229,1.0,0.0,18.0,1.0,1466.0,2.0,2.0,0
1,0,2,10,60,101,771,100,229,1.0,0.0,60.0,1.0,1466.0,3.0,6.0,0
1,0,1,4,27,56,772,101,229,1.0,0.0,27.0,1.0,1466.0,3.0,5.0,0
3,0,1,3,29,59,773,102,229,3.0,0.0,29.0,1.0,1466.0,2.0,2.0,0
4,0,1,1,96,137,774,103,229,4.0,0.0,96.0,2.0,1466.0,2.0,7.0,0
23,0,10,8,229,312,832,104,239,23.0,0.0,229.0,1.0,4735.0,6.0,16.0,0
1,0,1,2,18,46,833,105,239,1.0,0.0,18.0,1.0,1466.0,3.0,3.0,0
1,0,22,3,134,251,834,106,239,1.0,0.0,134.0,1.0,244.0,5.0,12.0,0
1,0,11,2,58,126,835,107,239,1.0,0.0,58.0,1.0,1466.0,4.0,8.0,0
19,0,1,7,111,154,836,108,239,19.0,0.0,111.0,1.0,4735.0,7.0,15.0,0
12,0,7,9,128,200,837,109,239,12.0,0.0,128.0,0.0,811.0,4.0,5.0,0
4,0,0,9,57,90,838,110,239,4.0,0.0,57.0,0.0,1466.0,2.0,2.0,0
3,0,1,1,92,135,839,111,239,3.0,0.0,92.0,1.0,1466.0,4.0,13.0,0
1,0,1,2,18,46,968,112,263,1.0,0.0,18.0,1.0,1466.0,3.0,3.0,0
1,0,4,3,35,80,969,113,263,1.0,0.0,35.0,1.0,1466.0,3.0,6.0,0
1,0,3,1,23,58,970,114,263,1.0,0.0,23.0,1.0,1466.0,4.0,6.0,0
3,0,1,6,43,76,971,115,263,3.0,0.0,43.0,1.0,1466.0,2.0,3.0,0
9,0,1,1,135,181,972,116,263,9.0,0.0,135.0,2.0,1466.0,3.0,11.0,0
1,0,1,2,18,46,1006,117,273,1.0,0.0,18.0,1.0,1466.0,3.0,3.0,0
1,0,5,6,58,111,1007,118,273,1.0,0.0,58.0,1.0,1466.0,3.0,6.0,0
1,0,5,1,31,74,1008,119,273,1.0,0.0,31.0,1.0,1466.0,4.0,6.0,0
3,0,1,5,41,74,1009,120,273,3.0,0.0,41.0,1.0,1466.0,3.0,5.0,0
24,0,1,1,250,318,1010,121,273,24.0,0.0,250.0,3.0,1466.0,5.0,17.0,1
32,0,8,10,254,333,1071,122,292,32.0,0.0,254.0,1.0,4735.0,7.0,18.0,0
1,0,1,2,18,46,1067,123,292,1.0,0.0,18.0,1.0,1466.0,3.0,3.0,0
2,0,22,5,155,274,1068,124,292,2.0,0.0,155.0,1.0,1466.0,5.0,14.0,0
1,0,13,2,67,143,1069,125,292,1.0,0.0,67.0,1.0,1466.0,4.0,10.0,0
5,0,1,5,57,91,1070,126,292,5.0,0.0,57.0,1.0,1466.0,5.0,12.0,0
3,0,1,1,92,135,1072,127,292,3.0,0.0,92.0,1.0,1466.0,5.0,14.0,0
1,0,1,2,18,48,1153,128,308,1.0,0.0,18.0,1.0,1466.0,2.0,2.0,0
2,0,4,3,42,94,1154,129,308,2.0,0.0,42.0,1.0,1466.0,3.0,3.0,0
1,0,4,0,21,65,1155,130,308,1.0,0.0,21.0,1.0,1466.0,2.0,2.0,0
1,0,1,2,22,53,1156,131,308,1.0,0.0,22.0,1.0,1466.0,3.0,3.0,0
1,0,1,1,58,93,1157,132,308,1.0,0.0,58.0,1.0,1466.0,2.0,3.0,1
1,0,1,2,18,48,1174,133,311,1.0,0.0,18.0,1.0,1466.0,2.0,2.0,0
2,0,4,3,44,101,1175,134,311,2.0,0.0,44.0,1.0,1466.0,3.0,4.0,0
1,0,5,0,26,79,1176,135,311,1.0,0.0,26.0,1.0,474.0,3.0,3.0,0
3,0,3,2,48,93,1177,136,311,3.0,0.0,48.0,1.0,1466.0,2.0,2.0,0
8,0,1,1,71,103,1178,137,311,8.0,0.0,71.0,1.0,474.0,3.0,4.0,1
1,0,1,2,18,48,1203,138,321,1.0,0.0,18.0,1.0,1466.0,2.0,2.0,0
11,0,17,3,137,282,1204,139,321,11.0,0.0,137.0,1.0,1466.0,3.0,4.0,0
1,0,9,0,43,125,1205,140,321,1.0,0.0,43.0,1.0,1466.0,2.0,2.0,0
1,0,1,2,22,53,1206,141,321,1.0,0.0,22.0,1.0,1466.0,3.0,3.0,0
1,0,1,1,58,95,1207,142,321,1.0,0.0,58.0,1.0,1466.0,2.0,3.0,1
1,0,1,2,18,46,1277,143,342,1.0,0.0,18.0,1.0,1466.0,3.0,3.0,0
8,0,5,4,74,124,1278,144,342,8.0,0.0,74.0,1.0,762.0,5.0,10.0,0
1,0,4,1,28,69,1279,145,342,1.0,0.0,28.0,1.0,1466.0,5.0,8.0,0
1,0,2,2,30,66,1280,146,342,1.0,0.0,30.0,1.0,474.0,4.0,8.0,0
2,0,1,1,86,127,1281,147,342,2.0,0.0,86.0,1.0,230.0,6.0,14.0,1
1,0,1,2,18,46,1300,148,355,1.0,0.0,18.0,1.0,1466.0,3.0,3.0,0
5,0,9,4,97,163,1302,149,355,5.0,0.0,97.0,1.0,762.0,6.0,11.0,0
1,0,9,1,48,108,1303,150,355,1.0,0.0,48.0,1.0,1466.0,5.0,7.0,0
1,0,1,4,40,73,1304,151,355,1.0,0.0,40.0,1.0,474.0,4.0,7.0,0
15,0,1,1,183,249,1305,152,355,15.0,0.0,183.0,3.0,1466.0,10.0,21.0,1
1,0,1,2,18,46,1398,153,407,1.0,0.0,18.0,1.0,1466.0,2.0,2.0,0
4,0,1,8,62,98,1401,154,407,4.0,0.0,62.0,1.0,1466.0,2.0,2.0,0
6,0,9,8,102,179,1402,155,407,6.0,0.0,102.0,1.0,474.0,4.0,5.0,0
1,0,7,1,39,94,1403,156,407,1.0,0.0,39.0,1.0,474.0,4.0,4.0,0
9,0,1,6,73,108,1404,157,407,9.0,0.0,73.0,1.0,1466.0,2.0,2.0,0
4,0,1,1,68,101,1405,158,407,4.0,0.0,68.0,1.0,474.0,5.0,6.0,1
1,0,1,2,18,48,1464,159,421,1.0,0.0,18.0,1.0,1466.0,2.0,2.0,0
30,0,28,3,240,489,1465,160,421,30.0,0.0,240.0,2.0,31.0,4.0,7.0,1
1,0,14,0,64,194,1466,161,421,1.0,0.0,64.0,2.0,31.0,4.0,5.0,0
3,0,3,3,53,104,1467,162,421,3.0,0.0,53.0,1.0,1466.0,2.0,2.0,0
4,0,1,1,85,120,1468,163,421,4.0,0.0,85.0,2.0,31.0,4.0,6.0,1
1,0,1,2,18,48,1505,164,434,1.0,0.0,18.0,1.0,1466.0,2.0,2.0,0
3,0,7,4,57,130,1506,165,434,3.0,0.0,57.0,1.0,1466.0,2.0,2.0,0
1,0,5,0,25,79,1507,166,434,1.0,0.0,25.0,1.0,1466.0,2.0,2.0,0
1,0,1,2,22,53,1508,167,434,1.0,0.0,22.0,1.0,1466.0,3.0,3.0,0
1,0,1,1,57,90,1509,168,434,1.0,0.0,57.0,1.0,1466.0,2.0,3.0,1
1,0,1,2,18,48,1510,169,435,1.0,0.0,18.0,1.0,1466.0,2.0,2.0,0
2,0,7,3,55,127,1511,170,435,2.0,0.0,55.0,1.0,1466.0,2.0,2.0,0
1,0,6,0,30,90,1512,171,435,1.0,0.0,30.0,1.0,1466.0,2.0,2.0,0
4,0,2,3,51,91,1513,172,435,4.0,0.0,51.0,1.0,1466.0,2.0,2.0,0
6,0,1,1,69,102,1514,173,435,6.0,0.0,69.0,1.0,1466.0,2.0,3.0,1
1,0,1,2,18,48,1515,174,436,1.0,0.0,18.0,1.0,1466.0,2.0,2.0,0
32,0,30,3,259,531,1516,175,436,32.0,0.0,259.0,2.0,31.0,4.0,7.0,0
1,0,15,0,68,217,1517,176,436,1.0,0.0,68.0,1.0,1466.0,3.0,3.0,0
3,0,2,4,53,93,1518,177,436,3.0,0.0,53.0,1.0,1466.0,2.0,2.0,0
4,0,1,1,84,118,1519,178,436,4.0,0.0,84.0,1.0,1466.0,3.0,4.0,1
1,0,1,2,18,46,1520,179,437,1.0,0.0,18.0,1.0,1466.0,3.0,3.0,0
1,0,1,18,103,148,1521,180,437,1.0,0.0,103.0,2.0,474.0,7.0,12.0,1
1,0,7,3,46,103,1522,181,437,1.0,0.0,46.0,1.0,474.0,6.0,9.0,1
1,0,1,5,35,68,1523,182,437,1.0,0.0,35.0,1.0,1466.0,3.0,6.0,0
16,0,1,1,94,130,1524,183,437,16.0,0.0,94.0,2.0,474.0,8.0,18.0,0
1,0,1,2,18,46,1525,184,438,1.0,0.0,18.0,1.0,1466.0,2.0,2.0,0
12,0,13,24,310,427,1526,185,438,12.0,0.0,310.0,1.0,762.0,4.0,4.0,0
5,0,1,8,75,110,1527,186,438,5.0,0.0,75.0,1.0,1466.0,2.0,3.0,0
39,0,5,56,554,695,1528,187,438,39.0,0.0,554.0,1.0,762.0,4.0,6.0,0
1,0,2,2,18,52,1529,188,438,1.0,0.0,18.0,1.0,1466.0,2.0,2.0,0
1,0,1,1,14,41,1530,189,438,1.0,0.0,14.0,1.0,1466.0,2.0,2.0,0
8,0,1,13,127,171,1531,190,438,8.0,0.0,127.0,1.0,1466.0,2.0,4.0,0
13,0,1,1,143,195,1532,191,438,13.0,0.0,143.0,1.0,1466.0,3.0,7.0,0
1,0,1,2,18,46,1534,192,440,1.0,0.0,18.0,1.0,1466.0,2.0,2.0,0
1,0,1,3,23,51,1535,193,440,1.0,0.0,23.0,1.0,1466.0,3.0,4.0,0
1,0,1,1,14,40,1536,194,440,1.0,0.0,14.0,1.0,474.0,3.0,3.0,0
6,0,2,7,93,136,1537,195,440,6.0,0.0,93.0,1.0,1466.0,4.0,4.0,0
1,0,1,1,38,70,1538,196,440,1.0,0.0,38.0,1.0,474.0,3.0,4.0,1
1,0,1,1,13,40,1539,197,441,1.0,0.0,13.0,1.0,1466.0,3.0,4.0,0
1,0,1,2,18,46,1541,198,442,1.0,0.0,18.0,1.0,1466.0,3.0,3.0,0
1,0,3,0,15,50,1542,199,442,1.0,0.0,15.0,1.0,1466.0,2.0,3.0,0
20,0,7,28,234,342,1543,200,442,20.0,0.0,234.0,2.0,31.0,8.0,15.0,0
1,0,14,1,73,198,1544,201,442,1.0,0.0,73.0,1.0,31.0,7.0,9.0,0
1,0,1,2,22,52,1545,202,442,1.0,0.0,22.0,1.0,1466.0,4.0,7.0,0
9,0,1,1,98,140,1546,203,442,9.0,0.0,98.0,1.0,31.0,7.0,13.0,1
1,0,1,2,19,47,1547,204,443,1.0,0.0,19.0,1.0,1466.0,2.0,3.0,0
1,0,1,1,13,40,1548,205,443,1.0,0.0,13.0,1.0,1466.0,2.0,3.0,0
1,0,1,5,29,61,1549,206,443,1.0,0.0,29.0,1.0,1466.0,2.0,2.0,0
1,0,1,1,40,72,1550,207,443,1.0,0.0,40.0,1.0,474.0,4.0,8.0,1
1,0,2,5,37,73,1551,208,444,1.0,0.0,37.0,1.0,474.0,3.0,5.0,0
1,0,1,2,18,46,1552,209,444,1.0,0.0,18.0,1.0,1466.0,2.0,2.0,0
1,0,1,12,63,101,1553,210,444,1.0,0.0,63.0,1.0,1466.0,4.0,7.0,0
1,0,1,1,12,39,1554,211,444,1.0,0.0,12.0,1.0,1466.0,2.0,2.0,0
5,0,1,4,50,82,1555,212,444,5.0,0.0,50.0,1.0,1466.0,2.0,3.0,0
1,0,1,1,43,76,1556,213,444,1.0,0.0,43.0,1.0,474.0,4.0,9.0,1
1,0,1,2,18,46,1557,214,445,1.0,0.0,18.0,1.0,1466.0,3.0,3.0,0
6,0,3,14,104,166,1558,215,445,6.0,0.0,104.0,2.0,1466.0,4.0,11.0,0
1,0,6,2,37,89,1559,216,445,1.0,0.0,37.0,1.0,1466.0,4.0,8.0,0
4,0,1,16,119,164,1560,217,445,4.0,0.0,119.0,1.0,1466.0,4.0,7.0,0
34,0,1,1,195,237,1561,218,445,34.0,0.0,195.0,2.0,1466.0,5.0,17.0,1
1,0,1,2,18,46,1562,219,446,1.0,0.0,18.0,1.0,1466.0,3.0,3.0,0
1,0,1,15,78,124,1563,220,446,1.0,0.0,78.0,1.0,1466.0,4.0,11.0,0
1,0,1,6,34,66,1564,221,446,1.0,0.0,34.0,1.0,1466.0,5.0,10.0,0
1,0,1,2,22,54,1565,222,446,1.0,0.0,22.0,1.0,1466.0,2.0,3.0,0
1,0,0,0,66,105,1566,223,446,1.0,0.0,66.0,1.0,1466.0,3.0,11.0,0
1,0,0,0,20,49,1567,224,446,1.0,0.0,20.0,1.0,1466.0,2.0,3.0,0
19,0,1,1,141,189,1568,225,446,19.0,0.0,141.0,2.0,1466.0,5.0,23.0,1
1,0,1,2,18,46,1569,226,447,1.0,0.0,18.0,1.0,1466.0,3.0,3.0,0
1,0,1,0,6,32,1570,227,447,1.0,0.0,6.0,1.0,1466.0,2.0,4.0,0
3,0,5,3,53,115,1571,228,447,3.0,0.0,53.0,1.0,1466.0,6.0,14.0,0
1,0,3,2,26,68,1572,229,447,1.0,0.0,26.0,1.0,1466.0,6.0,10.0,0
1,0,1,2,22,52,1573,230,447,1.0,0.0,22.0,1.0,1466.0,4.0,7.0,0
1,0,1,1,71,109,1574,231,447,1.0,0.0,71.0,1.0,762.0,6.0,17.0,1
1,0,1,2,18,46,1575,232,448,1.0,0.0,18.0,1.0,1466.0,3.0,3.0,0
1,0,1,12,65,112,1576,233,448,1.0,0.0,65.0,1.0,1466.0,2.0,2.0,0
21,0,21,4,233,383,1577,234,448,21.0,0.0,233.0,2.0,474.0,5.0,18.0,0
1,0,20,2,98,213,1578,235,448,1.0,0.0,98.0,1.0,474.0,5.0,13.0,0
1,0,1,2,22,52,1579,236,448,1.0,0.0,22.0,1.0,474.0,4.0,8.0,0
3,0,1,1,71,109,1581,237,448,3.0,0.0,71.0,1.0,1466.0,5.0,13.0,1
1,0,0,0,1,23,1580,238,448,1.0,0.0,1.0,1.0,1466.0,2.0,3.0,0
1,0,1,2,18,46,1582,239,449,1.0,0.0,18.0,1.0,1466.0,3.0,3.0,0
3,0,5,7,70,130,1583,240,449,3.0,0.0,70.0,1.0,762.0,6.0,12.0,0
1,0,4,1,28,71,1584,241,449,1.0,0.0,28.0,1.0,1466.0,5.0,8.0,0
1,0,1,2,22,52,1585,242,449,1.0,0.0,22.0,1.0,1466.0,4.0,7.0,0
7,0,1,1,89,127,1587,243,449,7.0,0.0,89.0,2.0,762.0,5.0,19.0,1
1,0,0,0,1,23,1586,244,449,1.0,0.0,1.0,1.0,1466.0,2.0,3.0,0
1,0,1,2,18,46,1588,245,450,1.0,0.0,18.0,1.0,1466.0,2.0,2.0,0
3,0,0,9,53,86,1589,246,450,3.0,0.0,53.0,1.0,1466.0,5.0,8.0,0
1,0,2,2,23,57,1590,247,450,1.0,0.0,23.0,1.0,474.0,5.0,7.0,0
1,0,0,5,26,54,1591,248,450,1.0,0.0,26.0,1.0,1466.0,4.0,4.0,0
2,0,1,1,55,92,1592,249,450,2.0,0.0,55.0,1.0,474.0,5.0,8.0,1
7,0,1,1,67,103,1593,250,451,7.0,0.0,67.0,1.0,474.0,5.0,11.0,1
1,0,1,2,18,45,1594,251,451,1.0,0.0,18.0,1.0,1466.0,2.0,3.0,0
4,0,1,10,65,104,1595,252,451,4.0,0.0,65.0,1.0,1466.0,5.0,9.0,0
1,0,5,0,30,72,1596,253,451,1.0,0.0,30.0,1.0,474.0,5.0,8.0,0
1,0,1,4,24,54,1597,254,451,1.0,0.0,24.0,1.0,1466.0,4.0,5.0,0
1,0,1,2,18,46,1598,255,452,1.0,0.0,18.0,1.0,1466.0,3.0,3.0,0
1,0,6,2,40,100,1599,256,452,1.0,0.0,40.0,1.0,762.0,4.0,10.0,0
1,0,1,2,18,46,1600,257,452,1.0,0.0,18.0,1.0,1466.0,5.0,8.0,0
1,0,1,2,22,55,1601,258,452,1.0,0.0,22.0,1.0,1466.0,2.0,3.0,0
1,0,0,0,34,67,1603,259,452,1.0,0.0,34.0,1.0,762.0,4.0,8.0,0
1,0,0,0,20,50,1604,260,452,1.0,0.0,20.0,1.0,1466.0,2.0,3.0,0
6,0,1,1,92,136,1605,261,452,6.0,0.0,92.0,1.0,1466.0,4.0,14.0,1
1,0,0,0,1,23,1602,262,452,1.0,0.0,1.0,1.0,1466.0,2.0,3.0,0
1,0,0,0,1,23,1606,263,453,1.0,0.0,1.0,1.0,1466.0,2.0,3.0,0
1,0,1,2,19,48,1607,264,454,1.0,0.0,19.0,1.0,1466.0,4.0,4.0,0
1,0,2,0,10,48,1608,265,454,1.0,0.0,10.0,1.0,1466.0,3.0,5.0,0
1,0,1,1,15,43,1609,266,454,1.0,0.0,15.0,1.0,1466.0,5.0,6.0,0
1,0,1,2,23,56,1610,267,454,1.0,0.0,23.0,1.0,1466.0,3.0,4.0,0
1,0,0,0,20,49,1612,268,454,1.0,0.0,20.0,1.0,1466.0,2.0,4.0,0
1,0,0,0,20,49,1613,269,454,1.0,0.0,20.0,1.0,1466.0,2.0,3.0,0
5,0,1,1,94,138,1614,270,454,5.0,0.0,94.0,1.0,1466.0,5.0,14.0,0
1,0,0,0,1,24,1611,271,454,1.0,0.0,1.0,1.0,1466.0,3.0,4.0,0
1,0,1,2,18,46,1616,272,456,1.0,0.0,18.0,1.0,1466.0,3.0,3.0,0
1,0,3,0,14,50,1617,273,456,1.0,0.0,14.0,1.0,31.0,4.0,5.0,0
6,0,6,5,84,141,1618,274,456,6.0,0.0,84.0,1.0,762.0,8.0,13.0,0
1,0,4,1,27,68,1619,275,456,1.0,0.0,27.0,1.0,31.0,8.0,10.0,0
1,0,1,2,22,52,1620,276,456,1.0,0.0,22.0,1.0,474.0,3.0,6.0,0
4,0,1,1,144,189,1621,277,456,4.0,0.0,144.0,2.0,31.0,8.0,19.0,1
