McCC,CLOC,PDA,PUA,LLOC,LOC,ID.1,LongName.1,Parent.1,McCC.1,CLOC.1,LLOC.1,Number of previous modifications,Number of committers,Number of developer commits,Number of previous fixes,target
3,0,1,1,45,88,39,51,1,3,0,45,3,1,1302,0,0
1,0,1,1,19,33,40,52,1,1,0,19,1,1,1302,0,0
7,0,2,0,55,106,41,53,1,7,0,55,4,1,1302,0,0
5,0,1,1,46,97,42,54,1,5,0,46,6,1,1302,0,0
1,0,1,1,22,44,23,55,1,1,0,22,1,1,1302,0,0
1,0,1,1,12,33,24,56,1,1,0,12,1,1,1302,0,0
8,0,1,4,98,128,57,57,2,8,0,98,26,1,1302,0,0
2,0,7,1,52,96,58,58,2,2,0,52,6,1,1302,0,0
6,0,16,1,110,196,59,59,2,6,0,110,5,1,1302,0,0
6,0,16,2,122,212,60,60,2,6,0,122,6,1,1302,0,0
14,0,0,9,153,214,61,61,2,14,0,153,5,1,1302,0,0
811,0,3,91,6251,7771,62,62,2,811,0,6251,4,1,1302,0,0
2,0,0,2,35,66,63,63,2,2,0,35,13,1,1302,0,0
12,0,0,35,386,498,64,64,2,12,0,386,8,2,1302,0,0
1,0,0,3,15,21,65,65,2,1,0,15,5,2,1302,0,0
1,0,0,3,13,19,66,66,2,1,0,13,5,2,1302,0,0
1,0,1,18,240,337,67,67,2,1,0,240,5,1,1302,0,0
47,0,49,4,584,881,68,68,2,47,0,584,4,1,1302,0,0
19,0,0,18,214,313,69,69,2,19,0,214,29,2,1302,1,0
2,0,0,2,34,64,70,70,2,2,0,34,13,1,1302,0,0
30,0,1,8,212,266,71,71,2,30,0,212,4,1,1302,0,0
122,0,39,14,1385,1864,72,72,2,122,0,1385,6,1,1302,0,0
47,0,88,5,981,1416,73,73,2,47,0,981,5,1,1302,0,0
111,0,57,4,926,1273,74,74,2,111,0,926,6,1,1302,0,0
98,0,35,2,683,980,75,75,2,98,0,683,7,1,1302,0,0
51,0,60,5,782,1121,76,76,2,51,0,782,2,1,1302,0,0
1,0,0,2,15,23,77,77,2,1,0,15,9,2,1302,0,0
3,0,0,2,13,17,79,78,2,3,0,13,2,1,1302,0,0
5,0,0,3,44,55,78,79,2,5,0,44,6,1,1302,0,0
1,0,0,3,26,60,80,80,2,1,0,26,17,1,1302,0,0
110,0,3,21,686,810,81,81,2,110,0,686,3,1,1302,0,0
2,0,0,27,289,343,82,82,2,2,0,289,28,1,1302,0,0
1,0,0,8,61,82,83,83,2,1,0,61,10,1,1302,0,0
2,0,1,18,112,142,84,84,2,2,0,112,7,2,1302,1,0
13,0,1,19,188,251,85,85,2,13,0,188,9,1,1302,0,0
3,0,0,2,30,40,86,86,2,3,0,30,5,1,1302,0,1
1,0,0,19,60,89,87,87,2,1,0,60,7,1,1302,0,0
33,0,0,8,107,154,88,88,2,33,0,107,2,1,1302,0,0
44,0,0,18,427,556,89,89,2,44,0,427,29,1,1302,1,0
2,0,0,2,31,57,90,90,2,2,0,31,14,1,1302,0,0
3,0,2,9,89,150,91,91,2,3,0,89,17,1,1302,0,0
1,0,0,2,16,26,92,92,2,1,0,16,2,1,1302,0,0
1,0,0,2,9,14,93,93,2,1,0,9,2,1,1302,0,0
9,0,0,3,71,101,94,94,2,9,0,71,2,1,1302,1,0
12,0,1,10,120,174,95,95,2,12,0,120,3,1,1302,1,0
12,0,0,9,87,117,96,96,2,12,0,87,3,1,1302,0,0
1,0,0,4,55,101,97,97,2,1,0,55,3,1,1302,0,0
5,0,0,2,34,51,98,98,2,5,0,34,1,1,1302,0,0
5,0,0,11,85,117,99,99,2,5,0,85,2,1,1302,0,0
7,0,0,12,91,100,100,100,2,7,0,91,2,1,1302,0,0
2,0,0,2,17,23,101,101,2,2,0,17,1,1,1302,1,0
1,0,0,2,52,74,102,102,2,1,0,52,1,1,1302,0,0
2,0,0,2,15,23,103,103,2,2,0,15,2,1,1302,2,0
6,0,0,2,43,60,104,104,2,6,0,43,9,1,1302,0,0
23,0,1,18,206,275,105,105,2,23,0,206,8,1,1302,0,0
6,0,1,3,51,78,106,106,2,6,0,51,8,1,1302,0,0
4,0,0,3,53,68,107,107,2,4,0,53,1,1,1302,0,0
1,0,1,3,21,33,108,108,2,1,0,21,3,2,1302,0,0
5,0,1,3,51,67,109,109,2,5,0,51,2,1,1302,0,0
2,0,0,4,54,78,110,110,2,2,0,54,1,1,1302,1,0
2,0,0,2,20,32,111,111,2,2,0,20,4,1,1302,2,0
1,0,0,2,11,19,112,112,2,1,0,11,1,1,1302,0,0
1,0,1,1,25,41,113,113,2,1,0,25,1,1,1302,0,0
1,0,1,23,151,201,114,114,2,1,0,151,9,2,1302,1,0
6,0,20,1,134,248,115,115,2,6,0,134,4,1,1302,0,0
6,0,0,7,109,148,116,116,2,6,0,109,9,2,1302,0,0
196,0,1,58,1334,1621,117,117,2,196,0,1334,6,2,1302,0,0
16,0,0,3,43,64,118,118,2,16,0,43,3,1,1302,0,0
23,0,0,9,139,194,119,119,2,23,0,139,9,1,1302,0,0
1,0,0,4,64,86,120,120,2,1,0,64,4,1,1302,0,0
32,0,0,3,88,97,121,121,2,32,0,88,1,1,1302,0,0
1,0,0,5,69,114,122,122,2,1,0,69,6,1,1302,0,0
28,0,0,3,63,70,123,123,2,28,0,63,1,1,1302,0,0
36,0,0,49,373,473,124,124,2,36,0,373,19,1,1302,1,0
21,0,2,28,305,420,125,125,2,21,0,305,15,2,1302,2,0
3,0,0,5,80,110,126,126,2,3,0,80,6,1,1302,0,0
8,0,0,8,91,123,127,127,2,8,0,91,8,1,1302,0,0
23,0,0,26,309,414,128,128,2,23,0,309,15,1,1302,0,0
1,0,0,1,9,18,129,129,2,1,0,9,2,1,1302,0,0
1,0,0,2,34,46,130,130,2,1,0,34,6,1,1302,0,0
4,0,1,1,18,29,131,131,2,4,0,18,14,2,1302,1,0
1375,0,5,152,11296,13508,132,132,2,1375,0,11296,2,1,1302,0,0
1,0,0,10,72,106,133,133,2,1,0,72,2,1,1302,0,0
23,0,0,7,159,196,134,134,2,23,0,159,10,1,1302,4,0
4,0,1,5,66,95,135,135,2,4,0,66,3,1,1302,0,0
14,0,0,20,194,245,136,136,2,14,0,194,13,1,1302,0,0
