McCC,CLOC,LLOC,Number of previous modifications,Number of committers,Number of developer commits,Number of previous fixes,target
1,0,13,15,2,1302,0,0
1,0,7,9,1,1302,0,0
1,0,9,4,1,1302,0,0
1,0,122,6,1,1302,0,0
1,0,52,24,1,1302,0,0
110,0,686,3,1,1302,0,0
12,0,107,10,1,1302,0,0
1,0,25,3,1,1302,0,0
2,0,334,49,1,1302,2,0
1,0,139,21,1,1302,3,0
28,0,412,22,1,1302,0,0
1,0,64,10,1,1302,0,0
6,0,38,1,1,1302,0,0
17,0,50,5,1,1302,0,0
78,0,704,57,1,1302,1,0
2,0,41,27,1,1302,1,0
3,0,96,31,1,1302,1,0
1,0,16,4,1,1302,1,0
1,0,10,4,1,1302,0,0
9,0,71,6,1,1302,2,0
12,0,120,8,1,1302,1,0
12,0,87,6,1,1302,0,0
1,0,55,4,1,1302,0,0
5,0,34,2,1,1302,0,0
5,0,85,6,1,1302,0,0
7,0,91,2,1,1302,0,0
2,0,17,3,1,1302,1,0
1,0,50,5,1,1302,0,0
2,0,14,4,1,1302,2,0
1,0,31,4,1,1302,1,0
1,0,44,4,1,1302,0,0
1,0,25,4,1,1302,0,0
6,0,82,4,1,1302,0,0
13,0,163,4,1,1302,0,0
5,0,29,1,1,1302,1,0
1,0,41,1,1,1302,1,0
1,0,54,2,1,1302,1,0
1,0,32,3,1,1302,1,0
2,0,26,1,1,1302,1,0
1,0,15,1,1,1302,1,0
4,0,78,2,1,1302,1,0
6,0,74,2,1,1302,1,0
6,0,43,11,1,1302,0,0
3,0,26,1,1,1302,1,0
6,0,60,1,1,1302,1,0
7,0,41,1,1,1302,1,0
5,0,48,2,1,1302,2,0
23,0,210,11,1,1302,0,0
1,0,23,1,1,1302,0,0
6,0,50,9,1,1302,0,0
4,0,52,3,1,1302,0,0
1,0,22,4,2,1302,0,0
5,0,51,3,1,1302,0,0
2,0,53,3,1,1302,1,0
2,0,20,6,1,1302,2,0
1,0,11,2,1,1302,0,0
1,0,25,1,1,1302,0,0
6,0,134,4,1,1302,0,0
196,0,1334,7,2,1302,0,0
16,0,44,5,1,1302,0,0
1,0,8,5,1,1302,0,0
1,0,71,2,1,1302,0,0
42,0,296,22,1,1302,0,0
3,0,110,11,1,1302,0,0
32,0,88,1,1,1302,0,0
1,0,70,11,1,1302,0,0
28,0,63,1,1,1302,0,0
50,0,587,42,1,1302,6,0
27,0,288,22,2,1302,2,0
1,0,39,8,1,1302,0,0
1,0,16,15,1,1302,1,0
1,0,21,3,1,1302,0,0
1,0,28,2,1,1302,0,0
28,0,323,42,1,1302,1,0
13,0,184,8,1,1302,0,0
1,0,9,5,1,1302,0,0
1,0,9,3,1,1302,0,0
10,0,53,1,1,1302,0,0
10,0,53,1,1,1302,0,0
2,0,37,2,1,1302,1,0
3,0,74,28,1,1302,3,0
5,0,91,2,1,1302,0,0
1375,0,11297,3,1,1302,0,0
1,0,78,12,1,1302,1,0
21,0,204,15,1,1302,5,0
7,0,107,14,1,1302,1,0
15,0,224,33,1,1302,2,0
1,0,0,17,1,1302,2,0
