McCC,CLOC,LLOC,Number of previous modifications,Number of previous fixes,Number of committers,Number of developer commits,target
2,0,28,13,0,7,5350,0
1,0,18,5,0,3,5350,0
1,0,16,12,0,6,5350,0
4,0,31,12,0,6,5350,0
1,0,16,10,0,6,5350,0
1,0,20,4,0,3,268,0
17,0,152,48,0,13,5350,0
9,0,69,22,0,9,2472,0
29,0,207,17,0,7,1636,0
1,0,16,12,0,6,5350,0
4,0,27,12,0,6,5350,0
27,0,221,7,0,4,2319,0
2,0,28,12,0,6,5350,0
1,0,13,10,0,5,5350,0
1,0,8,9,0,6,2319,0
1,0,16,12,0,6,5350,0
1,0,14,12,0,6,5350,0
1,0,16,12,0,6,5350,0
4,0,40,15,0,6,5350,0
1,0,20,7,0,5,268,0
5,0,132,97,0,18,1296,0
1,0,9,6,0,4,2319,0
1,0,35,6,0,2,2319,0
20,0,187,59,0,16,5350,0
1,0,32,33,0,12,5350,0
1,0,19,6,0,4,2319,0
8,0,153,22,0,10,5350,0
1,0,29,12,0,6,5350,0
1,0,18,1,0,1,268,0
1,0,17,91,0,15,5350,0
1,0,18,9,0,5,268,0
1,0,7,12,0,7,5350,0
1,0,19,11,0,7,268,0
2,0,41,2,0,2,2319,0
1,0,26,2,0,1,5350,0
2,0,44,16,0,7,5350,0
9,0,71,21,0,11,828,0
9,0,156,16,0,7,5350,0
2,0,13,12,0,7,7,0
1,0,35,12,0,6,5350,0
1,0,33,35,0,10,5350,0
7,0,61,2,0,2,268,0
1,0,53,43,0,11,5350,0
1,0,33,6,0,4,5350,0
6,0,117,44,0,11,5350,0
5,0,59,17,0,7,5350,0
1,0,6,25,0,9,5350,0
3,0,38,22,0,10,5350,0
4,0,56,40,0,12,5350,0
1,0,27,51,0,14,5350,0
7,0,76,1,0,1,2319,0
8,0,91,3,0,3,2472,0
4,0,54,7,0,3,5350,0
6,0,94,21,0,8,5350,0
1,0,10,1,0,1,2319,0
1,0,6,1,0,1,2319,0
5,0,35,7,0,3,5350,0
1,0,5,3,0,2,1296,0
1,0,5,17,0,8,1296,0
1,0,21,10,0,6,224,0
20,0,264,71,0,14,5350,0
3,0,22,19,0,8,2319,0
1,0,5,11,0,6,2319,0
4,0,33,12,0,9,412,0
1,0,8,8,0,6,2319,0
2,0,31,25,0,9,5350,0
1,0,10,8,0,4,2319,0
1,0,4,4,0,3,5350,0
1,0,5,4,0,2,1126,0
1,0,11,2,0,2,2472,0
1,0,8,2,0,2,2472,0
1,0,11,2,0,2,2472,0
2,0,21,2,0,2,2472,0
1,0,39,2,0,2,2472,0
7,0,95,10,1,6,412,0
1,0,20,3,0,3,1126,0
10,0,132,8,0,6,412,0
1,0,21,11,0,6,5350,0
1,0,39,17,0,6,5350,0
11,0,99,14,0,6,1296,0
3,0,53,6,0,5,2319,0
1,0,50,2,0,2,2319,0
4,0,63,10,0,5,5350,0
1,0,32,4,0,3,5350,0
3,0,28,5,0,4,1636,0
1,0,20,1,0,1,268,0
6,0,87,7,0,5,2319,0
30,0,466,20,0,10,5350,0
1,0,25,6,0,4,2319,0
1,0,34,2,0,2,2319,0
3,0,41,35,0,13,5350,0
5,0,30,4,0,3,1126,0
1,0,37,69,0,16,1636,0
1,0,19,5,0,4,268,0
1,0,6,3,0,2,1126,0
13,0,178,14,0,9,2319,0
4,0,85,9,0,6,1296,0
1,0,25,13,0,7,2319,0
4,0,64,3,0,2,2319,0
1,0,8,3,0,2,1634,0
1,0,8,2,0,1,1634,0
4,0,41,31,0,9,5350,0
1,0,16,9,0,4,5350,0
1,0,6,4,0,3,1296,0
13,0,92,9,0,4,5350,0
1,0,16,3,0,2,1634,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,37,7,0,4,224,0
2,0,17,2,0,2,2472,0
14,0,164,26,0,10,2472,0
1,0,41,34,0,12,665,0
10,0,121,9,0,5,1296,0
1,0,21,9,0,4,2319,0
1,0,5,3,0,2,1296,0
6,0,39,27,0,8,2319,0
2,0,81,5,0,4,2319,0
1,0,36,6,0,4,2319,0
1,0,29,3,0,2,2319,0
1,0,42,5,0,4,2319,0
2,0,37,10,0,6,5350,0
2,0,32,6,0,5,268,0
1,0,33,4,0,3,412,0
13,0,79,14,0,7,2319,0
6,0,60,7,0,4,2319,0
1,0,17,7,0,4,5350,0
1,0,18,5,0,4,2319,0
2,0,24,5,0,4,2319,0
2,0,121,8,0,5,5350,0
13,0,119,9,0,7,5350,0
15,0,110,18,0,11,665,0
11,0,194,45,0,18,828,0
13,0,135,15,0,8,828,0
1,0,59,10,0,7,2319,0
10,0,200,5,0,4,2319,0
1,0,17,7,0,4,5350,0
1,0,18,3,0,2,1296,0
2,0,22,5,0,4,2319,0
1,0,79,5,0,4,2319,0
8,0,130,2,0,2,2472,0
4,0,27,3,0,3,5350,0
16,0,99,10,0,6,5350,0
1,0,22,1,0,1,1636,0
1,0,39,3,0,2,5350,0
1,0,69,4,0,3,2319,0
1,0,40,3,0,2,5350,0
5,0,52,5,0,4,2319,0
8,0,22,3,0,3,1126,0
1,0,11,6,0,4,1636,0
1,0,14,8,0,6,2319,0
5,0,38,5,0,4,2319,0
9,0,127,70,0,17,1296,0
4,0,48,9,0,5,5350,0
8,0,84,30,0,12,2472,0
90,0,1368,145,1,19,665,0
2,0,56,15,0,9,1636,0
28,0,300,29,0,12,533,0
10,0,238,17,0,9,2319,0
8,0,246,14,0,8,5350,0
1,0,10,3,0,2,1296,0
1,0,9,10,0,5,2319,0
1,0,5,3,0,2,1296,0
1,0,22,3,0,2,1296,0
7,0,90,7,0,4,2319,0
179,0,1714,139,0,22,224,0
4,0,77,9,0,5,2319,0
1,0,16,2,0,2,665,0
6,0,203,19,0,8,1296,0
1,0,7,1,0,1,533,0
6,0,58,6,0,5,224,0
20,0,162,17,0,7,505,0
2,0,38,2,0,1,268,0
17,0,115,9,0,5,5350,0
2,0,54,17,0,6,533,0
1,0,11,4,0,3,268,0
1,0,5,5,0,4,2319,0
1,0,21,5,0,4,2319,0
7,0,128,13,0,7,665,0
3,0,29,6,0,5,236,0
21,0,168,10,0,7,7,0
1,0,17,5,0,4,2319,0
9,0,90,29,0,12,828,0
1,0,17,5,0,4,2319,0
16,0,131,10,1,7,2472,0
1,0,13,5,0,4,2319,0
11,0,67,7,0,4,2319,0
1,0,5,5,0,4,2319,0
1,0,5,5,0,4,2319,0
28,0,202,17,0,8,665,0
2,0,49,15,0,7,268,0
2,0,18,5,0,4,2319,0
4,0,52,5,0,4,2319,0
1,0,4,1,0,1,1126,0
3,0,57,8,0,5,5350,0
1,0,9,3,0,2,2319,0
7,0,61,9,0,5,5350,0
1,0,19,7,0,4,2472,0
5,0,59,5,0,4,665,0
1,0,15,4,0,4,7,0
2,0,27,4,0,4,7,0
11,0,109,14,0,8,5350,0
1,0,10,14,0,7,2319,0
1,0,13,6,0,4,505,0
2,0,20,1,0,1,1636,0
3,0,34,4,0,4,828,0
1,0,12,1,0,1,533,0
20,0,262,23,0,6,224,0
13,0,146,2,0,1,1636,0
11,0,87,6,2,3,2319,0
9,0,94,6,0,5,828,0
6,0,61,3,0,2,828,0
1,0,8,1,0,1,1636,0
2,0,23,1,0,1,1636,0
1,0,33,4,0,3,1636,0
27,0,190,19,0,6,310,0
8,0,105,9,0,5,224,0
2,0,46,17,2,6,828,0
1,0,38,1,0,1,310,0
17,0,226,45,0,10,1296,0
18,0,209,23,0,9,1296,0
1,0,10,10,0,4,5350,0
1,0,18,14,0,7,2319,0
5,0,64,12,0,7,2319,0
3,0,15,6,0,4,2319,0
1,0,13,6,0,4,2319,0
1,0,6,6,0,4,2319,0
5,0,36,20,0,7,5350,0
5,0,57,16,0,7,5350,0
2,0,25,9,0,5,2319,0
2,0,39,6,0,4,2319,0
1,0,18,9,0,5,2319,0
1,0,18,9,0,5,2319,0
1,0,18,9,0,5,2319,0
4,0,62,2,0,2,2472,0
7,0,87,2,0,2,2472,0
1,0,16,2,0,2,2472,0
13,0,77,2,0,2,2472,0
5,0,113,8,0,3,5350,0
6,0,64,9,0,4,5350,0
1,0,18,2,0,2,2472,0
3,0,69,9,0,6,2472,0
4,0,47,5,0,4,2472,0
2,0,45,5,0,4,2472,0
1,0,31,3,0,2,1126,0
2,0,68,8,0,5,7,0
1,0,32,3,0,2,1126,0
2,0,47,3,0,2,1126,0
3,0,41,8,0,5,505,0
6,0,54,2,0,1,3997,0
11,0,199,13,0,7,1296,0
15,0,346,13,0,7,310,0
12,0,115,14,0,8,5350,0
1,0,44,3,0,2,1296,0
1,0,49,3,0,2,1296,0
7,0,95,10,0,7,505,0
23,0,374,17,0,6,1636,0
13,0,52,9,0,5,5350,0
7,0,114,11,0,6,1296,0
3,0,55,2,0,2,5350,0
12,0,137,7,0,5,310,0
1,0,14,8,0,5,310,0
1,0,14,7,0,5,310,0
1,0,14,8,0,5,310,0
7,0,59,11,0,5,310,0
1,0,18,9,0,5,310,0
1,0,26,5,0,3,5350,0
2,0,61,9,0,7,2319,0
1,0,18,6,0,5,505,0
2,0,53,21,0,9,5350,0
2,0,79,11,0,8,2319,0
1,0,20,3,0,3,2472,0
1,0,45,7,0,6,533,0
6,0,94,13,0,7,310,0
2,0,44,30,0,12,5350,0
2,0,37,24,0,10,5350,0
1,0,46,17,0,7,5350,0
1,0,17,12,0,9,2319,0
1,0,129,13,0,8,310,0
11,0,144,34,0,10,5350,0
16,0,289,20,0,8,5350,0
1,0,43,9,0,7,2319,0
3,0,30,1,0,1,2319,0
1,0,39,20,0,8,310,0
8,0,55,9,0,4,1126,0
2,0,138,27,0,13,5350,0
30,0,424,16,0,6,5350,0
12,0,227,32,0,10,505,0
1,0,36,6,0,2,5350,0
19,0,204,51,0,18,5350,0
1,0,26,5,0,3,2319,0
1,0,5,5,0,3,2319,0
8,0,225,19,0,10,665,0
1,0,330,8,0,6,2472,0
1,0,77,9,0,7,2319,0
2,0,576,22,0,10,143,0
2,0,81,3,0,3,2472,0
1,0,170,3,0,3,2472,0
1,0,28,8,0,6,5350,0
1,0,114,9,0,5,2472,0
1,0,283,21,0,9,224,0
1,0,40,8,0,4,224,0
1,0,46,3,0,3,2472,0
1,0,67,6,0,6,1636,0
4,0,84,3,0,2,3997,0
3,0,52,3,0,3,2472,0
1,0,136,11,0,8,1636,0
4,0,86,16,0,9,665,0
1,0,105,6,0,6,1636,0
1,0,138,3,0,3,2472,0
3,0,729,21,1,11,2319,0
2,0,477,12,0,7,2319,0
4,0,82,18,0,6,2319,0
1,0,33,3,0,3,2472,0
4,0,49,7,0,5,505,0
1,0,216,11,0,6,533,0
1,0,32,7,0,4,224,0
5,0,242,7,0,7,1636,0
3,0,215,4,0,3,3997,0
1,0,11,9,0,5,3997,0
1,0,24,3,0,3,2472,0
1,0,216,11,0,6,2472,0
1,0,100,3,0,3,2472,0
1,0,46,3,0,3,2472,0
36,0,427,76,0,17,2472,0
13,0,168,13,0,5,1296,0
1,0,132,6,0,6,1636,0
2,0,265,6,0,6,1636,0
1,0,174,20,0,9,3997,0
1,0,146,13,0,7,665,0
1,0,123,6,0,6,2319,0
1,0,110,3,0,3,2472,0
1,0,5,3,0,3,2472,0
3,0,179,4,0,4,5350,0
1,0,81,34,0,11,5350,0
2,0,43,7,0,4,5350,0
4,0,66,16,0,9,5350,0
1,0,83,35,0,13,5350,0
2,0,28,21,0,8,5350,0
6,0,154,34,0,12,5350,0
1,0,15,2,0,1,828,0
1,0,32,32,0,10,5350,0
1,0,34,32,0,10,5350,0
1,0,29,35,0,10,5350,0
1,0,11,11,0,4,5350,0
1,0,39,36,0,10,5350,0
3,0,112,10,0,9,5350,0
1,0,73,8,0,3,5350,0
3,0,123,11,0,5,5350,0
3,0,106,15,0,4,5350,0
1,0,33,9,0,7,2319,0
1,0,22,11,0,5,1296,0
1,0,49,30,0,11,2319,0
1,0,78,25,0,9,2319,0
1,0,49,25,0,9,2319,0
3,0,157,47,0,13,5350,0
1,0,22,7,0,4,2319,0
1,0,78,23,0,7,1296,0
1,0,26,2,0,2,2472,0
1,0,57,6,1,4,412,0
1,0,38,10,0,7,412,0
2,0,76,13,0,6,533,0
1,0,21,3,0,3,2472,0
4,0,63,24,0,11,5350,0
3,0,95,17,0,5,5350,0
1,0,38,3,0,3,7,0
1,0,27,6,0,6,2472,0
10,0,262,16,0,8,1296,0
8,0,59,7,0,6,533,0
4,0,80,16,0,11,2472,0
1,0,34,3,0,3,2472,0
5,0,85,10,0,8,2472,0
1,0,90,5,0,4,5350,0
1,0,44,14,0,9,2319,0
1,0,67,9,0,5,5350,0
1,0,43,3,0,3,2472,0
2,0,84,13,0,7,5350,0
1,0,84,11,0,8,5350,0
1,0,37,11,0,6,5350,0
1,0,128,9,0,4,5350,0
1,0,33,15,0,10,5350,0
1,0,120,14,0,7,2319,0
1,0,24,10,0,5,1636,0
1,0,97,11,0,6,828,0
1,0,111,6,0,4,1636,0
1,0,171,5,0,3,828,0
4,0,85,2,0,2,1636,0
1,0,70,5,0,3,1636,0
1,0,105,15,0,8,5350,0
5,0,119,4,0,3,5350,0
1,0,28,6,0,5,1636,0
1,0,23,3,0,2,2319,0
1,0,33,6,0,5,505,0
1,0,32,3,0,2,5350,0
1,0,88,3,0,2,5350,0
19,0,1395,88,0,16,2319,0
1,0,39,16,0,9,257,0
1,0,57,12,0,8,1,0
2,0,192,43,0,12,310,0
2,0,157,32,0,10,310,0
23,0,1681,110,0,19,5350,0
1,0,449,5,0,3,310,0
14,0,892,5,0,3,224,0
3,0,47,3,0,3,505,0
1,0,39,10,0,8,2319,0
1,0,67,14,0,6,5350,0
12,0,489,45,0,13,5350,0
1,0,130,4,0,3,533,0
1,0,29,3,0,3,505,0
1,0,20,3,0,2,1126,0
1,0,31,4,0,3,533,0
1,0,65,9,0,5,5350,0
1,0,49,9,0,5,5350,0
6,0,358,34,0,13,20,0
4,0,98,20,0,8,5350,0
1,0,26,3,0,2,5350,0
1,0,26,3,0,2,5350,0
1,0,21,3,0,3,2472,0
1,0,21,3,0,3,2472,0
1,0,18,3,0,3,2472,0
1,0,20,3,0,3,2472,0
1,0,67,3,0,2,5350,0
3,0,185,17,0,8,3997,0
1,0,87,3,0,2,1126,0
2,0,76,24,0,8,3997,0
8,0,469,26,0,6,2319,0
10,0,216,1,0,1,1636,0
1,0,43,2,0,2,2472,0
1,0,42,2,0,2,2472,0
3,0,153,18,0,7,310,0
1,0,40,3,0,2,828,0
3,0,215,14,2,8,2472,0
4,0,115,12,0,8,224,0
2,0,296,27,0,9,2472,0
1,0,533,12,0,7,5350,0
1,0,11,3,0,3,2472,0
1,0,11,3,0,3,2472,0
1,0,11,3,0,3,2472,0
1,0,11,3,0,3,2472,0
1,0,11,3,0,3,2472,0
1,0,14,1,0,1,1126,0
1,0,83,9,0,4,5350,0
1,0,76,10,0,4,1126,0
1,0,17,2,0,2,2472,0
1,0,55,2,0,2,2472,0
1,0,45,6,0,5,505,0
1,0,25,2,0,2,2472,0
2,0,73,6,0,5,505,0
8,0,187,26,0,13,5350,0
1,0,34,14,0,8,5350,0
1,0,54,12,0,7,828,0
1,0,70,3,0,2,1126,0
1,0,130,5,0,4,828,0
1,0,49,7,0,5,5350,0
4,0,81,9,0,7,310,0
1,0,128,11,0,8,310,0
1,0,53,3,0,2,5350,0
1,0,41,2,0,2,5350,0
1,0,55,3,0,3,224,0
1,0,48,13,0,9,1296,0
3,0,226,23,0,9,143,0
8,0,144,9,0,4,310,0
2,0,25,2,0,2,2472,0
7,0,91,13,0,6,2319,0
1,0,77,22,0,6,2472,0
1,0,85,14,0,5,2472,0
1,0,74,12,0,5,2319,0
1,0,41,9,0,4,2472,0
1,0,11,7,0,4,2472,0
1,0,14,7,0,4,2472,0
2,0,28,4,0,2,2319,0
2,0,27,4,0,2,2319,0
4,0,39,5,0,2,5350,0
1,0,8,4,0,2,2319,0
1,0,11,4,0,2,5350,0
6,0,31,1,0,1,2319,0
10,0,111,9,0,5,533,0
6,0,29,1,0,1,2319,0
4,0,37,8,0,4,1634,0
5,0,112,29,0,5,2472,0
7,0,80,2,0,2,5350,0
3,0,22,5,0,2,5350,0
1,0,14,4,0,2,5350,0
4,0,86,15,0,5,533,0
4,0,105,20,0,5,533,0
2,0,25,1,0,1,533,0
46,0,676,9,0,6,2472,0
1,0,8,5,0,4,3997,0
1,0,11,5,0,4,3997,0
1,0,6,3,0,2,3997,0
1,0,11,5,0,4,3997,0
1,0,12,5,0,4,3997,0
1,0,6,5,0,4,3997,0
21,0,373,13,0,8,1636,0
1,0,8,5,0,4,3997,0
1,0,9,6,0,5,1636,0
1,0,8,5,0,4,3997,0
2,0,38,10,0,6,5350,0
1,0,6,5,0,4,3997,0
1,0,11,5,0,4,3997,0
6,0,89,7,0,5,2472,0
7,0,67,7,0,5,2472,0
1,0,10,5,0,4,3997,0
1,0,16,5,0,4,3997,0
1,0,5,5,0,4,3997,0
1,0,7,5,0,4,3997,0
1,0,11,5,0,4,3997,0
1,0,13,7,0,6,1296,0
5,0,126,12,0,8,505,0
3,0,43,13,0,8,412,0
2,0,49,5,0,4,3997,0
1,0,33,9,0,7,412,0
3,0,47,9,0,5,3997,0
3,0,57,6,0,5,1634,0
1,0,85,13,0,9,828,0
57,0,433,18,0,8,268,0
12,0,144,25,0,13,2319,0
11,0,85,13,0,6,268,0
1,0,232,9,0,6,2319,0
1,0,14,9,0,5,2319,0
1,0,5,5,0,4,3997,0
1,0,16,8,0,5,268,0
3,0,164,5,0,3,310,0
1,0,63,4,0,3,310,0
8,0,238,13,0,8,1296,0
8,0,109,4,0,3,5350,0
4,0,159,8,0,5,1296,0
3,0,327,5,0,3,310,0
1,0,137,4,0,2,3997,0
2,0,51,10,0,5,5350,0
4,0,74,3,0,3,1296,0
1,0,282,13,2,5,1296,0
1,0,38,1,0,1,828,0
1,0,62,3,0,2,2472,0
20,0,161,2,0,2,665,0
1,0,46,4,0,2,665,0
1,0,13,2,0,2,665,0
31,0,245,12,2,4,1296,0
1,0,15,4,0,3,665,0
1,0,7,4,0,3,665,0
2,0,90,4,0,4,2472,0
3,0,342,3,0,3,2319,0
6,0,91,10,0,7,5350,0
17,0,517,21,0,9,828,0
2,0,91,23,0,8,3997,0
3,0,65,24,0,12,2472,0
8,0,128,22,0,9,665,0
4,0,166,19,0,12,310,0
9,0,170,35,0,10,310,0
6,0,178,20,0,11,1126,0
7,0,95,4,0,2,3997,0
7,0,136,22,0,11,5350,0
5,0,58,5,0,4,1634,0
14,0,266,11,0,7,1126,0
7,0,89,8,0,6,5350,0
1,0,10,1,0,1,3997,0
1,0,48,9,0,6,1126,0
2,0,59,2,0,2,2319,0
1,0,70,10,0,5,2319,0
5,0,64,9,0,5,2319,0
1,0,30,6,0,5,2319,0
1,0,31,4,0,4,2472,0
1,0,10,1,0,1,3997,0
1,0,10,1,0,1,3997,0
16,0,322,24,0,10,5350,0
1,0,11,2,0,2,2319,0
3,0,50,7,0,5,2319,0
1,0,49,4,0,4,2472,0
1,0,55,17,0,7,3997,0
7,0,173,12,0,6,5350,0
3,0,50,12,0,9,3997,0
2,0,133,12,0,5,3997,0
2,0,124,13,0,7,2319,0
1,0,34,12,0,8,5350,0
1,0,44,14,0,7,3997,0
3,0,72,11,0,6,3997,0
2,0,59,9,0,7,2472,0
14,0,321,17,0,8,2472,0
5,0,155,11,0,6,2472,0
2,0,38,2,0,2,2472,0
4,0,67,2,0,2,2472,0
4,0,70,5,0,3,3997,0
3,0,48,9,0,3,3997,0
5,0,59,9,0,3,3997,0
1,0,28,10,0,4,5350,0
2,0,71,2,0,1,3997,0
1,0,76,2,0,1,3997,0
1,0,65,2,0,1,3997,0
1,0,71,2,0,1,3997,0
3,0,86,9,0,6,533,0
6,0,59,4,0,2,54,0
1,0,7,4,0,2,54,0
7,0,90,6,0,4,310,0
13,0,141,20,0,9,533,0
19,0,197,7,0,5,2319,0
1,0,86,6,0,4,310,0
1,0,25,7,0,4,54,0
1,0,5,4,0,2,54,0
1,0,7,4,0,2,54,0
1,0,6,4,0,2,54,0
1,0,109,11,0,5,5350,0
1,0,5,4,0,2,54,0
1,0,1,4,0,2,54,0
1,0,10,7,0,5,2319,0
1,0,6,4,0,2,54,0
11,0,60,10,0,4,5350,0
7,0,76,4,0,2,54,0
6,0,60,4,0,2,54,0
1,0,7,4,0,2,54,0
7,0,54,4,0,2,54,0
1,0,8,4,0,2,54,0
52,0,303,4,0,2,54,0
27,0,182,4,0,2,54,0
4,0,45,4,0,2,54,0
4,0,45,4,0,2,54,0
1,0,1,4,0,2,54,0
5,0,50,4,0,2,54,0
5,0,72,4,0,2,54,0
7,0,74,4,0,2,54,0
1,0,39,7,0,5,2319,0
1,0,20,7,0,5,2319,0
15,0,249,15,2,8,1296,0
3,0,102,13,0,5,5350,0
1,0,51,7,0,5,2319,0
53,0,555,27,0,8,2319,0
2,0,128,9,0,4,5350,0
3,0,38,3,0,3,2319,0
1,0,53,3,0,3,2319,0
91,0,552,4,0,2,54,0
1,0,10,4,0,2,54,0
10,0,97,6,0,4,2472,0
11,0,92,5,0,3,236,0
17,0,138,4,0,2,54,0
1,0,1,4,0,2,54,0
1,0,24,4,0,2,54,0
27,0,223,5,0,3,5350,0
22,0,225,4,0,2,54,0
1,0,22,4,0,2,54,0
40,0,282,4,0,2,54,0
10,0,130,12,0,6,5350,0
1,0,8,4,0,2,54,0
3,0,9,4,0,2,54,0
3,0,27,6,0,4,54,0
1,0,19,6,0,4,54,0
26,0,245,8,0,5,54,0
3,0,52,4,0,2,54,0
1,0,8,4,0,2,54,0
1,0,8,4,0,2,54,0
1,0,17,4,0,2,54,0
8,0,62,9,0,6,2319,0
26,0,199,4,0,2,54,0
18,0,274,15,0,6,5350,0
9,0,200,7,2,5,828,0
4,0,33,4,0,2,54,0
2,0,76,7,0,5,2319,0
1,0,59,4,0,2,54,0
1,0,141,4,0,2,54,0
1,0,85,4,0,2,54,0
1,0,72,4,0,2,54,0
1,0,30,9,0,5,54,0
1,0,19,4,0,2,54,0
4,0,131,6,0,4,1296,0
1,0,56,4,0,2,54,0
1,0,56,4,0,2,54,0
1,0,85,8,0,5,54,0
1,0,105,4,0,2,54,0
5,0,80,9,2,5,5350,0
8,0,116,6,0,4,5350,0
12,0,187,3,2,3,828,0
8,0,165,5,0,2,5350,0
1,0,42,10,0,5,5350,0
1,0,39,5,0,3,5350,0
10,0,253,12,2,6,5350,0
11,0,174,15,0,4,5350,0
1,0,50,7,0,4,1296,0
8,0,408,36,0,10,5350,0
2,0,131,3,0,1,3997,0
2,0,94,3,0,1,3997,0
20,0,329,3,0,1,3997,0
1,0,48,3,0,1,3997,0
1,0,88,3,0,1,3997,0
1,0,99,3,0,1,3997,0
1,0,22,3,0,1,3997,0
1,0,42,3,0,1,3997,0
1,0,96,3,0,1,3997,0
1,0,119,8,0,7,310,0
4,0,253,9,0,7,5350,0
1,0,57,10,2,6,828,0
11,0,212,17,0,9,2472,0
15,0,246,17,0,9,5350,0
58,0,706,27,0,10,5350,0
3,0,50,9,0,5,1634,0
3,0,27,5,0,4,3997,0
11,0,100,5,0,4,3997,0
13,0,101,5,0,4,3997,0
1,0,2,6,0,4,3997,0
2,0,52,11,0,7,7,0
48,0,393,12,0,7,7,0
1,0,19,5,0,4,3997,0
8,0,69,5,0,4,3997,0
17,0,187,5,0,4,3997,0
10,0,144,9,0,5,1634,0
8,0,120,5,0,4,3997,0
6,0,101,5,0,4,3997,0
3,0,30,5,0,4,3997,0
1,0,8,5,0,4,3997,0
1,0,22,5,0,4,3997,0
9,0,58,5,0,4,3997,0
4,0,29,5,0,4,3997,0
1,0,6,6,0,4,3997,0
1,0,7,5,0,4,3997,0
1,0,2,3,0,2,3997,0
5,0,33,5,0,4,3997,0
1,0,11,10,0,7,505,0
1,0,6,10,0,7,505,0
4,0,115,10,0,7,505,0
16,0,83,10,0,7,505,0
11,0,83,14,0,8,505,0
4,0,50,10,0,7,505,0
1,0,10,9,0,7,505,0
7,0,59,10,0,7,505,0
20,0,267,94,0,16,20,0
3,0,134,8,0,6,505,0
1,0,37,19,0,10,505,0
29,0,265,10,0,8,236,0
6,0,56,23,0,12,665,0
7,0,45,12,0,8,505,0
