Type,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,target
0,16,1,102,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,8,1,1,11,12,0.5,0.55,33,6,1,1,0.452055,33,0,0,0,0,0,27,70,0,0,0,0,1,0,1,0,1,11,0,1,0,40,87,1,0,1,0,5,0,5,0,5,15,0,5,0,0
0,40,58,55,10,0.0,0,0,0,0.0,0.0,0,0,2,0,0,3,1,0,0,1,4,0.0,0.0,0,0,0,4,0.0,0,0,0,0,0,0,12,16,1,0,1,0,3,0,3,0,3,3,0,3,0,12,16,1,0,1,0,3,0,3,0,3,3,0,3,0,0
0,81,93,85,10,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,2,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,1,1,0,0,1,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0
0,18,1,67,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,7,1,1,14,15,0.5,0.636364,28,8,1,1,0.636364,28,0,0,0,0,0,16,50,0,0,0,0,1,0,1,0,1,11,0,1,0,16,50,0,0,0,0,1,0,1,0,1,11,0,1,0,0
0,13,1,48,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,8,1,1,13,14,0.5,0.387097,12,6,1,1,0.387097,12,0,0,0,0,0,19,36,0,0,0,0,1,0,1,0,1,11,0,1,0,19,36,0,0,0,0,1,0,1,0,1,11,0,1,0,0
0,12,1,46,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,2,7,1,1,9,10,0.5,0.366667,11,5,1,1,0.366667,11,0,0,0,0,0,19,35,0,0,0,0,1,0,1,0,1,12,0,1,0,19,35,0,0,0,0,1,0,1,0,1,12,0,1,0,0
0,13,1,38,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,2,5,1,1,8,9,0.5,0.347826,8,4,1,1,0.347826,8,0,0,0,0,0,15,26,0,0,0,0,1,0,1,0,1,12,0,1,0,15,26,0,0,0,0,1,0,1,0,1,12,0,1,0,0
0,15,1,41,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,4,1,1,5,6,0.5,0.576923,15,6,1,1,0.576923,15,0,0,0,0,0,11,27,0,0,0,0,1,0,1,0,1,7,0,1,0,11,27,0,0,0,0,1,0,1,0,1,7,0,1,0,0
0,14,1,47,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,6,1,1,4,5,0.5,0.416667,10,3,1,1,0.357143,10,0,0,0,0,0,14,30,0,0,0,0,1,0,1,0,1,8,0,1,0,18,34,0,0,0,0,2,0,2,0,2,9,0,2,0,0
0,27,90,32,10,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,2,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,1,1,0,0,1,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,6,6,0,0,0,0,1,0,1,0,1,1,0,1,0,0
0,15,1,36,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,6,1,1,5,6,0.5,0.388889,7,4,1,1,0.333333,7,0,0,0,0,0,11,19,0,0,0,0,1,0,1,0,1,6,0,1,0,14,22,0,0,0,0,2,0,2,0,2,7,0,2,0,0
0,25,92,29,10,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,2,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,1,1,0,0,1,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0
0,15,1,87,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,3,4,1,1,7,8,0.5,0.4,26,5,1,1,0.4,26,0,0,0,0,0,39,73,0,0,0,0,1,0,1,0,1,32,0,1,0,39,73,0,0,0,0,1,0,1,0,1,32,0,1,0,0
0,10,1,32,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,5,1,1,8,9,0.5,0.294118,5,3,1,1,0.238095,5,0,0,0,0,0,12,19,0,0,0,0,1,0,1,0,1,7,0,1,0,16,23,0,0,0,0,2,0,2,0,2,9,0,2,0,0
0,16,38,21,10,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,3,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,1,1,0,0,1,6,6,0,0,0,0,1,0,1,0,1,2,0,1,0,6,6,0,0,0,0,1,0,1,0,1,2,0,1,0,0
0,19,1,105,2,0.0,0,0,0,0.0,0.0,0,0,1,3,3,7,6,1,1,6,7,1.0,0.4125,33,18,2,0,0.4125,33,0,0,0,0,0,47,87,0,0,0,0,1,0,1,0,1,26,0,1,0,47,87,0,0,0,0,1,0,1,0,1,26,0,1,0,0
0,36,1,96,2,0.0,0,0,0,0.0,0.0,0,0,1,3,3,5,3,0,0,11,12,0.5,0.42029,29,26,1,1,0.42029,29,0,0,0,0,0,40,61,1,0,1,0,1,0,1,0,1,23,0,1,0,40,61,1,0,1,0,1,0,1,0,1,23,0,1,0,0
0,14,1,43,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,3,1,1,9,10,0.5,0.407407,11,3,1,1,0.407407,11,0,0,0,0,0,16,30,0,0,0,0,1,0,1,0,1,9,0,1,0,16,30,0,0,0,0,1,0,1,0,1,9,0,1,0,0
0,13,1,32,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,2,1,1,2,3,0.5,0.619048,13,5,1,1,0.619048,13,0,0,0,0,0,8,20,0,0,0,0,1,0,1,0,1,4,0,1,0,8,20,0,0,0,0,1,0,1,0,1,4,0,1,0,0
0,72,1,578,2,0.158392,1,12,3,0.112426,0.164384,57,48,2,5,3,60,11,5,7,21,40,0.8,0.415011,188,165,12,3,0.396694,192,2,2,0,0,2,265,472,17,2,12,0,19,0,14,0,26,165,4,19,0,292,507,19,2,14,0,21,0,16,0,28,184,4,21,0,1
0,132,5,166,6,0.0,0,0,0,0.0,0.0,0,0,1,3,3,10,1,1,1,1,3,0.0,0.129032,4,0,0,3,0.129032,4,0,0,0,0,0,27,35,2,0,2,0,2,0,2,0,2,19,0,2,0,27,35,2,0,2,0,2,0,2,0,2,19,0,2,0,1
0,18,1,127,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,10,6,1,0,10,14,0.2,0.0810811,6,3,1,4,0.0638298,6,1,1,0,0,1,68,88,5,0,1,0,4,0,4,0,5,57,0,5,0,88,110,69,12,1,0,7,0,7,0,85,70,6,49,0,0
0,53,39,64,14,0.0,0,0,0,0.0,0.0,0,0,1,1,1,2,3,0,0,3,4,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,12,12,0,0,0,0,1,0,1,0,1,9,0,1,0,12,12,0,0,0,0,1,0,1,0,1,9,0,1,0,0
0,87,39,100,10,0.0,0,0,0,0.0,0.0,0,0,2,0,0,2,2,0,0,2,4,0.0,0.0,0,0,0,3,0.0,0,4,4,0,0,1,12,14,64,12,0,0,2,0,2,0,79,4,6,43,0,12,14,64,12,0,0,2,0,2,0,79,4,6,43,0,0
0,85,1,661,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,15,0,0,1,1.0,0.951613,59,59,1,0,0.520073,285,0,0,0,0,0,3,38,0,0,0,0,1,0,0,0,1,0,0,0,0,263,577,13,11,13,11,51,0,50,0,51,120,0,50,0,1
0,456,5,522,6,0.0,0,0,0,0.0,0.0,0,0,1,2,2,8,2,3,10,3,9,0.857143,0.542373,32,32,6,1,0.542373,32,0,0,0,0,0,27,67,2,1,2,1,6,0,6,0,6,10,0,6,0,27,67,2,1,2,1,6,0,6,0,6,10,0,6,0,0
0,98,5,268,6,0.0,0,0,0,0.0,0.0,0,0,1,2,2,30,2,3,19,3,19,0.705882,0.43949,69,69,12,5,0.43949,69,0,0,0,0,0,88,171,3,4,3,4,16,0,16,0,16,44,0,16,0,88,171,3,4,3,4,16,0,16,0,16,44,0,16,0,0
0,279,5,450,6,0.0,0,0,0,0.0,0.0,0,0,1,2,2,30,2,14,42,3,19,0.705882,0.43949,69,69,12,5,0.43949,69,0,0,0,0,0,88,172,3,4,3,4,16,0,16,0,16,44,0,16,0,88,172,3,4,3,4,16,0,16,0,16,44,0,16,0,0
0,527,5,589,6,0.0,0,0,0,0.0,0.0,0,0,1,2,2,8,2,2,3,3,9,0.714286,0.509091,28,28,5,2,0.509091,28,0,0,0,0,0,27,63,2,1,2,1,6,0,6,0,6,10,0,6,0,27,63,2,1,2,1,6,0,6,0,6,10,0,6,0,0
0,594,5,659,6,0.0,0,0,0,0.0,0.0,0,0,1,2,2,9,2,2,3,3,9,0.714286,0.482759,28,28,5,2,0.482759,28,0,0,0,0,0,30,66,3,1,3,1,6,0,6,0,6,12,0,6,0,30,66,3,1,3,1,6,0,6,0,6,12,0,6,0,1
0,11,1,95,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,7,4,1,0,10,17,0.875,0.314286,22,22,7,1,0.305556,22,0,0,0,0,0,48,83,2,0,2,0,7,0,7,0,7,29,0,7,0,50,85,2,0,2,0,8,0,8,0,8,31,0,8,0,0
0,64,46,67,15,0.0,0,0,0,0.0,0.0,0,0,1,1,1,2,2,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,4,4,0,0,0,0,1,0,1,0,1,2,0,1,0,4,4,0,0,0,0,1,0,1,0,1,2,0,1,0,0
0,11,1,195,2,0.2848,2,4,3,0.178378,0.268519,33,29,2,1,1,20,4,1,0,19,35,0.941176,0.316129,49,49,16,1,0.312102,49,0,0,0,0,0,106,183,2,0,2,0,16,0,16,0,16,73,0,16,0,108,185,2,0,2,0,17,0,17,0,17,75,0,17,0,0
0,61,46,64,15,1.0,1,2,1,1.0,1.0,4,4,1,1,1,2,2,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,4,4,0,0,0,0,1,0,1,0,1,2,0,1,0,4,4,0,0,0,0,1,0,1,0,1,2,0,1,0,0
0,11,1,211,2,0.248257,2,4,3,0.164179,0.241667,33,29,3,1,1,21,5,1,0,22,39,0.888889,0.293413,49,49,16,2,0.289941,49,0,0,0,0,0,118,199,2,0,2,0,17,0,17,0,17,83,0,17,0,120,201,2,0,2,0,18,0,18,0,18,85,0,18,0,0
0,61,46,64,15,1.0,1,2,1,1.0,1.0,4,4,1,1,1,2,2,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,4,4,0,0,0,0,1,0,1,0,1,2,0,1,0,4,4,0,0,0,0,1,0,1,0,1,2,0,1,0,0
0,17,1,653,2,0.378004,7,68,14,0.211931,0.279898,135,110,2,3,3,13,4,22,2,4,8,1.0,0.577586,67,64,5,0,0.303191,171,0,0,7,7,0,49,191,7,0,7,0,4,7,4,0,4,28,7,4,0,393,637,23,0,23,0,28,7,27,0,42,304,7,41,0,1
0,82,106,105,6,0.572816,1,3,1,0.5,0.5,12,11,2,1,1,5,1,0,0,0,2,0.0,0.0434783,1,0,0,3,0.0434783,1,1,1,0,0,1,22,24,7,0,0,0,2,0,2,0,4,17,7,4,0,22,24,7,0,0,0,2,0,2,0,4,17,7,4,0,0
0,112,111,135,6,0.572816,1,3,1,0.5,0.5,12,11,2,1,1,5,1,0,0,0,2,0.0,0.0434783,1,0,0,3,0.0434783,1,1,1,0,0,1,22,24,7,0,0,0,2,0,2,0,4,17,7,4,0,22,24,7,0,0,0,2,0,2,0,4,17,7,4,0,0
0,142,95,166,6,0.0,0,0,0,0.0,0.0,0,0,2,2,2,5,2,0,0,0,2,0.0,0.0,0,0,0,3,0.0,0,1,1,0,0,1,23,25,7,0,0,0,2,0,2,0,4,18,7,4,0,23,25,7,0,0,0,2,0,2,0,4,18,7,4,0,0
0,51,5,74,6,0.0,0,0,0,0.0,0.0,0,0,1,1,1,5,2,2,5,2,5,0.333333,0.166667,4,4,1,2,0.166667,4,1,1,0,0,1,20,24,8,0,1,0,3,0,2,0,5,11,7,4,0,20,24,8,0,1,0,3,0,2,0,5,11,7,4,0,1
0,251,5,334,6,0.250646,1,9,1,0.154762,0.163934,13,10,1,3,3,24,5,4,4,5,10,0.333333,0.306818,27,24,2,4,0.306818,27,1,1,0,0,1,61,84,10,0,3,0,5,0,5,0,7,47,7,7,0,61,84,10,0,3,0,5,0,5,0,7,47,7,7,0,1
0,358,5,477,6,0.522613,4,25,5,0.341667,0.375,41,33,1,3,3,35,5,4,4,5,10,0.333333,0.272727,33,27,2,4,0.272727,33,1,1,0,0,1,88,120,12,0,5,0,5,0,5,0,7,71,7,7,0,88,120,12,0,5,0,5,0,5,0,7,71,7,7,0,1
0,502,5,652,6,0.495674,4,28,6,0.377483,0.394737,57,45,1,3,3,46,5,4,4,5,10,0.333333,0.25,38,29,2,4,0.25,38,1,1,0,0,1,114,151,14,0,7,0,5,0,5,0,7,95,7,7,0,114,151,14,0,7,0,5,0,5,0,7,95,7,7,0,1
0,13,1,214,2,0.0,0,0,0,0.0,0.0,0,0,5,4,4,21,13,0,0,18,26,0.0,0.0,0,0,0,9,0.0,0,0,0,0,0,0,145,202,3,0,3,0,8,0,8,0,8,116,0,8,0,145,202,3,0,3,0,8,0,8,0,8,116,0,8,0,0
0,92,1,2737,2,0.147656,14,123,33,0.141723,0.154826,375,316,12,6,6,264,29,31,160,40,105,0.106383,0.146193,144,97,5,42,0.085676,192,1,1,0,0,1,841,1143,25,0,25,0,65,0,46,0,65,576,0,46,0,2049,2646,66,0,58,0,256,0,205,0,283,1185,8,220,0,1
0,998,5,1017,6,0.0,0,0,0,0.0,0.0,0,0,1,1,1,4,3,2,2,5,8,0.0,0.0,0,0,0,2,0.0,0,1,1,0,0,1,16,20,6,0,0,0,3,0,1,0,9,8,0,3,0,16,20,6,0,0,0,3,0,1,0,9,8,0,3,0,0
0,762,5,870,6,0.219731,1,6,2,0.183486,0.181818,20,16,1,3,3,28,7,4,10,5,11,0.0,0.0927835,9,2,0,3,0.0927835,9,0,0,3,3,0,88,109,6,0,6,0,6,0,2,0,6,57,0,2,0,88,109,6,0,6,0,6,0,2,0,6,57,0,2,0,0
0,959,5,976,6,0.0,0,0,0,0.0,0.0,0,0,1,1,1,4,3,2,2,3,6,0.0,0.0,0,0,0,2,0.0,0,1,1,0,0,1,15,18,6,0,0,0,3,0,1,0,9,7,0,3,0,15,18,6,0,0,0,3,0,1,0,9,7,0,3,0,0
0,978,5,996,6,0.0,0,0,0,0.0,0.0,0,0,1,1,1,4,3,2,2,4,7,0.0,0.0,0,0,0,2,0.0,0,1,1,0,0,1,15,19,6,0,0,0,3,0,1,0,9,7,0,3,0,15,19,6,0,0,0,3,0,1,0,9,7,0,3,0,0
0,2188,5,2653,6,0.279101,7,38,9,0.229614,0.257062,107,91,5,3,3,125,4,4,7,20,67,0.1,0.0419162,14,9,4,36,0.0458221,17,0,0,0,0,0,320,425,5,0,5,0,47,0,39,0,47,156,0,39,0,354,466,7,0,7,0,53,0,45,0,62,171,0,54,0,0
0,2622,34,2628,14,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,1,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,1,1,0,0,1,7,7,2,0,0,0,1,0,1,0,4,2,0,4,0,7,7,2,0,0,0,1,0,1,0,4,2,0,4,0,0
0,2632,34,2639,14,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,1,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,1,1,0,0,1,7,8,2,0,0,0,1,0,1,0,4,2,0,4,0,7,8,2,0,0,0,1,0,1,0,4,2,0,4,0,0
0,2643,44,2649,14,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,1,0,0,1,2,0.0,0.0,0,0,0,2,0.0,0,1,1,0,0,1,7,7,2,0,0,0,1,0,1,0,4,2,0,4,0,7,7,2,0,0,0,1,0,1,0,4,2,0,4,0,0
0,2596,9,2620,10,0.0,0,0,0,0.0,0.0,0,0,1,1,1,5,1,4,3,3,6,0.25,0.136364,3,3,1,3,0.136364,3,0,0,3,3,0,19,25,2,0,2,0,3,0,3,0,3,9,0,3,0,19,25,2,0,2,0,3,0,3,0,3,9,0,3,0,0
0,207,5,240,6,0.0,0,0,0,0.0,0.0,0,0,3,1,1,10,1,4,6,0,9,0.0,0.0,0,0,0,8,0.0,0,1,1,0,0,1,24,34,2,0,2,0,9,0,7,0,9,15,0,7,0,24,34,2,0,2,0,9,0,7,0,9,15,0,7,0,0
0,1699,5,1766,6,0.177632,1,5,1,0.220588,0.230769,15,15,4,2,1,22,3,3,2,4,14,0.0,0.0,0,0,0,10,0.0,0,0,0,0,0,0,66,68,1,0,1,0,10,0,9,0,10,35,0,9,0,66,68,1,0,1,0,10,0,9,0,10,35,0,9,0,0
0,1550,5,1663,6,0.10998,1,5,1,0.131579,0.135135,15,15,4,2,1,38,4,4,6,4,32,0.0,0.0,0,0,0,28,0.0,0,0,0,0,0,0,113,114,2,0,2,0,28,0,27,0,28,45,0,27,0,113,114,2,0,2,0,28,0,27,0,28,45,0,27,0,0
0,243,5,268,6,0.0,0,0,0,0.0,0.0,0,0,3,0,0,9,1,8,10,0,8,0.0,0.0,0,0,0,8,0.0,0,1,1,0,0,1,20,26,3,0,3,0,8,0,7,0,8,11,0,7,0,20,26,3,0,3,0,8,0,7,0,8,11,0,7,0,0
0,273,5,423,6,0.0830861,1,8,2,0.165563,0.175,25,21,1,4,4,49,9,2,4,13,16,0.0,0.03125,4,0,0,4,0.03125,4,1,1,0,0,1,124,151,13,0,5,0,3,0,3,0,3,85,8,3,0,124,151,13,0,5,0,3,0,3,0,3,85,8,3,0,1
0,1770,5,2185,6,0.309158,7,38,9,0.254808,0.285714,106,90,2,3,3,123,7,4,6,24,71,0.1,0.0425532,14,9,4,36,0.0425532,14,0,0,0,0,0,315,416,5,0,5,0,47,0,39,0,47,154,0,39,0,315,416,5,0,5,0,47,0,39,0,47,154,0,39,0,0
0,173,5,194,6,0.0,0,0,0,0.0,0.0,0,0,3,0,0,4,0,2,4,0,4,0.2,0.142857,3,3,1,4,0.142857,3,0,0,0,0,0,18,22,1,0,1,0,4,0,4,0,4,4,0,4,0,18,22,1,0,1,0,4,0,4,0,4,4,0,4,0,0
0,1665,5,1697,6,0.0,0,0,0,0.0,0.0,0,0,3,1,1,9,2,1,0,3,11,0.0,0.0,0,0,0,8,0.0,0,0,0,0,0,0,33,33,1,0,1,0,8,0,7,0,8,10,0,7,0,33,33,1,0,1,0,8,0,7,0,8,10,0,7,0,0
0,27,1,7770,2,0.985061,332,6061,1138,0.956095,0.982071,7404,6135,6,5,5,906,3,0,0,34,130,0.0319149,0.0914776,629,9,3,91,0.0914776,629,0,0,0,0,0,6247,7744,19,0,19,0,96,0,93,1,96,5051,0,93,1,6247,7744,19,0,19,0,96,0,93,1,96,5051,0,93,1,0
0,22,1,65,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,7,7,0,0,4,10,0.0,0.0,0,0,0,2,0.0,0,2,2,0,0,1,33,44,9,3,2,3,6,0,1,0,95,11,0,82,0,33,44,9,3,2,3,6,0,1,0,95,11,0,82,0,0
0,7,1,497,2,0.370594,5,24,13,0.313646,0.387435,154,148,1,1,1,45,1,2,2,1,35,0.0,0.0425,17,0,0,35,0.0425,17,0,0,2,2,0,383,491,1,0,1,0,34,0,34,1,34,229,0,34,1,383,491,1,0,1,0,34,0,34,1,34,229,0,34,1,0
0,3,1,20,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,1,0,0,1,3,0.0,0.0666667,1,0,0,3,0.0666667,1,1,1,0,0,1,14,18,1,0,0,0,2,0,2,1,36,6,0,36,2,14,18,1,0,0,0,2,0,2,1,36,6,0,36,2,0
0,3,1,18,2,0.0,0,0,0,0.0,0.0,0,0,1,0,0,2,1,0,0,1,3,0.0,0.0769231,1,0,0,3,0.0769231,1,1,1,0,0,1,12,16,1,0,0,0,2,0,2,1,36,4,0,36,2,12,16,1,0,0,0,2,0,2,1,36,4,0,36,2,0
0,58,1,336,2,0.254975,2,4,4,0.222222,0.254237,62,60,1,0,0,18,2,0,0,3,21,0.0526316,0.0247934,6,6,1,18,0.0247934,6,0,0,0,0,0,236,279,9,0,9,0,18,0,18,0,18,181,0,18,0,236,279,9,0,9,0,18,0,18,0,18,181,0,18,0,0
0,12,1,880,2,0.733523,26,68,40,0.470656,0.66955,409,387,2,2,2,103,3,0,0,7,64,0.924528,0.262821,205,188,49,4,0.261146,205,1,1,0,0,1,575,864,18,0,0,0,57,0,52,2,58,482,18,53,2,580,869,18,0,0,0,58,0,53,2,59,483,18,54,2,0
0,20,5,24,6,0.0,0,0,0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,1,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,5,5,0,0,0,0,1,0,1,0,1,1,0,1,0,0
0,13,1,310,2,0.0,0,0,0,0.0,0.0,0,0,3,2,2,35,9,0,0,29,46,0.0,0.0506912,11,0,0,18,0.0506912,11,0,0,0,0,0,206,298,2,0,2,0,17,0,17,0,17,163,0,17,0,206,298,2,0,2,0,17,0,17,0,17,163,0,17,0,0
0,22,1,63,2,0.0,0,0,0,0.0,0.0,0,0,1,1,1,7,7,0,0,4,10,0.0,0.0,0,0,0,2,0.0,0,2,2,0,0,1,32,42,8,3,1,3,6,0,1,0,95,11,0,82,0,32,42,8,3,1,3,6,0,1,0,95,11,0,82,0,0
0,16,1,265,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,45,4,0,0,5,21,0.111111,0.05,11,10,1,8,0.05,11,2,2,0,0,1,209,250,7,3,0,3,16,0,8,0,105,155,0,89,0,209,250,7,3,0,3,16,0,8,0,105,155,0,89,0,0
0,27,1,1862,2,0.368267,19,155,50,0.338235,0.37781,621,521,4,2,2,167,8,0,0,43,94,0.804348,0.18232,297,118,37,9,0.178678,300,0,0,0,0,0,1332,1785,3,0,3,0,51,1,45,1,51,1003,1,45,1,1379,1836,3,1,3,1,58,1,52,1,58,1020,1,52,1,0
0,207,5,225,6,0.0,0,0,0,0.0,0.0,0,0,2,1,1,4,0,1,0,0,3,0.25,0.0555556,1,1,1,3,0.0555556,1,0,0,0,0,0,17,19,0,1,0,1,3,0,3,0,3,5,0,3,0,17,19,0,1,0,1,3,0,3,0,3,5,0,3,0,0
0,63,5,77,6,0.875,1,3,1,0.733333,0.785714,11,11,1,1,1,4,0,1,0,0,1,0.5,0.0666667,1,1,1,1,0.0666667,1,0,0,0,0,0,14,15,0,0,0,0,1,0,1,0,1,7,0,1,0,14,15,0,0,0,0,1,0,1,0,1,7,0,1,0,0
0,52,5,60,6,0.0,0,0,0,0.0,0.0,0,0,2,0,0,2,0,1,0,0,2,0.0,0.0,0,0,0,3,0.0,0,0,0,0,0,0,8,9,0,0,0,0,2,0,2,0,2,2,0,2,0,8,9,0,0,0,0,2,0,2,0,2,2,0,2,0,0
0,1438,5,1445,6,0.0,0,0,0,0.0,0.0,0,0,1,1,1,2,0,1,0,0,1,0.5,0.111111,1,1,1,1,0.111111,1,0,0,0,0,0,8,8,0,0,0,0,1,0,1,0,1,3,0,1,0,8,8,0,0,0,0,1,0,1,0,1,3,0,1,0,0
0,14,1,1416,2,0.684999,30,84,74,0.434783,0.596311,610,582,2,1,1,142,4,0,0,5,101,0.946237,0.23511,300,300,88,5,0.23511,300,1,1,0,0,1,976,1403,18,0,0,0,96,0,92,0,97,748,18,93,0,976,1403,18,0,0,0,96,0,92,0,97,748,18,93,0,0
0,14,1,1273,2,0.616484,31,99,49,0.459524,0.581421,579,532,5,3,3,166,5,1,0,11,82,0.934426,0.200185,217,201,57,4,0.191396,218,1,1,0,0,1,867,1204,21,0,3,0,71,0,60,0,72,658,18,61,0,921,1260,21,0,3,0,83,0,60,0,84,685,18,61,0,0
