McCC,CLOC,PDA,PUA,LLOC,LOC,ID.1,LongName.1,Parent.1,McCC.1,CLOC.1,LLOC.1,Number of committers,Number of developer commits,Number of previous modifications,Number of previous fixes,target
1,0,0,5,36,72,382,84,99,1.0,0.0,36.0,0.0,0.0,1.0,0.0,0
1,0,0,2,25,49,383,85,99,1.0,0.0,25.0,4.0,70.0,6.0,0.0,0
2,0,0,5,127,209,384,86,99,2.0,0.0,127.0,0.0,0.0,1.0,0.0,0
2,0,0,5,127,175,385,87,99,2.0,0.0,127.0,0.0,0.0,1.0,0.0,0
2,0,0,3,52,90,386,88,99,2.0,0.0,52.0,0.0,0.0,1.0,0.0,0
2,0,0,17,261,351,387,89,99,2.0,0.0,261.0,0.0,0.0,1.0,0.0,0
3,0,0,3,44,72,388,90,99,3.0,0.0,44.0,0.0,0.0,1.0,0.0,0
1,0,0,2,55,83,389,91,99,1.0,0.0,55.0,4.0,70.0,5.0,0.0,0
3,0,0,2,70,114,390,92,99,3.0,0.0,70.0,0.0,0.0,1.0,0.0,0
1,0,1,2,32,72,0,93,0,1.0,0.0,32.0,0.0,0.0,1.0,0.0,0
1,0,4,0,16,69,1,94,0,1.0,0.0,16.0,0.0,0.0,1.0,0.0,0
1,0,1,3,15,51,2,95,0,1.0,0.0,15.0,0.0,0.0,1.0,0.0,0
1,0,1,3,15,49,3,96,0,1.0,0.0,15.0,0.0,0.0,1.0,0.0,0
6,0,2,4,65,112,180,97,43,6.0,0.0,65.0,0.0,0.0,1.0,0.0,0
33,0,0,19,236,308,249,98,66,33.0,0.0,236.0,0.0,0.0,1.0,0.0,0
6,0,1,2,52,92,407,99,106,6.0,0.0,52.0,1.0,70.0,2.0,0.0,0
5,0,0,2,76,120,408,100,106,5.0,0.0,76.0,0.0,0.0,1.0,0.0,0
50,0,16,40,602,789,409,101,106,50.0,0.0,602.0,1.0,70.0,2.0,0.0,0
28,0,10,13,201,327,410,102,106,28.0,0.0,201.0,0.0,0.0,1.0,0.0,0
6,0,4,0,92,151,411,103,106,6.0,0.0,92.0,0.0,0.0,1.0,0.0,0
1,0,0,7,33,65,77,104,21,1.0,0.0,33.0,0.0,0.0,1.0,0.0,0
11,0,3,31,190,307,78,105,21,11.0,0.0,190.0,0.0,0.0,1.0,0.0,0
3,0,0,2,24,51,140,106,35,3.0,0.0,24.0,0.0,0.0,1.0,0.0,0
1,0,1,1,14,46,141,107,35,1.0,0.0,14.0,1.0,70.0,2.0,0.0,0
1,0,0,4,162,203,143,108,37,1.0,0.0,162.0,0.0,0.0,1.0,0.0,0
145,0,0,4,670,820,181,109,44,145.0,0.0,670.0,2.0,70.0,6.0,0.0,0
50,0,9,16,269,398,182,110,44,50.0,0.0,269.0,0.0,0.0,1.0,0.0,0
111,0,0,1,1495,1862,183,111,44,111.0,0.0,1495.0,1.0,70.0,2.0,0.0,0
41,0,0,3,134,193,184,112,44,41.0,0.0,134.0,0.0,0.0,1.0,0.0,0
112,0,0,30,868,1108,185,113,44,112.0,0.0,868.0,1.0,70.0,2.0,0.0,0
8,0,0,5,92,139,186,114,44,8.0,0.0,92.0,0.0,0.0,1.0,0.0,0
10,0,0,5,67,104,187,115,44,10.0,0.0,67.0,0.0,0.0,1.0,0.0,0
20,0,3,4,105,169,188,116,44,20.0,0.0,105.0,0.0,0.0,1.0,0.0,0
1,0,0,7,12,43,189,117,44,1.0,0.0,12.0,0.0,0.0,1.0,0.0,0
16,0,0,0,122,163,190,118,44,16.0,0.0,122.0,0.0,0.0,1.0,0.0,0
17,0,0,5,268,333,191,119,44,17.0,0.0,268.0,0.0,0.0,1.0,0.0,0
6,0,0,5,51,86,192,120,44,6.0,0.0,51.0,0.0,0.0,1.0,0.0,0
1,0,0,1,11,37,193,121,44,1.0,0.0,11.0,0.0,0.0,1.0,0.0,0
1,0,0,1,11,38,194,122,44,1.0,0.0,11.0,0.0,0.0,1.0,0.0,0
1,0,0,2,14,42,195,123,44,1.0,0.0,14.0,0.0,0.0,1.0,0.0,0
2,0,25,0,141,372,402,124,103,2.0,0.0,141.0,0.0,0.0,1.0,0.0,0
4,0,2,0,37,90,403,125,103,4.0,0.0,37.0,0.0,0.0,1.0,0.0,0
5,0,0,5,57,101,7,126,2,5.0,0.0,57.0,0.0,0.0,1.0,0.0,0
1,0,0,5,37,68,8,127,2,1.0,0.0,37.0,0.0,0.0,1.0,0.0,0
1,0,0,5,37,71,9,128,2,1.0,0.0,37.0,0.0,0.0,1.0,0.0,0
1,0,0,5,37,69,10,129,2,1.0,0.0,37.0,0.0,0.0,1.0,0.0,0
1,0,0,5,37,68,12,130,2,1.0,0.0,37.0,0.0,0.0,1.0,0.0,0
1,0,0,5,37,68,13,131,2,1.0,0.0,37.0,0.0,0.0,1.0,0.0,0
1,0,0,5,37,71,14,132,2,1.0,0.0,37.0,0.0,0.0,1.0,0.0,0
1,0,0,3,39,72,11,133,2,1.0,0.0,39.0,0.0,0.0,1.0,0.0,0
5,0,0,5,92,136,21,134,2,5.0,0.0,92.0,0.0,0.0,1.0,0.0,0
1,0,0,3,28,58,22,135,2,1.0,0.0,28.0,0.0,0.0,1.0,0.0,0
11,0,0,5,119,171,15,136,2,11.0,0.0,119.0,0.0,0.0,1.0,0.0,0
1,0,0,2,20,50,16,137,2,1.0,0.0,20.0,0.0,0.0,1.0,0.0,0
1,0,0,2,20,49,17,138,2,1.0,0.0,20.0,0.0,0.0,1.0,0.0,0
1,0,0,3,34,67,18,139,2,1.0,0.0,34.0,0.0,0.0,1.0,0.0,0
1,0,0,2,20,48,19,140,2,1.0,0.0,20.0,0.0,0.0,1.0,0.0,0
1,0,0,2,20,49,20,141,2,1.0,0.0,20.0,0.0,0.0,1.0,0.0,0
2,0,0,5,39,73,23,142,2,2.0,0.0,39.0,0.0,0.0,1.0,0.0,0
9,0,1,4,102,150,24,143,2,9.0,0.0,102.0,0.0,0.0,1.0,0.0,0
1,0,0,3,30,62,25,144,2,1.0,0.0,30.0,0.0,0.0,1.0,0.0,0
13,0,2,1,58,96,26,145,2,13.0,0.0,58.0,0.0,0.0,1.0,0.0,0
6,0,0,5,53,85,27,146,2,6.0,0.0,53.0,0.0,0.0,1.0,0.0,0
2,0,0,5,37,67,28,147,2,2.0,0.0,37.0,0.0,0.0,1.0,0.0,0
3,0,0,5,37,69,29,148,2,3.0,0.0,37.0,0.0,0.0,1.0,0.0,0
2,0,0,5,39,73,30,149,2,2.0,0.0,39.0,0.0,0.0,1.0,0.0,0
1,0,0,3,30,62,31,150,2,1.0,0.0,30.0,0.0,0.0,1.0,0.0,0
1,0,0,3,50,83,4,151,1,1.0,0.0,50.0,0.0,0.0,1.0,0.0,0
1,0,0,3,22,49,5,152,1,1.0,0.0,22.0,0.0,0.0,1.0,0.0,0
1,0,0,3,22,51,6,153,1,1.0,0.0,22.0,0.0,0.0,1.0,0.0,0
1,0,0,6,113,164,250,154,69,1.0,0.0,113.0,0.0,0.0,1.0,0.0,0
1,0,0,3,29,59,412,155,107,1.0,0.0,29.0,0.0,0.0,1.0,0.0,0
1,0,0,3,45,84,79,156,22,1.0,0.0,45.0,0.0,0.0,1.0,0.0,0
2,0,0,2,25,56,80,157,22,2.0,0.0,25.0,0.0,0.0,1.0,0.0,0
1,0,0,3,28,57,142,158,36,1.0,0.0,28.0,1.0,70.0,2.0,0.0,0
3,0,0,7,229,305,197,159,45,3.0,0.0,229.0,1.0,70.0,2.0,0.0,0
32,0,0,28,882,1096,196,160,45,32.0,0.0,882.0,0.0,0.0,1.0,0.0,0
1,0,0,4,63,100,198,161,45,1.0,0.0,63.0,0.0,0.0,1.0,0.0,0
2,0,0,8,110,160,199,162,45,2.0,0.0,110.0,0.0,0.0,1.0,0.0,0
6,0,0,14,245,355,200,163,45,6.0,0.0,245.0,0.0,0.0,1.0,0.0,0
1,0,0,3,60,105,201,164,45,1.0,0.0,60.0,0.0,0.0,1.0,0.0,0
11,0,0,3,74,117,202,165,45,11.0,0.0,74.0,0.0,0.0,1.0,0.0,0
1,0,0,3,56,93,32,166,3,1.0,0.0,56.0,0.0,0.0,1.0,0.0,0
1,0,2,2,27,65,33,167,4,1.0,0.0,27.0,0.0,0.0,1.0,0.0,0
1,0,4,0,16,69,35,168,5,1.0,0.0,16.0,0.0,0.0,1.0,0.0,0
1,0,4,0,15,58,37,169,5,1.0,0.0,15.0,0.0,0.0,1.0,0.0,0
1,0,0,0,1,26,36,170,5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0
1,0,0,0,1,26,34,171,4,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0
1,0,0,4,15,42,38,172,6,1.0,0.0,15.0,1.0,70.0,1.0,0.0,0
7,0,0,31,180,248,39,173,7,7.0,0.0,180.0,2.0,70.0,8.0,0.0,0
7,0,1,12,70,112,40,174,7,7.0,0.0,70.0,1.0,70.0,1.0,0.0,0
7,0,1,14,77,119,41,175,7,7.0,0.0,77.0,1.0,70.0,1.0,0.0,0
7,0,0,15,78,117,42,176,7,7.0,0.0,78.0,1.0,70.0,1.0,0.0,0
7,0,0,13,69,106,43,177,7,7.0,0.0,69.0,1.0,70.0,1.0,0.0,0
7,0,0,13,68,105,44,178,7,7.0,0.0,68.0,1.0,70.0,1.0,0.0,0
12,0,0,9,53,86,45,179,7,12.0,0.0,53.0,1.0,70.0,1.0,0.0,0
7,0,0,11,59,93,46,180,7,7.0,0.0,59.0,2.0,70.0,6.0,0.0,0
12,0,1,8,53,90,47,181,7,12.0,0.0,53.0,1.0,70.0,1.0,0.0,0
1,0,0,2,10,34,50,182,9,1.0,0.0,10.0,1.0,70.0,1.0,0.0,0
1,0,0,3,14,21,51,183,10,1.0,0.0,14.0,1.0,70.0,1.0,0.0,0
15,0,0,7,230,291,52,184,10,15.0,0.0,230.0,2.0,590.0,4.0,0.0,0
1,0,4,0,16,59,53,185,10,1.0,0.0,16.0,1.0,70.0,1.0,0.0,0
83,0,2,24,774,904,55,186,12,83.0,0.0,774.0,2.0,590.0,17.0,0.0,0
11,0,0,3,159,203,48,187,8,11.0,0.0,159.0,1.0,70.0,1.0,0.0,0
10,0,0,3,50,84,49,188,8,10.0,0.0,50.0,1.0,70.0,1.0,0.0,0
2,0,0,4,105,150,54,189,11,2.0,0.0,105.0,1.0,70.0,1.0,0.0,0
20,0,0,16,364,450,56,190,13,20.0,0.0,364.0,2.0,70.0,9.0,0.0,0
1,0,0,5,49,84,57,191,14,1.0,0.0,49.0,0.0,0.0,1.0,0.0,0
4,0,0,2,27,59,58,192,14,4.0,0.0,27.0,0.0,0.0,1.0,0.0,0
3,0,0,3,29,59,59,193,14,3.0,0.0,29.0,0.0,0.0,1.0,0.0,0
2,0,2,0,21,73,62,194,16,2.0,0.0,21.0,0.0,0.0,1.0,0.0,0
9,0,3,4,62,125,63,195,16,9.0,0.0,62.0,0.0,0.0,1.0,0.0,0
5,0,2,4,40,87,64,196,16,5.0,0.0,40.0,0.0,0.0,1.0,0.0,0
1,0,1,0,8,41,65,197,16,1.0,0.0,8.0,0.0,0.0,1.0,0.0,0
4,0,4,3,43,101,66,198,16,4.0,0.0,43.0,0.0,0.0,1.0,0.0,0
1,0,2,0,24,71,67,199,16,1.0,0.0,24.0,0.0,0.0,1.0,0.0,0
7,0,2,3,51,102,68,200,16,7.0,0.0,51.0,0.0,0.0,1.0,0.0,0
1,0,3,0,33,88,70,201,18,1.0,0.0,33.0,0.0,0.0,1.0,0.0,0
2,0,3,0,22,73,71,202,18,2.0,0.0,22.0,0.0,0.0,1.0,0.0,0
2,0,0,4,37,73,72,203,19,2.0,0.0,37.0,0.0,0.0,1.0,0.0,0
6,0,0,3,139,210,73,204,19,6.0,0.0,139.0,1.0,70.0,2.0,0.0,0
1,0,0,4,18,47,74,205,19,1.0,0.0,18.0,0.0,0.0,1.0,0.0,0
2,0,2,0,13,55,81,206,23,2.0,0.0,13.0,0.0,0.0,1.0,0.0,0
1,0,1,3,6,35,83,207,25,1.0,0.0,6.0,0.0,0.0,1.0,0.0,0
31,0,2,1,314,507,84,208,26,31.0,0.0,314.0,0.0,0.0,1.0,0.0,0
18,0,3,8,155,251,85,209,26,18.0,0.0,155.0,0.0,0.0,1.0,0.0,0
38,0,12,1,304,466,86,210,26,38.0,0.0,304.0,1.0,70.0,2.0,0.0,0
18,0,10,0,163,293,88,211,26,18.0,0.0,163.0,0.0,0.0,1.0,0.0,0
8,0,0,2,120,174,87,212,26,8.0,0.0,120.0,0.0,0.0,1.0,0.0,0
9,0,0,5,55,93,60,213,15,9.0,0.0,55.0,0.0,0.0,1.0,0.0,0
2,0,0,7,80,130,61,214,15,2.0,0.0,80.0,0.0,0.0,1.0,0.0,0
28,0,0,8,172,275,69,215,17,28.0,0.0,172.0,0.0,0.0,1.0,0.0,0
1,0,0,2,16,44,75,216,20,1.0,0.0,16.0,0.0,0.0,1.0,0.0,0
7,0,0,4,80,126,76,217,20,7.0,0.0,80.0,1.0,70.0,2.0,0.0,0
4,0,0,2,34,68,82,218,24,4.0,0.0,34.0,0.0,0.0,1.0,0.0,0
2,0,0,6,140,225,89,219,27,2.0,0.0,140.0,0.0,0.0,1.0,0.0,0
12,0,0,6,138,206,90,220,27,12.0,0.0,138.0,0.0,0.0,1.0,0.0,0
2,0,1,4,107,165,91,221,27,2.0,0.0,107.0,1.0,70.0,2.0,0.0,0
7,0,0,5,99,161,93,222,27,7.0,0.0,99.0,0.0,0.0,1.0,0.0,0
5,0,0,5,92,163,92,223,27,5.0,0.0,92.0,0.0,0.0,1.0,0.0,0
1,0,5,0,7,63,94,224,28,1.0,0.0,7.0,0.0,0.0,1.0,0.0,0
1,0,2,0,6,47,95,225,28,1.0,0.0,6.0,0.0,0.0,1.0,0.0,0
1,0,3,0,8,59,96,226,28,1.0,0.0,8.0,0.0,0.0,1.0,0.0,0
1,0,2,0,5,46,97,227,28,1.0,0.0,5.0,1.0,70.0,1.0,0.0,0
1,0,0,0,1,26,98,228,28,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0
7,0,1,3,90,144,99,229,29,7.0,0.0,90.0,0.0,0.0,1.0,0.0,0
2,0,0,6,59,97,100,230,29,2.0,0.0,59.0,0.0,0.0,1.0,0.0,0
1,0,0,4,23,53,101,231,29,1.0,0.0,23.0,0.0,0.0,1.0,0.0,0
1,0,0,7,29,59,102,232,29,1.0,0.0,29.0,0.0,0.0,1.0,0.0,0
1,0,0,2,12,40,103,233,29,1.0,0.0,12.0,0.0,0.0,1.0,0.0,0
4,0,4,0,33,80,104,234,29,4.0,0.0,33.0,0.0,0.0,1.0,0.0,0
3,0,0,4,122,176,105,235,29,3.0,0.0,122.0,1.0,70.0,2.0,0.0,0
13,0,4,0,104,169,106,236,29,13.0,0.0,104.0,2.0,590.0,4.0,0.0,0
2,0,1,5,63,105,107,237,29,2.0,0.0,63.0,1.0,70.0,1.0,0.0,0
1,0,0,4,23,53,108,238,29,1.0,0.0,23.0,1.0,70.0,1.0,0.0,0
1,0,11,2,50,121,109,239,29,1.0,0.0,50.0,1.0,70.0,1.0,0.0,0
1,0,0,2,12,39,110,240,29,1.0,0.0,12.0,1.0,70.0,1.0,0.0,0
4,0,4,0,33,80,111,241,29,4.0,0.0,33.0,1.0,70.0,1.0,0.0,0
3,0,1,3,124,182,112,242,29,3.0,0.0,124.0,1.0,70.0,1.0,0.0,0
17,0,2,2,152,233,116,243,31,17.0,0.0,152.0,0.0,0.0,1.0,0.0,0
77,0,8,2,362,543,117,244,31,77.0,0.0,362.0,2.0,590.0,4.0,0.0,0
16,0,2,3,126,207,119,245,31,16.0,0.0,126.0,1.0,70.0,2.0,0.0,0
5,0,3,0,157,234,120,246,31,5.0,0.0,157.0,0.0,0.0,1.0,0.0,0
17,0,2,3,135,215,121,247,31,17.0,0.0,135.0,2.0,590.0,4.0,0.0,0
5,0,3,0,157,234,122,248,31,5.0,0.0,157.0,1.0,70.0,1.0,0.0,0
1,0,0,0,1,26,118,249,31,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0
3,0,9,0,38,108,126,250,33,3.0,0.0,38.0,0.0,0.0,1.0,0.0,0
7,0,10,1,71,155,127,251,33,7.0,0.0,71.0,0.0,0.0,1.0,0.0,0
18,0,10,0,55,141,128,252,33,18.0,0.0,55.0,0.0,0.0,1.0,0.0,0
10,0,1,0,332,437,129,253,33,10.0,0.0,332.0,0.0,0.0,1.0,0.0,0
19,0,11,3,374,535,130,254,33,19.0,0.0,374.0,0.0,0.0,2.0,0.0,0
16,0,9,0,56,134,131,255,33,16.0,0.0,56.0,1.0,70.0,1.0,0.0,0
48,0,5,0,689,820,132,256,33,48.0,0.0,689.0,2.0,70.0,5.0,0.0,0
3,0,13,0,76,200,133,257,33,3.0,0.0,76.0,1.0,70.0,1.0,0.0,0
7,0,11,1,87,176,134,258,33,7.0,0.0,87.0,1.0,70.0,1.0,0.0,0
42,0,14,13,523,703,135,259,33,42.0,0.0,523.0,2.0,590.0,4.0,0.0,0
1,0,0,0,1,26,136,260,33,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0
1,0,3,0,7,50,144,261,38,1.0,0.0,7.0,0.0,0.0,1.0,0.0,0
1,0,3,0,7,50,145,262,38,1.0,0.0,7.0,1.0,70.0,1.0,0.0,0
4,0,0,2,29,60,146,263,39,4.0,0.0,29.0,0.0,0.0,1.0,0.0,0
5,0,0,2,36,71,147,264,39,5.0,0.0,36.0,0.0,0.0,1.0,0.0,0
4,0,0,2,27,58,148,265,39,4.0,0.0,27.0,1.0,70.0,2.0,0.0,0
6,0,2,0,31,66,149,266,39,6.0,0.0,31.0,1.0,70.0,1.0,0.0,0
5,0,2,0,32,67,150,267,39,5.0,0.0,32.0,1.0,70.0,1.0,0.0,0
1,0,0,5,96,144,113,268,30,1.0,0.0,96.0,1.0,70.0,1.0,0.0,0
1,0,0,6,69,104,114,269,30,1.0,0.0,69.0,1.0,70.0,1.0,0.0,0
1,0,0,3,48,78,115,270,30,1.0,0.0,48.0,1.0,70.0,1.0,0.0,0
6,0,1,6,166,224,123,271,32,6.0,0.0,166.0,1.0,70.0,1.0,0.0,0
2,0,0,7,122,174,124,272,32,2.0,0.0,122.0,1.0,70.0,1.0,0.0,0
2,0,0,7,123,174,125,273,32,2.0,0.0,123.0,1.0,70.0,1.0,0.0,0
1,0,0,3,17,44,137,274,34,1.0,0.0,17.0,1.0,70.0,1.0,0.0,0
1,0,0,4,111,151,138,275,34,1.0,0.0,111.0,2.0,590.0,4.0,0.0,0
1,0,0,7,64,116,139,276,34,1.0,0.0,64.0,1.0,70.0,1.0,0.0,0
6,0,1,4,58,131,291,277,89,6.0,0.0,58.0,1.0,70.0,1.0,0.0,0
5,0,1,1,32,78,292,278,90,5.0,0.0,32.0,1.0,70.0,1.0,0.0,0
3,0,1,13,92,149,293,279,91,3.0,0.0,92.0,3.0,70.0,5.0,0.0,0
6,0,5,1,66,140,294,280,91,6.0,0.0,66.0,1.0,70.0,2.0,0.0,0
1,0,0,3,13,42,295,281,91,1.0,0.0,13.0,3.0,70.0,5.0,0.0,0
2,0,3,0,112,171,296,282,92,2.0,0.0,112.0,1.0,70.0,1.0,0.0,0
22,0,6,5,240,364,297,283,92,22.0,0.0,240.0,1.0,70.0,4.0,1.0,0
3,0,0,3,109,159,289,284,88,3.0,0.0,109.0,1.0,70.0,1.0,0.0,0
7,0,0,10,77,115,290,285,88,7.0,0.0,77.0,1.0,70.0,1.0,0.0,0
1,0,1,3,35,69,151,286,40,1.0,0.0,35.0,1.0,70.0,1.0,0.0,0
