McCC,CLOC,LLOC,Number of previous fixes,Number of previous modifications,Number of committers,Number of developer commits,target
1,0,17,0,5,2,1843,0
1,0,28,1,3,2,1843,0
6,0,94,1,3,2,1843,0
16,0,803,1,3,2,1843,0
1,0,354,1,3,2,1843,0
1,0,31,1,4,2,1843,0
1,0,250,1,3,2,1843,0
1,0,52,1,7,2,1843,0
1,0,178,1,3,2,1843,1
3,0,210,1,4,2,1843,0
8,0,401,1,3,2,1843,0
238,0,1498,1,9,2,1843,0
2,0,31,1,7,2,1843,0
1,0,113,1,6,2,1843,0
4,0,134,0,1,1,68,0
6,0,799,0,8,2,1843,0
9,0,152,0,4,2,1843,0
1,0,460,0,1,1,68,0
1,0,74,0,4,2,1843,0
3,0,263,0,2,1,68,0
3,0,161,0,2,1,68,0
4,0,39,0,1,1,68,0
5,0,199,0,1,1,68,0
1,0,8,1,5,2,1843,0
4,0,26,1,6,2,1843,0
4,0,27,1,7,2,1843,0
1,0,17,1,8,2,1843,0
8,0,1254,1,33,3,1843,0
3,0,42,1,6,2,1843,0
4,0,86,0,5,2,1843,0
2,0,26,0,5,2,1843,0
2,0,13,1,7,2,1843,0
1,0,9,1,5,2,1843,0
98,0,1069,1,12,2,1843,0
1,0,45,1,9,2,1843,0
1,0,286,1,8,2,1843,0
1,0,186,1,9,2,1843,0
1,0,935,1,8,2,1843,0
1,0,148,1,9,2,1843,0
1,0,4678,1,10,2,1843,0
1,0,206,1,7,2,1843,0
1,0,273,1,16,3,1843,0
1,0,395,1,11,2,1843,0
1,0,151,1,7,2,1843,0
1,0,150,1,8,2,1843,0
1,0,394,1,12,2,1843,0
1,0,209,1,8,2,1843,0
1,0,34,2,42,2,1843,0
1,0,11,1,44,3,1843,0
1,0,23,0,19,2,1843,0
18,0,147,1,33,2,1843,0
3,0,23,0,20,2,1300,0
1,0,43,0,24,2,1843,0
61,0,293,1,62,2,1843,0
1,0,6,0,23,2,1843,0
9,0,154,0,40,2,1843,0
4,0,29,0,11,2,1300,0
12,0,52,0,39,2,1843,0
1,0,14,0,15,2,1300,0
38,0,258,1,74,2,1843,0
9,0,86,0,28,2,1843,0
3,0,51,1,37,2,1843,0
1,0,7,0,19,2,1843,0
1,0,15,0,8,2,1843,0
1,0,14,0,26,2,1843,0
22,0,262,0,102,3,1843,0
5,0,72,0,11,2,1843,0
3,0,37,1,30,2,1843,0
24,0,120,0,9,2,1843,0
1,0,34,0,48,2,1843,0
71,0,498,0,156,2,1843,1
30,0,214,0,18,2,1843,0
34,0,157,0,98,3,1843,1
6,0,63,0,24,2,1843,0
4,0,58,0,48,2,1843,0
12,0,146,2,85,2,1843,0
18,0,148,0,84,2,1843,0
9,0,42,1,38,2,1843,0
1,0,20,0,25,2,1843,0
1,0,9,0,8,2,1843,0
1,0,12,0,20,2,1843,0
1,0,12,0,28,2,1843,0
58,0,322,0,28,3,1843,0
32,0,182,1,39,2,1843,0
28,0,194,0,27,2,1843,0
1,0,8,0,6,2,1843,0
21,0,81,0,6,2,1843,0
1,0,9,0,2,1,1843,0
1,0,6,0,3,2,1843,0
1,0,31,0,22,2,1843,0
1,0,10,0,7,2,1843,0
12,0,70,0,35,2,1300,0
11,0,89,0,43,2,1843,0
16,0,134,0,52,2,1843,0
37,0,255,0,91,2,1843,0
2,0,48,0,8,2,1843,0
127,0,514,2,22,2,1843,0
108,0,446,2,9,2,1300,0
2,0,89,1,90,2,1843,0
4,0,92,1,32,2,1300,0
1,0,5,0,2,1,1300,0
1,0,24,0,23,2,1843,0
1,0,7,0,2,1,1300,0
1,0,7,0,2,1,1300,0
1,0,8,0,12,2,1300,0
1,0,4,0,6,2,1300,0
1,0,10,0,7,2,1843,0
1,0,23,0,7,2,1843,0
1,0,43,1,9,2,1843,0
1,0,5,0,16,2,1300,0
1,0,28,0,16,2,1300,0
1,0,29,0,22,2,1843,0
1,0,13,0,7,2,1843,0
1,0,9,0,7,2,1843,0
15,0,86,0,7,2,1843,0
1,0,11,0,2,2,1843,0
8,0,82,0,23,2,1843,0
82,0,460,2,187,2,1843,0
3,0,46,0,7,2,1843,0
4,0,51,0,7,2,1843,0
4,0,50,0,7,2,1843,0
3,0,45,0,7,2,1843,0
1,0,35,0,7,2,1843,0
1,0,35,0,7,2,1843,0
3,0,45,0,7,2,1843,0
1,0,35,0,7,2,1843,0
3,0,45,0,7,2,1843,0
27,0,128,0,53,2,1843,0
1,0,10,0,7,2,1843,0
1,0,8,0,9,2,1300,0
3,0,21,0,22,2,1843,0
1,0,12,0,9,2,1300,0
10,0,84,0,7,2,1843,0
217,0,974,3,335,2,1843,1
1,0,8,0,7,2,1300,0
1,0,7,0,8,2,1300,0
1,0,27,0,6,2,1843,0
1,0,22,0,11,2,1843,0
1,0,30,0,26,2,1843,0
105,0,464,0,81,2,1843,0
3,0,22,0,16,2,1300,0
30,0,160,0,27,2,1843,0
20,0,167,0,14,2,1843,0
2,0,26,0,20,2,1843,0
1,0,9,0,8,2,1843,0
1,0,7,0,6,2,1300,0
1,0,34,0,26,2,1843,0
50,0,285,0,50,2,1843,0
2,0,26,0,23,2,1843,0
12,0,57,0,28,2,1300,0
1,0,7,0,6,2,1300,0
1,0,10,0,8,2,1300,0
1,0,11,0,10,2,1300,0
1,0,7,0,9,2,1300,0
2,0,61,0,40,2,1843,0
2,0,17,0,18,2,1843,0
12,0,104,0,44,2,1843,1
12,0,57,0,31,2,1843,0
8,0,81,0,61,2,1843,0
1,0,12,0,11,2,1843,0
1,0,3,0,2,2,1843,0
71,0,378,0,37,2,1843,0
5,0,40,0,6,2,1843,0
1,0,5,0,2,2,1843,0
33,0,220,0,15,2,1843,0
8,0,75,0,11,2,1300,0
35,0,183,0,18,2,1843,0
1,0,20,0,8,2,1843,0
17,0,84,0,23,2,1300,0
109,0,521,1,46,2,1843,0
1,0,21,1,15,2,1843,0
3,0,22,0,5,2,1843,0
4,0,81,0,10,2,1843,0
4,0,23,0,5,1,1843,0
3,0,48,0,4,2,1300,0
1,0,11,0,7,3,1843,0
1,0,11,0,7,3,1843,0
52,0,228,0,6,2,1843,0
3,0,18,0,4,2,1300,0
4,0,73,0,16,2,1843,0
4,0,33,0,10,3,1843,0
1,0,18,0,5,2,1843,0
39,0,205,0,51,2,1300,0
5,0,36,0,7,2,1843,0
24,0,149,1,33,2,1843,0
3,0,38,1,11,2,1843,0
1,0,3,0,6,2,1843,0
1,0,11,0,6,2,1843,0
1,0,13,0,44,2,1300,0
1,0,8,0,23,2,1843,0
1,0,9,0,7,2,1300,0
1,0,7,0,34,2,1843,0
4,0,33,0,22,2,1300,0
1,0,5,0,5,2,1843,0
1,0,7,0,21,2,1843,1
1,0,5,0,6,2,1843,0
3,0,44,0,19,2,1843,0
1,0,10,0,15,2,1843,0
25,0,153,0,51,2,1843,0
4,0,20,0,7,2,1300,0
7,0,142,1,21,2,1843,0
2,0,24,0,5,2,1843,0
3,0,93,0,7,2,1843,0
6,0,113,0,27,2,1843,0
1,0,5,0,3,2,1843,0
30,0,524,0,61,4,1843,0
1,0,3,0,11,2,1300,0
8,0,64,0,18,2,1843,0
3,0,50,0,12,2,1843,0
60,0,308,0,44,2,1843,0
4,0,75,0,12,2,1843,0
4,0,30,0,8,2,1843,0
2,0,18,0,10,2,1843,0
2,0,34,0,11,2,1843,0
23,0,144,0,24,2,1843,0
2,0,16,0,10,2,1843,0
1,0,12,0,3,1,1843,0
1,0,15,0,5,2,1843,0
7,0,30,0,9,1,1843,0
1,0,15,0,3,1,1843,0
7,0,30,0,9,1,1843,0
2,0,15,0,4,1,1843,0
3,0,21,0,9,2,1843,0
