McCC,CLOC,LLOC,Number of committers,Number of developer commits,Number of previous fixes,Number of previous modifications,target
1,0,4,5,8,0,9,0
1,0,4,5,8,0,9,0
1,0,1,0,0,0,1,0
1,0,4,5,8,0,9,0
2,0,23,5,8,0,14,0
1,0,39,7,8,0,17,0
1,0,1,0,0,0,1,0
1,0,20,5,8,0,18,0
6,0,127,12,8,2,32,0
1,0,4,5,8,0,9,0
1,0,43,8,8,0,25,0
3,0,19,6,8,0,16,0
14,0,110,7,8,0,29,0
1,0,19,7,8,0,17,0
4,0,33,5,8,0,12,0
9,0,50,5,8,0,10,0
5,0,50,6,8,0,12,0
1,0,5,5,8,0,10,0
1,0,4,5,8,0,11,0
21,0,134,9,8,4,39,0
20,0,117,5,8,4,27,1
7,0,104,3,8,0,13,1
4,0,39,3,8,0,6,0
1,0,9,3,8,0,5,0
2,0,18,7,8,2,12,0
3,0,39,4,8,0,16,0
1,0,9,3,8,0,10,0
2,0,12,3,8,0,5,0
11,0,71,7,8,2,14,0
5,0,32,4,8,0,10,0
1,0,12,3,8,0,6,0
6,0,66,9,104,0,20,0
1,0,15,3,8,0,7,0
4,0,34,5,8,2,17,0
2,0,21,3,8,0,8,0
1,0,15,3,8,0,5,0
3,0,55,3,8,0,5,0
1,0,1,0,0,0,1,0
1,0,36,4,8,2,9,0
1,0,15,3,8,0,5,0
1,0,1,0,0,0,1,0
1,0,9,3,8,0,5,0
1,0,11,3,8,0,5,0
7,0,69,3,8,0,5,0
20,0,123,3,8,0,5,0
1,0,123,3,8,0,5,0
1,0,1,0,0,0,1,0
2,0,52,3,8,0,5,0
1,0,15,3,8,0,5,0
1,0,78,3,8,0,5,0
1,0,1,0,0,0,1,0
2,0,50,3,8,0,5,0
1,0,23,5,8,0,9,0
1,0,18,5,8,0,8,0
15,0,138,3,8,1,10,0
1,0,81,3,8,0,5,0
6,0,39,3,8,0,9,0
5,0,42,3,8,0,5,0
1,0,8,3,8,0,5,0
6,0,49,3,8,0,5,0
1,0,5,3,8,0,5,0
1,0,6,3,8,0,5,0
1,0,5,3,8,0,5,0
1,0,6,3,8,0,5,0
1,0,8,3,8,0,5,0
1,0,9,3,8,0,5,0
1,0,10,3,8,0,5,0
1,0,6,3,8,0,5,0
1,0,1,0,0,0,1,0
1,0,9,3,8,0,5,0
1,0,94,4,8,1,10,0
2,0,170,3,8,0,5,0
1,0,43,3,8,0,5,0
1,0,66,5,8,2,9,0
1,0,10,4,8,1,8,0
1,0,22,5,8,0,11,0
1,0,42,3,8,0,6,0
1,0,1,0,0,0,1,0
1,0,31,5,8,0,10,0
1,0,40,3,8,0,5,0
2,0,109,3,8,0,5,0
1,0,27,3,8,0,5,0
3,0,51,3,8,0,5,0
1,0,119,10,8,0,26,0
3,0,74,3,8,0,5,0
1,0,1,0,0,0,1,0
1,0,32,4,8,2,9,0
1,0,164,14,8,8,91,0
3,0,39,3,8,0,7,0
1,0,1,0,0,0,2,0
1,0,19,9,8,0,12,0
2,0,31,5,8,0,9,0
1,0,41,9,8,2,11,0
1,0,160,3,8,0,5,0
1,0,1,0,0,0,1,0
31,0,533,10,8,3,48,0
2,0,42,3,8,0,6,0
1,0,49,3,8,0,7,0
1,0,78,3,8,0,6,0
1,0,31,3,8,0,6,0
1,0,19,8,8,0,12,0
4,0,219,7,8,0,22,0
1,0,44,6,8,0,17,0
1,0,25,3,8,0,6,0
1,0,35,3,8,0,6,0
1,0,73,4,9,0,11,0
1,0,16,2,9,0,6,0
2,0,78,2,9,0,4,0
1,0,210,2,9,0,7,0
1,0,83,2,9,0,6,0
1,0,72,3,9,0,7,0
1,0,25,2,9,0,6,0
1,0,10,2,9,0,4,0
1,0,110,3,9,0,11,0
1,0,33,2,9,0,4,0
1,0,62,2,9,0,4,0
1,0,54,8,9,2,14,0
1,0,60,4,9,0,12,0
1,0,27,2,9,0,4,0
1,0,51,0,0,0,6,0
1,0,41,2,9,1,6,0
1,0,156,0,0,0,7,0
1,0,166,0,0,0,3,0
1,0,54,0,0,0,4,0
1,0,24,0,0,0,2,0
1,0,11,0,0,0,4,0
1,0,33,0,0,0,3,0
1,0,102,4,8,2,9,0
1,0,226,8,8,0,26,0
1,0,99,10,8,0,19,0
2,0,50,3,8,0,11,0
2,0,248,7,8,0,48,0
1,0,69,6,8,0,24,0
1,0,51,6,8,0,22,0
1,0,42,5,8,0,13,0
1,0,19,6,8,0,15,0
1,0,79,4,8,1,6,0
1,0,198,6,8,0,19,0
3,0,143,10,8,2,18,0
1,0,312,11,14,2,24,1
1,0,36,3,8,0,6,0
1,0,25,5,8,2,9,0
1,0,242,5,8,0,13,0
1,0,41,4,8,0,8,0
1,0,49,5,8,0,8,0
1,0,170,7,8,0,13,0
6,0,194,14,8,4,35,0
1,0,155,8,8,0,19,0
1,0,600,8,8,2,29,0
1,0,135,7,8,2,16,0
1,0,60,5,8,4,11,0
3,0,39,6,104,0,13,0
1,0,123,7,8,2,19,0
1,0,28,3,8,0,9,0
1,0,63,5,8,0,15,0
1,0,47,5,8,0,13,0
1,0,24,7,8,2,10,0
2,0,28,2,14,2,5,0
1,0,48,1,8,0,4,0
1,0,26,0,0,0,5,0
1,0,309,9,9,2,30,0
6,0,146,1,107,1,4,0
1,0,116,6,9,2,13,1
1,0,69,0,0,0,2,0
1,0,156,1,4,0,7,0
1,0,98,2,14,4,25,0
1,0,37,0,0,0,4,0
1,0,65,6,8,0,9,0
1,0,38,6,8,0,9,0
35,0,236,6,8,0,9,0
2,0,23,0,0,0,2,0
1,0,537,3,9,0,15,0
1,0,59,0,0,0,2,0
1,0,32,0,0,0,2,0
2,0,149,0,0,0,7,0
2,0,205,0,0,0,13,0
6,0,161,3,9,0,12,0
1,0,3,0,0,0,1,0
1,0,7,0,0,0,1,0
1,0,4,3,8,0,5,0
8,0,103,4,8,0,10,0
3,0,47,3,8,0,7,0
4,0,45,3,8,0,5,0
1,0,11,3,8,0,6,0
3,0,23,3,8,0,5,0
1,0,6,0,0,0,1,0
4,0,53,4,8,0,15,1
1,0,14,3,8,0,5,0
1,0,165,3,8,0,8,0
1,0,26,3,8,0,7,0
1,0,46,4,8,2,8,0
1,0,128,6,8,0,26,1
1,0,41,5,8,0,20,0
1,0,121,5,8,0,18,1
1,0,123,3,8,0,5,1
3,0,69,5,8,0,15,0
1,0,151,5,8,0,10,0
11,0,143,7,9,0,16,0
