McCC,CLOC,LLOC,Number of previous fixes,Number of previous modifications,Number of developer commits,Number of committers,target
5,0,43,0,2,4057,1,0
2,0,43,0,2,4057,1,0
2,0,33,0,2,4057,1,0
1,0,40,0,2,4057,1,0
1,0,17,0,2,4057,1,0
1,0,24,0,2,4057,1,0
6,0,43,0,3,4057,1,0
1,0,12,0,3,4057,1,0
1,0,7,0,2,4057,1,0
1,0,23,0,1,4057,1,0
1,0,5,0,2,4057,1,0
1,0,13,0,1,4057,1,0
1,0,7,0,2,4057,1,0
9,0,73,0,1,4057,1,0
42,0,291,0,3,4057,1,1
14,0,133,0,4,1649,2,0
1,0,1,0,1,4057,1,0
24,0,134,0,1,4057,1,0
17,0,94,0,2,4057,1,0
20,0,103,0,2,4057,1,0
1,0,5,0,1,4057,1,0
19,0,90,0,2,4057,1,0
1,0,10,0,1,4057,1,0
1,0,5,0,1,4057,1,0
17,0,125,0,2,4057,1,0
10,0,39,0,1,4057,1,0
1,0,5,0,1,4057,1,0
6,0,64,0,1,4057,1,0
1,0,29,0,1,4057,1,0
17,0,139,0,1,4057,1,0
1,0,29,0,1,4057,1,0
6,0,39,0,2,4057,1,0
29,0,126,0,3,4057,1,0
2,0,44,0,1,4057,1,0
5,0,37,0,1,4057,1,0
1,0,1,0,1,4057,1,0
128,0,772,0,2,4057,1,1
27,0,249,1,1,1649,1,0
9,0,99,0,1,4057,1,1
29,0,202,0,2,4057,1,0
4,0,43,0,1,4057,1,0
1,0,25,0,1,4057,1,0
1,0,1,0,1,4057,1,0
12,0,168,0,1,4057,1,0
4,0,26,0,1,4057,1,0
13,0,58,0,1,4057,1,0
1,0,62,0,1,4057,1,0
1,0,9,0,1,4057,1,0
1,0,18,0,1,4057,1,0
2,0,82,0,1,4057,1,0
1,0,7,0,1,4057,1,0
1,0,62,0,1,4057,1,0
1,0,9,0,1,4057,1,0
1,0,63,0,1,4057,1,0
1,0,9,0,1,4057,1,0
1,0,60,0,1,4057,1,0
1,0,9,0,2,4057,1,0
9,0,106,0,1,4057,1,0
4,0,54,0,1,4057,1,0
1,0,1,0,1,4057,1,0
1,0,60,0,1,4057,1,0
1,0,9,0,1,4057,1,0
5,0,67,0,2,4057,1,0
1,0,4,0,1,4057,1,0
1,0,4,0,1,4057,1,0
4,0,18,0,2,4057,1,0
45,0,345,0,2,4057,1,0
1,0,37,0,1,4057,1,0
1,0,1,0,1,4057,1,0
1,0,26,0,1,4057,1,0
1,0,8,0,1,4057,1,0
1,0,7,0,1,4057,1,0
1,0,5,0,1,4057,1,0
4,0,35,0,6,1649,4,0
3,0,44,0,3,4057,1,0
122,0,821,0,2,4057,1,0
122,0,821,0,2,4057,1,0
126,0,865,0,2,4057,1,0
126,0,865,0,2,4057,1,0
14,0,64,0,2,4057,1,0
3,0,26,0,1,4057,1,0
19,0,70,0,2,4057,1,0
150,0,608,0,2,4057,1,0
163,0,574,0,1,4057,1,0
4,0,59,0,2,4057,1,0
1,0,1,0,1,4057,1,0
3,0,23,0,3,4057,1,1
1,0,5,0,2,4057,1,0
4,0,33,0,1,4057,1,0
11,0,58,0,2,4057,1,0
5,0,31,0,2,4057,1,0
2,0,14,0,2,4057,1,0
2,0,37,0,2,4057,1,0
2,0,15,0,1,4057,1,0
7,0,61,0,2,4057,1,0
2,0,46,0,2,4057,1,0
236,0,1089,0,3,4057,1,0
87,0,556,0,2,4057,1,0
87,0,545,0,2,4057,1,0
111,0,524,0,2,4057,1,0
51,0,365,0,2,4057,1,0
1,0,46,0,2,4057,1,0
1,0,60,0,2,4057,1,0
26,0,215,0,2,4057,1,0
20,0,153,0,3,4057,1,0
1,0,11,0,2,4057,1,0
1,0,127,0,2,4057,1,0
1,0,129,0,2,4057,1,0
1,0,11,0,2,4057,1,0
1,0,127,0,2,4057,1,0
1,0,11,0,2,4057,1,0
1,0,128,0,2,4057,1,0
1,0,11,0,2,4057,1,0
1,0,125,0,2,4057,1,0
1,0,11,0,2,4057,1,0
1,0,127,0,2,4057,1,0
1,0,74,0,2,4057,1,0
1,0,45,0,2,4057,1,0
3,0,52,0,1,4057,1,0
4,0,51,0,2,4057,1,0
6,0,75,0,1,4057,1,0
2,0,35,0,3,4057,1,0
2,0,37,0,1,4057,1,0
4,0,51,0,2,4057,1,0
2,0,35,0,3,4057,1,0
3,0,47,0,2,4057,1,0
8,0,90,0,1,4057,1,0
2,0,28,0,3,4057,1,0
5,0,64,0,2,4057,1,0
5,0,70,0,1,4057,1,0
5,0,57,0,2,4057,1,0
6,0,75,0,1,4057,1,0
7,0,93,0,1,4057,1,0
1,0,20,0,1,4057,1,0
2,0,28,0,1,4057,1,0
3,0,64,0,1,4057,1,0
1,0,20,0,1,4057,1,0
4,0,53,0,1,4057,1,0
2,0,41,0,1,4057,1,0
2,0,35,0,1,4057,1,0
31,0,115,0,1,4057,1,0
2,0,43,0,4,4057,1,0
8,0,122,0,1,4057,1,1
1,0,22,0,1,4057,1,0
3,0,53,0,1,4057,1,0
2,0,22,0,1,4057,1,0
2,0,46,0,1,4057,1,0
2,0,35,0,1,4057,1,0
2,0,51,0,1,4057,1,0
1,0,31,0,1,4057,1,0
2,0,43,0,1,4057,1,0
7,0,62,0,1,4057,1,0
2,0,279,0,1,4057,1,0
2,0,29,0,1,4057,1,0
6,0,87,0,1,4057,1,0
1,0,51,0,1,4057,1,0
4,0,64,0,2,4057,1,0
7,0,61,0,1,4057,1,0
2,0,28,0,1,4057,1,0
2,0,53,0,1,4057,1,0
5,0,67,0,2,4057,1,0
2,0,28,0,2,4057,1,0
20,0,177,0,1,4057,1,0
1,0,20,0,1,4057,1,0
10,0,71,0,1,4057,1,1
8,0,48,0,1,4057,1,0
2,0,32,0,1,4057,1,0
2,0,28,0,1,4057,1,0
18,0,126,0,1,4057,1,1
1,0,21,0,1,4057,1,0
33,0,841,0,2,4057,1,0
9,0,55,0,1,4057,1,0
2,0,31,0,1,4057,1,0
2,0,28,0,2,4057,1,0
34,0,384,0,1,4057,1,0
1,0,18,0,1,4057,1,0
2,0,30,0,1,4057,1,0
14,0,96,0,2,4057,1,0
1,0,18,0,1,4057,1,0
1,0,1,0,1,4057,1,0
1,0,1,0,1,4057,1,0
5,0,85,0,3,4057,1,0
6,0,54,0,3,4057,1,0
1,0,11,0,1,4057,1,0
2,0,31,0,1,4057,1,0
13,0,102,0,2,4057,1,0
1,0,72,0,1,4057,1,0
1,0,1,0,1,4057,1,0
6,0,41,0,1,4057,1,0
13,0,102,0,2,4057,1,0
1,0,72,0,1,4057,1,0
4,0,48,0,1,4057,1,0
18,0,141,0,1,4057,1,0
19,0,136,0,1,4057,1,0
19,0,140,0,1,4057,1,0
18,0,140,0,1,4057,1,0
23,0,543,0,2,4057,1,0
20,0,147,0,1,4057,1,0
1,0,15,0,1,4057,1,0
1,0,15,0,1,4057,1,0
1,0,15,0,1,4057,1,0
1,0,15,0,1,4057,1,0
1,0,15,0,1,4057,1,0
1,0,15,0,1,4057,1,0
1,0,15,0,1,4057,1,0
1,0,15,0,1,4057,1,0
1,0,15,0,1,4057,1,0
1,0,15,0,1,4057,1,0
1,0,15,0,1,4057,1,0
1,0,15,0,1,4057,1,0
1,0,15,0,1,4057,1,0
1,0,15,0,1,4057,1,0
1,0,15,0,1,4057,1,0
3,0,49,0,1,4057,1,0
5,0,71,0,1,4057,1,0
1,0,16,0,1,4057,1,0
1,0,16,0,1,4057,1,0
1,0,16,0,1,4057,1,0
1,0,16,0,1,4057,1,0
1,0,16,0,1,4057,1,0
1,0,16,0,1,4057,1,0
1,0,16,0,1,4057,1,0
1,0,20,0,1,4057,1,0
1,0,11,0,1,4057,1,0
1,0,23,0,1,4057,1,0
7,0,43,0,1,4057,1,0
1,0,17,0,1,4057,1,0
1,0,13,0,1,4057,1,0
1,0,36,0,1,4057,1,1
17,0,282,0,1,4057,1,1
59,0,351,0,1,4057,1,1
4,0,29,0,1,4057,1,0
1,0,18,0,1,4057,1,0
24,0,288,0,1,4057,1,0
1,0,28,0,1,1649,1,0
1,0,19,0,2,1649,2,0
1,0,44,0,2,1649,2,0
1,0,30,0,2,1649,2,0
16,0,118,0,2,1649,2,1
1,0,1,0,1,4057,1,0
19,0,162,0,1,4057,1,0
12,0,80,0,1,4057,1,0
15,0,113,0,1,4057,1,1
22,0,116,0,2,4057,1,1
1,0,105,0,2,4057,1,0
1,0,26,0,1,4057,1,0
5,0,56,0,1,4057,1,0
5,0,58,0,1,4057,1,0
49,0,321,1,3,4057,2,1
24,0,231,0,2,4057,1,0
102,0,572,0,1,4057,1,1
69,0,307,0,1,4057,1,0
5,0,77,0,2,4057,1,0
38,0,236,0,1,4057,1,1
23,0,209,0,1,4057,1,0
107,0,589,1,2,1649,2,0
2,0,22,0,2,4057,1,1
12,0,61,0,3,1649,2,0
17,0,262,0,2,4057,1,0
3,0,50,0,2,4057,1,0
1,0,33,0,2,4057,1,0
15,0,100,0,1,4057,1,1
16,0,150,0,1,4057,1,0
18,0,113,0,1,4057,1,1
25,0,154,0,1,4057,1,1
5,0,77,0,2,4057,1,0
30,0,193,0,1,4057,1,1
9,0,90,0,1,4057,1,0
30,0,177,0,1,4057,1,1
1,0,79,0,2,4057,1,0
1,0,18,0,1,4057,1,0
1,0,13,0,1,4057,1,0
5,0,90,0,1,4057,1,0
1,0,7,0,1,4057,1,0
13,0,295,0,1,4057,1,0
27,0,194,0,1,4057,1,0
1,0,12,0,1,4057,1,0
20,0,255,0,1,4057,1,0
2,0,88,0,1,4057,1,0
1,0,8,0,1,4057,1,0
1,0,15,0,1,4057,1,0
3,0,29,0,1,4057,1,0
1,0,1,0,1,4057,1,0
1,0,46,0,1,4057,1,0
11,0,140,0,1,4057,1,0
1,0,30,0,1,4057,1,0
29,0,246,0,1,4057,1,1
1,0,12,0,1,4057,1,0
30,0,257,0,1,4057,1,0
5,0,50,0,1,4057,1,0
48,0,312,0,1,4057,1,1
1,0,49,0,1,4057,1,0
69,0,308,0,1,4057,1,0
12,0,65,0,2,4057,1,0
14,0,225,0,2,4057,1,0
9,0,99,0,1,4057,1,0
38,0,239,0,1,4057,1,1
107,0,602,0,1,4057,1,1
2,0,22,0,2,4057,1,0
