McCC,CLOC,LLOC,Number of previous modifications,Number of previous fixes,Number of committers,Number of developer commits,target
8,0,91,3,0,3,2472,0
4,0,45,1,0,1,2319,0
6,0,89,6,0,4,5350,0
1,0,10,1,0,1,2319,0
1,0,6,1,0,1,2319,0
5,0,33,1,0,1,2319,0
1,0,11,2,0,2,2472,0
1,0,8,2,0,2,2472,0
1,0,11,2,0,2,2472,0
2,0,21,2,0,2,2472,0
1,0,39,2,0,2,2472,0
7,0,76,3,0,3,1126,1
1,0,20,3,0,3,1126,0
10,0,130,3,0,3,1126,0
1,0,13,4,0,3,1126,0
1,0,41,11,0,5,5350,0
11,0,99,14,0,6,1296,0
3,0,53,4,0,4,1296,0
1,0,50,2,0,2,2319,0
3,0,55,2,0,2,2319,0
12,0,138,22,0,8,2319,0
2,0,37,23,0,6,2319,0
10,0,121,9,0,5,1296,0
1,0,21,9,0,4,2319,0
1,0,5,3,0,2,1296,0
6,0,38,25,0,7,2472,0
2,0,81,5,0,4,2319,0
1,0,36,6,0,4,2319,0
1,0,42,5,0,4,2319,0
2,0,37,10,0,6,5350,0
2,0,32,6,0,5,268,0
6,0,24,2,0,2,257,0
6,0,60,7,0,4,2319,0
1,0,17,7,0,4,5350,0
1,0,18,5,0,4,2319,0
2,0,24,5,0,4,2319,0
2,0,115,8,0,5,5350,0
13,0,119,9,0,7,5350,0
14,0,101,14,0,8,1634,0
7,0,150,28,0,12,310,0
13,0,135,14,0,7,1126,0
1,0,59,10,0,7,2319,0
10,0,200,5,0,4,2319,0
1,0,17,7,0,4,5350,0
1,0,18,3,0,2,1296,0
2,0,22,5,0,4,2319,0
1,0,79,5,0,4,2319,0
4,0,27,3,0,3,5350,0
16,0,99,10,0,6,5350,0
1,0,39,3,0,2,5350,0
1,0,64,4,0,3,2319,0
1,0,40,3,0,2,5350,0
5,0,52,5,0,4,2319,0
9,0,24,1,0,1,1634,0
1,0,11,3,0,1,268,0
1,0,14,8,0,6,2319,0
5,0,38,5,0,4,2319,0
9,0,117,55,0,12,533,0
6,0,38,2,0,2,2472,0
5,0,53,17,0,9,2319,0
71,0,1277,109,0,16,2472,1
2,0,43,11,0,6,533,0
28,0,291,26,0,10,533,0
10,0,219,11,0,5,268,0
8,0,212,9,0,6,2319,0
1,0,10,3,0,2,1296,0
1,0,9,10,0,5,2319,0
1,0,5,3,0,2,1296,0
1,0,22,3,0,2,1296,0
7,0,90,7,0,4,2319,0
143,0,1292,112,0,19,310,0
4,0,74,6,0,3,2472,0
1,0,5,1,0,1,1126,0
1,0,4,1,0,1,1126,0
3,0,56,2,0,1,1126,0
1,0,9,3,0,2,2319,0
7,0,64,3,0,1,1126,0
1,0,19,7,0,4,2472,0
4,0,51,3,0,2,2319,0
1,0,9,1,0,1,1126,0
1,0,15,4,0,4,7,0
2,0,27,4,0,4,7,0
7,0,82,11,0,8,505,0
1,0,10,14,0,7,2319,0
1,0,13,6,0,4,505,0
6,0,60,4,0,3,2319,0
20,0,148,5,0,3,2319,0
2,0,38,2,0,1,268,0
17,0,115,9,0,5,5350,0
2,0,52,14,0,4,2319,0
1,0,11,4,0,3,268,0
1,0,5,5,0,4,2319,0
1,0,21,5,0,4,2319,0
7,0,128,11,0,6,2472,0
2,0,24,5,0,4,2319,0
21,0,168,10,0,7,7,0
1,0,17,5,0,4,2319,0
8,0,77,24,0,11,2319,0
1,0,17,5,0,4,2319,0
14,0,129,3,0,1,2319,1
1,0,13,5,0,4,2319,0
11,0,67,7,0,4,2319,0
1,0,5,5,0,4,2319,0
1,0,5,5,0,4,2319,0
28,0,201,14,0,7,505,0
2,0,49,15,0,7,268,0
2,0,18,5,0,4,2319,0
4,0,52,5,0,4,2319,0
1,0,22,9,0,5,2319,0
2,0,39,6,0,4,2319,0
1,0,18,9,0,5,2319,0
1,0,18,9,0,5,2319,0
1,0,18,9,0,5,2319,0
1,0,20,2,0,2,2319,0
1,0,20,2,0,2,2319,0
1,0,20,2,0,2,2319,0
1,0,20,5,0,4,5350,0
1,0,20,5,0,4,5350,0
1,0,20,2,0,2,2319,0
1,0,27,2,0,2,2319,0
1,0,8,3,0,2,1634,0
1,0,8,2,0,1,1634,0
4,0,39,25,0,8,2472,0
1,0,16,3,0,2,1634,0
1,0,6,4,0,3,1296,0
12,0,86,2,0,1,1634,0
1,0,16,3,0,2,1634,0
1,0,6,3,0,2,1126,0
13,0,178,14,0,9,2319,0
4,0,85,9,0,6,1296,0
1,0,25,10,0,7,505,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
1,0,0,2,0,1,3997,0
3,0,15,6,0,4,2319,0
1,0,13,6,0,4,2319,0
1,0,6,6,0,4,2319,0
5,0,36,14,0,6,5350,0
5,0,57,16,0,7,5350,0
4,0,62,2,0,2,2472,0
7,0,87,2,0,2,2472,0
1,0,16,2,0,2,2472,0
13,0,77,2,0,2,2472,0
11,0,199,13,0,7,1296,0
15,0,346,11,0,6,2319,0
12,0,115,14,0,8,5350,0
1,0,44,3,0,2,1296,0
1,0,49,3,0,2,1296,0
7,0,95,10,0,7,505,0
23,0,299,8,0,3,268,0
13,0,52,9,0,5,5350,0
7,0,114,11,0,6,1296,0
5,0,105,2,0,1,1634,0
6,0,75,3,0,2,1634,0
1,0,18,2,0,2,2472,0
3,0,68,7,0,4,1126,0
11,0,160,3,0,2,1126,0
2,0,44,3,0,2,1126,0
1,0,31,3,0,2,1126,0
2,0,68,8,0,5,7,0
1,0,32,3,0,2,1126,0
2,0,47,3,0,2,1126,0
3,0,41,8,0,5,505,0
6,0,54,2,0,1,3997,0
1,0,18,6,0,5,505,0
11,0,139,22,0,9,5350,0
3,0,30,1,0,1,2319,0
8,0,55,9,0,4,1126,0
12,0,227,32,0,10,505,0
26,0,373,41,0,11,310,0
15,0,121,23,0,9,2319,0
1,0,26,5,0,3,2319,0
1,0,5,5,0,3,2319,0
4,0,84,3,0,2,3997,0
4,0,85,14,0,5,5350,0
4,0,49,7,0,5,505,0
1,0,11,9,0,5,3997,0
38,0,431,62,0,13,505,0
13,0,167,9,0,4,5350,0
1,0,22,11,0,5,1296,0
1,0,48,22,0,9,2319,0
1,0,74,19,0,8,2319,0
1,0,48,21,0,8,2319,0
3,0,147,30,0,9,2472,0
1,0,22,7,0,4,2319,0
1,0,78,23,0,7,1296,0
2,0,75,11,0,5,533,0
4,0,73,10,0,6,5350,0
2,0,73,11,0,5,5350,0
1,0,83,12,0,3,1126,0
3,0,52,5,0,4,1296,0
4,0,64,11,0,6,1296,0
1,0,61,9,0,4,1296,0
2,0,31,6,0,4,505,0
6,0,135,7,0,6,828,0
3,0,78,5,0,4,1126,0
1,0,28,18,0,7,268,0
1,0,34,21,0,8,5350,0
1,0,34,22,0,8,268,0
1,0,39,18,0,7,268,0
1,0,58,34,0,10,2319,0
3,0,112,3,0,3,2472,0
1,0,72,2,0,1,2319,0
3,0,121,1,0,1,2319,0
3,0,101,1,0,1,2319,0
1,0,26,2,0,2,2472,0
1,0,19,3,0,3,1126,0
1,0,20,3,0,3,1126,0
1,0,38,3,0,3,7,0
1,0,10,1,0,1,1636,0
8,0,59,6,0,5,5350,0
4,0,57,11,0,9,310,0
1,0,74,4,0,4,310,0
1,0,21,7,0,4,1636,0
1,0,24,10,0,5,1636,0
1,0,19,4,0,4,310,0
1,0,114,5,0,4,5350,0
1,0,171,4,0,2,1126,0
4,0,85,2,0,2,1636,0
1,0,88,4,0,3,7,0
1,0,97,6,0,4,310,0
4,0,112,4,0,3,5350,0
1,0,28,6,0,5,1636,0
1,0,33,6,0,5,505,0
19,0,901,61,0,13,2472,0
1,0,36,10,0,6,533,0
1,0,57,12,0,8,1,0
3,0,201,30,0,10,2319,0
3,0,165,18,0,8,2319,0
26,0,1592,82,0,16,505,0
3,0,47,3,0,3,505,0
1,0,18,3,0,1,1126,0
1,0,31,2,0,1,1126,0
1,0,63,3,0,1,1126,0
1,0,48,3,0,1,1126,0
4,0,98,9,0,6,533,0
1,0,87,3,0,2,1126,0
1,0,26,5,0,4,505,0
1,0,67,14,0,6,5350,0
9,0,341,29,0,8,2472,0
1,0,129,2,0,1,2319,0
1,0,29,3,0,3,505,0
1,0,20,3,0,2,1126,0
1,0,14,1,0,1,1126,0
1,0,73,3,0,2,1126,0
1,0,76,10,0,4,1126,0
1,0,17,2,0,2,2472,0
1,0,55,2,0,2,2472,0
1,0,45,6,0,5,505,0
1,0,25,2,0,2,2472,0
2,0,73,6,0,5,505,0
1,0,54,11,0,6,310,0
1,0,70,3,0,2,1126,0
1,0,130,4,0,3,310,0
1,0,49,7,0,5,5350,0
4,0,79,5,0,4,505,0
1,0,116,5,0,4,310,0
1,0,53,3,0,2,5350,0
1,0,24,8,0,6,505,0
4,0,160,14,0,9,2319,0
1,0,65,7,0,5,1636,0
4,0,182,7,0,4,2319,0
8,0,109,5,0,3,2319,0
4,0,173,5,0,3,2319,0
3,0,327,11,0,7,505,0
1,0,137,9,0,6,505,0
2,0,47,8,0,6,533,0
2,0,25,2,0,2,2472,0
7,0,92,13,0,6,2319,0
1,0,76,17,0,5,1634,0
1,0,83,9,0,4,2472,0
1,0,59,4,0,3,1634,0
1,0,39,4,0,3,2472,0
1,0,15,3,0,2,5350,0
1,0,9,2,0,2,5350,0
1,0,12,2,0,2,5350,0
2,0,28,4,0,2,2319,0
2,0,27,4,0,2,2319,0
4,0,39,5,0,2,5350,0
1,0,8,4,0,2,2319,0
1,0,11,4,0,2,5350,0
6,0,31,1,0,1,2319,0
10,0,111,9,0,5,533,0
6,0,29,1,0,1,2319,0
4,0,37,8,0,4,1634,0
5,0,112,29,0,5,2472,0
7,0,80,2,0,2,5350,0
3,0,22,5,0,2,5350,0
1,0,14,4,0,2,5350,0
4,0,86,15,0,5,533,0
4,0,105,20,0,5,533,0
2,0,25,1,0,1,533,0
46,0,676,7,0,5,268,0
1,0,8,5,0,4,3997,0
1,0,11,5,0,4,3997,0
1,0,6,3,0,2,3997,0
1,0,11,5,0,4,3997,0
1,0,12,5,0,4,3997,0
1,0,6,5,0,4,3997,0
21,0,383,12,0,7,5350,0
1,0,8,5,0,4,3997,0
1,0,9,6,0,5,1636,0
1,0,8,5,0,4,3997,0
2,0,38,10,0,6,5350,0
1,0,6,5,0,4,3997,0
1,0,11,5,0,4,3997,0
6,0,89,7,0,5,2472,0
7,0,67,7,0,5,2472,0
1,0,10,5,0,4,3997,0
1,0,27,5,0,5,41,0
1,0,16,5,0,4,3997,0
1,0,5,5,0,4,3997,0
1,0,7,5,0,4,3997,0
1,0,11,5,0,4,3997,0
1,0,13,7,0,6,1296,0
4,0,116,8,0,6,1634,0
3,0,47,9,0,5,3997,0
2,0,49,5,0,4,3997,0
2,0,48,5,0,4,3997,0
3,0,47,9,0,5,3997,0
3,0,57,6,0,5,1634,0
1,0,86,11,0,7,1296,0
57,0,433,18,0,8,268,0
12,0,127,13,0,8,5350,0
11,0,85,13,0,6,268,0
1,0,228,7,0,5,268,0
1,0,14,9,0,5,2319,0
1,0,5,5,0,4,3997,0
1,0,16,8,0,5,268,0
1,0,16,2,0,2,2472,0
4,0,43,5,0,2,268,0
7,0,164,9,0,6,1296,0
1,0,9,1,0,1,1296,0
5,0,360,55,0,13,5350,0
1,0,4,2,0,1,268,0
1,0,18,6,0,3,2472,0
1,0,28,20,0,8,505,0
31,0,277,8,0,7,1296,0
1,0,4,3,0,2,1634,0
4,0,55,9,0,6,1296,0
1,0,8,7,0,3,2472,0
4,0,57,3,0,2,1296,0
4,0,64,1,0,1,1296,0
2,0,45,21,0,10,1296,0
1,0,21,2,0,2,1296,0
1,0,35,38,0,13,2319,0
1,0,47,31,0,11,2319,0
1,0,1,7,0,5,1404,0
1,0,15,2,0,2,2319,0
1,0,7,2,0,2,2319,0
1,0,33,8,1,6,5350,0
5,0,50,10,0,7,828,0
1,0,2,2,0,2,828,0
1,0,25,6,0,4,1404,0
1,0,42,5,0,4,1404,0
1,0,41,10,0,8,1404,0
2,0,94,34,0,13,1404,0
1,0,30,8,1,5,505,0
3,0,265,16,0,9,505,0
4,0,60,24,0,11,5350,0
1,0,27,21,0,9,5350,0
1,0,31,8,0,7,1404,0
1,0,0,8,0,5,2319,0
1,0,0,8,0,5,2472,0
6,0,96,6,0,5,7,0
17,0,522,9,0,4,505,0
2,0,101,16,0,7,2472,0
3,0,91,14,0,9,2319,0
7,0,183,11,0,9,2319,0
9,0,180,29,0,8,5350,0
6,0,177,12,0,8,2319,0
7,0,89,2,0,2,54,0
7,0,133,8,0,4,7,0
5,0,58,5,0,4,1634,0
14,0,293,8,0,5,2319,0
7,0,118,3,0,3,2319,0
1,0,10,1,0,1,3997,0
1,0,48,8,0,5,2319,0
2,0,59,20,0,9,7,0
1,0,71,32,0,9,2472,0
5,0,64,10,0,5,505,0
1,0,29,15,0,7,505,0
1,0,31,6,0,5,54,0
13,0,183,9,0,6,505,0
2,0,41,19,0,7,505,0
1,0,49,15,0,7,7,0
2,0,63,25,0,9,505,0
7,0,174,11,0,7,7,0
3,0,143,41,0,9,2472,0
1,0,35,11,0,7,2472,0
1,0,54,13,0,7,505,0
4,0,70,17,0,9,7,0
2,0,52,21,0,11,505,0
14,0,250,7,0,5,505,0
2,0,72,7,0,5,1296,0
1,0,91,5,0,3,3997,0
5,0,155,9,0,5,5350,0
2,0,38,4,0,3,1126,0
4,0,67,4,0,3,1126,0
1,0,36,3,0,3,2472,0
1,0,27,7,0,3,5350,0
4,0,45,7,0,3,5350,0
1,0,28,10,0,4,5350,0
15,0,240,7,0,4,54,0
6,0,59,4,0,2,54,0
1,0,7,4,0,2,54,0
7,0,90,4,0,2,54,0
13,0,146,18,0,8,2319,0
19,0,197,7,0,5,2319,0
1,0,86,4,0,2,54,0
1,0,25,7,0,4,54,0
1,0,5,4,0,2,54,0
1,0,7,4,0,2,54,0
1,0,6,4,0,2,54,0
1,0,109,11,0,5,5350,0
1,0,5,4,0,2,54,0
1,0,1,4,0,2,54,0
1,0,10,7,0,5,2319,0
1,0,6,4,0,2,54,0
11,0,60,9,0,4,1126,0
7,0,76,4,0,2,54,0
6,0,60,4,0,2,54,0
1,0,7,4,0,2,54,0
7,0,54,4,0,2,54,0
1,0,8,4,0,2,54,0
52,0,303,4,0,2,54,0
27,0,182,4,0,2,54,0
4,0,45,4,0,2,54,0
4,0,45,4,0,2,54,0
1,0,1,4,0,2,54,0
5,0,50,4,0,2,54,0
5,0,72,4,0,2,54,0
7,0,74,4,0,2,54,0
1,0,39,7,0,5,2319,0
1,0,20,7,0,5,2319,0
19,0,273,8,0,5,5350,1
3,0,94,10,0,5,5350,0
1,0,51,7,0,5,2319,0
53,0,533,22,0,6,5350,0
2,0,104,3,0,3,2319,0
3,0,38,3,0,3,2319,0
1,0,53,3,0,3,2319,0
91,0,552,4,0,2,54,0
1,0,10,4,0,2,54,0
10,0,97,6,0,4,2472,0
9,0,85,4,0,2,54,0
17,0,138,4,0,2,54,0
1,0,1,4,0,2,54,0
1,0,24,4,0,2,54,0
27,0,223,5,0,3,5350,0
22,0,225,4,0,2,54,0
1,0,22,4,0,2,54,0
40,0,282,4,0,2,54,0
5,0,81,9,0,6,2319,0
1,0,8,4,0,2,54,0
3,0,9,4,0,2,54,0
3,0,27,6,0,4,54,0
1,0,19,6,0,4,54,0
26,0,245,8,0,5,54,0
3,0,52,4,0,2,54,0
1,0,8,4,0,2,54,0
1,0,8,4,0,2,54,0
1,0,17,4,0,2,54,0
8,0,62,9,0,6,2319,0
26,0,199,4,0,2,54,0
18,0,274,13,0,6,2472,0
9,0,194,4,0,2,54,1
4,0,33,4,0,2,54,0
2,0,76,7,0,5,2319,0
1,0,59,4,0,2,54,0
1,0,141,4,0,2,54,0
1,0,85,4,0,2,54,0
1,0,72,4,0,2,54,0
1,0,30,9,0,5,54,0
1,0,19,4,0,2,54,0
4,0,131,4,0,2,54,0
1,0,56,4,0,2,54,0
1,0,56,4,0,2,54,0
1,0,85,8,0,5,54,0
1,0,105,4,0,2,54,0
8,0,116,4,0,2,3997,0
1,0,42,6,0,4,2319,0
1,0,39,3,0,1,3997,0
9,0,137,4,0,2,3997,0
11,0,174,10,0,3,5350,0
1,0,50,3,0,1,3997,0
7,0,376,28,0,7,2472,0
2,0,131,3,0,1,3997,0
2,0,94,3,0,1,3997,0
20,0,329,3,0,1,3997,0
1,0,48,3,0,1,3997,0
1,0,88,3,0,1,3997,0
1,0,99,3,0,1,3997,0
1,0,22,3,0,1,3997,0
1,0,42,3,0,1,3997,0
1,0,96,3,0,1,3997,0
1,0,110,5,0,4,1126,0
3,0,237,2,0,2,2472,0
1,0,44,6,0,4,54,0
11,0,219,12,0,7,7,0
15,0,240,13,0,7,2472,0
58,0,703,20,0,7,2472,0
3,0,50,9,0,5,1634,0
3,0,27,5,0,4,3997,0
11,0,100,5,0,4,3997,0
13,0,101,5,0,4,3997,0
1,0,2,6,0,4,3997,0
2,0,52,11,0,7,7,0
48,0,393,12,0,7,7,0
1,0,19,5,0,4,3997,0
8,0,69,5,0,4,3997,0
17,0,187,5,0,4,3997,0
10,0,144,9,0,5,1634,0
8,0,120,5,0,4,3997,0
6,0,101,5,0,4,3997,0
3,0,30,5,0,4,3997,0
1,0,8,5,0,4,3997,0
1,0,22,5,0,4,3997,0
9,0,58,5,0,4,3997,0
4,0,29,5,0,4,3997,0
1,0,6,6,0,4,3997,0
1,0,7,5,0,4,3997,0
1,0,2,3,0,2,3997,0
5,0,33,5,0,4,3997,0
1,0,11,10,0,7,505,0
1,0,6,10,0,7,505,0
4,0,115,10,0,7,505,0
16,0,83,10,0,7,505,0
11,0,83,14,0,8,505,0
4,0,50,10,0,7,505,0
1,0,10,9,0,7,505,0
7,0,59,10,0,7,505,0
7,0,173,69,0,12,2472,0
3,0,134,8,0,6,505,0
1,0,37,19,0,10,505,0
28,0,259,9,0,7,505,0
2,0,32,17,0,9,505,0
7,0,45,12,0,8,505,0
11,0,215,18,0,9,505,0
12,0,159,15,0,10,505,0
1,0,63,9,0,7,505,0
2,0,45,9,0,7,505,0
1,0,7,9,0,7,505,0
1,0,6,9,0,7,505,0
1,0,8,9,0,7,505,0
1,0,5,9,0,7,505,0
1,0,6,9,0,7,505,0
1,0,8,9,0,7,505,0
15,0,141,17,0,11,505,0
1,0,23,9,0,6,505,0
1,0,23,9,0,7,505,0
11,0,440,21,0,9,5350,0
1,0,6,9,0,7,505,0
8,0,134,9,0,6,505,0
3,0,30,8,0,6,505,0
1,0,19,12,0,6,505,0
1,0,7,8,0,6,505,0
6,0,51,8,0,6,505,0
1,0,25,9,0,6,505,0
1,0,23,9,0,6,505,0
1,0,19,13,0,7,828,0
2,0,87,5,0,5,505,0
1,0,73,21,0,11,2319,0
1,0,13,3,0,3,3997,0
9,0,73,16,0,7,1296,0
1,0,26,5,0,4,5350,0
1,0,11,3,0,3,3997,0
1,0,1,3,0,3,3997,0
1,0,15,3,0,3,3997,0
21,0,174,24,0,11,828,0
1,0,25,3,0,3,5350,0
17,0,139,2,0,2,5350,0
4,0,108,20,0,9,1296,0
6,0,65,14,0,8,1296,0
3,0,36,6,0,5,5350,0
7,0,96,6,0,5,5350,0
17,0,129,8,0,6,5350,0
1,0,48,11,0,8,7,0
4,0,66,11,0,7,1296,0
1,0,9,6,0,5,1296,0
1,0,101,6,0,3,5350,0
1,0,6,4,0,3,1634,0
4,0,22,2,0,1,3997,0
2,0,37,3,0,2,2472,0
1,0,12,11,0,8,2472,0
