Type,Line,Column,EndLine,EndColumn,CC,CCL,CCO,CI,CLC,CLLC,LDC,LLDC,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,AD,CD,CLOC,DLOC,PDA,PUA,TCD,TCLOC,DIT,NOA,NOC,NOD,NOP,LLOC,LOC,NA,NG,NLA,NLG,NLM,NLPA,NLPM,NLS,NM,NOS,NPA,NPM,NS,TLLOC,TLOC,TNA,TNG,TNLA,TNLG,TNLM,TNLPA,TNLPM,TNLS,TNM,TNOS,TNPA,TNPM,TNS,numberOfBugsFoundUntil:,numberOfNonTrivialBugsFoundUntil:,numberOfMajorBugsFoundUntil:,numberOfCriticalBugsFoundUntil:,numberOfHighPriorityBugsFoundUntil:,target,nonTrivialBugs,majorBugs,criticalBugs,highPriorityBugs,numberOfVersionsUntil:,numberOfFixesUntil:,numberOfRefactoringsUntil:,numberOfAuthorsUntil:,linesAddedUntil:,maxLinesAddedUntil:,avgLinesAddedUntil:,linesRemovedUntil:,maxLinesRemovedUntil:,avgLinesRemovedUntil:,codeChurnUntil:,maxCodeChurnUntil:,avgCodeChurnUntil:,ageWithRespectTo:,weightedAgeWithRespectTo:,cbo,dit,fanIn,fanOut,lcom,noc,numberOfAttributes,numberOfAttributesInherited,numberOfLinesOfCode,numberOfMethods,numberOfMethodsInherited,numberOfPrivateAttributes,numberOfPrivateMethods,numberOfPublicAttributes,numberOfPublicMethods,rfc,wmc,CvsEntropy,CvsWEntropy,CvsLinEntropy,CvsLogEntropy,CvsExpEntropy
0,33,1,469,2,0.0,0,0,0,0.0,0.0,0,0,1,3,3,32,22,1,0,43,51,1.0,0.54375,174,167,7,0,0.418269,174,1,1,0,0,1,146,341,28,3,13,3,8,0,6,0,8,87,15,6,0,242,437,32,4,13,3,9,0,7,0,23,126,15,21,4,6.0,5.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,60.0,8.0,0.0,10.0,979.0,413.0,16.3167,808.0,413.0,13.4667,171.0,39.0,2.85,333.0,66.5053,7.0,1.0,0.0,7.0,15.0,0.0,13.0,15.0,128.0,6.0,8.0,0.0,2.0,0.0,4.0,31.0,24.0,13.0232,0.0147415,0.160592,8.25406,0.232006
0,29,1,128,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,3,1,5,2,0,3,1.0,0.842593,91,90,4,0,0.842593,91,0,0,0,0,0,17,100,5,2,5,2,3,3,3,0,3,4,3,3,0,17,100,5,2,5,2,3,3,3,0,3,4,3,3,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,30.0,5.0,0.0,4.0,387.0,121.0,12.9,295.0,121.0,9.83333,92.0,71.0,3.06667,367.0,101.296,2.0,1.0,2.0,0.0,3.0,0.0,5.0,0.0,10.0,3.0,16.0,2.0,0.0,0.0,3.0,3.0,3.0,7.70736,0.016439,0.154024,8.13295,0.232026
0,32,1,422,2,0.270563,8,81,9,0.0613811,0.201754,24,23,9,1,1,34,0,31,32,0,22,1.0,0.718518,291,278,22,0,0.718518,291,0,0,0,0,0,114,391,20,0,20,0,22,20,21,0,22,48,20,21,0,114,391,20,0,20,0,22,20,21,0,22,48,20,21,0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,48.0,5.0,0.0,8.0,928.0,293.0,19.3333,639.0,293.0,13.3125,289.0,68.0,6.02083,367.0,81.3798,19.0,1.0,18.0,1.0,231.0,0.0,20.0,0.0,95.0,22.0,8.0,0.0,1.0,0.0,21.0,48.0,34.0,7.83265,0.00868952,0.154022,8.13529,0.231786
0,53,1,575,2,0.0896703,2,15,3,0.0860421,0.103825,45,38,1,8,8,95,5,0,0,13,19,1.0,0.3125,165,41,2,0,0.310734,165,0,0,0,0,0,363,520,10,0,10,0,6,0,1,0,6,270,0,1,0,366,523,10,0,10,0,7,0,2,0,7,271,0,2,0,30.0,27.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,80.0,31.0,0.0,7.0,1561.0,247.0,19.5125,924.0,145.0,11.55,637.0,223.0,7.9625,318.143,122.75,7.0,1.0,0.0,7.0,1.0,0.0,10.0,0.0,21.0,2.0,0.0,8.0,0.0,2.0,1.0,28.0,3.0,15.5832,0.0632826,0.0248605,0.375188,0.00633314
0,38,1,808,2,0.224024,1,14,2,0.07393,0.21519,57,51,4,3,3,80,17,13,15,14,37,1.0,0.687747,522,348,22,0,0.687747,522,0,0,0,0,0,237,771,3,0,3,0,23,0,21,0,23,139,0,21,0,237,771,3,0,3,0,23,0,21,0,23,139,0,21,0,24.0,19.0,5.0,1.0,1.0,1,0.0,1.0,1.0,0.0,141.0,19.0,0.0,10.0,4684.0,670.0,33.2199,4720.0,670.0,33.4752,-36.0,219.0,-0.255319,367.0,84.7565,19.0,1.0,11.0,8.0,91.0,0.0,3.0,0.0,219.0,14.0,8.0,3.0,2.0,0.0,12.0,109.0,69.0,18.7552,0.17606,0.181025,8.4173,0.271999
0,155,1,4908,2,0.0860007,4,38,7,0.0311317,0.095952,148,128,29,7,7,301,58,121,198,104,194,1.0,0.731154,3579,3225,80,0,0.728641,3582,0,0,0,0,0,1316,4734,182,21,182,21,90,179,79,6,90,640,179,79,6,1334,4754,182,21,182,21,92,179,81,6,93,649,179,82,6,172.0,138.0,17.0,6.0,7.0,1,1.0,0.0,0.0,0.0,709.0,69.0,0.0,15.0,38598.0,2955.0,54.4401,34292.0,2942.0,48.3667,4306.0,336.0,6.07334,367.0,100.595,58.0,1.0,25.0,40.0,2080.0,0.0,182.0,0.0,1058.0,65.0,0.0,2.0,11.0,0.0,54.0,413.0,217.0,45.5046,1.45113,0.261427,9.15563,0.522379
0,36,1,176,2,0.262172,1,4,2,0.141844,0.28169,20,20,1,2,2,16,2,225,107,3,12,1.0,0.550633,87,79,10,0,0.550633,87,0,0,0,0,0,71,141,2,2,2,2,9,0,9,0,9,37,0,9,0,71,141,2,2,2,2,9,0,9,0,9,37,0,9,0,3.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,38.0,6.0,0.0,6.0,385.0,132.0,10.1316,305.0,132.0,8.02632,80.0,23.0,2.10526,367.0,60.177,38.0,1.0,33.0,5.0,15.0,0.0,2.0,0.0,52.0,6.0,0.0,1.0,0.0,1.0,6.0,30.0,12.0,6.00951,0.00478914,0.117941,8.01008,0.169185
0,50,1,945,2,0.288761,5,48,20,0.148438,0.32266,133,131,1,5,5,56,7,0,0,17,39,1.0,0.662983,480,474,17,0,0.54382,484,0,0,0,0,0,244,720,3,0,3,0,22,0,16,0,22,98,0,16,0,406,896,22,1,22,1,27,0,21,0,27,160,0,21,0,9.0,6.0,2.0,0.0,0.0,1,0.0,0.0,0.0,0.0,39.0,7.0,0.0,9.0,1312.0,242.0,33.641,812.0,258.0,20.8205,500.0,201.0,12.8205,288.143,28.4435,3.0,1.0,0.0,3.0,91.0,0.0,3.0,0.0,142.0,14.0,8.0,3.0,6.0,0.0,8.0,59.0,38.0,9.2993,0.0149074,0.156486,8.17119,0.232187
0,143,1,2790,2,0.113201,10,125,18,0.0781722,0.142756,207,202,1,5,5,428,4,49,119,17,88,1.0,0.478629,1299,1202,54,0,0.478629,1299,0,0,0,0,0,1415,2648,54,34,54,34,71,42,53,0,71,967,42,53,0,1415,2648,54,34,54,34,71,42,53,0,71,967,42,53,0,37.0,33.0,3.0,1.0,0.0,1,0.0,0.0,0.0,0.0,127.0,24.0,0.0,10.0,8666.0,1365.0,68.2362,5536.0,1365.0,43.5905,3130.0,546.0,24.6457,367.0,112.494,36.0,1.0,30.0,7.0,861.0,0.0,54.0,0.0,841.0,42.0,8.0,12.0,16.0,0.0,26.0,294.0,225.0,26.5988,0.106278,0.185252,8.5903,0.24535
0,52,1,496,2,0.0339463,1,4,1,0.0247191,0.0649351,11,10,9,6,6,42,27,38,267,19,32,1.0,0.664459,301,274,14,0,0.662281,302,0,0,0,0,0,152,442,2,0,2,0,13,2,13,0,13,98,2,13,0,154,445,11,8,2,0,13,2,13,0,80,98,9,21,0,15.0,13.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,95.0,18.0,0.0,8.0,845.0,75.0,8.89474,382.0,51.0,4.02105,463.0,61.0,4.87368,325.143,110.378,12.0,1.0,1.0,11.0,15.0,0.0,2.0,0.0,63.0,6.0,8.0,0.0,0.0,0.0,6.0,25.0,15.0,17.0375,0.150336,0.182856,8.38839,0.297276
0,38,1,192,2,0.0,0,0,0,0.0,0.0,0,0,3,0,0,5,14,57,7,7,12,1.0,0.847561,139,139,6,0,0.847561,139,0,0,6,6,0,25,155,0,1,0,1,5,0,5,1,5,13,0,5,1,25,155,0,1,0,1,5,0,5,1,5,13,0,5,1,3.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,33.0,4.0,0.0,7.0,310.0,87.0,9.39394,86.0,19.0,2.60606,224.0,68.0,6.78788,261.571,129.549,10.0,1.0,6.0,5.0,10.0,2.0,0.0,0.0,17.0,5.0,8.0,0.0,0.0,0.0,5.0,13.0,4.0,15.6356,0.0304594,0.178388,8.34979,0.27637
0,28,1,141,2,0.88746,1,16,4,0.385965,0.740741,44,40,5,1,1,20,3,17,21,2,10,1.0,0.530435,61,56,9,0,0.530435,61,1,1,0,0,1,54,114,6,2,0,2,8,0,8,0,11,40,0,9,0,54,114,6,2,0,2,8,0,8,0,11,40,0,9,0,3.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,3.0,28.0,21.0,4.66667,9.0,4.0,1.5,19.0,17.0,3.16667,122.143,16.6276,3.0,2.0,1.0,2.0,28.0,0.0,0.0,6.0,56.0,8.0,11.0,0.0,0.0,0.0,8.0,17.0,20.0,3.92315,0.00548968,0.148538,8.04383,0.231244
0,60,1,152,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,4,3,112,3,0,4,1.0,0.804511,107,107,5,0,0.804511,107,1,1,3,5,1,26,93,563,11,16,4,4,16,4,0,16,2,563,16,3,26,93,563,11,16,4,4,16,4,0,16,2,563,16,3,4.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,23.0,4.0,0.0,5.0,198.0,57.0,8.6087,146.0,29.0,6.34783,52.0,50.0,2.26087,140.571,38.2857,1.0,1.0,1.0,0.0,6.0,1.0,16.0,547.0,6.0,4.0,20.0,0.0,0.0,0.0,4.0,4.0,2.0,8.58795,0.0350625,0.129181,8.10498,0.161803
0,22,1,3666,2,0.17383,10,72,17,0.0589849,0.160067,215,190,40,6,5,409,1,313,876,1,68,1.0,0.66328,2350,2269,68,0,0.66328,2350,0,0,0,0,0,1193,3645,3,0,3,0,67,3,67,0,67,879,3,67,0,1193,3645,3,0,3,0,67,3,67,0,67,879,3,67,0,20.0,16.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,98.0,26.0,0.0,13.0,15621.0,3028.0,159.398,12538.0,3026.0,127.939,3083.0,751.0,31.4592,294.571,138.94,141.0,1.0,137.0,4.0,561.0,0.0,3.0,0.0,845.0,34.0,8.0,0.0,0.0,0.0,34.0,91.0,262.0,27.6193,0.861381,0.112974,0.821275,0.269654
0,39,1,147,2,0.0,0,0,0,0.0,0.0,0,0,8,0,0,8,3,10,14,0,8,1.0,0.806723,96,91,9,0,0.806723,96,0,0,4,13,0,23,109,2,0,2,0,8,2,8,0,8,3,2,8,0,23,109,2,0,2,0,8,2,8,0,8,3,2,8,0,5.0,3.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,19.0,2.0,0.0,5.0,242.0,65.0,12.7368,199.0,108.0,10.4737,43.0,45.0,2.26316,136.571,12.768,4.0,1.0,4.0,0.0,28.0,0.0,2.0,0.0,24.0,8.0,8.0,0.0,0.0,2.0,8.0,8.0,8.0,12.3914,0.0316353,0.0316799,0.333686,0.0448123
0,27,1,87,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,5,0,5,3,0,5,1.0,0.890625,57,57,6,0,0.890625,57,0,0,1,2,0,7,61,0,0,0,0,5,0,5,1,5,0,0,5,1,7,61,0,0,0,0,5,0,5,1,5,0,0,5,1,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5714,0.0,2.0,1.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0,20,1,38,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,48,37,0,2,1.0,0.608696,14,13,3,0,0.608696,14,0,0,0,0,0,9,19,1,0,1,0,2,0,2,0,2,2,0,2,0,9,19,1,0,1,0,2,0,2,0,2,2,0,2,0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,25.0,9.0,0.0,6.0,119.0,36.0,4.76,103.0,36.0,4.12,16.0,8.0,0.64,325.143,87.6999,6.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,22.0,1.0,0.0,0.0,1.0,1.0,1.0,7.82241,0.0089693,0.154243,8.13587,0.232065
0,49,1,194,2,0.0,0,0,0,0.0,0.0,0,0,1,2,2,14,15,7,5,12,21,1.0,0.696774,108,107,10,0,0.696774,108,0,0,0,0,0,47,146,2,5,2,5,9,0,9,0,9,25,0,9,0,47,146,2,5,2,5,9,0,9,0,9,25,0,9,0,4.0,3.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,13.0,4.0,0.0,3.0,86.0,47.0,6.61538,49.0,13.0,3.76923,37.0,35.0,2.84615,136.571,12.0282,5.0,1.0,1.0,5.0,36.0,0.0,2.0,0.0,44.0,9.0,8.0,2.0,0.0,0.0,9.0,26.0,14.0,7.99162,0.0148172,0.157613,8.15006,0.239334
0,27,1,86,2,0.0,0,0,0,0.0,0.0,0,0,2,0,0,3,2,4,5,2,5,1.0,0.848485,56,55,3,0,0.848485,56,0,0,0,0,0,10,60,0,0,0,0,3,0,2,0,3,2,0,2,0,10,60,0,0,0,0,3,0,2,0,3,2,0,2,0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,11.0,6.0,3.66667,9.0,6.0,3.0,2.0,2.0,0.666667,12.5714,3.24675,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,2.0,8.0,0.0,1.0,0.0,1.0,3.0,2.0,2.2601,0.00523323,0.0541016,0.159449,0.160724
0,96,1,2896,2,0.221609,7,64,25,0.0853267,0.200665,239,181,86,4,3,208,109,122,150,153,286,1.0,0.669718,1829,1719,107,0,0.669718,1829,0,0,0,0,0,902,2801,17,3,17,3,133,2,106,5,133,460,2,106,5,902,2801,17,3,17,3,133,2,106,5,133,460,2,106,5,66.0,48.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,210.0,49.0,0.0,11.0,9587.0,1441.0,45.6524,7432.0,1441.0,35.3905,2155.0,359.0,10.2619,333.143,95.3919,108.0,1.0,49.0,93.0,7381.0,0.0,17.0,0.0,804.0,122.0,8.0,10.0,0.0,3.0,96.0,347.0,182.0,24.6967,0.125208,0.219321,8.62848,0.404613
0,59,1,5221,2,0.410163,73,1920,257,0.352702,0.377976,1821,1778,1,9,7,1237,214,3,4,340,498,0.0348837,0.059952,300,124,3,83,0.059952,300,0,0,0,0,0,4704,5163,12,2,12,2,158,0,85,23,158,3306,0,85,23,4704,5163,12,2,12,2,158,0,85,23,158,3306,0,85,23,196.0,183.0,21.0,10.0,8.0,1,1.0,0.0,0.0,0.0,318.0,166.0,0.0,10.0,17380.0,3852.0,54.6541,12236.0,2861.0,38.478,5144.0,1378.0,16.1761,333.143,97.7421,55.0,1.0,2.0,53.0,2080.0,0.0,12.0,0.0,1947.0,65.0,8.0,1.0,5.0,3.0,10.0,680.0,470.0,37.2855,0.328708,0.235777,8.93493,0.40676
0,46,1,2366,2,0.275113,7,90,25,0.10168,0.251613,236,234,9,2,2,334,88,84,83,184,273,1.0,0.588496,1330,1324,89,0,0.588496,1330,0,0,0,0,0,930,2321,1,0,1,0,89,0,88,0,89,462,0,88,0,930,2321,1,0,1,0,89,0,88,0,89,462,0,88,0,11.0,9.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,66.0,6.0,0.0,9.0,2006.0,584.0,30.3939,470.0,105.0,7.12121,1536.0,556.0,23.2727,329.143,99.6814,4.0,1.0,1.0,4.0,15.0,0.0,1.0,0.0,52.0,6.0,8.0,1.0,1.0,0.0,5.0,19.0,19.0,7.97103,0.00933731,0.0148224,0.198091,0.00942904
0,123,1,2742,2,0.132772,37,2860,166,0.0625954,0.196407,164,164,12,4,3,214,93,192,1141,29,90,1.0,0.687307,1554,1479,27,0,0.672292,1713,0,0,19,92,0,707,2318,102,11,102,11,61,87,26,6,61,330,87,26,6,835,2620,106,11,106,11,76,87,34,6,76,406,87,34,6,26.0,18.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,112.0,26.0,0.0,10.0,5361.0,1562.0,47.8661,2652.0,1562.0,23.6786,2709.0,746.0,24.1875,333.143,72.771,150.0,1.0,135.0,18.0,1830.0,19.0,102.0,0.0,657.0,61.0,8.0,7.0,1.0,2.0,26.0,209.0,206.0,14.5995,0.0154561,0.177241,8.33007,0.286004
0,83,1,1159,2,0.0,0,0,0,0.0,0.0,0,0,1,7,6,96,55,13,25,62,86,1.0,0.598157,649,619,19,0,0.598157,649,0,0,0,0,0,436,1077,19,0,19,0,24,4,18,14,24,265,4,18,14,436,1077,19,0,19,0,24,4,18,14,24,265,4,18,14,38.0,30.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,106.0,35.0,0.0,11.0,4597.0,1604.0,43.3679,2447.0,849.0,23.0849,2150.0,1604.0,20.283,225.286,17.0975,41.0,1.0,9.0,33.0,210.0,0.0,19.0,0.0,426.0,21.0,8.0,15.0,5.0,0.0,15.0,170.0,89.0,28.8029,0.115516,0.20306,8.67929,0.307199
0,28,1,449,2,0.0653829,1,8,2,0.0473934,0.0537634,20,20,1,5,5,131,57,2,2,28,42,0.125,0.03125,12,6,1,7,0.03125,12,2,2,0,0,1,372,422,14,0,13,0,14,0,7,0,352,210,0,343,0,372,422,14,0,13,0,14,0,7,0,352,210,0,343,0,7.0,6.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,3.0,388.0,267.0,43.1111,20.0,11.0,2.22222,368.0,256.0,40.8889,126.0,23.0066,5.0,3.0,1.0,4.0,36.0,0.0,13.0,0.0,261.0,9.0,18.0,12.0,4.0,1.0,2.0,56.0,69.0,8.11626,0.0626451,0.169647,8.18048,0.299608
0,34,1,118,2,0.0,0,0,0,0.0,0.0,0,0,3,2,2,6,4,13,5,1,5,1.0,0.79798,79,76,4,0,0.79798,79,0,0,8,9,0,20,85,1,0,1,0,4,0,3,0,4,9,0,3,0,20,85,1,0,1,0,4,0,3,0,4,9,0,3,0,2.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,5.0,228.0,53.0,19.0,162.0,35.0,13.5,66.0,40.0,5.5,193.571,4.72807,1.0,1.0,1.0,1.0,6.0,1.0,1.0,0.0,20.0,4.0,8.0,0.0,0.0,1.0,3.0,5.0,6.0,2.96868,0.00114952,0.0034669,0.0667091,6.29834e-05
