McCC,CLOC,LLOC,Number of previous fixes,Number of previous modifications,Number of committers,Number of developer commits,target
1,0,113,3,125,2,1300,1
96,0,625,0,166,2,1843,1
2,0,19,0,7,1,1843,0
2,0,26,0,6,2,1843,0
42,0,269,1,62,2,1300,0
8,0,36,0,12,2,1843,0
1,0,13,0,6,1,1843,0
1,0,10,0,8,2,1300,0
18,0,72,0,18,2,1843,0
2,0,28,0,15,1,1843,0
48,0,246,0,82,2,1300,1
1,0,12,0,5,1,1843,0
3,0,44,0,21,2,1300,0
1,0,12,0,7,1,1843,0
1,0,14,0,9,1,1843,0
1,0,10,0,6,2,1843,0
1,0,7,0,8,2,1843,0
1,0,7,0,8,2,1843,0
1,0,9,0,4,1,1843,0
1,0,9,0,4,1,1843,0
3,0,48,0,25,2,1300,0
1,0,8,0,7,2,1843,0
2,0,12,0,10,2,1300,0
1,0,3,0,3,1,1843,0
1,0,7,0,8,2,1843,0
1,0,15,0,4,2,1843,0
6,0,61,0,32,2,1843,0
1,0,6,0,7,2,1843,0
5,0,33,0,15,2,1300,0
7,0,67,0,27,2,1300,0
2,0,21,0,13,2,1843,0
1,0,9,0,9,2,1843,0
5,0,37,0,25,2,1843,1
1,0,16,0,12,1,1843,0
1,0,13,0,8,1,1843,0
3,0,30,0,14,2,1843,0
1,0,9,0,7,1,1843,0
1,0,25,0,14,2,1300,0
1,0,34,0,25,2,1300,0
1,0,19,0,15,2,1300,0
1,0,27,0,18,2,1300,0
1,0,19,0,15,2,1300,0
4,0,24,0,13,2,1843,0
1,0,9,0,6,2,1843,0
1,0,18,0,4,1,1843,0
1,0,26,0,20,2,1300,0
1,0,6,0,3,1,1843,0
1,0,12,0,7,1,1843,0
1,0,20,0,6,2,1300,0
1,0,13,0,11,2,1843,0
7,0,68,0,39,2,1300,0
2,0,21,0,16,2,1843,0
1,0,22,0,15,2,1843,0
1,0,17,0,3,1,1843,0
3,0,10,0,8,2,1843,0
43,0,314,0,59,2,1300,1
1,0,8,0,2,1,1843,0
5,0,36,0,24,2,1300,0
4,0,28,1,23,2,1843,0
7,0,34,0,12,2,1843,0
1,0,18,0,19,2,1300,0
1,0,16,0,8,1,1843,0
9,0,39,0,13,2,1300,0
1,0,9,0,7,1,1843,0
1,0,11,0,7,1,1843,0
1,0,16,0,8,1,1843,0
1,0,7,0,12,2,1843,0
5,0,37,0,11,2,1843,1
1,0,20,0,5,2,1300,0
1,0,23,0,19,2,1300,0
1,0,21,0,9,2,1300,0
30,0,174,0,22,2,1300,1
1,0,20,0,3,2,1843,0
1,0,17,0,11,2,1300,0
9,0,52,0,12,2,1300,0
8,0,66,0,16,2,1300,0
1,0,14,0,7,2,1300,0
1,0,21,0,9,2,1300,0
1,0,21,0,9,2,1300,0
1,0,14,0,6,2,1300,0
1,0,4,0,3,1,1300,0
1,0,14,0,7,2,1300,0
5,0,36,0,12,2,1300,0
1,0,3,0,5,2,1300,0
1,0,20,0,8,2,1300,0
1,0,14,0,7,2,1300,0
1,0,21,0,9,2,1300,0
1,0,14,0,5,2,1300,0
1,0,9,0,5,2,1843,0
1,0,10,0,8,2,1843,0
1,0,9,0,5,2,1843,0
1,0,7,0,5,2,1843,0
1,0,4,0,5,2,1843,0
1,0,4,0,5,2,1843,0
1,0,9,0,5,2,1843,0
1,0,5,0,5,2,1843,0
1,0,9,0,5,2,1843,0
1,0,13,0,5,2,1843,0
1,0,9,0,5,2,1843,0
1,0,9,0,5,2,1843,0
1,0,9,0,5,2,1843,0
1,0,7,0,5,2,1843,0
1,0,7,0,5,2,1843,0
1,0,7,0,5,2,1843,0
1,0,7,0,5,2,1843,0
1,0,13,0,5,2,1843,0
1,0,15,0,5,2,1843,0
1,0,7,0,5,2,1843,0
1,0,7,0,5,2,1843,0
1,0,7,0,5,2,1843,0
1,0,7,0,5,2,1843,0
1,0,9,0,5,2,1843,0
1,0,7,0,5,2,1843,0
1,0,7,0,5,2,1843,0
1,0,7,0,5,2,1843,0
1,0,7,0,5,2,1843,0
1,0,7,0,5,2,1843,0
1,0,7,0,5,2,1843,0
1,0,7,0,5,2,1843,0
1,0,9,0,5,2,1843,0
5,0,40,0,27,2,1300,0
1,0,7,0,5,1,1843,0
6,0,43,0,5,1,1843,0
4,0,25,0,13,2,1300,0
1,0,9,0,9,2,1843,0
1,0,9,0,9,2,1843,0
1,0,11,0,8,2,1843,0
1,0,7,0,9,2,1843,0
1,0,7,0,9,2,1843,0
1,0,11,0,8,2,1843,0
4,0,28,0,14,2,1843,0
1,0,7,0,4,1,1843,0
1,0,10,0,6,1,1843,0
1,0,8,0,6,1,1843,0
8,0,65,0,39,2,1300,0
1,0,8,0,7,1,1843,0
1,0,7,0,6,1,1843,0
1,0,7,0,5,1,1843,0
87,0,981,0,151,2,1300,1
4,0,62,0,11,2,1300,0
44,0,191,1,6,2,1300,0
5,0,87,0,3,2,1843,0
3,0,46,0,13,2,1300,0
1,0,334,1,35,2,1300,1
2,0,284,0,22,2,1300,0
3,0,413,0,24,2,1300,1
1,0,136,0,17,2,1843,0
7,0,333,0,33,2,1843,0
1,0,243,0,24,2,1300,0
8,0,422,0,47,2,1843,0
1,0,681,0,39,2,1843,0
2,0,214,0,34,2,1300,1
1,0,73,0,36,2,1300,0
3,0,122,0,12,2,1843,0
1,0,231,0,23,2,1300,0
1,0,587,1,43,2,1300,1
6,0,94,0,3,2,1843,0
1,0,270,0,41,2,1300,1
16,0,803,0,26,2,1300,0
1,0,341,0,10,2,1300,0
2,0,440,2,51,2,1843,1
1,0,210,0,2,1,1843,1
1,0,154,0,19,2,1300,1
4,0,565,1,52,2,1843,1
1,0,187,0,25,2,1300,1
1,0,287,0,42,2,1843,1
1,0,273,1,55,2,1300,1
1,0,155,0,10,2,1843,0
8,0,401,0,30,2,1843,0
1,0,112,0,13,2,1300,1
236,0,1497,0,112,2,1300,0
2,0,30,0,12,2,1300,0
1,0,143,0,26,2,1300,1
1,0,453,1,49,2,1300,1
1,0,221,1,21,2,1300,1
1,0,113,0,40,2,1300,0
6,0,777,0,19,2,1843,0
8,0,140,0,20,2,1300,0
1,0,288,3,35,2,1300,1
1,0,74,0,8,2,1300,0
3,0,262,0,18,2,1843,0
3,0,160,0,14,2,1843,0
5,0,214,0,8,2,1300,1
1,0,35,0,32,2,1300,1
1,0,17,1,39,2,1300,0
4,0,47,0,11,2,1300,0
16,0,144,0,30,2,1300,0
3,0,23,0,20,2,1300,0
1,0,45,0,21,2,1300,0
58,0,284,0,57,2,1843,1
1,0,7,0,20,2,1300,0
9,0,155,0,37,2,1843,0
4,0,29,0,11,2,1300,0
12,0,53,0,36,2,1300,0
1,0,14,0,15,2,1300,0
38,0,263,1,68,2,1300,0
9,0,88,0,25,2,1300,0
3,0,53,1,34,2,1843,0
1,0,8,0,16,2,1300,0
1,0,16,0,5,2,1300,0
1,0,15,0,23,2,1300,0
23,0,264,0,97,2,1843,0
3,0,53,0,5,1,1843,0
3,0,40,1,27,2,1300,0
24,0,121,0,6,2,1300,0
1,0,38,0,45,2,1843,0
67,0,484,0,142,2,1300,0
28,0,189,0,10,2,1843,0
34,0,159,0,92,2,1843,0
6,0,65,0,21,2,1300,0
4,0,66,0,45,2,1300,0
10,0,138,0,72,2,1300,1
18,0,149,0,81,2,1843,0
1,0,19,0,22,2,1843,0
1,0,11,0,5,2,1300,0
1,0,15,0,14,2,1300,0
1,0,19,0,25,2,1300,0
58,0,325,0,20,2,1300,0
30,0,179,0,36,2,1300,0
28,0,198,0,24,2,1300,0
1,0,9,0,2,1,1843,0
1,0,6,0,3,2,1843,0
1,0,32,0,19,2,1843,0
12,0,70,0,35,2,1300,0
11,0,97,0,40,2,1300,0
14,0,121,0,46,2,1300,0
35,0,246,0,81,2,1300,0
2,0,49,0,5,2,1843,0
125,0,510,2,16,2,1300,0
108,0,446,2,9,2,1300,0
2,0,89,1,83,2,1300,0
4,0,92,1,32,2,1300,0
1,0,5,0,2,1,1300,0
1,0,26,0,20,2,1843,0
1,0,7,0,2,1,1300,0
1,0,7,0,2,1,1300,0
1,0,8,0,12,2,1300,0
1,0,4,0,6,2,1300,0
1,0,5,0,16,2,1300,0
1,0,28,0,16,2,1300,0
1,0,20,0,16,2,1843,0
1,0,10,0,4,2,1300,0
15,0,90,0,4,2,1300,0
1,0,11,0,2,2,1843,0
8,0,79,0,17,2,1843,0
76,0,457,1,172,2,1300,1
3,0,47,0,4,2,1300,0
4,0,52,0,4,2,1300,0
4,0,51,0,4,2,1300,0
3,0,46,0,4,2,1300,0
1,0,36,0,4,2,1300,0
1,0,36,0,4,2,1300,0
3,0,46,0,4,2,1300,0
1,0,36,0,4,2,1300,0
3,0,46,0,4,2,1300,0
27,0,132,0,50,2,1300,0
1,0,8,0,9,2,1300,0
3,0,23,0,19,2,1843,0
1,0,12,0,9,2,1300,0
198,0,904,1,290,2,1843,1
1,0,8,0,7,2,1300,0
1,0,7,0,8,2,1300,0
1,0,28,0,3,2,1843,0
1,0,31,0,23,2,1843,0
105,0,466,0,78,2,1300,0
3,0,22,0,16,2,1300,0
30,0,162,0,22,2,1300,0
2,0,28,0,17,2,1843,0
1,0,9,0,8,2,1843,0
1,0,7,0,6,2,1300,0
1,0,35,0,23,2,1843,0
50,0,274,0,39,2,1300,0
2,0,30,0,20,2,1300,0
12,0,57,0,28,2,1300,0
1,0,7,0,6,2,1300,0
1,0,10,0,8,2,1300,0
1,0,11,0,10,2,1300,0
1,0,7,0,9,2,1300,0
2,0,61,0,35,2,1300,0
2,0,18,0,15,2,1843,0
11,0,98,0,38,2,1300,0
14,0,59,0,25,2,1300,0
8,0,85,0,58,2,1300,0
1,0,12,0,5,2,1843,0
1,0,3,0,2,2,1843,0
71,0,379,0,34,2,1300,0
5,0,40,0,6,2,1843,0
1,0,5,0,2,2,1843,0
33,0,221,0,12,2,1300,0
8,0,75,0,11,2,1300,0
35,0,183,0,13,2,1300,0
1,0,20,0,5,2,1843,0
17,0,84,0,23,2,1300,0
96,0,463,0,35,2,1300,1
1,0,20,0,8,2,1843,1
3,0,23,0,2,1,1300,0
4,0,81,0,7,2,1843,0
4,0,23,0,5,1,1843,0
3,0,48,0,4,2,1300,0
3,0,18,0,4,2,1300,0
4,0,73,0,16,2,1843,0
1,0,9,0,5,2,1300,0
1,0,18,0,5,2,1843,0
39,0,205,0,51,2,1300,0
1,0,11,0,5,2,1300,0
21,0,109,1,24,2,1300,0
3,0,39,1,8,1,1300,0
1,0,3,0,6,2,1843,0
1,0,11,0,6,2,1843,0
1,0,13,0,44,2,1300,0
1,0,9,0,20,2,1300,0
1,0,9,0,7,2,1300,0
1,0,8,0,31,2,1300,0
4,0,33,0,22,2,1300,0
1,0,5,0,5,2,1843,0
1,0,8,0,18,2,1300,0
1,0,5,0,6,2,1843,0
3,0,45,0,16,2,1843,0
1,0,12,0,12,2,1843,0
25,0,155,0,48,2,1843,0
4,0,20,0,7,2,1300,0
7,0,142,1,16,2,1300,0
2,0,26,0,2,1,1300,0
3,0,93,0,7,2,1843,0
6,0,114,0,24,2,1300,0
1,0,5,0,3,2,1843,0
30,0,553,0,58,4,1843,0
1,0,3,0,11,2,1300,0
8,0,70,0,15,2,1300,0
3,0,58,0,9,2,1843,0
60,0,312,0,38,2,1843,0
4,0,77,0,9,2,1300,0
4,0,32,0,5,2,1843,0
2,0,20,0,7,2,1300,0
2,0,38,0,8,2,1300,0
23,0,144,0,24,2,1843,0
2,0,16,0,10,2,1843,0
1,0,12,0,3,1,1843,0
1,0,15,0,5,2,1843,0
7,0,30,0,9,1,1843,0
1,0,15,0,3,1,1843,0
7,0,30,0,9,1,1843,0
2,0,15,0,4,1,1843,0
3,0,21,0,9,2,1843,0
1,0,11,0,3,2,1843,0
1,0,11,0,3,2,1843,0
50,0,217,0,12,2,1300,0
