McCC,CLOC,LLOC,Number of developer commits,Number of committers,Number of previous fixes,Number of previous modifications,target
2,0,19,0,0,0,1,0
1,0,5,0,0,0,1,0
1,0,19,0,0,0,1,0
1,0,28,0,0,0,1,0
7,0,90,0,0,0,1,0
1,0,39,0,0,0,1,0
1,0,23,0,0,0,1,0
1,0,14,0,0,0,1,0
3,0,77,0,0,0,1,0
1,0,14,0,0,0,1,0
1,0,23,0,0,0,1,0
1,0,80,0,0,0,1,0
1,0,33,0,0,0,1,0
2,0,43,0,0,0,1,0
3,0,58,0,0,0,1,0
1,0,18,0,0,0,1,0
1,0,17,0,0,0,1,0
10,0,112,0,0,0,1,0
5,0,110,0,0,0,1,0
4,0,106,0,0,0,1,0
7,0,128,0,0,0,1,0
4,0,86,0,0,0,1,0
1,0,49,0,0,0,1,0
1,0,44,0,0,0,1,0
20,0,154,0,0,0,1,0
2,0,23,0,0,0,1,0
1,0,53,0,0,0,1,0
1,0,40,0,0,0,1,0
1,0,11,0,0,0,1,0
1,0,75,0,0,0,1,0
4,0,40,0,0,0,1,0
1,0,23,0,0,0,1,0
4,0,22,0,0,0,1,0
3,0,59,0,0,0,1,1
13,0,88,0,0,0,1,1
42,0,289,0,0,0,1,1
6,0,42,0,0,0,1,1
6,0,45,0,0,0,1,0
2,0,25,0,0,0,1,0
1,0,24,0,0,0,1,0
1,0,32,0,0,0,1,0
7,0,52,0,0,0,1,0
9,0,87,0,0,0,1,0
17,0,229,0,0,0,1,0
11,0,58,0,0,0,1,0
2,0,37,0,0,0,1,0
16,0,119,0,0,0,1,1
34,0,286,0,0,0,1,1
8,0,68,0,0,0,1,1
1,0,6,0,0,0,1,0
1,0,9,0,0,0,1,0
34,0,339,0,0,0,1,1
1,0,38,0,0,0,1,1
1,0,6,0,0,0,1,0
8,0,83,0,0,0,1,1
2,0,56,0,0,0,1,0
1,0,8,0,0,0,1,0
2,0,46,0,0,0,1,0
1,0,34,0,0,0,1,1
1,0,37,0,0,0,1,1
2,0,51,0,0,0,1,1
1,0,10,0,0,0,1,0
1,0,19,0,0,0,1,0
2,0,34,0,0,0,1,0
1,0,22,0,0,0,1,0
6,0,83,0,0,0,1,0
1,0,16,0,0,0,1,0
1,0,7,0,0,0,1,0
11,0,100,0,0,0,1,0
1,0,22,0,0,0,1,0
1,0,16,0,0,0,1,0
6,0,119,0,0,0,1,0
3,0,114,0,0,0,1,0
1,0,10,0,0,0,1,0
9,0,42,0,0,0,1,0
1,0,13,0,0,0,1,0
14,0,176,0,0,0,1,0
1,0,21,0,0,0,1,0
7,0,42,0,0,0,1,0
13,0,109,0,0,0,1,0
3,0,44,0,0,0,1,0
17,0,173,0,0,0,1,0
14,0,89,0,0,0,1,0
15,0,90,0,0,0,1,0
13,0,153,0,0,0,1,0
4,0,65,0,0,0,1,0
21,0,119,0,0,0,1,0
2,0,31,0,0,0,1,0
2,0,95,0,0,0,1,0
9,0,75,0,0,0,1,0
8,0,33,0,0,0,1,0
1,0,26,0,0,0,1,0
3,0,106,0,0,0,1,0
2,0,47,0,0,0,1,0
2,0,89,0,0,0,1,0
1,0,56,0,0,0,1,0
4,0,40,0,0,0,1,0
