McCC,CLOC,LLOC,Number of developer commits,Number of previous modifications,Number of previous fixes,Number of committers,target
19,0,130,1118,8,0,4,0
3,0,99,1118,8,0,2,0
1,0,64,1118,7,0,3,0
2,0,20,1118,3,0,2,0
83,0,708,1118,52,0,4,0
1,0,4,1118,6,0,1,0
10,0,55,831,2,0,2,0
59,0,351,831,20,2,5,0
1,0,33,1118,4,0,2,0
1,0,40,2899,5,0,2,0
4,0,74,1118,14,0,2,0
1,0,20,1118,3,0,2,0
11,0,73,1118,7,0,2,0
3,0,18,1118,3,0,2,0
6,0,59,1118,11,0,2,0
1,0,30,2899,5,0,2,0
1,0,45,1118,12,0,3,0
1,0,41,2899,4,0,2,0
2,0,43,1118,4,0,2,0
1,0,43,831,4,0,2,0
54,0,385,2899,45,0,3,0
1,0,38,1118,3,0,2,0
1,0,77,1118,12,0,3,0
2,0,46,1118,3,0,1,0
1,0,24,1118,3,0,2,0
1,0,42,1118,2,0,1,0
1,0,88,1118,13,0,3,0
2,0,60,1118,4,0,2,0
1,0,56,1118,6,0,1,0
5,0,93,1118,12,0,2,0
1,0,43,1118,3,0,2,0
5,0,74,1118,6,0,2,0
1,0,33,1118,5,0,2,0
8,0,83,1118,17,0,3,0
1,0,60,1118,4,0,2,0
3,0,86,1118,4,0,2,0
1,0,43,2899,4,0,2,0
1,0,51,2899,3,0,2,0
6,0,97,1118,8,0,2,0
15,0,124,1118,11,0,2,0
8,0,74,1118,10,0,3,0
1,0,20,1118,3,0,2,0
3,0,38,1118,4,0,2,0
1,0,26,1118,3,0,2,0
3,0,65,1118,4,0,2,0
243,0,964,2899,76,0,4,0
33,0,525,2899,6,1,4,0
13,0,92,1118,6,0,1,0
1,0,35,1118,4,0,1,0
1,0,4,575,1,0,1,0
20,0,209,2899,8,1,4,0
30,0,273,2899,4,1,3,0
19,0,133,2053,6,0,2,0
22,0,139,1118,29,0,3,0
19,0,116,1118,3,0,3,0
7,0,68,2053,5,0,2,0
1,0,7,1118,1,0,1,0
224,0,1125,2899,45,1,5,0
52,0,312,1118,9,0,2,0
1,0,67,1118,4,0,2,0
11,0,167,1118,14,0,3,0
1,0,44,1118,3,0,1,0
27,0,179,1118,17,0,3,0
1,0,10,1118,4,0,1,0
1,0,10,1118,4,0,1,0
1,0,10,1118,4,0,1,0
10,0,109,1118,9,0,2,0
2,0,26,86,6,0,2,0
21,0,203,1118,28,0,4,0
6,0,101,1118,7,0,2,0
19,0,138,1118,12,0,3,0
2,0,35,2899,9,0,4,0
1,0,28,86,7,0,2,0
15,0,83,1118,9,0,3,0
8,0,114,2053,10,0,3,0
1,0,42,0,1,0,0,0
10,0,109,1118,9,0,2,0
1,0,12,1118,4,0,1,0
6,0,79,2053,9,0,3,0
1,0,9,1118,1,0,1,0
18,0,85,2899,4,0,2,0
1,0,27,1118,1,0,1,0
14,0,53,2053,6,0,3,0
1,0,4,1118,1,0,1,0
3,0,18,2899,1,0,1,0
1,0,7,1118,2,0,1,0
18,0,125,2899,6,0,2,0
1,0,4,1118,1,0,1,0
1,0,22,1118,1,0,1,0
15,0,72,2899,2,0,2,0
1,0,35,2899,4,0,2,0
3,0,11,1118,3,0,1,0
4,0,16,1118,3,0,1,0
4,0,16,1118,3,0,1,0
1,0,6,1118,3,0,1,0
2,0,14,2899,3,0,2,0
1,0,43,575,3,0,2,0
3,0,63,2899,4,1,3,0
1,0,43,1118,1,0,1,0
1,0,5,2899,2,0,1,0
1,0,3,2899,2,0,1,0
1,0,11,2899,2,0,1,0
1,0,3,2899,2,0,1,0
1,0,6,2899,2,0,1,0
1,0,4,2899,2,0,1,0
1,0,7,2899,1,0,1,0
1,0,3,2899,1,0,1,0
1,0,12,2899,6,0,3,0
1,0,17,2899,8,0,3,0
1,0,7,2899,4,0,2,0
1,0,8,2899,3,0,2,0
1,0,12,2899,2,0,1,0
1,0,3,2899,2,0,1,0
1,0,5,2899,2,0,2,0
1,0,3,2899,2,0,2,0
1,0,9,1118,1,0,1,0
1,0,17,831,7,0,3,1
9,0,112,831,3,0,2,0
4,0,39,1118,2,0,2,0
11,0,68,1118,19,0,2,0
22,0,120,2899,16,0,4,0
16,0,135,1118,16,0,3,0
20,0,204,2053,9,0,4,0
16,0,162,2899,31,0,4,0
1,0,5,1118,3,0,1,0
54,0,387,2899,53,1,6,1
4,0,58,2899,5,1,2,0
1,0,7,831,3,0,3,0
1,0,22,1118,2,0,2,0
15,0,82,2899,22,0,3,0
4,0,44,1118,3,0,1,0
1,0,9,1118,3,0,1,0
18,0,335,575,6,0,3,0
1,0,66,1118,2,0,1,0
1,0,4,1118,2,0,2,0
55,0,251,2899,10,0,3,0
26,0,173,1118,8,0,2,0
1,0,9,1118,2,0,2,0
20,0,133,2899,13,1,2,0
1,0,47,2899,7,0,2,0
21,0,186,1118,23,0,4,1
1,0,8,1118,2,0,1,0
5,0,146,2899,11,0,3,0
85,0,379,2899,45,0,4,0
1,0,147,2899,4,0,1,0
12,0,74,2899,37,1,4,0
1,0,4,1118,3,0,1,0
25,0,109,1118,18,0,2,0
11,0,83,1118,43,0,4,0
20,0,105,2899,5,0,2,0
1,0,23,1118,2,0,1,0
15,0,101,2899,11,0,3,1
1,0,6,1118,2,0,1,0
29,0,177,575,9,0,3,0
40,0,204,2899,6,0,2,0
1,0,7,1118,3,0,1,0
1,0,4,1118,1,0,1,0
1,0,7,1118,2,0,1,0
1,0,8,575,1,0,1,0
24,0,160,2899,39,1,4,0
1,0,31,1118,2,0,1,0
1,0,6,1118,1,0,1,0
1,0,6,1118,1,0,1,0
1,0,8,1118,1,0,1,0
7,0,62,831,3,1,2,0
1,0,9,1118,1,0,1,0
1,0,56,1118,10,0,1,0
1,0,5,1118,4,0,1,0
55,0,239,831,31,2,4,1
1,0,11,1118,13,0,1,0
1,0,14,1118,4,0,2,1
54,0,239,2899,25,0,4,0
9,0,62,1118,2,0,1,0
28,0,123,1118,15,0,3,0
1,0,6,1118,6,0,1,0
9,0,75,1118,14,0,1,0
141,0,904,831,58,2,6,1
1,0,30,1118,6,0,1,0
4,0,29,1118,1,0,1,0
18,0,82,1118,4,0,2,1
34,0,209,831,21,1,4,0
16,0,75,1118,4,0,2,1
8,0,64,2899,4,0,1,0
1,0,7,2899,2,0,1,0
1,0,8,2899,2,0,1,0
1,0,11,2899,2,0,1,0
1,0,8,2899,1,0,1,0
1,0,17,2899,3,0,1,0
5,0,47,575,4,0,2,0
6,0,46,2899,1,0,1,0
84,0,383,2899,10,0,3,1
49,0,232,2053,3,0,2,0
7,0,47,86,7,0,2,0
1,0,51,2899,2,1,1,0
1,0,9,2899,2,0,2,0
1,0,11,1118,1,0,1,0
5,0,75,2899,4,1,3,0
1,0,27,575,3,0,2,0
1,0,21,1118,1,0,1,0
3,0,36,1118,5,0,1,0
1,0,3,1118,1,0,1,0
9,0,119,2899,16,1,3,0
2,0,55,2899,1,0,1,0
15,0,123,2899,4,1,3,0
8,0,77,2899,9,0,2,0
66,0,447,2899,7,1,2,0
1,0,42,2899,4,1,2,0
5,0,39,1118,4,0,1,0
1,0,40,1118,1,0,1,0
1,0,7,1118,1,0,1,0
1,0,5,1118,2,0,1,0
3,0,22,1118,2,0,1,0
1,0,12,1118,2,0,1,0
1,0,15,1118,1,0,1,0
1,0,47,1118,2,0,1,0
1,0,5,1118,1,0,1,0
1,0,23,1118,5,0,1,0
16,0,214,2899,14,1,4,0
1,0,7,1118,1,0,1,0
1,0,19,1118,2,0,1,0
1,0,12,1118,6,0,1,0
6,0,38,1118,2,0,1,0
2,0,94,1118,6,0,1,0
1,0,4,1118,1,0,1,0
1,0,17,2899,6,1,2,0
21,0,229,2899,14,1,4,0
7,0,80,1118,9,0,2,0
8,0,61,1118,3,0,1,0
18,0,100,1118,6,0,2,0
11,0,90,1118,3,0,2,0
1,0,38,1118,1,0,1,0
3,0,22,1118,4,0,2,0
18,0,92,575,6,0,2,0
1,0,17,1118,5,0,2,0
11,0,73,1118,2,0,2,0
1,0,5,1118,2,0,1,0
9,0,57,1118,4,0,1,0
3,0,36,1118,1,0,1,0
1,0,5,1118,2,0,1,0
9,0,68,2899,8,1,2,0
4,0,47,1118,1,0,1,0
1,0,23,2899,4,1,2,0
3,0,69,831,1,0,1,0
36,0,240,2899,8,0,3,0
2,0,11,1118,1,0,1,0
21,0,140,1118,1,0,1,0
10,0,90,1118,3,0,1,0
1,0,60,1118,3,0,1,0
1,0,26,1118,1,0,1,0
2,0,20,1118,3,0,2,0
1,0,6,1118,1,0,1,0
8,0,51,2053,5,0,2,0
3,0,10,86,2,0,2,0
5,0,40,2053,3,0,2,0
3,0,10,1118,3,0,2,0
6,0,62,1118,2,0,1,0
2,0,38,1118,2,0,1,0
3,0,35,1118,2,0,1,0
16,0,121,1118,12,0,3,0
11,0,108,1118,2,0,1,0
5,0,52,1118,2,0,1,0
5,0,60,2899,2,0,1,0
1,0,10,1118,1,0,1,0
1,0,9,1118,3,0,2,0
6,0,35,1118,4,0,3,0
1,0,8,2053,4,0,2,0
21,0,162,1118,17,0,5,0
1,0,25,575,1,0,1,0
4,0,55,1118,4,0,2,0
2,0,36,1118,4,0,2,0
1,0,10,1118,3,0,2,0
1,0,15,575,7,0,3,0
16,0,157,575,1,0,1,0
1,0,35,1118,3,0,2,0
22,0,148,1118,5,0,2,0
1,0,38,575,2,0,2,0
4,0,77,575,1,0,1,0
2,0,29,831,3,0,2,0
90,0,547,2899,31,0,5,1
7,0,85,831,3,0,3,0
10,0,115,2899,7,0,3,0
2,0,28,1118,5,0,2,0
9,0,86,2899,6,0,2,0
6,0,34,1118,5,0,3,0
25,0,135,1118,7,0,4,0
3,0,45,1118,6,0,2,0
1,0,35,575,2,0,2,0
2,0,52,1118,2,0,2,0
3,0,73,1118,2,0,2,0
1,0,39,1118,2,0,2,0
1,0,10,1118,2,0,2,0
1,0,57,1118,2,0,2,0
1,0,10,1118,2,0,2,0
1,0,31,1118,2,0,2,0
1,0,33,1118,2,0,2,0
1,0,10,1118,2,0,2,0
1,0,66,1118,2,0,2,0
1,0,175,1118,2,0,2,0
2,0,56,1118,2,0,2,0
1,0,62,1118,2,0,2,0
1,0,68,1118,2,0,2,0
1,0,82,1118,2,0,2,0
1,0,10,1118,2,0,2,0
1,0,24,1118,2,0,2,0
1,0,10,1118,2,0,2,0
2,0,61,1118,2,0,2,0
2,0,98,1118,2,0,2,0
1,0,77,2899,1,0,1,0
26,0,193,831,2,0,2,0
8,0,88,2899,6,1,3,0
2,0,84,1118,2,0,2,0
6,0,111,1118,2,0,2,0
2,0,53,1118,2,0,2,0
16,0,143,2899,4,1,2,0
7,0,40,2899,3,0,2,0
8,0,68,2899,3,0,2,0
8,0,36,2899,4,0,2,0
1,0,12,1118,2,0,2,0
1,0,6,1118,2,0,2,0
11,0,86,2899,5,1,2,0
8,0,111,1118,17,0,2,0
7,0,110,2899,10,0,2,0
28,0,134,2899,11,0,2,0
1,0,4,1118,1,0,1,0
1,0,35,1118,1,0,1,0
1,0,13,2899,7,0,2,0
5,0,29,2899,3,0,2,0
141,0,643,2899,23,0,2,0
15,0,86,2899,3,0,2,0
3,0,16,2899,3,0,2,0
1,0,11,1118,1,0,1,0
17,0,122,1118,8,0,3,0
2,0,22,1118,1,0,1,0
1,0,7,1118,2,0,1,0
9,0,54,1118,4,0,3,1
20,0,147,1118,5,0,2,0
4,0,40,575,2,0,2,0
6,0,50,1118,1,0,1,0
1,0,7,1118,1,0,1,0
21,0,138,1118,1,0,1,0
1,0,21,1118,4,0,2,0
400,0,1734,2899,6,0,3,0
10,0,126,1118,4,0,2,0
4,0,47,1118,2,0,1,0
4,0,24,1118,1,0,1,0
4,0,34,2053,4,0,3,0
1,0,11,1118,1,0,1,0
6,0,48,1118,2,0,1,0
1,0,14,1118,2,0,1,0
8,0,43,575,5,0,2,0
3,0,22,1118,2,0,1,0
9,0,58,2899,6,0,3,0
1,0,62,1118,1,0,1,0
1,0,12,1118,2,0,1,0
9,0,83,1118,3,0,1,0
6,0,45,1118,2,0,1,0
12,0,65,575,5,0,2,0
3,0,26,1118,1,0,1,0
3,0,20,1118,2,0,1,0
4,0,29,575,3,0,2,0
1,0,25,1118,2,0,1,0
2,0,65,1118,2,0,1,0
1,0,16,1118,2,0,1,0
5,0,85,831,7,0,3,0
1,0,13,831,5,0,3,0
5,0,22,1118,2,0,1,0
2,0,20,1118,1,0,1,0
9,0,44,1118,2,0,1,0
5,0,22,1118,6,0,1,0
2,0,20,1118,2,0,1,0
10,0,64,2899,12,0,3,0
37,0,108,2899,3,0,2,0
2,0,20,1118,2,0,1,0
11,0,79,2899,11,0,3,0
4,0,52,1118,2,0,1,0
1,0,17,1118,3,0,2,0
41,0,510,831,18,0,3,0
10,0,97,1118,2,0,1,0
9,0,266,1118,11,0,3,0
38,0,462,2899,17,0,2,0
107,0,2406,831,198,1,4,0
13,0,355,2899,38,1,3,0
1,0,34,1118,7,0,1,0
10,0,292,2899,5,0,2,0
4,0,131,2899,6,0,2,0
13,0,183,2899,10,1,4,0
67,0,1355,2899,61,0,3,0
22,0,236,1118,5,0,2,0
59,0,359,831,18,0,3,0
5,0,204,1118,6,0,2,0
1,0,159,1118,4,0,1,0
10,0,409,1118,6,0,1,0
2,0,17,1118,3,0,1,0
5,0,44,1118,3,0,1,0
3,0,37,1118,4,0,1,0
9,0,267,2899,6,0,2,0
7,0,29,1118,1,0,1,0
1,0,63,1118,2,0,2,0
14,0,254,1118,20,0,3,0
28,0,421,831,28,1,5,0
35,0,1160,831,79,2,5,0
13,0,199,2899,9,0,2,0
6,0,46,1118,2,0,1,0
2,0,73,1118,5,0,1,0
19,0,119,1118,2,0,1,0
2,0,21,1118,2,0,1,0
14,0,111,1118,2,0,1,0
2,0,20,1118,2,0,1,0
9,0,74,1118,2,0,1,0
5,0,56,86,4,0,2,0
1,0,58,2899,4,1,2,0
17,0,265,1118,9,0,3,0
69,0,1207,2899,47,4,3,0
3,0,86,1118,23,0,3,0
1,0,68,1118,8,0,1,0
1,0,45,1118,4,0,1,0
1,0,67,1118,6,0,1,0
3,0,48,1118,5,0,1,0
1,0,119,1118,6,0,2,0
1,0,22,1118,7,0,1,0
1,0,22,1118,4,0,2,0
1,0,28,1118,4,0,1,0
3,0,136,2899,19,0,4,0
3,0,47,831,4,0,2,0
6,0,105,2899,2,0,1,0
16,0,182,2899,7,0,4,0
1,0,113,1118,5,0,2,0
6,0,101,2899,17,1,2,0
3,0,130,1118,8,0,3,0
1,0,206,831,25,1,5,0
87,0,954,831,52,3,6,0
5,0,72,2899,3,0,2,0
6,0,81,86,3,0,2,0
18,0,99,2899,5,1,2,0
7,0,76,2899,11,1,3,0
6,0,35,1118,1,0,1,0
5,0,69,1118,3,0,1,0
8,0,89,2899,5,1,2,0
4,0,36,1118,3,0,1,0
4,0,36,1118,2,0,1,0
7,0,105,2899,2,0,2,0
3,0,42,1118,3,0,3,0
1,0,73,1118,3,0,1,0
6,0,36,1118,3,0,2,0
14,0,74,1118,7,0,1,0
1,0,60,1118,8,0,3,0
1,0,10,1118,3,0,2,0
10,0,74,1118,24,0,3,0
1,0,6,1118,5,0,3,0
4,0,114,831,13,0,4,0
1,0,65,1118,8,0,2,0
7,0,82,1118,8,0,4,0
6,0,40,2899,11,0,4,0
4,0,27,1118,6,0,2,0
5,0,48,1118,4,0,2,0
1,0,16,1118,3,0,2,0
8,0,84,1118,24,0,3,0
1,0,77,1118,17,0,3,1
3,0,70,831,26,0,5,0
44,0,277,2899,64,0,5,0
1,0,23,1118,5,0,2,0
6,0,64,1118,5,0,2,0
4,0,54,1118,15,0,4,0
1,0,8,1118,6,0,2,0
27,0,189,1118,14,0,2,0
27,0,285,2899,96,0,5,0
1,0,27,1118,6,0,3,0
14,0,80,2899,43,0,4,0
12,0,75,1118,25,0,3,0
1,0,9,1118,2,0,2,0
7,0,127,831,13,0,5,0
1,0,22,1118,8,0,2,0
1,0,23,1118,3,0,2,0
1,0,34,1118,6,0,2,0
1,0,22,1118,5,0,2,0
4,0,102,1118,13,0,3,0
4,0,73,1118,14,0,3,0
12,0,309,1118,60,0,3,0
5,0,68,1118,8,0,3,0
4,0,67,1118,3,0,3,0
5,0,168,1118,17,0,3,0
8,0,34,575,7,0,2,0
1,0,9,1118,5,0,3,0
41,0,204,575,68,0,4,0
21,0,237,1118,32,0,3,0
1,0,11,1118,7,0,3,0
3,0,22,1118,13,0,3,0
4,0,27,1118,13,0,3,0
2,0,33,1118,6,0,2,0
25,0,200,831,41,0,5,0
15,0,159,1118,19,0,4,1
4,0,36,1118,2,0,2,0
5,0,136,1118,6,0,3,0
3,0,47,1118,13,0,3,0
4,0,73,1118,17,0,4,0
1,0,25,1118,10,0,2,0
10,0,82,1118,12,0,3,0
2,0,22,1118,9,0,2,0
15,0,106,1118,6,0,2,0
13,0,99,1118,11,0,3,0
3,0,44,1118,8,0,3,0
41,0,170,1118,13,0,4,1
8,0,64,831,9,0,5,0
1,0,46,1118,9,0,3,1
4,0,23,575,3,0,2,0
12,0,102,831,36,0,5,0
7,0,46,831,8,0,4,0
8,0,60,1118,6,0,3,0
9,0,70,831,6,0,4,1
2,0,65,1118,3,0,2,0
3,0,64,1118,10,0,4,0
1,0,63,1118,9,0,3,0
1,0,238,1118,14,0,4,0
1,0,18,575,9,0,2,0
1,0,26,575,11,0,2,0
1,0,70,1118,5,0,2,0
5,0,269,1118,22,0,3,0
10,0,162,1118,5,0,1,0
8,0,190,1118,28,0,2,0
3,0,30,1118,10,0,2,0
17,0,233,1118,19,0,2,0
2,0,66,1118,13,0,2,0
49,0,921,2899,48,0,4,0
21,0,401,575,20,0,2,0
11,0,237,575,18,0,2,0
19,0,256,1118,4,0,1,0
22,0,230,1118,17,0,2,0
29,0,674,1118,54,0,5,0
1,0,22,1118,6,0,1,0
9,0,162,2899,21,0,4,0
2,0,128,1118,9,0,2,0
1,0,40,831,2,0,2,0
2,0,50,1118,3,0,2,0
15,0,121,1118,4,0,3,0
4,0,33,1118,4,0,2,0
13,0,197,1118,3,0,2,0
2,0,48,1118,27,0,3,0
1,0,158,1118,7,0,3,0
6,0,62,575,1,0,1,0
2,0,88,1118,6,0,2,0
2,0,68,1118,7,0,3,0
48,0,1042,2899,40,0,5,0
20,0,196,2899,8,0,3,0
15,0,108,2899,5,0,3,0
3,0,60,1118,8,0,2,0
4,0,71,1118,13,0,2,0
3,0,18,1118,7,0,2,0
12,0,36,1118,2,0,2,0
2,0,67,2899,10,0,2,0
1,0,26,1118,8,0,2,0
1,0,33,2899,9,0,2,0
1,0,41,1118,10,0,2,0
13,0,85,2899,9,0,2,0
1,0,50,1118,4,0,1,0
6,0,35,1118,8,0,2,0
1,0,8,1118,6,0,2,0
1,0,8,1118,6,0,2,0
1,0,8,1118,6,0,2,0
1,0,64,1118,4,0,1,0
6,0,35,1118,8,0,2,0
1,0,8,1118,6,0,2,0
1,0,8,1118,6,0,2,0
1,0,8,1118,6,0,2,0
4,0,29,1118,3,0,2,0
6,0,62,1118,3,0,2,0
12,0,62,1118,9,0,2,0
4,0,33,1118,3,0,2,0
21,0,110,831,7,0,3,0
1,0,9,1118,3,0,2,0
5,0,30,1118,4,0,2,0
5,0,91,1118,11,0,2,0
4,0,51,1118,12,0,2,0
1,0,10,1118,7,0,2,0
1,0,22,1118,7,0,2,0
3,0,63,1118,12,0,2,0
1,0,20,1118,7,0,2,0
1,0,7,1118,6,0,2,0
1,0,10,1118,7,0,2,0
1,0,19,1118,4,0,2,0
1,0,146,1118,12,0,2,0
11,0,160,2899,8,0,2,0
2,0,37,1118,8,0,2,0
5,0,79,1118,7,0,2,0
1,0,57,1118,6,0,2,0
1,0,48,1118,2,0,2,0
1,0,44,1118,5,0,2,0
1,0,39,1118,4,0,1,0
1,0,9,1118,6,0,2,0
4,0,53,1118,4,0,1,1
9,0,100,1118,5,0,1,0
1,0,22,1118,4,0,1,1
7,0,37,2899,1,0,1,0
14,0,76,2899,7,0,3,0
146,0,701,2899,27,0,3,1
3,0,39,2899,1,0,1,0
2,0,20,2899,13,0,3,0
4,0,54,2899,1,0,1,0
8,0,68,2899,1,0,1,0
5,0,48,2899,1,0,1,0
1,0,8,1118,4,0,2,0
3,0,27,1118,4,0,2,0
4,0,41,1118,4,0,2,0
1,0,9,1118,3,0,2,0
1,0,9,1118,3,0,2,0
2,0,39,831,2,0,1,0
1,0,6,1118,3,0,3,0
10,0,100,1118,3,0,3,0
14,0,56,1118,3,0,3,0
1,0,13,1118,3,0,3,0
1,0,17,1118,3,0,2,0
1,0,9,2899,1,0,1,0
1,0,11,1118,3,0,2,0
1,0,9,1118,4,0,2,0
1,0,13,2899,1,0,1,0
1,0,11,2899,1,0,1,0
1,0,24,1118,5,0,2,0
1,0,9,1118,4,0,2,0
1,0,12,1118,5,0,3,0
9,0,82,1118,6,0,3,0
1,0,48,2899,1,0,1,0
1,0,106,1118,11,0,3,0
11,0,395,1118,40,0,3,0
1,0,26,2899,1,0,1,0
1,0,10,2899,1,0,1,0
4,0,65,1118,4,0,2,0
1,0,13,1118,4,0,2,0
9,0,51,1118,5,0,2,0
11,0,48,1118,4,0,2,0
1,0,56,1118,5,0,2,0
1,0,51,1118,4,0,2,0
1,0,14,1118,3,0,2,0
1,0,17,1118,3,0,2,0
5,0,114,1118,3,0,2,0
13,0,57,831,3,0,2,0
59,0,360,1118,9,0,3,0
1,0,10,1118,2,0,2,0
69,0,476,2899,22,1,4,0
1,0,60,1118,4,0,2,0
