McCC,CLOC,LLOC,Number of developer commits,Number of committers,Number of previous fixes,Number of previous modifications,target
1,0,19,0,0,0,1,0
4,0,33,0,0,0,1,0
3,0,42,327,1,0,2,0
1,0,4,0,0,0,1,0
1,0,5,0,0,0,1,0
3,0,42,327,1,0,2,0
9,0,64,327,1,1,2,0
17,0,104,327,1,2,8,0
3,0,34,0,0,0,1,0
16,0,94,0,0,0,1,0
8,0,91,327,1,0,2,0
5,0,31,0,0,0,1,0
12,0,142,327,2,2,4,0
2,0,18,0,0,0,1,0
2,0,19,0,0,0,1,0
1,0,5,0,0,0,1,0
1,0,19,0,0,0,1,0
1,0,28,0,0,0,1,0
7,0,90,0,0,0,1,0
1,0,39,0,0,0,1,0
1,0,23,0,0,0,1,0
1,0,14,0,0,0,1,0
3,0,77,0,0,0,1,0
1,0,14,0,0,0,1,0
1,0,23,0,0,0,1,0
1,0,80,0,0,0,1,0
1,0,33,0,0,0,1,0
2,0,43,0,0,0,1,0
3,0,58,0,0,0,1,0
1,0,18,0,0,0,1,0
1,0,17,0,0,0,1,0
11,0,138,327,1,1,2,0
5,0,110,0,0,0,1,0
4,0,106,0,0,0,1,0
7,0,128,0,0,0,1,0
4,0,86,0,0,0,1,0
1,0,53,327,1,0,2,0
1,0,44,0,0,0,1,0
2,0,23,0,0,0,1,0
1,0,57,327,1,1,2,0
1,0,31,327,1,0,2,0
1,0,11,0,0,0,1,0
1,0,86,327,1,0,2,0
4,0,40,327,1,0,3,0
1,0,23,0,0,0,1,0
4,0,22,0,0,0,1,0
4,0,71,327,1,2,11,1
13,0,88,327,2,1,10,1
47,0,302,327,1,2,11,1
8,0,57,327,1,1,4,0
6,0,41,327,1,0,2,0
2,0,25,0,0,0,1,0
1,0,24,327,1,1,3,0
1,0,33,327,1,0,2,0
25,0,216,327,1,1,6,1
20,0,248,327,1,1,8,0
5,0,47,327,1,0,1,0
11,0,58,0,0,0,1,0
2,0,37,327,1,0,2,0
16,0,121,327,1,2,5,0
38,0,297,327,1,2,13,0
8,0,68,327,1,1,3,0
1,0,6,0,0,0,1,0
1,0,9,0,0,0,1,0
35,0,337,327,1,1,6,0
1,0,38,327,1,1,3,0
1,0,6,0,0,0,1,0
8,0,83,327,1,1,3,0
2,0,56,0,0,0,1,0
1,0,8,0,0,0,1,0
2,0,46,0,0,0,1,0
1,0,34,327,1,1,3,0
1,0,28,327,1,1,4,0
2,0,44,327,1,1,5,0
1,0,10,0,0,0,1,0
1,0,19,0,0,0,1,0
2,0,34,0,0,0,1,0
1,0,22,0,0,0,1,0
6,0,83,0,0,0,1,0
1,0,16,0,0,0,1,0
1,0,7,0,0,0,1,0
11,0,100,327,1,0,2,0
1,0,22,0,0,0,1,0
1,0,16,0,0,0,1,0
6,0,119,327,1,0,2,0
3,0,114,327,1,0,2,0
1,0,10,0,0,0,1,0
9,0,42,0,0,0,1,0
1,0,13,0,0,0,1,0
14,0,176,327,1,0,2,0
1,0,21,0,0,0,1,0
7,0,42,0,0,0,1,0
13,0,109,0,0,0,1,0
3,0,43,327,1,0,2,0
17,0,173,0,0,0,1,0
14,0,89,0,0,0,1,0
15,0,90,0,0,0,1,0
13,0,153,0,0,0,1,0
4,0,65,0,0,0,1,0
2,0,31,0,0,0,1,0
2,0,95,0,0,0,1,0
9,0,75,0,0,0,1,0
8,0,33,0,0,0,1,0
1,0,26,0,0,0,1,0
3,0,106,327,1,0,2,0
2,0,47,0,0,0,1,0
2,0,89,0,0,0,1,0
1,0,56,0,0,0,1,0
4,0,40,0,0,0,1,0
6,0,69,327,1,0,1,0
8,0,143,327,2,2,4,0
6,0,21,16,1,0,1,0
1,0,6,16,1,0,1,0
13,0,75,327,2,0,5,0
9,0,78,327,1,0,1,0
1,0,10,327,1,0,1,0
4,0,26,16,1,0,1,0
9,0,87,327,1,0,2,0
1,0,51,327,2,0,2,0
2,0,34,327,1,0,1,0
1,0,14,327,1,0,1,0
1,0,14,327,1,0,1,0
6,0,76,327,2,0,4,0
1,0,49,327,1,1,2,0
1,0,19,327,1,1,2,0
5,0,53,327,1,0,3,0
9,0,83,327,1,1,2,0
7,0,77,327,1,0,1,0
2,0,45,327,1,1,2,0
6,0,65,327,1,0,2,0
14,0,148,327,1,1,5,0
10,0,97,327,2,1,3,0
2,0,47,327,1,1,2,0
7,0,52,327,2,0,2,0
2,0,24,327,1,0,1,0
9,0,60,327,2,1,3,0
9,0,91,327,2,2,7,0
5,0,41,327,1,0,1,0
19,0,104,327,1,0,1,0
15,0,71,327,2,0,2,0
9,0,72,327,2,1,2,0
2,0,45,327,1,1,2,0
4,0,61,327,1,1,2,0
15,0,139,327,1,0,1,0
5,0,58,327,1,1,2,0
1,0,83,327,1,0,1,0
4,0,29,327,1,0,3,0
4,0,41,327,1,0,4,0
4,0,50,327,1,0,4,0
5,0,63,327,1,1,5,0
20,0,191,327,2,1,4,0
7,0,65,327,1,0,1,0
8,0,55,327,1,1,1,0
7,0,51,327,1,1,1,0
18,0,134,327,1,0,3,0
1,0,22,327,1,1,1,0
6,0,32,327,1,0,3,0
29,0,322,327,1,1,11,0
33,0,255,327,1,1,4,0
4,0,49,327,1,0,1,0
14,0,196,327,1,1,4,0
28,0,233,327,1,0,3,0
6,0,120,327,1,0,2,0
4,0,95,327,1,0,1,0
5,0,69,327,1,1,4,0
3,0,65,327,1,1,3,0
6,0,69,327,1,1,4,0
26,0,208,327,1,2,11,0
1,0,28,327,1,1,2,0
17,0,164,327,1,1,14,0
5,0,42,327,1,0,1,0
3,0,37,327,1,1,2,0
2,0,47,327,1,1,2,0
14,0,94,327,2,0,4,0
5,0,67,327,1,1,4,0
7,0,70,327,1,0,1,0
9,0,90,327,1,1,4,0
9,0,88,327,1,1,8,0
6,0,43,327,1,0,4,0
5,0,55,327,1,0,2,0
7,0,59,327,1,0,3,0
25,0,283,327,1,2,9,0
31,0,236,327,1,2,4,0
1,0,37,327,1,0,1,0
6,0,89,327,1,0,1,0
26,0,185,327,1,1,7,0
