McCC,CLOC,LLOC,Number of developer commits,Number of previous modifications,Number of previous fixes,Number of committers,target
11,0,153,1147,31,0,12,0
11,0,186,429,58,3,14,0
1,0,58,407,24,3,10,0
14,0,932,1147,25,0,11,0
4,0,75,407,7,0,6,0
5,0,132,1147,70,8,15,0
10,0,170,407,23,0,13,0
5,0,84,407,12,1,5,0
4,0,485,407,8,0,7,0
27,0,377,1147,3,0,2,0
14,0,311,407,49,11,13,0
25,0,766,407,148,14,17,0
9,0,135,1147,13,0,9,0
28,0,427,1147,40,10,10,0
1,0,11,2053,8,1,4,0
6,0,78,407,5,1,5,0
2,0,78,288,10,4,6,0
1,0,18,407,17,1,10,0
34,0,519,1118,49,3,16,0
14,0,244,407,31,1,12,0
23,0,310,407,31,0,11,0
6,0,98,407,34,0,11,0
7,0,287,407,22,2,10,0
1,0,99,1118,4,0,3,0
13,0,280,1147,42,0,11,0
3,0,22,8,14,0,8,0
2,0,16,288,9,0,5,0
1,0,77,288,7,0,2,0
5,0,60,1147,15,2,8,0
11,0,101,288,17,0,8,0
28,0,455,407,60,8,12,0
63,0,663,407,40,3,11,0
4,0,193,407,49,0,12,0
8,0,113,1147,15,0,8,0
1,0,124,407,17,2,7,0
6,0,82,288,14,0,5,0
11,0,101,1147,24,0,11,0
6,0,79,288,15,0,5,0
14,0,117,407,20,2,9,0
19,0,160,407,13,2,8,0
2,0,58,407,39,0,10,0
1,0,27,407,12,0,9,0
1,0,14,407,12,0,9,0
1,0,18,407,11,0,9,0
1,0,25,407,11,0,9,0
1,0,48,407,16,0,10,0
1,0,46,407,17,0,10,0
1,0,43,407,14,0,9,0
1,0,9,407,9,0,7,0
1,0,9,407,8,0,6,0
1,0,9,407,10,0,7,0
5,0,51,407,8,0,5,0
5,0,82,407,19,1,12,0
13,0,219,407,12,0,9,0
3,0,61,407,12,0,9,0
23,0,231,407,12,0,9,0
23,0,231,407,12,0,9,0
13,0,209,407,12,0,9,0
7,0,35,51,7,2,5,0
1,0,5,51,7,2,5,0
1,0,58,407,9,0,7,0
5,0,389,407,9,0,7,0
4,0,185,1118,12,0,8,0
2,0,146,407,9,0,7,0
1,0,133,407,9,0,7,0
5,0,114,1147,14,1,7,0
15,0,223,407,16,1,11,0
1,0,10,1147,28,0,9,0
1,0,26,1147,148,8,15,1
1,0,14,1147,28,3,7,0
1,0,23,1147,58,3,10,0
1,0,10,1147,25,0,9,0
1,0,1,288,4,0,4,0
1,0,17,2899,168,2,9,0
1,0,12,1147,17,2,8,1
3,0,19,791,7,0,5,0
15,0,103,2899,29,0,7,0
1,0,1,2899,6,0,4,0
1,0,49,1147,17,0,6,0
1,0,7,1147,4,0,2,0
1,0,5,1147,4,0,2,0
3,0,23,1147,15,0,7,0
1,0,12,2053,5,0,2,0
1,0,1,15,8,0,4,0
1,0,13,1147,10,0,4,0
1,0,63,1147,16,0,9,0
1,0,5,2899,1,0,1,0
1,0,35,288,17,0,7,0
18,0,348,1147,60,0,11,0
1,0,7,2053,5,0,2,0
1,0,6,407,6,0,4,0
1,0,6,407,4,0,3,0
1,0,14,407,31,0,11,0
7,0,106,2899,27,0,7,0
4,0,86,407,19,0,6,0
1,0,37,1733,49,0,10,1
1,0,1,407,15,0,6,0
14,0,187,1118,30,2,10,0
3,0,51,1147,15,0,7,0
7,0,71,1147,24,0,7,0
1,0,43,1147,14,0,7,0
3,0,55,1147,22,0,7,0
1,0,17,1147,13,0,7,0
3,0,47,1147,12,0,7,0
3,0,38,1147,19,0,7,0
4,0,68,1147,22,0,7,0
41,0,300,407,140,4,13,0
3,0,48,1147,14,0,7,0
1,0,268,2899,49,0,8,0
1,0,45,1147,21,0,9,0
6,0,55,8,24,4,10,0
1,0,26,1147,10,0,7,0
1,0,22,2899,2,0,2,0
8,0,78,1147,30,0,10,0
7,0,84,1147,27,0,10,0
1,0,192,2899,40,0,8,0
1,0,38,1147,13,0,7,0
3,0,57,1147,22,0,7,0
3,0,38,1147,13,0,7,0
12,0,136,288,190,8,11,0
1,0,22,1147,12,0,7,0
1,0,41,1147,12,0,7,0
1,0,1,1147,3,0,3,0
7,0,76,1147,18,0,9,0
33,0,227,2899,25,1,6,1
65,0,325,1147,56,1,17,0
2,0,93,8,28,0,9,0
32,0,290,407,38,1,7,1
2,0,76,1118,17,0,5,1
1,0,26,2899,3,1,2,1
3,0,185,2899,4,1,2,1
2,0,92,2899,3,1,2,1
2,0,46,2899,3,1,2,1
1,0,23,2899,3,1,2,1
5,0,34,8,27,0,10,0
3,0,76,15,25,0,8,0
58,0,719,2899,211,3,17,1
1,0,4,1733,9,0,4,0
14,0,77,407,26,0,13,0
59,0,443,1147,157,5,15,1
1,0,46,15,21,0,9,0
10,0,89,15,31,1,9,0
1,0,23,15,15,0,6,0
1,0,7,407,14,0,5,0
3,0,72,1147,61,0,14,0
1,0,18,15,9,0,6,0
3,0,31,288,26,0,9,0
1,0,37,15,13,0,4,1
9,0,58,2899,30,0,10,0
1,0,6,1147,9,0,5,0
4,0,24,288,31,0,11,0
1,0,41,15,15,0,8,0
8,0,73,15,29,1,8,0
1,0,20,15,14,0,5,0
1,0,75,15,19,0,9,0
1,0,36,15,11,0,5,0
7,0,48,1147,22,2,8,0
2,0,15,15,19,0,7,0
2,0,39,15,14,0,7,0
8,0,72,288,27,1,9,0
1,0,13,15,14,0,5,0
2,0,61,15,14,0,6,0
1,0,44,1147,33,0,12,0
56,0,360,1147,175,3,15,0
8,0,127,34,26,0,9,0
2,0,45,288,23,0,8,0
1,0,12,15,12,0,5,0
3,0,129,753,63,0,15,0
1,0,37,34,22,0,7,0
3,0,55,407,50,2,12,0
1,0,12,753,9,0,4,0
2,0,80,575,21,0,10,0
1,0,52,34,15,0,9,0
1,0,34,288,11,0,5,0
4,0,83,2053,36,0,10,0
3,0,121,1118,52,0,9,0
2,0,47,753,9,0,4,0
1,0,75,1147,12,0,4,0
2,0,164,1147,53,1,10,1
1,0,33,1147,24,0,8,0
4,0,139,753,53,0,12,0
1,0,1,2899,1,0,1,0
1,0,57,753,32,0,9,0
2,0,47,753,16,0,6,0
1,0,13,753,11,0,4,0
7,0,117,753,30,0,9,0
1,0,46,753,19,0,7,0
6,0,120,753,79,1,9,0
3,0,52,753,19,0,7,0
2,0,89,288,38,0,8,0
1,0,30,753,11,0,4,0
2,0,95,753,21,0,9,0
1,0,40,34,22,0,11,0
1,0,91,1147,21,0,7,0
1,0,26,1147,4,0,4,0
4,0,74,753,33,0,9,0
1,0,18,753,7,0,4,0
9,0,203,288,51,4,11,0
2,0,53,1147,28,4,10,0
1,0,65,831,15,0,6,1
2,0,47,2899,5,0,4,0
2,0,15,753,18,0,6,0
2,0,39,753,13,0,6,0
2,0,57,753,18,0,8,0
2,0,55,288,14,0,7,0
3,0,63,753,31,0,8,0
5,0,72,753,42,0,9,0
9,0,81,753,44,0,9,0
2,0,32,753,8,0,4,0
3,0,31,288,26,0,9,0
2,0,37,753,18,0,5,0
2,0,44,753,26,0,8,0
1,0,12,753,10,0,4,0
2,0,63,753,22,0,7,0
343,0,1311,2899,407,16,24,1
17,0,120,1733,5,0,5,0
14,0,115,407,8,0,5,1
3,0,46,2899,10,1,6,1
247,0,1406,1147,19,1,9,0
1,0,4,288,5,0,4,0
1,0,1,288,5,0,4,0
1,0,34,407,10,0,6,0
1,0,18,1733,13,0,5,0
1,0,17,1733,12,0,4,0
1,0,15,288,10,0,5,0
1,0,10,2899,5,0,3,0
1,0,10,1733,20,0,8,0
1,0,7,831,8,0,5,0
1,0,6,407,13,0,8,0
1,0,7,1147,11,0,5,0
1,0,9,2899,3,0,2,0
1,0,9,407,34,0,12,0
1,0,9,15,28,3,9,0
1,0,35,2053,15,0,4,0
1,0,6,2899,6,0,3,0
1,0,6,407,12,0,6,0
1,0,6,831,3,0,3,0
1,0,31,1147,21,0,10,0
1,0,35,1118,43,3,11,0
3,0,24,1147,14,0,7,0
1,0,10,575,21,0,7,0
1,0,14,407,30,0,9,0
1,0,5,2899,10,0,4,0
1,0,30,2053,92,1,9,0
1,0,15,2899,2,0,1,0
1,0,49,15,136,0,11,1
1,0,4,407,16,0,9,0
1,0,9,2899,7,2,3,0
1,0,17,407,34,0,8,0
1,0,15,288,17,0,8,0
1,0,7,407,27,0,9,0
1,0,9,1733,7,0,4,0
1,0,4,407,10,0,6,0
1,0,8,407,37,0,11,0
1,0,5,407,33,0,11,0
1,0,36,288,26,1,11,0
1,0,5,791,7,0,5,0
1,0,4,407,15,0,7,0
1,0,20,15,52,0,12,0
1,0,86,1147,214,2,16,1
1,0,6,1733,4,0,3,0
1,0,22,575,10,0,4,0
1,0,4,2053,8,0,3,0
1,0,6,407,40,5,13,1
1,0,17,791,24,0,9,0
1,0,4,2899,11,0,5,0
1,0,30,2899,18,2,8,0
3,0,20,831,3,0,2,0
1,0,6,1118,6,0,1,0
1,0,9,407,29,0,10,0
4,0,39,791,25,0,8,0
1,0,5,575,11,2,6,0
1,0,8,831,13,0,6,0
1,0,4,2899,13,0,6,0
1,0,19,1147,9,0,5,0
1,0,9,288,13,0,3,0
1,0,6,1118,3,0,1,0
1,0,9,1147,18,0,7,0
5,0,37,831,1,0,1,0
1,0,5,753,5,0,4,0
1,0,29,791,42,0,9,0
3,0,59,791,22,1,9,1
3,0,51,407,38,2,11,0
1,0,4,2053,6,0,3,0
1,0,12,407,12,0,8,0
4,0,50,288,35,0,10,0
1,0,7,831,17,0,6,0
1,0,22,2899,17,2,8,0
1,0,5,407,14,0,6,0
4,0,80,288,17,0,9,0
1,0,7,407,12,0,7,0
1,0,6,407,13,0,7,0
1,0,45,288,49,0,9,0
1,0,11,575,8,0,3,0
1,0,17,575,6,0,2,0
1,0,1,2899,1,0,1,0
1,0,5,407,14,0,8,0
1,0,4,15,10,0,6,0
5,0,57,791,12,0,7,0
1,0,4,2053,2,0,2,0
1,0,14,1147,38,1,11,0
1,0,3,1733,3,0,3,0
1,0,13,2899,9,0,6,0
1,0,5,407,10,0,6,0
1,0,22,15,24,0,8,1
1,0,8,2899,8,0,3,0
1,0,7,831,8,0,5,0
1,0,26,288,39,0,11,1
1,0,11,2899,12,0,5,0
1,0,13,1733,23,0,8,0
1,0,7,831,8,0,5,0
1,0,9,1118,8,0,4,0
1,0,41,1118,18,0,8,0
6,0,37,1147,19,0,8,0
76,0,401,2899,94,4,14,0
1,0,21,1147,26,0,10,0
8,0,133,1147,20,0,5,0
5,0,278,1147,174,19,20,1
39,0,259,1147,121,8,12,0
29,0,356,1118,227,3,16,1
9,0,216,15,89,0,10,1
4,0,29,791,11,0,8,0
4,0,85,1147,38,0,9,0
27,0,335,2899,60,1,8,1
63,0,499,407,282,19,15,1
1,0,9,575,13,0,5,0
1,0,30,1147,20,0,5,0
4,0,23,1147,4,0,2,0
1,0,13,407,8,0,4,0
13,0,79,2899,19,0,6,0
30,0,171,791,30,0,8,0
1,0,1,791,2,0,2,0
1,0,24,791,10,0,5,0
1,0,64,1733,27,2,10,0
1,0,19,1733,13,0,8,0
1,0,21,1733,9,0,7,0
1,0,35,1733,21,0,9,0
1,0,29,1733,31,2,11,0
1,0,32,1733,15,0,8,0
1,0,43,1733,13,0,8,0
23,0,183,1733,25,2,10,0
4,0,205,1733,38,2,10,0
2,0,53,1733,33,2,11,0
2,0,44,2899,40,3,13,0
1,0,8,1733,14,0,9,0
1,0,7,1733,14,0,9,0
1,0,58,1733,28,0,9,0
47,0,223,1733,109,2,12,1
10,0,258,1147,66,2,13,0
1,0,136,1733,35,2,13,0
2,0,29,1733,20,0,9,0
1,0,48,1733,23,0,9,0
1,0,1,1733,6,0,6,0
1,0,33,1733,26,0,10,0
1,0,22,1733,14,0,8,0
2,0,123,1733,48,2,12,0
6,0,211,1147,41,0,10,0
1,0,37,1733,26,2,10,0
2,0,57,1733,35,2,11,0
2,0,62,1733,45,2,12,0
1,0,48,288,12,0,5,0
1,0,20,288,13,0,6,0
12,0,72,1118,5,0,4,0
19,0,93,288,19,0,6,0
1,0,19,1147,7,0,4,0
13,0,56,1118,32,0,12,0
1,0,4,1118,1,0,1,0
1,0,19,288,12,0,8,0
1,0,8,575,6,0,4,0
16,0,191,1147,71,1,10,0
1,0,4,1118,1,0,1,0
1,0,62,288,14,0,6,0
1,0,1,288,5,0,4,0
16,0,80,288,20,0,8,0
1,0,41,288,18,0,6,0
4,0,59,1733,16,0,8,0
38,0,254,1147,9,0,5,0
1,0,6,407,16,0,7,0
5,0,72,1733,25,0,10,0
47,0,464,407,190,13,15,0
1,0,92,1147,35,0,9,0
4,0,33,1733,18,0,9,0
1,0,1,1733,4,0,4,0
2,0,16,1733,12,0,8,0
1,0,48,1147,9,0,4,0
1,0,48,1147,6,0,4,0
1,0,48,1733,10,0,6,0
1,0,91,1147,6,0,4,0
3,0,88,1733,10,0,6,0
1,0,79,1147,6,0,4,0
1,0,43,1147,6,0,4,0
1,0,28,1147,6,0,4,0
12,0,76,1733,33,0,9,0
8,0,101,1733,21,0,8,0
1,0,5,407,58,1,12,1
6,0,125,407,7,0,5,0
2,0,25,1733,16,0,7,0
1,0,6,1733,15,0,7,0
1,0,7,1733,38,1,12,0
1,0,10,288,31,0,11,1
1,0,1,831,5,0,2,0
1,0,6,831,12,0,5,0
1,0,13,753,18,0,7,0
1,0,8,753,16,0,7,0
1,0,6,753,15,0,7,0
1,0,11,831,21,0,6,0
1,0,8,831,11,0,5,0
3,0,23,831,14,0,5,0
1,0,7,1733,8,0,4,0
1,0,9,2899,20,0,6,0
1,0,8,831,16,0,6,0
2,0,48,831,22,0,5,0
1,0,8,831,12,0,5,0
1,0,11,831,13,0,5,0
1,0,8,831,13,0,5,0
1,0,16,831,20,0,5,0
1,0,2,831,9,0,5,0
1,0,6,1733,8,0,4,0
1,0,9,753,19,0,8,0
1,0,8,753,15,0,7,0
1,0,15,831,20,0,5,0
1,0,13,831,14,0,5,0
4,0,32,831,10,2,4,0
1,0,12,831,11,0,5,0
1,0,8,1733,7,0,4,0
1,0,11,831,14,0,6,0
5,0,54,1147,6,0,3,0
16,0,92,1147,3,0,2,0
3,0,50,1147,9,0,3,0
1,0,81,1147,3,0,2,0
1,0,1,1147,6,0,2,0
1,0,14,1118,8,1,4,0
1,0,9,753,17,0,5,0
1,0,9,1147,6,0,3,0
1,0,6,1147,23,0,11,1
1,0,28,2053,51,0,11,0
1,0,14,1147,7,0,3,0
1,0,3,1733,10,0,7,0
1,0,14,1733,18,0,9,0
1,0,4,15,10,0,5,0
1,0,6,575,13,0,5,0
1,0,21,1147,61,1,12,0
1,0,9,1733,10,0,5,0
1,0,1,2899,1,0,1,0
25,0,159,1147,35,0,11,0
18,0,145,1147,80,4,13,0
11,0,202,1147,4,0,2,1
1,0,18,1147,15,0,6,0
1,0,19,1147,34,6,10,0
16,0,157,1147,50,0,14,0
23,0,125,1147,58,7,12,0
1,0,16,116,81,1,13,1
1,0,5,1733,13,0,7,0
1,0,16,1118,133,8,9,0
1,0,25,2053,11,0,3,0
8,0,291,1147,23,4,7,0
1,0,59,1147,85,3,13,1
40,0,253,1147,93,4,16,0
1,0,6,1147,11,1,8,0
1,0,3,575,6,2,4,0
16,0,254,1147,162,3,14,1
1,0,18,1147,35,0,9,0
1,0,18,1147,33,0,9,0
1,0,1,15,6,0,4,0
15,0,121,1147,158,1,11,0
1,0,8,1147,16,0,8,0
1,0,8,1147,15,1,9,0
1,0,5,1733,9,0,6,0
1,0,6,791,11,0,6,0
8,0,103,1147,20,2,7,0
108,0,612,1118,71,10,14,1
5,0,47,1733,22,2,9,0
1,0,71,1733,14,0,7,0
2,0,70,1733,14,0,7,0
28,0,200,1733,33,2,7,0
1,0,1,831,3,0,3,0
3,0,23,1733,10,2,7,0
1,0,11,7,14,0,6,0
1,0,47,1147,40,1,11,0
1,0,4,831,8,0,4,0
2,0,18,831,6,0,5,0
18,0,135,1147,39,0,9,0
1,0,1,831,3,0,3,0
2,0,28,831,13,0,5,0
6,0,55,791,27,0,7,0
1,0,21,1147,10,0,6,0
25,0,195,1147,50,0,10,0
20,0,189,753,33,0,8,0
7,0,28,288,17,0,8,0
2,0,60,2053,26,2,6,0
1,0,8,2053,18,0,4,0
1,0,1,2899,1,0,1,0
17,0,171,1147,30,8,9,0
1,0,9,2053,11,0,6,0
32,0,179,1147,47,3,13,0
1,0,6,2899,14,0,7,0
10,0,94,2053,35,1,9,0
80,0,715,429,173,23,17,1
1,0,7,2053,10,0,6,0
1,0,15,2053,3,1,2,0
39,0,274,2053,58,1,14,0
1,0,19,384,5,1,3,0
8,0,76,831,11,0,6,0
1,0,7,2899,2,0,1,0
1,0,8,2899,2,0,1,0
1,0,11,2899,2,0,1,0
1,0,1,2899,1,0,1,0
1,0,5,1147,4,0,4,0
1,0,7,831,12,0,6,0
1,0,18,384,19,0,6,0
1,0,7,2053,10,0,6,0
2,0,53,1733,12,0,6,0
13,0,92,2899,55,2,13,0
1,0,26,384,6,0,3,0
10,0,40,384,16,0,8,0
1,0,7,1733,20,0,9,0
1,0,3,791,10,0,6,0
1,0,4,384,14,0,6,0
1,0,4,288,8,0,6,0
1,0,4,384,12,0,8,0
1,0,5,288,8,0,6,0
10,0,64,384,19,0,9,0
1,0,4,384,10,0,6,0
1,0,4,384,16,0,7,0
1,0,9,575,14,2,7,0
1,0,20,575,43,4,10,0
1,0,6,384,11,0,7,0
1,0,34,1147,77,0,12,0
1,0,5,288,6,2,3,0
1,0,4,384,14,0,6,0
1,0,5,791,7,0,3,0
3,0,97,384,50,0,9,0
1,0,7,1733,28,0,10,0
1,0,13,384,14,0,7,0
1,0,6,2053,14,0,7,0
1,0,11,288,8,0,5,0
1,0,8,2899,31,0,10,0
1,0,5,384,6,0,5,0
1,0,41,384,71,0,10,0
1,0,3,288,6,0,3,0
1,0,5,384,8,0,5,0
1,0,6,2899,11,0,6,0
17,0,227,1147,111,1,13,1
3,0,38,2899,29,0,7,0
1,0,5,1147,9,0,6,0
1,0,27,2899,88,0,12,0
1,0,1,2899,1,0,1,0
1,0,4,2899,5,0,3,0
1,0,27,2899,10,0,6,0
1,0,25,2899,10,0,6,0
1,0,4,288,10,0,7,1
1,0,15,1147,31,1,10,0
1,0,3,2053,7,0,3,0
1,0,6,791,19,0,6,0
1,0,5,791,9,0,7,0
1,0,5,2899,9,0,6,0
1,0,4,2899,9,0,6,0
7,0,54,1733,16,0,9,0
1,0,3,2899,10,0,6,0
1,0,4,288,8,0,6,0
1,0,4,288,6,2,3,0
1,0,7,791,23,2,7,0
1,0,3,288,7,0,4,0
1,0,5,2899,10,0,5,0
1,0,5,2899,5,0,4,1
1,0,7,2899,12,0,6,0
1,0,5,753,3,0,2,0
1,0,1,791,2,0,2,0
1,0,8,753,4,0,2,0
1,0,1,2899,1,0,1,0
1,0,4,2899,7,0,3,0
1,0,4,288,14,0,7,0
1,0,14,288,19,0,8,0
1,0,10,288,33,0,10,1
1,0,15,1733,12,0,5,0
1,0,6,288,26,0,8,0
1,0,9,1733,7,0,5,0
8,0,96,1147,32,2,9,0
1,0,14,116,8,0,3,0
109,0,539,1147,48,5,13,0
49,0,265,753,19,0,10,0
9,0,50,407,18,0,6,0
1,0,56,1147,14,1,8,0
6,0,32,1147,27,0,11,0
141,0,927,1147,9,0,6,0
1,0,4,1147,12,0,7,0
1,0,7,1147,3,0,3,0
22,0,113,1147,44,0,12,0
9,0,43,1147,3,0,3,0
9,0,79,2899,12,2,5,0
21,0,205,116,20,1,7,0
43,0,265,2899,1,0,1,1
19,0,246,1147,58,0,10,0
1,0,6,1147,12,0,5,0
1,0,6,1147,4,0,4,0
10,0,117,1147,8,0,6,0
1,0,1,15,11,0,7,0
12,0,129,2899,30,1,9,0
3,0,62,2899,7,2,4,1
3,0,18,15,13,0,7,0
10,0,125,1147,30,1,10,0
40,0,231,1147,66,2,9,0
6,0,62,1147,13,0,6,0
16,0,97,1147,34,13,10,0
4,0,36,1147,28,0,10,0
2,0,19,1147,24,0,9,0
5,0,53,1147,20,0,9,0
6,0,34,1147,32,4,10,1
20,0,133,163,61,0,11,0
1,0,1,2899,2,0,2,0
1,0,3,2899,4,0,4,0
1,0,7,2899,11,0,5,0
1,0,40,2899,4,0,4,0
1,0,4,2899,6,0,4,0
1,0,10,1733,18,2,7,0
2,0,28,34,7,0,5,0
23,0,235,1147,22,2,5,1
15,0,119,1147,21,3,5,0
57,0,482,407,51,11,11,1
6,0,63,34,9,0,5,0
3,0,40,1147,13,0,5,0
1,0,1,34,6,0,5,0
32,0,215,407,9,0,5,1
3,0,60,407,7,1,4,0
7,0,45,407,13,1,5,1
1,0,31,407,10,0,5,0
193,0,1170,2899,22,1,7,1
26,0,161,407,10,1,6,0
1,0,7,2899,4,0,3,0
1,0,74,2899,4,0,3,0
4,0,76,2899,4,0,3,0
32,0,150,2899,4,0,3,0
1,0,4,2899,4,0,3,0
21,0,157,2899,4,0,3,0
24,0,128,1147,16,1,7,0
1,0,1,2899,5,0,3,0
7,0,28,2899,4,0,3,0
100,0,449,2899,4,0,3,1
5,0,85,1147,60,0,11,1
3,0,66,2899,23,0,7,0
1,0,22,34,24,0,10,0
3,0,52,791,12,1,7,0
1,0,1,2899,6,0,4,0
4,0,48,1147,18,0,5,0
4,0,24,2899,1,0,1,0
6,0,43,1147,22,0,8,0
1,0,12,1147,4,0,2,0
6,0,51,1147,23,0,8,0
1,0,14,2053,5,0,2,0
8,0,50,1147,18,0,5,0
3,0,22,2053,5,0,2,0
9,0,58,15,27,0,10,0
3,0,37,1147,19,0,8,0
4,0,33,1147,15,0,7,0
19,0,94,1147,31,0,10,0
6,0,39,1147,22,0,8,0
9,0,102,1147,28,0,11,0
1,0,1,15,8,0,4,0
1,0,14,1147,16,0,5,0
9,0,92,1147,14,0,4,0
6,0,45,1733,4,0,4,0
26,0,150,1147,32,0,10,0
3,0,28,1147,18,0,5,0
4,0,25,15,13,0,7,0
4,0,28,1147,23,0,8,0
1,0,124,1147,12,0,7,0
2,0,80,1147,26,0,10,0
1,0,15,15,17,0,8,0
4,0,40,1147,15,0,7,0
4,0,33,1147,7,0,6,0
8,0,56,1147,20,0,7,0
1,0,18,1147,22,0,10,0
1,0,13,15,12,0,7,0
5,0,95,1147,30,0,11,0
1,0,12,1147,5,0,4,0
5,0,23,1147,18,0,5,0
2,0,20,2053,5,0,2,0
10,0,50,15,27,0,11,0
5,0,23,1147,18,0,5,0
2,0,20,2899,1,0,1,0
11,0,65,1147,37,0,12,0
37,0,132,1147,29,0,8,0
2,0,20,2053,5,0,2,0
