McCC,CLOC,PDA,PUA,LLOC,LOC,DataClumps,MessageChains,MiddleMan,SpeculativeGenerality,SwitchStatements,MessageChains.1,blank,comment,code,codeLines,target
19,0,1,0,65,101,0.0,0.0,1.0,0.0,0.0,0.0,15.0,20.0,65.0,65.0,0
9,0,11,0,127,244,1.0,1.0,0.0,1.0,0.0,1.0,29.0,87.0,127.0,127.0,0
7,0,1,0,31,60,0.0,0.0,1.0,0.0,0.0,0.0,9.0,19.0,31.0,31.0,0
4,0,8,0,69,192,0.0,2.0,1.0,0.0,0.0,0.0,23.0,99.0,69.0,69.0,1
58,0,4,0,202,475,0.0,0.0,0.0,0.0,0.0,0.0,67.0,205.0,202.0,202.0,1
1,0,9,0,74,186,0.0,7.0,0.0,0.0,0.0,0.0,20.0,91.0,74.0,74.0,0
3,0,4,0,36,117,0.0,1.0,0.0,0.0,0.0,0.0,16.0,64.0,36.0,36.0,1
10,0,19,0,184,552,0.0,0.0,0.0,0.0,0.0,0.0,61.0,306.0,184.0,184.0,1
4,0,6,0,42,122,0.0,0.0,0.0,0.0,0.0,0.0,11.0,68.0,42.0,42.0,1
1,0,5,0,11,87,0.0,0.0,0.0,1.0,0.0,0.0,7.0,68.0,11.0,11.0,0
2,0,4,0,20,81,0.0,0.0,1.0,0.0,0.0,0.0,9.0,51.0,20.0,20.0,1
1,0,3,0,17,72,0.0,0.0,1.0,0.0,0.0,0.0,9.0,45.0,17.0,17.0,1
2,0,4,0,19,82,0.0,0.0,1.0,0.0,0.0,0.0,9.0,53.0,19.0,19.0,1
1,0,3,0,18,81,0.0,0.0,1.0,0.0,0.0,0.0,9.0,53.0,18.0,18.0,1
2,0,4,0,23,89,0.0,0.0,0.0,0.0,0.0,0.0,9.0,56.0,23.0,23.0,1
2,0,0,0,16,57,0.0,0.0,0.0,0.0,0.0,0.0,4.0,36.0,16.0,16.0,1
3,0,6,0,44,177,0.0,0.0,1.0,0.0,0.0,0.0,15.0,117.0,44.0,44.0,1
2,0,4,0,18,75,0.0,0.0,1.0,0.0,0.0,0.0,8.0,48.0,18.0,18.0,1
1,0,3,0,17,72,0.0,0.0,1.0,0.0,0.0,0.0,8.0,46.0,17.0,17.0,1
3,0,5,0,28,97,0.0,0.0,0.0,0.0,0.0,0.0,11.0,57.0,28.0,28.0,1
3,0,46,0,194,590,0.0,0.0,0.0,1.0,0.0,0.0,58.0,337.0,194.0,194.0,0
4,0,4,0,27,107,0.0,0.0,1.0,1.0,0.0,0.0,13.0,66.0,27.0,27.0,0
3,0,12,0,93,333,1.0,0.0,0.0,0.0,0.0,0.0,26.0,213.0,93.0,93.0,0
15,0,6,0,117,621,0.0,0.0,0.0,24.0,0.0,0.0,26.0,477.0,117.0,117.0,0
1,0,8,0,26,146,1.0,0.0,1.0,0.0,0.0,0.0,9.0,110.0,26.0,26.0,0
11,0,7,0,85,259,1.0,0.0,1.0,0.0,0.0,0.0,16.0,157.0,85.0,85.0,0
6,0,4,0,41,157,0.0,0.0,1.0,0.0,0.0,0.0,12.0,103.0,41.0,41.0,0
121,0,52,0,673,1571,1.0,0.0,0.0,0.0,0.0,0.0,97.0,800.0,673.0,673.0,1
133,0,31,0,477,1250,0.0,0.0,0.0,0.0,0.0,0.0,66.0,706.0,477.0,477.0,1
13,0,3,0,78,152,0.0,0.0,0.0,0.0,0.0,0.0,12.0,61.0,78.0,78.0,1
9,0,9,0,60,218,0.0,0.0,0.0,0.0,0.0,0.0,17.0,140.0,60.0,60.0,1
57,0,50,0,415,1275,1.0,0.0,0.0,0.0,0.0,0.0,59.0,800.0,415.0,415.0,0
11,0,8,0,71,182,0.0,0.0,0.0,1.0,0.0,0.0,12.0,98.0,71.0,71.0,0
1,0,3,0,10,57,0.0,0.0,1.0,0.0,0.0,0.0,5.0,41.0,10.0,10.0,1
2,0,8,0,31,141,0.0,0.0,1.0,0.0,0.0,0.0,12.0,97.0,31.0,31.0,1
10,0,10,0,65,145,0.0,0.0,1.0,0.0,0.0,0.0,13.0,66.0,65.0,65.0,1
1,0,2,0,13,92,0.0,0.0,1.0,0.0,0.0,0.0,8.0,70.0,13.0,13.0,1
1,0,2,0,11,80,0.0,0.0,1.0,0.0,0.0,0.0,7.0,61.0,11.0,11.0,1
5,0,5,0,34,92,0.0,0.0,0.0,0.0,0.0,0.0,8.0,49.0,34.0,34.0,1
1,0,2,0,11,73,0.0,0.0,1.0,0.0,0.0,0.0,6.0,55.0,11.0,11.0,1
3,0,2,0,16,84,0.0,0.0,0.0,0.0,0.0,0.0,7.0,60.0,16.0,16.0,1
1,0,3,0,14,72,0.0,0.0,0.0,3.0,0.0,0.0,7.0,50.0,14.0,14.0,1
1,0,2,0,10,60,0.0,0.0,1.0,0.0,0.0,0.0,6.0,43.0,10.0,10.0,1
7,0,27,0,110,362,0.0,0.0,0.0,0.0,0.0,0.0,31.0,220.0,110.0,110.0,1
1,0,2,0,11,76,0.0,0.0,1.0,0.0,0.0,0.0,7.0,57.0,11.0,11.0,1
11,0,9,0,55,170,0.0,0.0,0.0,1.0,0.0,0.0,13.0,101.0,55.0,55.0,1
2,0,4,0,17,69,0.0,0.0,1.0,0.0,0.0,0.0,7.0,44.0,17.0,17.0,1
8,0,10,0,59,139,0.0,0.0,1.0,0.0,0.0,0.0,13.0,66.0,59.0,59.0,1
8,0,6,0,41,125,0.0,0.0,0.0,1.0,0.0,0.0,9.0,74.0,41.0,41.0,1
3,0,4,0,20,93,0.0,0.0,1.0,0.0,0.0,0.0,7.0,65.0,20.0,20.0,1
8,0,6,0,41,126,0.0,0.0,0.0,1.0,0.0,0.0,9.0,75.0,41.0,41.0,1
1,0,3,0,14,72,0.0,0.0,0.0,3.0,0.0,0.0,7.0,50.0,14.0,14.0,1
11,0,9,0,56,175,0.0,0.0,0.0,1.0,0.0,0.0,13.0,105.0,56.0,56.0,1
11,0,6,0,47,140,0.0,0.0,0.0,0.0,0.0,0.0,14.0,78.0,47.0,47.0,1
6,0,10,0,51,176,0.0,0.0,1.0,0.0,0.0,0.0,13.0,111.0,51.0,51.0,0
16,0,14,0,123,330,1.0,0.0,0.0,3.0,0.0,0.0,20.0,186.0,123.0,123.0,0
14,0,13,0,113,314,1.0,0.0,0.0,3.0,0.0,0.0,19.0,181.0,113.0,113.0,0
1,0,11,0,36,93,0.0,0.0,1.0,0.0,0.0,0.0,13.0,43.0,36.0,36.0,0
1,0,11,0,36,93,0.0,0.0,1.0,1.0,0.0,0.0,13.0,43.0,36.0,36.0,0
3,0,17,0,101,179,1.0,0.0,1.0,0.0,0.0,0.0,23.0,54.0,101.0,101.0,0
18,0,12,0,131,275,0.0,0.0,0.0,0.0,0.0,0.0,20.0,123.0,131.0,131.0,1
4,0,7,0,74,221,0.0,0.0,0.0,0.0,0.0,0.0,35.0,111.0,74.0,74.0,1
12,0,16,0,130,307,0.0,1.0,1.0,0.0,0.0,0.0,27.0,149.0,130.0,130.0,0
1,0,4,0,11,55,0.0,0.0,0.0,5.0,0.0,0.0,6.0,37.0,11.0,11.0,1
1,0,9,0,20,73,0.0,0.0,0.0,9.0,0.0,0.0,11.0,41.0,20.0,20.0,1
1,0,7,0,24,70,0.0,0.0,1.0,0.0,0.0,0.0,9.0,36.0,24.0,24.0,0
1,0,9,0,30,82,0.0,0.0,1.0,0.0,0.0,0.0,11.0,40.0,30.0,30.0,0
1,0,7,0,30,83,0.0,0.0,1.0,0.0,0.0,0.0,10.0,42.0,30.0,30.0,0
4,0,10,0,69,249,0.0,0.0,0.0,1.0,0.0,0.0,44.0,135.0,69.0,69.0,1
10,0,3,0,41,98,0.0,0.0,1.0,0.0,0.0,0.0,6.0,50.0,41.0,41.0,0
50,0,20,2,266,746,0.0,0.0,0.0,2.0,0.0,0.0,67.0,412.0,266.0,266.0,0
130,0,14,0,773,1731,0.0,1.0,1.0,1.0,0.0,0.0,155.0,802.0,773.0,773.0,1
14,0,23,0,75,292,0.0,0.0,1.0,0.0,0.0,0.0,27.0,189.0,75.0,75.0,0
8,0,21,0,123,335,1.0,2.0,1.0,0.0,0.0,0.0,63.0,148.0,123.0,123.0,0
6,0,21,0,93,304,1.0,0.0,1.0,0.0,0.0,0.0,64.0,146.0,93.0,93.0,0
2,0,23,0,92,337,0.0,0.0,1.0,0.0,0.0,0.0,58.0,186.0,92.0,92.0,1
101,0,9,0,626,1401,0.0,4.0,0.0,1.0,0.0,0.0,188.0,586.0,626.0,626.0,1
12,0,21,0,93,294,0.0,1.0,1.0,0.0,0.0,0.0,60.0,140.0,93.0,93.0,0
1,0,21,0,25,107,0.0,0.0,0.0,19.0,0.0,0.0,14.0,67.0,25.0,25.0,0
6,0,3,0,37,138,0.0,1.0,0.0,2.0,0.0,0.0,14.0,86.0,37.0,37.0,0
25,0,15,0,222,479,0.0,0.0,1.0,1.0,0.0,0.0,52.0,204.0,222.0,222.0,0
1,0,3,0,18,83,1.0,0.0,0.0,0.0,0.0,0.0,9.0,55.0,18.0,18.0,0
1,0,5,0,40,126,1.0,0.0,0.0,0.0,0.0,0.0,14.0,71.0,40.0,40.0,0
1,0,4,0,11,66,0.0,0.0,0.0,1.0,0.0,0.0,6.0,48.0,11.0,11.0,0
1,0,3,0,24,81,1.0,0.0,0.0,0.0,0.0,0.0,11.0,45.0,24.0,24.0,0
1,0,8,0,46,158,1.0,0.0,0.0,0.0,0.0,0.0,10.0,101.0,46.0,46.0,0
1,0,5,0,29,96,0.0,0.0,1.0,0.0,0.0,0.0,12.0,54.0,29.0,29.0,0
1,0,3,0,7,58,0.0,0.0,0.0,1.0,0.0,0.0,5.0,45.0,7.0,7.0,0
3,0,7,0,52,143,0.0,0.0,1.0,0.0,0.0,0.0,19.0,71.0,52.0,52.0,0
2,0,26,0,156,505,1.0,0.0,0.0,0.0,0.0,0.0,62.0,286.0,156.0,156.0,0
1,0,8,0,25,139,0.0,0.0,0.0,1.0,0.0,0.0,12.0,101.0,25.0,25.0,0
1,0,5,0,41,124,1.0,0.0,0.0,0.0,0.0,0.0,17.0,65.0,41.0,41.0,0
1,0,4,0,20,106,0.0,0.0,1.0,0.0,0.0,0.0,11.0,74.0,20.0,20.0,0
13,0,10,0,120,393,1.0,1.0,0.0,0.0,0.0,0.0,38.0,234.0,120.0,120.0,0
9,0,10,0,104,289,0.0,1.0,0.0,0.0,0.0,0.0,34.0,150.0,104.0,104.0,0
1,0,4,0,23,130,0.0,0.0,1.0,0.0,0.0,0.0,8.0,98.0,23.0,23.0,0
25,0,55,0,416,1475,1.0,1.0,0.0,0.0,0.0,0.0,119.0,939.0,416.0,416.0,1
73,0,72,0,721,2680,0.0,0.0,0.0,0.0,0.0,0.0,213.0,1745.0,721.0,721.0,1
6,0,18,0,131,518,0.0,0.0,0.0,0.0,0.0,0.0,39.0,347.0,131.0,131.0,1
1,0,2,0,79,126,1.0,0.0,0.0,0.0,0.0,0.0,8.0,38.0,79.0,79.0,0
1,0,4,0,10,151,0.0,0.0,0.0,1.0,0.0,0.0,8.0,132.0,10.0,10.0,0
3,0,6,0,38,130,0.0,0.0,0.0,0.0,0.0,0.0,7.0,84.0,38.0,38.0,1
2,0,8,0,69,238,0.0,0.0,0.0,1.0,0.0,0.0,20.0,148.0,69.0,69.0,0
1,0,3,0,8,73,0.0,0.0,0.0,1.0,0.0,0.0,5.0,59.0,8.0,8.0,0
1,0,2,0,9,65,0.0,0.0,0.0,1.0,0.0,0.0,6.0,49.0,9.0,9.0,0
6,0,6,0,105,199,1.0,0.0,0.0,0.0,0.0,0.0,11.0,82.0,105.0,105.0,0
16,0,3,6,120,221,0.0,0.0,0.0,0.0,0.0,0.0,17.0,83.0,120.0,120.0,1
1,0,3,0,10,67,0.0,0.0,0.0,1.0,0.0,0.0,3.0,53.0,10.0,10.0,0
1,0,2,0,8,51,0.0,0.0,0.0,1.0,0.0,0.0,5.0,37.0,8.0,8.0,0
15,0,10,0,116,238,0.0,2.0,0.0,0.0,0.0,1.0,20.0,101.0,116.0,116.0,1
18,0,4,0,153,298,0.0,0.0,0.0,0.0,0.0,0.0,33.0,111.0,153.0,153.0,1
12,0,6,0,122,268,0.0,0.0,0.0,0.0,1.0,0.0,27.0,118.0,122.0,122.0,1
2,0,6,0,41,124,0.0,0.0,1.0,0.0,0.0,0.0,10.0,72.0,41.0,41.0,0
1,0,3,0,9,71,0.0,0.0,0.0,1.0,0.0,0.0,4.0,57.0,9.0,9.0,0
10,0,9,0,85,207,0.0,0.0,0.0,0.0,1.0,0.0,24.0,97.0,85.0,85.0,0
10,0,6,0,78,169,0.0,0.0,0.0,0.0,1.0,0.0,17.0,73.0,78.0,78.0,0
1,0,3,0,19,67,0.0,0.0,1.0,0.0,0.0,0.0,5.0,42.0,19.0,19.0,0
1,0,4,0,23,86,0.0,0.0,1.0,0.0,0.0,0.0,8.0,54.0,23.0,23.0,0
5,0,5,0,42,115,0.0,0.0,0.0,0.0,1.0,0.0,11.0,61.0,42.0,42.0,0
12,0,40,0,276,1018,1.0,0.0,0.0,0.0,0.0,0.0,97.0,644.0,276.0,276.0,0
51,0,40,1,457,1285,0.0,0.0,0.0,0.0,0.0,0.0,142.0,685.0,457.0,457.0,1
1,0,2,0,33,82,1.0,0.0,0.0,0.0,0.0,0.0,9.0,39.0,33.0,33.0,0
6,0,6,0,104,208,1.0,0.0,0.0,0.0,0.0,0.0,13.0,90.0,104.0,104.0,0
1,0,6,0,52,154,0.0,0.0,0.0,0.0,0.0,0.0,17.0,84.0,52.0,52.0,1
3,0,8,0,56,162,1.0,0.0,0.0,0.0,0.0,0.0,12.0,93.0,56.0,56.0,0
1,0,1,8,11,32,0.0,0.0,0.0,1.0,0.0,0.0,1.0,20.0,11.0,11.0,0
15,0,35,0,261,584,0.0,0.0,0.0,0.0,0.0,0.0,57.0,265.0,261.0,261.0,1
1,0,32,0,59,235,0.0,0.0,0.0,1.0,0.0,0.0,41.0,134.0,59.0,59.0,0
10,0,14,0,161,355,1.0,0.0,0.0,0.0,0.0,0.0,46.0,147.0,161.0,161.0,0
1,0,2,0,26,71,1.0,0.0,0.0,0.0,0.0,0.0,5.0,39.0,26.0,26.0,0
3,0,4,0,38,100,0.0,0.0,1.0,0.0,0.0,0.0,13.0,48.0,38.0,38.0,0
17,0,28,0,238,760,1.0,0.0,0.0,0.0,0.0,0.0,82.0,439.0,238.0,238.0,0
13,0,18,0,116,596,0.0,1.0,1.0,0.0,0.0,0.0,58.0,421.0,116.0,116.0,0
1,0,2,0,40,90,1.0,0.0,0.0,0.0,0.0,0.0,10.0,39.0,40.0,40.0,0
6,0,6,0,69,166,1.0,0.0,0.0,0.0,0.0,0.0,11.0,85.0,69.0,69.0,0
5,0,5,0,52,151,1.0,0.0,0.0,0.0,0.0,0.0,18.0,80.0,52.0,52.0,0
1,0,6,0,27,86,0.0,0.0,0.0,2.0,0.0,0.0,5.0,53.0,27.0,27.0,0
1,0,6,0,29,92,0.0,0.0,0.0,2.0,0.0,0.0,5.0,57.0,29.0,29.0,0
1,0,6,0,26,85,0.0,0.0,0.0,2.0,0.0,0.0,5.0,53.0,26.0,26.0,0
118,0,0,0,801,1334,1.0,0.0,0.0,0.0,0.0,0.0,141.0,391.0,801.0,801.0,1
5,0,17,0,111,296,0.0,0.0,1.0,0.0,0.0,0.0,26.0,158.0,111.0,111.0,0
66,0,0,0,423,602,0.0,0.0,0.0,0.0,3.0,0.0,68.0,110.0,423.0,423.0,1
1,0,2,0,9,65,0.0,0.0,0.0,1.0,0.0,0.0,6.0,49.0,9.0,9.0,0
10,0,0,0,79,146,0.0,0.0,0.0,0.0,1.0,0.0,17.0,49.0,79.0,79.0,0
7,0,6,0,51,132,1.0,0.0,0.0,0.0,0.0,0.0,12.0,68.0,51.0,51.0,0
41,0,12,0,324,576,0.0,0.0,0.0,0.0,2.0,0.0,58.0,193.0,324.0,324.0,1
6,0,9,1,96,251,1.0,0.0,0.0,0.0,0.0,0.0,34.0,120.0,96.0,96.0,0
10,0,4,0,105,250,0.0,0.0,0.0,0.0,0.0,0.0,33.0,111.0,105.0,105.0,1
1,0,1,5,29,57,0.0,0.0,1.0,0.0,0.0,0.0,9.0,18.0,29.0,29.0,0
