McCC,CLOC,PDA,PUA,LLOC,LOC,ID.1,LongName.1,Parent.1,McCC.1,CLOC.1,LLOC.1,Number of previous modifications,Number of previous fixes,Number of committers,Number of developer commits,target
6,0,0,9,64,79,407,76,21,6,0,64,6,0,1,4843,0
10,0,0,0,52,75,408,77,21,10,0,52,6,0,1,4843,0
49,0,0,0,378,396,412,78,21,49,0,378,4,0,1,4843,0
6,0,0,0,36,47,413,79,21,6,0,36,1,0,1,4843,0
28,0,0,0,138,146,414,80,21,28,0,138,4,0,1,4843,0
1,0,0,0,22,42,415,81,21,1,0,22,7,0,1,4843,0
77,0,0,14,433,479,416,82,21,77,0,433,23,0,1,4843,1
82,0,0,0,365,419,417,83,21,82,0,365,7,0,1,4843,0
48,0,0,0,272,303,418,84,21,48,0,272,8,0,1,4843,0
2,0,0,0,57,73,419,85,21,2,0,57,4,0,1,4843,0
2,0,0,0,46,60,420,86,21,2,0,46,1,0,1,152,0
30,0,0,0,195,216,421,87,21,30,0,195,10,0,1,4843,0
19,0,0,1,121,129,422,88,21,19,0,121,2,0,1,4843,0
42,0,0,8,276,321,423,89,21,42,0,276,4,0,1,4843,0
5,0,0,10,72,89,424,90,21,5,0,72,8,0,1,4843,0
12,0,0,3,173,206,425,91,21,12,0,173,6,0,2,1328,0
3,0,0,0,82,101,426,92,21,3,0,82,5,0,1,4843,0
5,0,0,10,72,89,427,93,21,5,0,72,10,0,1,4843,0
2,0,0,0,51,66,428,94,21,2,0,51,4,0,1,4843,0
2,0,0,0,51,66,429,95,21,2,0,51,3,0,1,4843,0
66,0,0,0,358,387,430,96,21,66,0,358,11,0,2,4843,1
32,0,0,0,180,219,431,97,21,32,0,180,3,0,1,4843,0
5,0,1,8,47,71,432,98,21,5,0,47,3,0,1,4843,0
38,0,0,0,231,257,433,99,21,38,0,231,20,0,1,4843,0
10,0,0,0,86,103,434,100,21,10,0,86,9,0,1,4843,0
18,0,0,0,112,127,436,101,21,18,0,112,10,0,1,4843,0
5,0,0,0,75,92,447,102,21,5,0,75,7,0,1,4843,0
1,0,0,0,27,36,454,103,21,1,0,27,7,0,1,4843,0
3,0,0,0,67,83,455,104,21,3,0,67,3,0,1,4843,0
5,0,0,0,63,80,456,105,21,5,0,63,7,0,1,4843,0
11,0,0,0,94,103,457,106,21,11,0,94,15,0,1,4843,0
9,0,0,1,51,60,458,107,21,9,0,51,6,0,1,4843,0
30,0,0,9,211,232,459,108,21,30,0,211,27,0,1,4843,0
27,0,0,0,176,186,460,109,21,27,0,176,17,0,1,4843,0
15,0,0,0,163,186,461,110,21,15,0,163,2,0,1,4843,0
5,0,0,0,68,85,462,111,21,5,0,68,7,0,1,4843,0
13,0,0,0,196,225,463,112,21,13,0,196,3,0,2,4843,1
5,0,0,0,44,52,464,113,21,5,0,44,8,0,1,4843,0
1,0,0,4,21,27,638,114,47,1,0,21,1,0,1,4843,0
38,0,1,4,207,248,639,115,47,38,0,207,22,0,3,4843,0
18,0,1,5,129,163,640,116,47,18,0,129,25,0,3,4843,0
338,0,0,0,1023,1238,641,117,47,338,0,1023,42,0,2,4843,0
12,0,0,0,408,540,642,118,47,12,0,408,6,0,1,4843,0
1,0,0,9,53,88,643,119,47,1,0,53,9,0,2,4843,0
2,0,0,2,27,33,644,120,47,2,0,27,69,0,7,12,0
32,0,15,0,251,443,645,121,47,32,0,251,1,0,1,4843,0
35,0,0,10,159,181,646,122,47,35,0,159,2,0,1,4843,0
164,0,4,32,1349,1815,647,123,47,164,0,1349,142,0,5,1328,1
6,0,0,7,81,116,648,124,47,6,0,81,11,0,2,4843,1
1,0,0,0,11,13,649,125,47,1,0,11,1,0,1,4843,0
6,0,0,4,66,85,650,126,47,6,0,66,8,0,2,4843,0
4,0,0,4,38,49,651,127,47,4,0,38,9,0,1,4843,0
138,0,0,11,701,887,652,128,47,138,0,701,69,0,4,56,0
15,0,1,17,367,497,653,129,47,15,0,367,97,0,5,56,0
15,0,0,10,104,125,654,130,47,15,0,104,3,0,2,4843,0
23,0,14,0,122,226,655,131,47,23,0,122,1,0,1,4843,0
20,0,17,0,113,231,656,132,47,20,0,113,1,0,1,4843,0
42,0,0,2,200,270,657,133,47,42,0,200,5,0,2,4843,0
3,0,0,5,40,50,658,134,47,3,0,40,5,0,1,4843,0
1,0,1,0,23,92,659,135,47,1,0,23,13,0,3,1328,0
1,0,0,1,6,8,660,136,47,1,0,6,1,0,1,4843,0
16,0,3,1,67,91,661,137,47,16,0,67,2,0,2,20,0
1,0,0,4,19,24,662,138,47,1,0,19,1,0,1,4843,0
16,0,4,1,180,256,663,139,47,16,0,180,11,0,2,4843,0
2,0,4,1,26,66,664,140,47,2,0,26,2,0,2,20,0
31,0,0,0,210,241,665,141,47,31,0,210,28,1,4,56,0
20,0,0,0,143,151,666,142,47,20,0,143,6,0,1,4843,0
18,0,0,0,87,116,667,143,47,18,0,87,5,0,2,4843,0
1,0,0,0,14,19,668,144,47,1,0,14,6,0,2,4843,0
1,0,0,0,14,19,669,145,47,1,0,14,6,0,2,4843,0
1,0,2,0,5,33,671,146,47,1,0,5,1,0,1,4843,0
3,0,0,1,37,53,670,147,47,3,0,37,8,0,1,4843,0
63,0,1,8,417,517,673,148,47,63,0,417,37,0,3,1328,0
18,0,0,0,73,86,672,149,47,18,0,73,6,0,2,1328,0
47,0,3,14,284,437,674,150,47,47,0,284,9,0,2,4843,0
1,0,0,5,27,38,675,151,47,1,0,27,2,0,1,4843,0
19,0,0,0,312,405,676,152,47,19,0,312,17,0,2,1328,0
93,0,0,0,307,361,677,153,47,93,0,307,31,0,4,12,0
25,0,3,4,115,152,678,154,47,25,0,115,6,0,2,4843,0
45,0,2,6,238,407,679,155,47,45,0,238,8,0,2,4843,0
3,0,5,0,39,88,680,156,47,3,0,39,2,0,1,4843,0
1,0,0,2,17,23,681,157,47,1,0,17,2,0,1,4843,0
19,0,0,5,199,222,682,158,47,19,0,199,6,0,1,4843,0
2,0,0,5,36,47,683,159,47,2,0,36,5,0,1,4843,0
2,0,0,4,27,37,684,160,47,2,0,27,4,0,1,4843,0
8,0,0,0,65,74,685,161,47,8,0,65,4,0,1,4843,0
10,0,2,5,59,79,686,162,47,10,0,59,4,0,3,1328,0
24,0,0,0,184,193,687,163,47,24,0,184,12,0,2,4843,0
1,0,0,1,12,15,688,164,47,1,0,12,1,0,1,4843,0
12,0,14,0,82,169,689,165,47,12,0,82,1,0,1,4843,0
13,0,0,3,99,111,690,166,47,13,0,99,7,0,3,1328,0
2,0,0,5,25,33,691,167,47,2,0,25,1,0,1,1328,0
6,0,1,3,104,125,692,168,47,6,0,104,17,0,2,4843,0
1,0,0,1,27,39,693,169,47,1,0,27,6,0,1,4843,0
10,0,0,0,62,86,694,170,47,10,0,62,3,0,2,4843,0
5,0,0,0,42,54,695,171,47,5,0,42,8,0,2,4843,0
107,0,0,0,527,622,696,172,47,107,0,527,28,0,1,4843,0
23,0,1,12,157,196,697,173,47,23,0,157,10,0,3,4843,1
10,0,0,0,63,116,698,174,47,10,0,63,1,0,1,4843,0
14,0,6,0,77,133,0,175,0,14,0,77,3,0,2,4843,0
3,0,4,1,28,75,1,176,0,3,0,28,3,0,2,4843,0
4,0,0,0,62,72,2,177,0,4,0,62,3,0,2,4843,0
2,0,0,0,23,31,3,178,0,2,0,23,3,0,2,4843,0
11,0,0,0,82,117,4,179,0,11,0,82,3,0,2,4843,0
9,0,0,0,83,93,5,180,0,9,0,83,3,0,2,4843,0
136,0,6,6,440,593,6,181,0,136,0,440,9,0,3,1328,0
26,0,15,3,168,289,7,182,0,26,0,168,3,0,2,4843,0
3,0,0,0,30,39,8,183,0,3,0,30,3,0,2,4843,0
1,0,0,0,32,46,9,184,0,1,0,32,3,0,2,4843,0
1,0,8,0,50,115,10,185,0,1,0,50,1,0,1,1328,0
52,0,2,10,367,443,11,186,0,52,0,367,5,0,4,1328,0
216,0,7,4,822,1067,12,187,0,216,0,822,3,0,2,4843,0
18,0,0,0,111,130,13,188,0,18,0,111,6,0,2,4843,0
221,0,19,15,1145,1504,14,189,0,221,0,1145,7,0,3,4843,0
13,0,0,1,51,94,15,190,0,13,0,51,4,0,1,4843,0
1,0,0,0,17,21,16,191,0,1,0,17,3,0,2,4843,0
1,0,0,0,15,23,17,192,0,1,0,15,3,0,2,4843,0
38,0,5,2,205,258,18,193,0,38,0,205,3,0,2,4843,0
45,0,0,0,247,306,19,194,0,45,0,247,4,0,2,4843,0
41,0,29,0,413,786,22,195,2,41,0,413,6,0,1,4843,0
4,0,0,2,27,31,23,196,2,4,0,27,1,0,1,4843,0
18,0,1,9,218,281,24,197,2,18,0,218,4,0,1,4843,0
8,0,0,0,98,136,25,198,2,8,0,98,6,0,1,4843,0
33,0,0,0,395,478,26,199,2,33,0,395,12,0,1,4843,1
10,0,2,3,61,83,27,200,2,10,0,61,8,0,2,4843,1
12,0,1,5,76,121,28,201,2,12,0,76,13,0,2,4843,0
6,0,0,2,25,35,29,202,2,6,0,25,1,0,1,4843,0
4,0,0,0,51,74,30,203,2,4,0,51,6,0,1,4843,0
19,0,0,0,94,111,31,204,2,19,0,94,4,0,1,4843,0
344,0,0,13,1888,2214,32,205,2,344,0,1888,96,0,2,4843,1
28,0,0,7,300,339,33,206,2,28,0,300,24,0,1,4843,0
2,0,2,4,34,69,34,207,2,2,0,34,3,0,1,4843,0
36,0,2,9,223,262,35,208,3,36,0,223,10,0,2,4843,0
81,0,2,1,297,388,36,209,3,81,0,297,3,0,1,4843,0
22,0,5,15,241,370,37,210,3,22,0,241,4,0,1,4843,0
26,0,3,2,128,197,38,211,3,26,0,128,4,0,1,4843,0
14,0,3,1,88,121,39,212,3,14,0,88,2,0,1,4843,0
5,0,5,0,30,56,40,213,3,5,0,30,2,0,1,4843,0
17,0,1,4,99,146,41,214,3,17,0,99,3,0,1,4843,0
86,0,0,9,402,434,42,215,4,86,0,402,45,0,4,4843,1
14,0,0,0,80,96,43,216,4,14,0,80,10,0,1,4843,0
13,0,0,0,59,66,44,217,4,13,0,59,6,0,2,4843,0
7,0,0,0,168,200,45,218,4,7,0,168,10,0,1,4843,0
37,0,0,12,262,285,46,219,4,37,0,262,16,0,2,1328,0
34,0,0,5,279,295,47,220,5,34,0,279,6,0,2,4843,0
1,0,0,5,19,27,48,221,6,1,0,19,1,0,1,152,0
2,0,0,2,31,39,49,222,6,2,0,31,1,0,1,152,0
17,0,0,13,162,186,50,223,6,17,0,162,20,0,5,4843,0
5,0,0,7,40,52,51,224,6,5,0,40,1,0,1,152,0
5,0,0,2,42,52,52,225,6,5,0,42,7,0,3,4843,0
74,0,0,9,730,877,53,226,6,74,0,730,33,0,4,4843,0
4,0,0,13,59,75,54,227,6,4,0,59,1,0,1,152,0
7,0,0,3,46,53,55,228,7,7,0,46,2,0,2,4843,0
7,0,0,3,34,44,56,229,7,7,0,34,1,0,1,1328,0
129,0,1,18,577,664,57,230,7,129,0,577,16,0,2,1328,1
78,0,0,8,300,346,58,231,7,78,0,300,10,0,2,4843,1
15,0,1,5,65,87,59,232,7,15,0,65,1,0,1,1328,0
9,0,2,4,81,107,60,233,7,9,0,81,1,0,1,1328,0
38,0,0,5,179,198,61,234,7,38,0,179,5,0,2,4843,0
6,0,0,3,35,42,62,235,7,6,0,35,1,0,1,1328,0
2,0,0,3,15,21,63,236,7,2,0,15,1,0,1,1328,0
18,0,0,8,82,94,64,237,7,18,0,82,5,0,2,1328,1
32,0,7,0,339,459,65,238,7,32,0,339,1,0,1,1328,0
1,0,0,2,5,7,66,239,7,1,0,5,4,0,2,1328,1
25,0,2,0,100,148,67,240,7,25,0,100,1,0,1,1328,0
11,0,0,2,33,39,68,241,7,11,0,33,2,0,1,1328,0
4,0,0,2,21,26,69,242,7,4,0,21,1,0,1,1328,0
7,0,6,1,82,136,70,243,7,7,0,82,1,0,1,1328,0
3,0,0,3,22,29,71,244,7,3,0,22,2,0,2,4843,0
14,0,0,8,64,77,72,245,7,14,0,64,1,0,1,1328,0
19,0,0,10,109,127,73,246,7,19,0,109,8,0,2,1328,1
12,0,0,0,52,66,74,247,8,12,0,52,6,0,1,4843,0
91,0,0,3,614,687,75,248,8,91,0,614,37,1,2,4843,0
1,0,0,2,12,17,76,249,8,1,0,12,3,0,1,4843,0
1,0,0,2,12,17,77,250,8,1,0,12,2,0,1,4843,0
4,0,0,4,43,53,78,251,8,4,0,43,16,0,4,4843,1
5,0,0,4,45,55,79,252,8,5,0,45,5,0,1,4843,1
8,0,0,3,64,72,80,253,8,8,0,64,4,0,1,4843,0
7,0,0,3,57,66,81,254,8,7,0,57,15,0,2,4843,0
1,0,0,4,56,68,82,255,8,1,0,56,9,0,1,4843,0
2,0,0,6,43,55,83,256,9,2,0,43,10,0,1,4843,0
72,0,0,8,418,481,84,257,9,72,0,418,40,0,3,4843,0
7,0,0,0,73,92,85,258,9,7,0,73,21,0,2,4843,0
32,0,1,9,197,249,86,259,9,32,0,197,17,0,1,4843,0
3,0,0,0,30,49,87,260,9,3,0,30,20,0,2,4843,0
208,0,1,27,986,1098,88,261,9,208,0,986,90,0,3,4843,0
28,0,0,10,145,172,89,262,9,28,0,145,24,0,3,4843,0
2,0,0,7,27,47,90,263,9,2,0,27,6,0,2,4843,0
48,0,0,20,292,348,91,264,9,48,0,292,31,0,2,4843,0
56,0,0,9,473,534,92,265,9,56,0,473,69,0,4,4843,0
21,0,1,3,161,204,93,266,9,21,0,161,19,0,2,4843,0
28,0,6,2,153,255,94,267,9,28,0,153,5,0,1,4843,0
1,0,0,5,21,48,95,268,9,1,0,21,5,0,2,4843,0
1,0,0,2,11,14,96,269,9,1,0,11,3,0,1,4843,0
7,0,0,1,29,31,97,270,9,7,0,29,2,0,1,4843,0
6,0,0,0,32,55,98,271,9,6,0,32,4,0,1,4843,0
25,0,0,5,307,346,99,272,9,25,0,307,49,0,2,4843,0
26,0,0,6,535,620,100,273,9,26,0,535,36,0,1,4843,0
3,0,0,4,63,76,101,274,9,3,0,63,5,0,1,4843,0
6,0,0,0,30,53,102,275,9,6,0,30,3,0,1,4843,0
15,0,0,3,263,318,103,276,9,15,0,263,33,0,2,4843,0
1,0,0,6,19,29,104,277,9,1,0,19,3,0,1,4843,0
9,0,0,5,85,98,105,278,9,9,0,85,6,0,1,4843,0
1,0,0,10,56,71,106,279,9,1,0,56,3,0,1,4843,0
11,0,0,3,55,62,107,280,9,11,0,55,1,0,1,4843,0
27,0,3,22,429,693,108,281,9,27,0,429,20,0,1,4843,0
90,0,1,14,601,773,109,282,10,90,0,601,77,0,6,4843,0
20,0,0,8,135,168,110,283,10,20,0,135,13,0,2,4843,0
1,0,3,1,8,35,111,284,10,1,0,8,6,0,3,4843,0
6,0,0,0,108,131,112,285,11,6,0,108,3,0,1,4843,0
239,0,9,24,1582,1925,113,286,11,239,0,1582,16,0,2,1328,0
27,0,1,5,180,222,114,287,11,27,0,180,6,0,2,1328,0
4,0,1,4,230,541,115,288,11,4,0,230,3,0,1,4843,0
2,0,0,2,19,24,116,289,11,2,0,19,1,0,1,4843,0
4,0,0,5,377,584,117,290,11,4,0,377,39,0,2,4843,0
6,0,0,2,26,32,118,291,11,6,0,26,2,0,1,4843,0
33,0,0,4,398,513,119,292,11,33,0,398,28,0,2,4843,0
5,0,0,2,23,29,120,293,11,5,0,23,2,0,1,4843,0
14,0,0,3,279,340,121,294,11,14,0,279,22,0,2,1328,0
61,0,0,12,520,590,122,295,11,61,0,520,5,0,4,4843,0
4,0,0,2,61,76,123,296,11,4,0,61,5,0,2,1328,0
5,0,1,4,189,534,124,297,11,5,0,189,1,0,1,4843,0
5,0,0,2,105,123,125,298,11,5,0,105,3,0,1,4843,0
12,0,4,0,141,315,126,299,11,12,0,141,3,0,1,4843,0
4,0,0,7,39,52,127,300,11,4,0,39,5,0,1,4843,0
31,0,0,5,116,131,128,301,11,31,0,116,4,0,3,4843,0
9,0,0,3,79,91,129,302,11,9,0,79,9,0,1,4843,0
5,0,0,0,36,41,130,303,11,5,0,36,3,0,2,1328,0
61,0,1,7,437,712,131,304,11,61,0,437,4,0,1,4843,0
65,0,0,7,303,446,132,305,11,65,0,303,1,0,1,4843,0
3,0,0,4,75,85,133,306,11,3,0,75,2,0,1,4843,0
61,0,1,7,433,705,134,307,11,61,0,433,3,0,1,4843,0
5,0,0,5,41,52,135,308,12,5,0,41,8,0,2,4843,0
20,0,0,1,185,232,136,309,12,20,0,185,5,0,1,4843,0
17,0,0,0,146,177,137,310,12,17,0,146,26,0,3,4843,0
7,0,0,6,40,49,138,311,12,7,0,40,9,0,3,4843,0
1,0,0,2,14,20,139,312,12,1,0,14,4,0,1,4843,0
21,0,0,3,295,326,140,313,12,21,0,295,15,0,1,4843,0
75,0,0,17,473,519,141,314,12,75,0,473,22,0,1,4843,1
1,0,0,5,20,27,142,315,12,1,0,20,4,0,1,4843,0
1,0,0,2,13,18,143,316,12,1,0,13,2,0,1,4843,0
2,0,0,3,58,66,144,317,12,2,0,58,2,0,1,4843,0
12,0,0,4,181,220,145,318,12,12,0,181,4,0,1,4843,0
20,0,0,13,158,181,146,319,12,20,0,158,5,0,1,4843,0
1,0,0,5,20,27,147,320,12,1,0,20,4,0,1,4843,0
1,0,0,2,13,21,148,321,12,1,0,13,2,0,1,4843,0
1,0,0,2,14,20,149,322,12,1,0,14,2,0,1,4843,0
3,0,0,3,56,66,150,323,12,3,0,56,2,0,1,4843,0
48,0,0,9,363,394,151,324,12,48,0,363,8,0,1,4843,0
1,0,0,5,20,27,152,325,12,1,0,20,3,0,1,4843,0
1,0,0,2,13,18,153,326,12,1,0,13,1,0,1,4843,0
19,0,0,4,155,170,154,327,12,19,0,155,16,0,1,4843,1
14,0,0,4,136,159,155,328,12,14,0,136,14,0,2,4843,0
2,0,0,6,57,67,156,329,12,2,0,57,1,0,1,4843,0
1,0,1,1,18,27,157,330,12,1,0,18,3,0,1,4843,0
1,0,0,2,14,20,158,331,12,1,0,14,2,0,1,4843,0
15,0,0,3,147,175,159,332,12,15,0,147,14,0,1,4843,0
80,0,0,12,508,544,160,333,12,80,0,508,26,0,1,4843,0
1,0,0,5,20,27,161,334,12,1,0,20,3,0,1,4843,0
1,0,0,2,16,21,162,335,12,1,0,16,3,0,1,4843,0
5,0,0,2,35,42,163,336,12,5,0,35,2,0,1,4843,0
3,0,0,3,56,64,164,337,12,3,0,56,2,0,1,4843,0
17,0,0,4,228,274,165,338,12,17,0,228,10,0,1,4843,0
12,0,0,11,155,191,166,339,12,12,0,155,10,0,1,4843,0
1,0,0,5,20,28,167,340,12,1,0,20,3,0,1,4843,0
1,0,0,2,13,18,168,341,12,1,0,13,1,0,1,4843,0
5,0,0,2,35,42,169,342,12,5,0,35,6,0,1,4843,0
3,0,0,3,69,77,170,343,12,3,0,69,7,0,1,4843,0
3,0,0,3,113,138,171,344,12,3,0,113,15,0,1,4843,0
146,0,0,13,849,908,172,345,12,146,0,849,55,0,3,4843,0
1,0,0,5,20,27,173,346,12,1,0,20,4,0,1,4843,0
1,0,0,2,13,21,174,347,12,1,0,13,3,0,1,4843,0
1,0,0,2,13,19,175,348,12,1,0,13,2,0,2,4843,0
102,0,0,7,479,544,176,349,12,102,0,479,3,0,2,152,0
1,0,0,5,20,27,177,350,12,1,0,20,1,0,1,152,0
1,0,0,2,12,18,178,351,12,1,0,12,1,0,1,152,0
4,0,0,3,137,162,179,352,12,4,0,137,2,0,2,4843,0
11,0,0,7,129,152,180,353,12,11,0,129,11,0,1,4843,0
5,0,0,2,35,42,181,354,12,5,0,35,5,0,1,4843,0
3,0,0,3,56,64,182,355,12,3,0,56,2,0,1,4843,0
3,0,0,2,109,134,183,356,12,3,0,109,15,0,1,4843,0
32,0,0,11,271,310,184,357,12,32,0,271,16,0,1,4843,0
1,0,0,5,20,28,185,358,12,1,0,20,3,0,1,4843,0
1,0,0,2,13,21,186,359,12,1,0,13,1,0,1,4843,0
5,0,0,2,35,42,187,360,12,5,0,35,6,0,1,4843,0
3,0,0,3,79,87,188,361,12,3,0,79,9,0,1,4843,0
4,0,0,3,113,139,189,362,12,4,0,113,16,0,1,4843,0
17,0,0,15,181,208,190,363,12,17,0,181,35,0,2,4843,0
1,0,0,5,20,28,191,364,12,1,0,20,4,0,1,4843,0
1,0,0,2,13,21,192,365,12,1,0,13,3,0,1,4843,0
1,0,0,2,13,19,193,366,12,1,0,13,3,0,1,4843,0
1,0,0,3,54,59,194,367,12,1,0,54,6,0,1,4843,0
140,0,0,11,728,786,195,368,12,140,0,728,39,0,3,4843,1
1,0,0,7,26,34,196,369,12,1,0,26,4,0,1,4843,0
1,0,0,2,13,21,197,370,12,1,0,13,3,0,1,4843,0
1,0,0,2,13,19,198,371,12,1,0,13,2,0,2,4843,0
43,0,0,8,226,258,199,372,12,43,0,226,4,0,2,4843,0
1,0,0,7,26,35,200,373,12,1,0,26,1,0,1,152,0
1,0,0,2,11,16,201,374,12,1,0,11,1,0,1,152,0
1,0,0,2,13,19,202,375,12,1,0,13,2,0,1,4843,0
1,0,0,3,34,41,203,376,12,1,0,34,2,0,1,4843,0
50,0,0,7,314,340,204,377,12,50,0,314,13,0,1,4843,0
1,0,0,6,23,31,205,378,12,1,0,23,4,0,1,4843,0
1,0,0,2,13,21,206,379,12,1,0,13,1,0,1,4843,0
41,0,0,5,351,409,207,380,12,41,0,351,24,3,1,4843,1
1,0,0,2,13,19,208,381,12,1,0,13,2,0,1,4843,0
3,0,0,3,86,94,209,382,12,3,0,86,6,0,1,4843,0
70,0,0,8,414,456,210,383,12,70,0,414,21,0,1,4843,0
1,0,0,6,23,31,211,384,12,1,0,23,3,0,1,4843,0
1,0,0,2,13,21,212,385,12,1,0,13,1,0,1,4843,0
1,0,0,2,18,25,213,386,12,1,0,18,4,0,1,4843,0
6,0,0,14,142,173,214,387,12,6,0,142,8,0,1,4843,0
2,0,0,6,31,41,215,388,12,2,0,31,2,0,1,4843,0
1,0,0,2,24,32,216,389,12,1,0,24,1,0,1,4843,0
72,0,1,11,683,775,217,390,12,72,0,683,4,0,1,4843,0
1,0,0,2,18,25,218,391,12,1,0,18,3,0,1,4843,0
4,0,0,12,151,179,219,392,12,4,0,151,9,0,1,4843,0
2,0,0,6,31,41,220,393,12,2,0,31,2,0,1,4843,0
