McCC,CLOC,PDA,PUA,LLOC,LOC,ID.1,LongName.1,Parent.1,McCC.1,CLOC.1,LLOC.1,Number of previous fixes,Number of previous modifications,Number of committers,Number of developer commits,target
1,0,0,7,9,46,301,39,15,1,0,9,0,2,1,1843,0
11,0,5,5,97,213,326,40,18,11,0,97,0,40,2,1300,0
14,0,2,12,121,205,327,41,18,14,0,121,0,46,2,1300,0
35,0,5,32,246,386,328,42,18,35,0,246,0,81,2,1300,0
2,0,1,9,49,97,329,43,18,2,0,49,0,5,2,1843,0
125,0,1,3,510,737,330,44,18,125,0,510,2,16,2,1300,0
108,0,2,8,446,575,331,45,18,108,0,446,2,9,2,1300,0
2,0,9,5,89,208,332,46,18,2,0,89,1,83,2,1300,0
4,0,1,14,92,215,333,47,18,4,0,92,1,32,2,1300,0
1,0,1,0,5,51,334,48,18,1,0,5,0,2,1,1300,0
1,0,1,1,6,44,323,49,18,1,0,6,0,3,2,1843,0
1,0,0,7,32,71,324,50,18,1,0,32,0,19,2,1843,0
12,0,1,8,70,129,325,51,18,12,0,70,0,35,2,1300,0
1,0,1,5,26,66,335,52,18,1,0,26,0,20,2,1843,0
1,0,1,1,7,45,336,53,18,1,0,7,0,2,1,1300,0
1,0,1,1,7,45,337,54,18,1,0,7,0,2,1,1300,0
1,0,1,1,8,42,338,55,18,1,0,8,0,12,2,1300,0
1,0,1,0,4,37,339,56,18,1,0,4,0,6,2,1300,0
1,0,0,1,5,37,340,57,18,1,0,5,0,16,2,1300,0
1,0,0,8,28,66,341,58,18,1,0,28,0,16,2,1300,0
1,0,0,6,20,57,342,59,18,1,0,20,0,16,2,1843,0
27,0,3,2,132,264,357,60,18,27,0,132,0,50,2,1300,0
8,0,0,9,79,126,346,61,18,8,0,79,0,17,2,1843,0
76,0,2,12,457,753,347,62,18,76,0,457,1,172,2,1300,1
1,0,4,0,10,80,343,63,18,1,0,10,0,4,2,1300,0
15,0,6,2,90,225,344,64,18,15,0,90,0,4,2,1300,0
1,0,1,0,11,73,345,65,18,1,0,11,0,2,2,1843,0
3,0,6,3,47,119,348,66,18,3,0,47,0,4,2,1300,0
4,0,7,2,52,148,349,67,18,4,0,52,0,4,2,1300,0
4,0,7,2,51,150,350,68,18,4,0,51,0,4,2,1300,0
3,0,6,3,46,118,351,69,18,3,0,46,0,4,2,1300,0
1,0,4,3,36,104,352,70,18,1,0,36,0,4,2,1300,0
1,0,4,3,36,104,353,71,18,1,0,36,0,4,2,1300,0
3,0,6,3,46,118,354,72,18,3,0,46,0,4,2,1300,0
1,0,4,3,36,104,355,73,18,1,0,36,0,4,2,1300,0
3,0,6,3,46,117,356,74,18,3,0,46,0,4,2,1300,0
1,0,1,1,8,42,358,75,18,1,0,8,0,9,2,1300,0
3,0,0,5,23,59,359,76,18,3,0,23,0,19,2,1843,0
1,0,1,3,12,51,360,77,18,1,0,12,0,9,2,1300,0
198,0,3,9,904,1734,361,78,18,198,0,904,1,290,2,1843,1
1,0,1,1,8,46,362,79,18,1,0,8,0,7,2,1300,0
1,0,1,1,7,43,363,80,18,1,0,7,0,8,2,1300,0
1,0,1,6,28,72,364,81,18,1,0,28,0,3,2,1843,0
1,0,1,6,31,77,365,82,18,1,0,31,0,23,2,1843,0
105,0,9,11,466,746,366,83,18,105,0,466,0,78,2,1300,0
3,0,2,2,22,67,367,84,18,3,0,22,0,16,2,1300,0
30,0,13,2,162,615,368,85,18,30,0,162,0,22,2,1300,0
2,0,0,6,28,66,369,86,18,2,0,28,0,17,2,1843,0
1,0,0,2,9,42,370,87,18,1,0,9,0,8,2,1843,0
1,0,1,1,7,46,371,88,18,1,0,7,0,6,2,1300,0
1,0,2,4,35,82,372,89,18,1,0,35,0,23,2,1843,0
50,0,8,25,274,438,377,90,18,50,0,274,0,39,2,1300,0
2,0,2,4,30,70,382,91,18,2,0,30,0,20,2,1300,0
12,0,0,7,57,99,383,92,18,12,0,57,0,28,2,1300,0
1,0,1,1,7,41,384,93,18,1,0,7,0,6,2,1300,0
1,0,0,2,11,56,386,94,18,1,0,11,0,10,2,1300,0
1,0,0,3,10,43,385,95,18,1,0,10,0,8,2,1300,0
1,0,1,1,7,41,387,96,18,1,0,7,0,9,2,1300,0
2,0,2,3,61,120,388,97,18,2,0,61,0,35,2,1300,0
2,0,0,5,18,54,389,98,18,2,0,18,0,15,2,1843,0
11,0,5,6,98,216,234,99,11,11,0,98,0,38,2,1300,0
14,0,1,2,59,100,235,100,11,14,0,59,0,25,2,1300,0
8,0,4,7,85,205,236,101,11,8,0,85,0,58,2,1300,0
1,0,0,2,12,46,237,102,11,1,0,12,0,5,2,1843,0
1,0,1,0,3,41,238,103,12,1,0,3,0,2,2,1843,0
71,0,2,23,379,527,239,104,12,71,0,379,0,34,2,1300,0
5,0,4,3,40,86,240,105,12,5,0,40,0,6,2,1843,0
1,0,3,0,5,60,241,106,12,1,0,5,0,2,2,1843,0
33,0,1,23,221,295,242,107,12,33,0,221,0,12,2,1300,0
8,0,1,1,75,139,243,108,12,8,0,75,0,11,2,1300,0
1,0,6,9,20,81,248,109,12,1,0,20,0,8,2,1843,1
35,0,4,21,183,297,244,110,12,35,0,183,0,13,2,1300,0
1,0,1,6,20,62,245,111,12,1,0,20,0,5,2,1843,0
17,0,13,5,84,164,246,112,12,17,0,84,0,23,2,1300,0
96,0,16,20,463,649,247,113,12,96,0,463,0,35,2,1300,1
3,0,1,2,23,66,249,114,12,3,0,23,0,2,1,1300,0
4,0,0,7,81,123,250,115,12,4,0,81,0,7,2,1843,0
4,0,0,3,23,57,251,116,12,4,0,23,0,5,1,1843,0
3,0,7,0,48,138,252,117,12,3,0,48,0,4,2,1300,0
3,0,3,0,18,75,253,118,12,3,0,18,0,4,2,1300,0
4,0,4,10,73,138,254,119,12,4,0,73,0,16,2,1843,0
1,0,0,2,9,42,255,120,12,1,0,9,0,5,2,1300,0
1,0,1,4,18,65,256,121,12,1,0,18,0,5,2,1843,0
39,0,1,3,205,271,257,122,12,39,0,205,0,51,2,1300,0
1,0,0,2,11,45,258,123,12,1,0,11,0,5,2,1300,0
21,0,2,8,109,159,259,124,12,21,0,109,1,24,2,1300,0
3,0,4,1,39,168,302,125,16,3,0,39,1,8,1,1300,0
1,0,0,1,3,35,303,126,16,1,0,3,0,6,2,1843,0
1,0,1,2,11,51,304,127,16,1,0,11,0,6,2,1843,0
1,0,5,1,13,65,305,128,16,1,0,13,0,44,2,1300,0
1,0,0,5,9,42,306,129,16,1,0,9,0,20,2,1300,0
1,0,1,3,9,59,307,130,16,1,0,9,0,7,2,1300,0
1,0,5,0,8,79,308,131,16,1,0,8,0,31,2,1300,0
4,0,0,2,33,75,309,132,16,4,0,33,0,22,2,1300,0
1,0,0,2,5,38,310,133,16,1,0,5,0,5,2,1843,0
1,0,2,0,8,53,311,134,16,1,0,8,0,18,2,1300,0
1,0,0,2,5,38,312,135,16,1,0,5,0,6,2,1843,0
3,0,0,13,45,92,313,136,16,3,0,45,0,16,2,1843,0
1,0,6,0,12,70,314,137,16,1,0,12,0,12,2,1843,0
25,0,6,11,155,228,315,138,16,25,0,155,0,48,2,1843,0
4,0,1,3,20,96,316,139,17,4,0,20,0,7,2,1300,0
7,0,3,16,142,213,317,140,17,7,0,142,1,16,2,1300,0
2,0,1,2,26,66,318,141,17,2,0,26,0,2,1,1300,0
3,0,1,8,93,150,319,142,17,3,0,93,0,7,2,1843,0
6,0,0,9,114,172,320,143,17,6,0,114,0,24,2,1300,0
1,0,0,2,5,38,321,144,17,1,0,5,0,3,2,1843,0
30,0,1,36,553,739,322,145,17,30,0,553,0,58,4,1843,0
1,0,0,0,3,46,373,146,19,1,0,3,0,11,2,1300,0
8,0,10,0,70,225,374,147,19,8,0,70,0,15,2,1300,0
3,0,9,0,58,180,375,148,19,3,0,58,0,9,2,1843,0
60,0,12,3,312,534,376,149,19,60,0,312,0,38,2,1843,0
4,0,16,0,77,233,378,150,19,4,0,77,0,9,2,1300,0
4,0,0,0,32,130,379,151,19,4,0,32,0,5,2,1843,0
2,0,0,0,20,81,380,152,19,2,0,20,0,7,2,1300,0
2,0,7,0,38,127,381,153,19,2,0,38,0,8,2,1300,0
23,0,3,2,144,222,390,154,20,23,0,144,0,24,2,1843,0
2,0,2,2,16,30,391,155,20,2,0,16,0,10,2,1843,0
1,0,0,2,12,15,392,156,20,1,0,12,0,3,1,1843,0
1,0,1,2,15,23,393,157,20,1,0,15,0,5,2,1843,0
7,0,0,3,30,36,394,158,20,7,0,30,0,9,1,1843,0
1,0,0,3,15,20,395,159,20,1,0,15,0,3,1,1843,0
7,0,0,3,30,36,396,160,20,7,0,30,0,9,1,1843,0
2,0,0,3,15,20,397,161,20,2,0,15,0,4,1,1843,0
3,0,0,3,21,26,398,162,20,3,0,21,0,9,2,1843,0
1,0,1,0,11,73,260,163,13,1,0,11,0,3,2,1843,0
50,0,1,2,217,319,262,164,13,50,0,217,0,12,2,1300,0
1,0,1,0,11,73,261,165,13,1,0,11,0,3,2,1843,0
109,0,8,30,637,860,263,166,14,109,0,637,3,167,2,1300,1
12,0,1,3,73,119,399,167,21,12,0,73,0,50,2,1300,0
14,0,1,3,82,155,400,168,21,14,0,82,0,20,2,1843,0
1,0,0,3,25,60,401,169,21,1,0,25,0,8,2,1843,0
47,0,6,14,279,379,402,170,21,47,0,279,0,30,2,1843,0
17,0,3,3,162,261,403,171,21,17,0,162,1,37,2,1843,0
1,0,11,19,74,246,404,172,22,1,0,74,0,22,2,1300,0
22,0,1,1,110,172,405,173,22,22,0,110,0,11,2,1843,0
24,0,1,2,98,140,406,174,22,24,0,98,0,19,2,1300,0
3,0,1,3,22,63,407,175,22,3,0,22,0,7,2,1843,0
58,0,2,12,372,481,408,176,22,58,0,372,2,47,2,1843,0
65,0,18,19,565,800,409,177,22,65,0,565,0,86,2,1300,0
12,0,1,2,40,83,410,178,22,12,0,40,0,8,2,1300,0
30,0,1,12,262,319,0,179,0,30,0,262,0,52,2,1300,0
1,0,3,22,67,131,1,180,0,1,0,67,0,22,2,1843,0
10,0,0,3,61,102,4,181,0,10,0,61,0,44,2,1300,0
17,0,7,19,202,302,2,182,0,17,0,202,0,81,2,1300,0
1,0,3,18,37,97,3,183,0,1,0,37,0,23,1,1843,0
4,0,3,12,69,130,5,184,0,4,0,69,0,31,2,1300,0
28,0,2,4,114,211,6,185,0,28,0,114,1,11,2,1300,0
1,0,1,1,4,37,7,186,0,1,0,4,0,19,1,1843,0
42,0,4,42,362,491,8,187,0,42,0,362,1,72,2,1300,0
1,0,2,34,58,131,9,188,0,1,0,58,0,47,2,1843,0
18,0,1,2,97,167,10,189,0,18,0,97,0,25,2,1300,0
40,0,2,24,292,370,11,190,0,40,0,292,0,70,2,1300,0
25,0,9,14,226,365,12,191,0,25,0,226,1,72,2,1300,0
1,0,0,2,8,41,13,192,0,1,0,8,0,4,1,1843,0
3,0,1,3,44,84,14,193,1,3,0,44,0,21,2,1300,0
1,0,1,1,12,47,15,194,1,1,0,12,0,7,1,1843,0
1,0,1,1,14,52,16,195,1,1,0,14,0,9,1,1843,0
1,0,0,2,10,44,17,196,1,1,0,10,0,6,2,1843,0
1,0,0,2,7,39,18,197,1,1,0,7,0,8,2,1843,0
1,0,0,2,7,39,19,198,1,1,0,7,0,8,2,1843,0
1,0,0,2,9,42,20,199,1,1,0,9,0,4,1,1843,0
1,0,1,1,9,43,21,200,1,1,0,9,0,4,1,1843,0
3,0,1,5,48,98,22,201,1,3,0,48,0,25,2,1300,0
1,0,1,1,8,43,23,202,1,1,0,8,0,7,2,1843,0
2,0,1,1,12,55,24,203,1,2,0,12,0,10,2,1300,0
1,0,0,2,7,39,26,204,1,1,0,7,0,8,2,1843,0
1,0,0,2,15,49,27,205,1,1,0,15,0,4,2,1843,0
6,0,1,2,61,106,28,206,1,6,0,61,0,32,2,1843,0
1,0,1,1,16,54,35,207,1,1,0,16,0,12,1,1843,0
1,0,0,2,13,49,36,208,1,1,0,13,0,8,1,1843,0
3,0,1,3,30,72,37,209,1,3,0,30,0,14,2,1843,0
1,0,1,1,9,48,38,210,1,1,0,9,0,7,1,1843,0
1,0,1,1,25,66,39,211,1,1,0,25,0,14,2,1300,0
1,0,1,1,34,81,40,212,1,1,0,34,0,25,2,1300,0
1,0,1,1,19,56,41,213,1,1,0,19,0,15,2,1300,0
1,0,1,1,27,71,42,214,1,1,0,27,0,18,2,1300,0
1,0,1,1,19,55,43,215,1,1,0,19,0,15,2,1300,0
1,0,1,1,6,41,29,216,1,1,0,6,0,7,2,1843,0
5,0,0,2,33,69,30,217,1,5,0,33,0,15,2,1300,0
7,0,0,2,67,107,31,218,1,7,0,67,0,27,2,1300,0
2,0,0,2,21,56,32,219,1,2,0,21,0,13,2,1843,0
1,0,0,2,9,42,33,220,1,1,0,9,0,9,2,1843,0
5,0,1,1,37,76,34,221,1,5,0,37,0,25,2,1843,1
4,0,0,3,24,61,44,222,1,4,0,24,0,13,2,1843,0
1,0,0,2,9,42,45,223,1,1,0,9,0,6,2,1843,0
1,0,0,2,18,52,46,224,1,1,0,18,0,4,1,1843,0
1,0,1,3,26,64,47,225,1,1,0,26,0,20,2,1300,0
1,0,1,0,6,42,48,226,1,1,0,6,0,3,1,1843,0
1,0,1,1,12,47,49,227,1,1,0,12,0,7,1,1843,0
1,0,0,2,20,54,50,228,1,1,0,20,0,6,2,1300,0
1,0,1,3,13,50,51,229,1,1,0,13,0,11,2,1843,0
7,0,1,1,68,105,52,230,1,7,0,68,0,39,2,1300,0
2,0,1,1,21,57,53,231,1,2,0,21,0,16,2,1843,0
1,0,0,2,22,58,54,232,1,1,0,22,0,15,2,1843,0
1,0,0,2,17,54,55,233,1,1,0,17,0,3,1,1843,0
3,0,0,2,10,46,56,234,1,3,0,10,0,8,2,1843,0
43,0,5,4,314,444,57,235,1,43,0,314,0,59,2,1300,1
1,0,0,2,8,41,58,236,1,1,0,8,0,2,1,1843,0
5,0,1,1,36,76,59,237,1,5,0,36,0,24,2,1300,0
4,0,0,3,28,66,60,238,1,4,0,28,1,23,2,1843,0
7,0,3,2,34,83,61,239,1,7,0,34,0,12,2,1843,0
1,0,0,2,18,53,62,240,1,1,0,18,0,19,2,1300,0
1,0,2,0,16,53,63,241,1,1,0,16,0,8,1,1843,0
9,0,1,2,39,81,64,242,1,9,0,39,0,13,2,1300,0
1,0,1,1,9,43,65,243,1,1,0,9,0,7,1,1843,0
1,0,1,1,11,45,66,244,1,1,0,11,0,7,1,1843,0
1,0,1,1,16,54,67,245,1,1,0,16,0,8,1,1843,0
1,0,0,2,7,39,68,246,1,1,0,7,0,12,2,1843,0
5,0,0,2,37,73,69,247,1,5,0,37,0,11,2,1843,1
1,0,1,1,9,45,70,248,2,1,0,9,0,5,2,1843,0
1,0,0,2,10,44,71,249,2,1,0,10,0,8,2,1843,0
1,0,1,1,9,44,72,250,2,1,0,9,0,5,2,1843,0
1,0,1,1,7,41,73,251,2,1,0,7,0,5,2,1843,0
1,0,0,2,4,36,74,252,2,1,0,4,0,5,2,1843,0
1,0,0,2,4,36,75,253,2,1,0,4,0,5,2,1843,0
1,0,0,2,9,43,76,254,2,1,0,9,0,5,2,1843,0
1,0,0,2,5,38,77,255,2,1,0,5,0,5,2,1843,0
1,0,0,2,9,43,78,256,2,1,0,9,0,5,2,1843,0
1,0,0,2,13,48,79,257,2,1,0,13,0,5,2,1843,0
1,0,1,1,9,43,80,258,2,1,0,9,0,5,2,1843,0
1,0,1,1,9,45,81,259,2,1,0,9,0,5,2,1843,0
1,0,1,1,9,44,82,260,2,1,0,9,0,5,2,1843,0
1,0,0,2,7,40,83,261,2,1,0,7,0,5,2,1843,0
1,0,1,1,7,41,84,262,2,1,0,7,0,5,2,1843,0
1,0,1,1,7,41,85,263,2,1,0,7,0,5,2,1843,0
1,0,1,1,7,41,86,264,2,1,0,7,0,5,2,1843,0
1,0,1,1,13,49,87,265,2,1,0,13,0,5,2,1843,0
1,0,0,2,15,50,88,266,2,1,0,15,0,5,2,1843,0
1,0,0,2,7,40,89,267,2,1,0,7,0,5,2,1843,0
1,0,1,1,7,41,90,268,2,1,0,7,0,5,2,1843,0
1,0,1,1,7,41,91,269,2,1,0,7,0,5,2,1843,0
1,0,1,1,7,41,92,270,2,1,0,7,0,5,2,1843,0
1,0,1,1,9,44,93,271,2,1,0,9,0,5,2,1843,0
1,0,1,1,7,41,94,272,2,1,0,7,0,5,2,1843,0
1,0,1,1,7,41,95,273,2,1,0,7,0,5,2,1843,0
1,0,1,1,7,41,96,274,2,1,0,7,0,5,2,1843,0
1,0,1,1,7,41,97,275,2,1,0,7,0,5,2,1843,0
1,0,1,1,7,41,98,276,2,1,0,7,0,5,2,1843,0
1,0,1,1,7,41,99,277,2,1,0,7,0,5,2,1843,0
1,0,1,1,7,41,100,278,2,1,0,7,0,5,2,1843,0
1,0,1,1,9,44,101,279,2,1,0,9,0,5,2,1843,0
1,0,1,0,3,36,25,280,1,1,0,3,0,3,1,1843,0
5,0,1,4,40,79,102,281,3,5,0,40,0,27,2,1300,0
1,0,1,1,7,41,103,282,3,1,0,7,0,5,1,1843,0
6,0,1,7,43,86,104,283,3,6,0,43,0,5,1,1843,0
4,0,2,3,25,69,105,284,3,4,0,25,0,13,2,1300,0
1,0,1,1,9,43,106,285,3,1,0,9,0,9,2,1843,0
1,0,1,1,9,45,107,286,3,1,0,9,0,9,2,1843,0
1,0,0,3,11,45,108,287,3,1,0,11,0,8,2,1843,0
1,0,1,1,7,41,109,288,3,1,0,7,0,9,2,1843,0
1,0,1,1,7,43,110,289,3,1,0,7,0,9,2,1843,0
1,0,0,3,11,45,111,290,3,1,0,11,0,8,2,1843,0
4,0,2,3,28,68,112,291,3,4,0,28,0,14,2,1843,0
1,0,0,2,7,40,113,292,3,1,0,7,0,4,1,1843,0
1,0,1,1,10,45,114,293,3,1,0,10,0,6,1,1843,0
1,0,0,2,8,41,115,294,3,1,0,8,0,6,1,1843,0
8,0,1,8,65,113,116,295,3,8,0,65,0,39,2,1300,0
1,0,1,1,8,43,117,296,3,1,0,8,0,7,1,1843,0
1,0,1,1,7,41,118,297,3,1,0,7,0,6,1,1843,0
1,0,1,1,7,41,119,298,3,1,0,7,0,5,1,1843,0
23,0,4,2,90,154,122,299,5,23,0,90,0,10,1,1843,0
3,0,1,2,19,53,123,300,5,3,0,19,0,9,2,1843,0
11,0,2,6,58,117,124,301,5,11,0,58,0,11,2,1300,0
2,0,0,10,20,57,125,302,5,2,0,20,0,14,2,1300,0
2,0,1,6,30,73,126,303,5,2,0,30,0,6,2,1843,0
18,0,5,13,94,173,127,304,5,18,0,94,0,40,2,1843,0
1,0,1,6,10,46,128,305,6,1,0,10,0,16,2,1300,0
4,0,0,7,43,84,129,306,6,4,0,43,0,22,2,1843,0
1,0,1,0,3,38,130,307,6,1,0,3,0,5,1,1843,0
59,0,4,2,204,300,131,308,6,59,0,204,0,20,2,1300,0
10,0,3,1,98,152,132,309,6,10,0,98,0,24,2,1300,1
1,0,0,4,22,58,133,310,6,1,0,22,0,4,2,1300,0
4,0,1,4,43,85,134,311,6,4,0,43,0,16,2,1300,0
1,0,0,2,9,43,135,312,6,1,0,9,0,3,1,1843,0
1,0,2,1,11,48,136,313,6,1,0,11,0,10,2,1843,0
3,0,1,8,65,114,137,314,7,3,0,65,0,15,2,1300,0
35,0,4,12,195,260,138,315,7,35,0,195,0,51,2,1300,0
74,0,2,16,414,562,139,316,7,74,0,414,0,95,2,1843,1
1,0,0,12,33,76,140,317,7,1,0,33,0,14,2,1300,0
8,0,0,6,84,131,141,318,7,8,0,84,0,16,2,1300,1
32,0,1,2,144,261,142,319,7,32,0,144,0,67,2,1843,0
43,0,3,7,207,301,143,320,7,43,0,207,1,53,2,1843,1
5,0,1,19,130,199,144,321,7,5,0,130,0,26,2,1300,1
7,0,3,3,75,120,145,322,7,7,0,75,0,22,2,1300,0
6,0,0,9,75,123,147,323,8,6,0,75,0,8,2,1300,0
1,0,1,3,6,45,148,324,8,1,0,6,0,5,1,1843,0
25,0,4,6,92,169,146,325,8,25,0,92,0,33,2,1300,1
2,0,1,4,23,73,149,326,8,2,0,23,0,15,2,1300,0
4,0,2,8,52,111,150,327,8,4,0,52,0,21,2,1300,0
1,0,1,6,10,72,151,328,8,1,0,10,0,15,1,1843,0
21,0,4,6,144,275,152,329,8,21,0,144,0,13,3,1300,1
64,0,3,3,278,479,154,330,8,64,0,278,0,52,2,1843,0
4,0,1,4,32,70,153,331,8,4,0,32,0,9,2,1300,0
24,0,4,18,230,332,155,332,8,24,0,230,0,59,2,1300,0
1,0,2,0,13,69,156,333,8,1,0,13,0,9,1,1843,0
1,0,1,0,113,953,157,334,8,1,0,113,3,125,2,1300,1
96,0,25,39,625,911,158,335,8,96,0,625,0,166,2,1843,1
2,0,2,0,19,76,159,336,8,2,0,19,0,7,1,1843,0
2,0,1,2,26,65,160,337,8,2,0,26,0,6,2,1843,0
42,0,5,4,269,403,161,338,8,42,0,269,1,62,2,1300,0
8,0,0,3,36,75,162,339,8,8,0,36,0,12,2,1843,0
1,0,1,0,13,46,163,340,8,1,0,13,0,6,1,1843,0
1,0,0,2,10,44,164,341,8,1,0,10,0,8,2,1300,0
18,0,1,5,72,114,165,342,8,18,0,72,0,18,2,1843,0
2,0,1,5,28,71,166,343,8,2,0,28,0,15,1,1843,0
48,0,5,21,246,356,167,344,8,48,0,246,0,82,2,1300,1
1,0,1,3,12,52,168,345,8,1,0,12,0,5,1,1843,0
1,0,0,7,20,59,169,346,9,1,0,20,0,5,2,1300,0
1,0,1,7,23,67,170,347,9,1,0,23,0,19,2,1300,0
1,0,0,8,21,62,171,348,9,1,0,21,0,9,2,1300,0
30,0,5,19,174,255,172,349,9,30,0,174,0,22,2,1300,1
1,0,1,5,20,57,173,350,9,1,0,20,0,3,2,1843,0
1,0,2,13,17,69,174,351,9,1,0,17,0,11,2,1300,0
9,0,1,11,52,98,175,352,9,9,0,52,0,12,2,1300,0
8,0,0,9,66,113,176,353,9,8,0,66,0,16,2,1300,0
1,0,0,5,14,51,177,354,9,1,0,14,0,7,2,1300,0
1,0,0,6,21,60,178,355,9,1,0,21,0,9,2,1300,0
1,0,0,6,21,59,179,356,9,1,0,21,0,9,2,1300,0
1,0,0,7,14,50,180,357,9,1,0,14,0,6,2,1300,0
1,0,1,1,4,42,181,358,9,1,0,4,0,3,1,1300,0
1,0,0,5,14,51,182,359,9,1,0,14,0,7,2,1300,0
5,0,0,9,36,75,183,360,9,5,0,36,0,12,2,1300,0
1,0,1,0,3,36,184,361,9,1,0,3,0,5,2,1300,0
1,0,1,6,20,61,185,362,9,1,0,20,0,8,2,1300,0
1,0,0,5,14,51,186,363,9,1,0,14,0,7,2,1300,0
1,0,0,6,21,59,187,364,9,1,0,21,0,9,2,1300,0
1,0,0,7,14,51,188,365,9,1,0,14,0,5,2,1300,0
87,0,4,47,981,1276,189,366,10,87,0,981,0,151,2,1300,1
4,0,0,10,62,109,190,367,10,4,0,62,0,11,2,1300,0
44,0,1,10,191,268,191,368,10,44,0,191,1,6,2,1300,0
5,0,0,12,87,132,192,369,10,5,0,87,0,3,2,1843,0
2,0,1,42,284,407,195,370,10,2,0,284,0,22,2,1300,0
3,0,1,25,413,908,196,371,10,3,0,413,0,24,2,1300,1
1,0,0,19,136,190,197,372,10,1,0,136,0,17,2,1843,0
7,0,1,19,333,410,198,373,10,7,0,333,0,33,2,1843,0
1,0,3,24,243,326,199,374,10,1,0,243,0,24,2,1300,0
8,0,2,12,422,532,200,375,10,8,0,422,0,47,2,1843,0
1,0,0,23,681,738,201,376,10,1,0,681,0,39,2,1843,0
3,0,0,3,46,83,193,377,10,3,0,46,0,13,2,1300,0
1,0,2,91,334,425,194,378,10,1,0,334,1,35,2,1300,1
2,0,1,11,214,274,202,379,10,2,0,214,0,34,2,1300,1
1,0,1,3,73,118,203,380,10,1,0,73,0,36,2,1300,0
3,0,0,6,122,181,204,381,10,3,0,122,0,12,2,1843,0
1,0,0,5,231,309,205,382,10,1,0,231,0,23,2,1300,0
1,0,3,23,587,714,206,383,10,1,0,587,1,43,2,1300,1
6,0,1,6,94,135,207,384,10,6,0,94,0,3,2,1843,0
1,0,2,7,270,351,208,385,10,1,0,270,0,41,2,1300,1
16,0,1,43,803,907,209,386,10,16,0,803,0,26,2,1300,0
1,0,5,36,341,439,210,387,10,1,0,341,0,10,2,1300,0
2,0,3,14,440,518,211,388,10,2,0,440,2,51,2,1843,1
1,0,3,11,210,238,212,389,10,1,0,210,0,2,1,1843,1
1,0,2,9,154,214,213,390,10,1,0,154,0,19,2,1300,1
4,0,3,32,565,666,214,391,10,4,0,565,1,52,2,1843,1
1,0,0,6,187,227,215,392,10,1,0,187,0,25,2,1300,1
1,0,6,19,287,377,216,393,10,1,0,287,0,42,2,1843,1
