McCC,CLOC,LLOC,Number of committers,Number of developer commits,Number of previous modifications,Number of previous fixes,target
1,0,60,0,0,1,0,0
11,0,74,0,0,1,0,0
1,0,25,1,70,1,0,0
3,0,89,0,0,1,0,0
15,0,154,1,70,1,0,0
7,0,72,1,70,3,0,0
23,0,336,1,70,1,0,0
66,0,619,3,590,15,0,0
1,0,123,3,70,5,0,0
3,0,40,1,70,1,0,0
1,0,36,1,70,1,0,0
25,0,244,1,70,2,0,0
1,0,16,2,590,4,0,0
74,0,549,2,590,4,0,0
5,0,30,2,590,4,0,0
1,0,46,2,590,4,0,0
2,0,19,1,70,1,0,0
1,0,7,1,70,1,0,0
1,0,1,1,70,1,0,0
1,0,9,2,590,4,0,0
1,0,4,1,70,1,0,0
1,0,1,1,70,1,0,0
1,0,5,0,0,1,0,0
1,0,25,2,70,6,0,0
1,0,30,1,70,1,0,0
14,0,70,1,70,1,0,0
1,0,16,3,70,5,0,0
1,0,8,1,70,1,0,0
3,0,19,1,70,1,0,0
1,0,20,2,70,8,0,0
1,0,12,1,70,1,0,0
1,0,13,2,70,8,0,0
2,0,20,1,70,1,0,0
1,0,38,1,70,1,0,0
2,0,148,1,70,1,0,0
15,0,367,3,70,5,0,0
1,0,118,1,70,1,0,0
4,0,175,1,70,1,0,0
2,0,154,2,590,8,0,0
5,0,67,1,70,1,0,0
3,0,46,1,70,1,0,0
1,0,209,1,70,1,0,0
1,0,13,1,70,1,0,0
1,0,63,2,70,4,0,0
1,0,40,1,70,1,0,0
6,0,93,2,70,4,0,0
3,0,51,1,70,1,0,0
1,0,56,1,70,1,0,0
1,0,31,1,70,1,0,0
1,0,8,1,70,1,0,0
1,0,9,1,70,1,0,0
2,0,17,1,70,1,0,0
1,0,10,1,70,1,0,0
4,0,21,1,70,1,0,0
3,0,25,1,70,1,0,0
2,0,16,1,70,1,0,0
4,0,17,1,70,1,0,0
10,0,45,1,70,1,0,0
1,0,13,1,70,1,0,0
4,0,120,1,70,2,0,0
6,0,85,1,70,1,0,0
11,0,120,1,70,2,0,0
5,0,144,1,70,1,0,0
4,0,69,1,70,1,0,0
7,0,141,0,0,1,0,0
9,0,243,0,0,1,0,0
6,0,54,1,70,1,0,0
41,0,560,1,70,1,0,0
23,0,252,1,70,1,0,0
35,0,246,2,590,3,0,0
1,0,151,1,590,3,0,0
1,0,27,0,0,1,0,0
1,0,1,0,0,1,0,0
1,0,16,0,0,1,0,0
1,0,1,0,0,1,0,0
1,0,15,0,0,1,0,0
1,0,15,1,70,1,0,0
7,0,180,2,70,8,0,0
7,0,70,1,70,1,0,0
7,0,77,1,70,1,0,0
7,0,78,1,70,1,0,0
7,0,69,1,70,1,0,0
7,0,68,1,70,1,0,0
12,0,53,1,70,1,0,0
7,0,59,2,70,6,0,0
12,0,53,1,70,1,0,0
1,0,10,1,70,1,0,0
1,0,14,1,70,1,0,0
15,0,230,2,590,4,0,0
1,0,16,1,70,1,0,0
83,0,774,2,590,17,0,0
11,0,159,1,70,1,0,0
10,0,50,1,70,1,0,0
2,0,105,1,70,1,0,0
20,0,364,2,70,9,0,0
1,0,49,0,0,1,0,0
4,0,27,0,0,1,0,0
3,0,29,0,0,1,0,0
2,0,21,0,0,1,0,0
9,0,62,0,0,1,0,0
5,0,40,0,0,1,0,0
1,0,8,0,0,1,0,0
4,0,43,0,0,1,0,0
1,0,24,0,0,1,0,0
7,0,51,0,0,1,0,0
1,0,33,0,0,1,0,0
2,0,22,0,0,1,0,0
2,0,37,0,0,1,0,0
6,0,139,1,70,2,0,0
1,0,18,0,0,1,0,0
2,0,13,0,0,1,0,0
1,0,6,0,0,1,0,0
31,0,314,0,0,1,0,0
18,0,155,0,0,1,0,0
38,0,304,1,70,2,0,0
8,0,120,0,0,1,0,0
18,0,163,0,0,1,0,0
9,0,55,0,0,1,0,0
2,0,80,0,0,1,0,0
28,0,172,0,0,1,0,0
1,0,16,0,0,1,0,0
7,0,80,1,70,2,0,0
4,0,34,0,0,1,0,0
2,0,140,0,0,1,0,0
12,0,138,0,0,1,0,0
2,0,107,1,70,2,0,0
5,0,92,0,0,1,0,0
7,0,99,0,0,1,0,0
1,0,7,0,0,1,0,0
1,0,6,0,0,1,0,0
1,0,8,0,0,1,0,0
1,0,5,1,70,1,0,0
1,0,1,0,0,1,0,0
7,0,90,0,0,1,0,0
2,0,59,0,0,1,0,0
1,0,23,0,0,1,0,0
1,0,29,0,0,1,0,0
1,0,12,0,0,1,0,0
4,0,33,0,0,1,0,0
3,0,122,1,70,2,0,0
13,0,104,2,590,4,0,0
2,0,63,1,70,1,0,0
1,0,23,1,70,1,0,0
1,0,50,1,70,1,0,0
1,0,12,1,70,1,0,0
4,0,33,1,70,1,0,0
3,0,124,1,70,1,0,0
17,0,152,0,0,1,0,0
77,0,362,2,590,4,0,0
1,0,1,0,0,1,0,0
16,0,126,1,70,2,0,0
5,0,157,0,0,1,0,0
17,0,135,2,590,4,0,0
5,0,157,1,70,1,0,0
3,0,38,0,0,1,0,0
7,0,71,0,0,1,0,0
18,0,55,0,0,1,0,0
10,0,332,0,0,1,0,0
19,0,374,0,0,2,0,0
16,0,56,1,70,1,0,0
48,0,689,2,70,5,0,0
3,0,76,1,70,1,0,0
7,0,87,1,70,1,0,0
42,0,523,2,590,4,0,0
1,0,1,0,0,1,0,0
1,0,7,0,0,1,0,0
1,0,7,1,70,1,0,0
4,0,29,0,0,1,0,0
5,0,36,0,0,1,0,0
4,0,27,1,70,2,0,0
6,0,31,1,70,1,0,0
5,0,32,1,70,1,0,0
1,0,96,1,70,1,0,0
1,0,69,1,70,1,0,0
1,0,48,1,70,1,0,0
6,0,166,1,70,1,0,0
2,0,122,1,70,1,0,0
2,0,123,1,70,1,0,0
1,0,17,1,70,1,0,0
1,0,111,2,590,4,0,0
1,0,64,1,70,1,0,0
1,0,35,1,70,1,0,0
1,0,107,2,70,4,0,0
19,0,213,2,590,2,0,0
50,0,404,2,70,14,0,0
2,0,91,1,70,2,0,0
4,0,50,2,70,3,0,0
11,0,176,2,590,9,1,0
1,0,155,2,70,7,0,0
1,0,197,2,70,8,0,1
7,0,206,2,70,4,0,0
64,0,369,2,70,9,0,0
46,0,284,2,70,16,0,0
12,0,65,2,70,3,0,0
8,0,169,2,70,8,0,0
57,0,435,2,590,9,1,0
8,0,89,2,70,5,0,0
73,0,866,2,70,4,0,0
98,0,1039,2,70,11,0,1
38,0,132,1,70,1,0,0
6,0,79,2,70,3,0,0
21,0,122,2,70,3,0,0
3,0,28,2,70,3,0,0
18,0,315,2,70,15,0,0
32,0,215,2,70,11,0,0
18,0,150,2,70,4,0,0
210,0,2598,2,70,6,0,1
9,0,80,2,70,3,0,1
35,0,366,2,70,9,0,1
1,0,272,2,70,4,0,0
9,0,184,2,70,9,0,0
8,0,754,2,70,4,0,0
2,0,31,2,590,3,0,0
4,0,477,2,70,3,0,0
1,0,388,2,70,7,0,0
16,0,89,2,70,3,0,0
14,0,106,2,70,4,0,0
5,0,190,2,70,3,0,0
1,0,349,2,70,4,0,0
5,0,489,2,70,4,0,0
1,0,176,1,70,1,0,0
1,0,70,1,70,1,0,0
15,0,94,2,70,7,0,0
1,0,102,2,70,4,0,0
14,0,330,2,70,5,0,0
5,0,579,2,70,5,0,0
1,0,107,1,70,1,0,0
6,0,50,2,70,4,0,0
5,0,119,3,70,6,0,0
4,0,119,1,70,1,0,0
5,0,53,1,70,1,0,0
10,0,80,1,70,1,0,0
1,0,13,3,70,5,0,0
1,0,44,1,70,1,0,0
1,0,226,2,70,11,0,0
197,0,1011,1,70,1,0,1
1,0,88,1,70,1,0,0
13,0,330,3,70,8,0,0
3,0,241,3,70,8,0,0
3,0,109,1,70,1,0,0
7,0,77,1,70,1,0,0
6,0,58,1,70,1,0,0
5,0,32,1,70,1,0,0
3,0,92,3,70,5,0,0
6,0,66,1,70,2,0,0
1,0,13,3,70,5,0,0
2,0,112,1,70,1,0,0
22,0,240,1,70,4,1,0
4,0,63,0,0,1,0,0
1,0,13,0,0,1,0,0
1,0,5,0,0,1,0,0
1,0,30,0,0,1,0,0
77,0,312,0,0,1,0,0
1,0,26,0,0,1,0,0
4,0,31,0,0,1,0,0
18,0,119,4,70,6,0,0
8,0,46,0,0,1,0,0
65,0,305,0,0,1,0,0
1,0,1,0,0,1,0,0
1,0,8,0,0,1,0,0
1,0,14,0,0,1,0,0
4,0,96,4,70,5,0,0
1,0,4,4,70,6,0,0
34,0,190,4,70,6,0,0
6,0,103,4,70,6,0,0
1,0,12,0,0,1,0,0
1,0,282,0,0,1,0,0
1,0,19,0,0,1,0,0
1,0,25,0,0,1,0,0
63,0,912,0,0,1,0,0
1,0,20,0,0,1,0,0
2,0,113,0,0,1,0,0
3,0,121,4,70,6,0,0
2,0,119,0,0,1,0,0
3,0,222,4,70,6,0,0
15,0,83,0,0,1,0,0
23,0,79,0,0,1,0,0
1,0,1,0,0,1,0,0
18,0,95,0,0,1,0,0
47,0,323,0,0,1,0,0
1,0,6,0,0,1,0,0
1,0,8,0,0,1,0,0
52,0,238,0,0,1,0,0
16,0,75,0,0,1,0,0
30,0,208,4,70,10,0,0
64,0,408,4,70,9,0,0
1,0,7,0,0,1,0,0
1,0,1,0,0,1,0,0
1,0,43,0,0,1,0,0
84,0,485,4,70,7,0,0
35,0,228,0,0,1,0,0
24,0,201,2,70,6,0,0
3,0,30,0,0,1,0,0
8,0,101,0,0,1,0,0
1,0,7,0,0,1,0,0
1,0,5,0,0,1,0,0
10,0,82,0,0,1,0,0
4,0,62,0,0,1,0,0
15,0,115,0,0,1,0,0
4,0,58,0,0,1,0,0
2,0,32,0,0,1,0,0
1,0,40,4,70,9,0,0
1,0,32,0,0,1,0,0
1,0,9,0,0,1,0,0
1,0,135,0,0,1,0,0
4,0,236,0,0,1,0,0
4,0,445,0,0,1,0,0
1,0,116,0,0,1,0,0
1,0,382,0,0,1,0,0
2,0,449,4,70,6,0,0
2,0,389,0,0,1,0,0
2,0,715,4,70,6,0,0
1,0,176,0,0,1,0,0
1,0,123,2,70,5,0,0
1,0,36,0,0,1,0,0
1,0,25,4,70,6,0,0
2,0,127,0,0,1,0,0
2,0,127,0,0,1,0,0
2,0,52,0,0,1,0,0
2,0,261,0,0,1,0,0
3,0,44,0,0,1,0,0
1,0,55,4,70,5,0,0
3,0,70,0,0,1,0,0
2,0,40,4,70,5,0,0
18,0,187,0,0,1,0,0
1,0,43,0,0,1,0,0
5,0,114,0,0,1,0,0
2,0,47,0,0,1,0,0
5,0,66,0,0,1,0,0
5,0,59,4,70,5,0,0
2,0,39,0,0,1,0,0
2,0,35,0,0,1,0,0
5,0,73,0,0,1,0,0
2,0,43,4,70,5,0,0
2,0,76,0,0,1,0,0
4,0,95,0,0,1,0,0
1,0,74,0,0,1,0,0
2,0,72,0,0,1,0,0
2,0,34,0,0,1,0,0
6,0,113,4,70,6,0,0
1,0,119,0,0,1,0,0
