numberOfVersionsUntil:,numberOfFixesUntil:,numberOfRefactoringsUntil:,numberOfAuthorsUntil:,linesAddedUntil:,maxLinesAddedUntil:,avgLinesAddedUntil:,linesRemovedUntil:,maxLinesRemovedUntil:,avgLinesRemovedUntil:,codeChurnUntil:,maxCodeChurnUntil:,avgCodeChurnUntil:,ageWithRespectTo:,weightedAgeWithRespectTo:,target,nonTrivialBugs,majorBugs,criticalBugs,highPriorityBugs
33,0,0,5,969.0,345.0,293.636,1296.0,345.0,392.727,-327.0,23.0,-990.909,226.571,991.906,0,0,0,0,0
2,0,0,1,7.0,7.0,3.5,10.0,10.0,5.0,-3.0,0.0,-1.5,494.286,13.0,0,0,0,0,0
6,0,0,4,12.0,5.0,2.0,12.0,5.0,2.0,0.0,4.0,0.0,205.857,936.071,0,0,0,0,0
11,0,0,4,102.0,26.0,927.273,108.0,33.0,981.818,-6.0,21.0,-0.545455,188.429,663.235,0,0,0,0,0
2,0,0,2,10.0,10.0,5.0,12.0,12.0,6.0,-2.0,0.0,-1.0,97.0,608.571,0,0,0,0,0
6,0,0,3,80.0,50.0,133.333,20.0,9.0,333.333,60.0,43.0,10.0,118.0,513.429,0,0,0,0,0
13,1,0,6,66.0,18.0,507.692,41.0,12.0,315.385,25.0,11.0,192.308,234.714,425.519,0,0,0,0,0
16,1,0,3,325.0,100.0,203.125,240.0,110.0,15.0,85.0,72.0,53.125,128.143,854.026,1,1,2,0,0
4,0,0,3,101.0,74.0,25.25,61.0,44.0,15.25,40.0,61.0,10.0,644.286,135.219,0,0,0,0,0
32,1,0,6,264.0,50.0,8.25,194.0,74.0,60.625,70.0,18.0,21.875,187.286,865.887,1,0,0,0,0
8,0,0,4,76.0,26.0,9.5,22.0,17.0,2.75,54.0,24.0,6.75,207.714,786.128,0,0,0,0,0
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.286,0.0,0,0,0,0,0
9,0,0,4,88.0,27.0,977.778,64.0,45.0,711.111,24.0,20.0,266.667,201.286,775.779,0,0,0,0,0
16,1,0,6,68.0,20.0,4.25,43.0,14.0,26.875,25.0,20.0,15.625,227.429,125.456,0,0,0,0,0
8,0,0,3,260.0,155.0,32.5,90.0,77.0,11.25,170.0,155.0,21.25,595.714,13.511,0,0,0,0,0
4,1,1,3,17.0,10.0,4.25,11.0,10.0,2.75,6.0,10.0,1.5,150.429,558.739,0,0,0,0,0
9,0,0,4,41.0,20.0,455.556,39.0,28.0,433.333,2.0,4.0,0.222222,204.0,112.836,0,0,0,0,0
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,1,0,0,0,0
6,1,0,6,53.0,35.0,883.333,40.0,29.0,666.667,13.0,6.0,216.667,335.286,234.383,0,0,0,0,0
15,2,0,7,80.0,46.0,533.333,69.0,42.0,4.6,11.0,6.0,0.733333,335.286,129.786,1,0,1,0,0
3,0,0,3,12.0,11.0,4.0,10.0,9.0,333.333,2.0,2.0,0.666667,133.571,898.214,0,0,0,0,0
3,1,0,2,28.0,27.0,933.333,31.0,30.0,103.333,-3.0,0.0,-1.0,110.857,740.051,0,0,0,0,0
3,0,0,2,34.0,32.0,113.333,40.0,40.0,133.333,-6.0,2.0,-2.0,601.429,24.479,0,0,0,0,0
14,1,0,3,749.0,279.0,53.5,162.0,63.0,115.714,587.0,279.0,419.286,63.0,794.602,1,0,1,0,0
3,0,0,2,36.0,26.0,12.0,2.0,2.0,0.666667,34.0,26.0,113.333,288.571,877.778,1,1,1,0,0
15,0,0,3,257.0,105.0,171.333,70.0,36.0,466.667,187.0,105.0,124.667,147.0,106.598,0,0,0,0,0
4,0,0,2,64.0,31.0,16.0,2.0,2.0,0.5,62.0,31.0,15.5,151.0,379.688,0,0,0,0,0
55,1,1,7,1897.0,458.0,344.909,906.0,494.0,164.727,991.0,372.0,180.182,180.571,573.516,0,0,0,0,0
2,0,0,2,1.0,1.0,0.5,2.0,2.0,1.0,-1.0,0.0,-0.5,69.0,328.571,0,0,0,0,0
2,0,0,2,74.0,74.0,37.0,105.0,105.0,52.5,-31.0,0.0,-15.5,682.857,341.429,0,0,0,0,0
2,0,1,2,4.0,4.0,2.0,6.0,6.0,3.0,-2.0,0.0,-1.0,955.714,585.714,0,0,0,0,0
6,0,1,2,67.0,47.0,111.667,23.0,11.0,383.333,44.0,47.0,733.333,104.429,199.211,1,0,0,0,0
14,1,0,8,226.0,140.0,161.429,247.0,90.0,176.429,-21.0,50.0,-1.5,335.286,669.412,0,0,0,0,0
17,1,0,8,96.0,22.0,564.706,35.0,10.0,205.882,61.0,22.0,358.824,335.286,195.335,0,0,0,0,0
38,2,0,8,502.0,149.0,132.105,539.0,241.0,141.842,-37.0,66.0,-0.973684,335.286,165.423,0,0,0,0,0
51,3,0,9,687.0,170.0,134.706,533.0,150.0,10.451,154.0,51.0,301.961,335.286,123.062,1,0,0,0,0
13,0,0,3,545.0,280.0,419.231,538.0,289.0,413.846,7.0,42.0,0.538462,992.857,189.756,0,0,0,0,0
7,2,0,3,30.0,10.0,428.571,31.0,18.0,442.857,-1.0,10.0,-0.142857,130.857,18.4,0,0,0,0,0
10,1,0,6,96.0,31.0,9.6,75.0,23.0,7.5,21.0,17.0,2.1,335.286,188.814,0,0,0,0,0
34,3,2,4,1947.0,597.0,572.647,550.0,224.0,161.765,1397.0,597.0,410.882,114.0,143.983,1,0,0,0,0
10,0,0,4,36.0,10.0,3.6,26.0,8.0,2.6,10.0,10.0,1.0,227.429,884.841,0,0,0,0,0
8,0,0,3,462.0,186.0,57.75,103.0,52.0,12.875,359.0,186.0,44.875,92.0,343.043,1,0,0,0,0
40,1,1,4,431.0,102.0,10.775,559.0,257.0,13.975,-128.0,56.0,-3.2,128.143,717.083,1,1,1,0,0
3,1,0,2,7.0,4.0,233.333,7.0,4.0,233.333,0.0,0.0,0.0,104.286,727.755,0,0,0,0,0
45,2,2,6,866.0,208.0,192.444,406.0,58.0,902.222,460.0,208.0,102.222,181.429,369.553,0,0,0,0,0
3,0,1,2,31.0,29.0,103.333,29.0,27.0,966.667,2.0,2.0,0.666667,955.714,581.567,0,0,0,0,0
19,0,0,7,123.0,26.0,647.368,81.0,31.0,426.316,42.0,26.0,221.053,227.429,112.632,0,0,0,0,0
23,1,0,7,214.0,64.0,930.435,258.0,91.0,112.174,-44.0,10.0,-191.304,335.286,123.165,0,0,0,0,0
32,1,0,9,493.0,238.0,154.062,342.0,177.0,106.875,151.0,61.0,471.875,335.286,161.197,0,0,0,0,0
14,2,0,6,160.0,55.0,114.286,74.0,52.0,528.571,86.0,45.0,614.286,335.286,192.072,0,0,0,0,0
5,0,0,2,71.0,36.0,14.2,9.0,8.0,1.8,62.0,36.0,12.4,151.143,187.525,0,0,0,0,0
12,0,0,4,49.0,10.0,408.333,30.0,13.0,2.5,19.0,10.0,158.333,144.286,561.283,0,0,0,0,0
10,0,0,4,67.0,46.0,6.7,155.0,132.0,15.5,-88.0,2.0,-8.8,133.571,343.731,0,0,0,0,0
2,0,0,2,14.0,14.0,7.0,29.0,29.0,14.5,-15.0,0.0,-7.5,721.429,351.429,0,0,0,0,0
3,0,0,1,11.0,10.0,366.667,1.0,1.0,0.333333,10.0,10.0,333.333,144.429,173.896,0,0,0,0,0
10,1,0,7,38.0,10.0,3.8,27.0,9.0,2.7,11.0,10.0,1.1,326.429,119.259,0,0,0,0,0
11,0,3,3,149.0,58.0,135.455,63.0,27.0,572.727,86.0,55.0,781.818,982.857,30.791,0,0,0,0,0
3,0,0,1,4.0,3.0,133.333,5.0,3.0,166.667,-1.0,0.0,-0.333333,334.286,7.75,0,0,0,0,0
3,0,0,2,15.0,11.0,5.0,17.0,13.0,566.667,-2.0,0.0,-0.666667,187.429,111.552,0,0,0,0,0
24,1,0,8,222.0,69.0,9.25,202.0,62.0,841.667,20.0,46.0,0.833333,335.286,145.326,1,0,1,0,0
4,0,0,3,7.0,4.0,1.75,11.0,5.0,2.75,-4.0,0.0,-1.0,183.857,135.143,0,0,0,0,0
9,0,0,3,201.0,76.0,223.333,65.0,34.0,722.222,136.0,76.0,151.111,151.143,262.587,0,0,0,0,0
21,0,0,4,367.0,120.0,174.762,94.0,31.0,447.619,273.0,120.0,13.0,156.429,174.554,0,0,0,0,0
6,0,0,4,12.0,8.0,2.0,18.0,12.0,3.0,-6.0,0.0,-1.0,771.429,311.429,0,0,0,0,0
29,1,3,4,528.0,202.0,182.069,506.0,142.0,174.483,22.0,60.0,0.758621,104.429,252.757,1,1,0,0,0
16,1,0,8,99.0,40.0,61.875,79.0,33.0,49.375,20.0,7.0,1.25,335.286,123.701,0,0,0,0,0
8,0,0,3,172.0,80.0,21.5,11.0,6.0,1.375,161.0,80.0,20.125,151.143,581.063,0,0,0,0,0
12,0,0,5,383.0,165.0,319.167,32.0,13.0,266.667,351.0,165.0,29.25,151.143,107.885,0,0,0,0,0
6,0,0,2,93.0,67.0,15.5,121.0,105.0,201.667,-28.0,8.0,-466.667,922.857,425.438,0,0,0,0,0
17,1,0,6,225.0,104.0,132.353,154.0,37.0,905.882,71.0,82.0,417.647,306.0,529.251,0,0,0,0,0
4,0,0,2,236.0,175.0,59.0,90.0,83.0,22.5,146.0,172.0,36.5,85.0,12.431,0,0,0,0,0
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.286,0.0,0,0,0,0,0
13,0,0,6,199.0,71.0,153.077,117.0,71.0,9.0,82.0,48.0,630.769,227.429,112.184,0,0,0,0,0
2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.571,0.0,0,0,0,0,0
4,0,0,2,15.0,10.0,3.75,8.0,6.0,2.0,7.0,10.0,1.75,133.429,238.952,0,0,0,0,0
16,1,0,4,493.0,183.0,308.125,116.0,69.0,7.25,377.0,183.0,235.625,156.429,179.507,1,0,0,0,0
5,0,0,3,49.0,42.0,9.8,32.0,21.0,6.4,17.0,40.0,3.4,137.143,919.125,0,0,0,0,0
5,1,0,3,27.0,14.0,5.4,22.0,21.0,4.4,5.0,10.0,1.0,136.286,598.307,1,0,0,0,0
