numberOfVersionsUntil:,numberOfFixesUntil:,numberOfRefactoringsUntil:,numberOfAuthorsUntil:,linesAddedUntil:,maxLinesAddedUntil:,avgLinesAddedUntil:,linesRemovedUntil:,maxLinesRemovedUntil:,avgLinesRemovedUntil:,codeChurnUntil:,maxCodeChurnUntil:,avgCodeChurnUntil:,ageWithRespectTo:,weightedAgeWithRespectTo:,target,nonTrivialBugs,majorBugs,criticalBugs,highPriorityBugs
132,8,0,8,2132.0,535.0,161.515,2129.0,535.0,161.288,3.0,39.0,0.0227273,367.0,744.663,0,0,0,0,0
8,4,0,4,12.0,4.0,1.5,10.0,4.0,1.25,2.0,1.0,0.25,228.143,402.857,1,0,0,0,0
5,2,0,2,144.0,82.0,28.8,1.0,1.0,0.2,143.0,82.0,28.6,228.857,590.307,0,0,0,0,0
45,15,0,7,813.0,187.0,180.667,414.0,187.0,9.2,399.0,93.0,886.667,333.143,984.973,0,0,0,0,0
28,4,0,5,265.0,76.0,946.429,256.0,76.0,914.286,9.0,6.0,0.321429,367.0,524.016,0,0,0,0,0
19,7,0,6,317.0,121.0,166.842,312.0,120.0,164.211,5.0,18.0,0.263158,229.857,511.739,0,0,0,0,0
33,4,0,4,397.0,54.0,120.303,280.0,53.0,848.485,117.0,53.0,354.545,164.714,426.312,0,0,0,0,0
49,4,0,9,630.0,89.0,128.571,197.0,43.0,402.041,433.0,89.0,883.673,224.143,62.839,0,0,0,0,0
121,8,0,10,1517.0,223.0,125.372,1385.0,237.0,114.463,132.0,39.0,109.091,367.0,130.518,0,0,0,0,0
5,1,0,2,26.0,11.0,5.2,10.0,4.0,2.0,16.0,7.0,3.2,103.286,51.945,0,0,0,0,0
38,13,0,7,453.0,172.0,119.211,269.0,172.0,707.895,184.0,77.0,484.211,333.143,699.451,0,0,0,0,0
49,4,0,7,497.0,97.0,101.429,583.0,97.0,11.898,-86.0,19.0,-17.551,367.0,518.896,1,0,0,0,0
15,2,0,7,86.0,17.0,573.333,52.0,11.0,346.667,34.0,15.0,226.667,221.0,463.405,0,0,0,0,0
111,21,0,9,5118.0,788.0,461.081,5065.0,788.0,456.306,53.0,279.0,0.477477,367.0,809.683,0,0,0,0,0
21,4,0,7,52.0,15.0,247.619,227.0,82.0,108.095,-175.0,2.0,-833.333,236.0,274.478,0,0,0,0,0
44,4,0,8,286.0,82.0,6.5,252.0,82.0,572.727,34.0,21.0,0.772727,367.0,627.033,0,0,0,0,0
36,6,0,7,597.0,165.0,165.833,87.0,12.0,241.667,510.0,165.0,141.667,239.571,135.219,0,0,0,0,0
30,3,0,6,929.0,78.0,309.667,902.0,78.0,300.667,27.0,16.0,0.9,367.0,301.708,0,0,0,0,0
18,4,0,4,599.0,151.0,332.778,51.0,24.0,283.333,548.0,151.0,304.444,169.857,731.803,1,0,0,0,0
19,5,0,7,240.0,46.0,126.316,215.0,44.0,113.158,25.0,10.0,131.579,234.571,217.625,0,0,0,0,0
26,6,0,7,207.0,50.0,796.154,164.0,50.0,630.769,43.0,14.0,165.385,367.0,104.823,0,0,0,0,0
38,13,0,7,484.0,172.0,127.368,296.0,172.0,778.947,188.0,73.0,494.737,333.143,720.003,0,0,0,0,0
45,6,0,8,1727.0,444.0,383.778,722.0,107.0,160.444,1005.0,430.0,223.333,229.0,255.065,0,0,0,0,0
9,5,0,3,234.0,103.0,26.0,26.0,15.0,288.889,208.0,103.0,231.111,228.857,155.336,0,0,0,0,0
72,11,0,7,873.0,188.0,12.125,818.0,188.0,113.611,55.0,14.0,0.763889,367.0,101.333,0,0,0,0,0
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.714,0.0,0,0,0,0,0
35,6,0,6,177.0,54.0,505.714,201.0,54.0,574.286,-24.0,5.0,-0.685714,367.0,574.762,0,0,0,0,0
27,4,0,8,317.0,98.0,117.407,91.0,35.0,337.037,226.0,63.0,837.037,248.571,586.223,0,0,0,0,0
17,4,0,5,66.0,23.0,388.235,41.0,17.0,241.176,25.0,22.0,147.059,367.0,118.11,0,0,0,0,0
16,3,0,4,79.0,27.0,49.375,81.0,27.0,50.625,-2.0,6.0,-0.125,367.0,74.094,0,0,0,0,0
3,1,0,2,3.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,498.571,406.667,0,0,0,0,0
34,5,0,7,553.0,184.0,162.647,514.0,184.0,151.176,39.0,25.0,114.706,367.0,785.451,0,0,0,0,0
107,10,0,9,1707.0,139.0,159.533,863.0,70.0,806.542,844.0,119.0,788.785,248.571,940.384,1,0,0,0,0
22,6,0,4,192.0,109.0,872.727,185.0,109.0,840.909,7.0,5.0,0.318182,367.0,58.026,0,0,0,0,0
2,2,0,1,2.0,2.0,1.0,3.0,3.0,1.5,-1.0,0.0,-0.5,578.571,0.0,0,0,0,0,0
34,12,0,7,316.0,122.0,929.412,183.0,122.0,538.235,133.0,59.0,391.176,333.143,703.734,0,0,0,0,0
35,7,0,7,215.0,50.0,614.286,148.0,46.0,422.857,67.0,41.0,191.429,281.143,350.671,1,0,0,0,0
28,2,0,7,981.0,334.0,350.357,1039.0,334.0,371.071,-58.0,12.0,-207.143,367.0,59.3,0,0,0,0,0
8,2,0,2,132.0,62.0,16.5,104.0,50.0,13.0,28.0,12.0,3.5,105.0,817.056,1,0,0,0,0
38,6,0,5,239.0,58.0,628.947,226.0,58.0,594.737,13.0,9.0,0.342105,367.0,672.791,1,0,0,0,0
116,9,0,8,1922.0,368.0,16.569,1691.0,368.0,145.776,231.0,29.0,199.138,367.0,760.182,0,0,0,0,0
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.857,0.0,0,0,0,0,0
58,14,0,8,673.0,206.0,116.034,476.0,206.0,82.069,197.0,49.0,339.655,333.143,652.539,0,0,0,0,0
76,6,0,8,1158.0,300.0,152.368,1252.0,370.0,164.737,-94.0,23.0,-123.684,367.0,661.541,0,0,0,0,0
167,8,0,11,2144.0,515.0,128.383,1636.0,515.0,979.641,508.0,47.0,304.192,329.0,770.235,0,0,0,0,0
27,5,0,5,629.0,146.0,232.963,80.0,12.0,296.296,549.0,146.0,203.333,226.0,316.489,0,0,0,0,0
29,5,0,4,280.0,93.0,965.517,256.0,93.0,882.759,24.0,25.0,0.827586,367.0,344.097,0,0,0,0,0
90,8,0,8,4337.0,329.0,481.889,4198.0,329.0,466.444,139.0,101.0,154.444,367.0,365.847,1,0,0,0,0
38,13,0,7,493.0,173.0,129.737,285.0,173.0,7.5,208.0,75.0,547.368,333.143,732.634,0,0,0,0,0
21,5,0,5,147.0,54.0,7.0,139.0,54.0,661.905,8.0,31.0,0.380952,367.0,561.244,0,0,0,0,0
82,4,0,7,1665.0,441.0,203.049,1510.0,441.0,184.146,155.0,135.0,189.024,367.0,710.099,0,0,0,0,0
80,10,0,8,620.0,91.0,7.75,506.0,91.0,6.325,114.0,15.0,1.425,367.0,106.514,0,0,0,0,0
4,1,0,2,11.0,8.0,2.75,11.0,8.0,2.75,0.0,0.0,0.0,877.143,835.065,0,0,0,0,0
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0,0,0,0,0
33,2,0,5,798.0,141.0,241.818,730.0,127.0,221.212,68.0,72.0,206.061,367.0,112.254,0,0,0,0,0
47,7,0,9,502.0,140.0,106.809,300.0,140.0,638.298,202.0,71.0,429.787,367.0,154.785,0,0,0,0,0
28,4,0,5,104.0,44.0,371.429,103.0,44.0,367.857,1.0,6.0,0.0357143,367.0,590.316,0,0,0,0,0
1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.143,0.0,0,0,0,0,0
87,19,0,7,3123.0,378.0,358.966,2127.0,378.0,244.483,996.0,216.0,114.483,363.857,109.912,1,0,0,0,0
7,3,0,4,19.0,7.0,271.429,13.0,5.0,185.714,6.0,6.0,0.857143,191.571,956.842,0,0,0,0,0
35,4,0,8,219.0,110.0,625.714,49.0,7.0,1.4,170.0,106.0,485.714,243.857,141.279,1,0,0,0,0
84,8,0,6,857.0,102.0,102.024,680.0,102.0,809.524,177.0,59.0,210.714,367.0,122.828,1,0,0,0,0
8,3,0,3,28.0,7.0,3.5,18.0,5.0,2.25,10.0,6.0,1.25,175.0,341.888,0,0,0,0,0
17,4,0,4,68.0,23.0,4.0,68.0,23.0,4.0,0.0,6.0,0.0,367.0,616.723,0,0,0,0,0
41,6,0,7,337.0,105.0,821.951,316.0,105.0,770.732,21.0,15.0,0.512195,367.0,802.128,0,0,0,0,0
37,5,0,5,1295.0,285.0,35.0,1325.0,285.0,358.108,-30.0,43.0,-0.810811,367.0,632.596,0,0,0,0,0
135,24,0,9,5002.0,649.0,370.519,4154.0,634.0,307.704,848.0,269.0,628.148,288.143,967.068,0,0,0,0,0
51,6,0,5,809.0,159.0,158.627,805.0,159.0,157.843,4.0,13.0,0.0784314,367.0,44.356,0,0,0,0,0
381,27,0,9,19905.0,1343.0,522.441,16702.0,1343.0,438.373,3203.0,240.0,840.682,367.0,768.359,1,0,1,0,0
85,9,0,8,2035.0,315.0,239.412,1862.0,315.0,219.059,173.0,55.0,203.529,367.0,805.213,1,0,0,0,0
42,14,0,7,365.0,126.0,869.048,218.0,126.0,519.048,147.0,60.0,3.5,333.143,735.362,0,0,0,0,0
34,10,0,8,1053.0,319.0,309.706,473.0,70.0,139.118,580.0,249.0,170.588,220.143,269.399,0,0,0,0,0
12,4,0,5,58.0,31.0,483.333,52.0,31.0,433.333,6.0,5.0,0.5,329.0,402.143,0,0,0,0,0
3,0,0,1,9.0,7.0,3.0,35.0,23.0,116.667,-26.0,0.0,-866.667,16.0,173.016,0,0,0,0,0
5,2,0,2,22.0,10.0,4.4,28.0,17.0,5.6,-6.0,10.0,-1.2,117.0,555.325,0,0,0,0,0
14,4,0,5,129.0,87.0,921.429,156.0,87.0,111.429,-27.0,5.0,-192.857,331.857,446.523,0,0,0,0,0
397,96,1,10,22934.0,2078.0,577.683,19199.0,2001.0,483.602,3735.0,630.0,940.806,367.0,176.29,1,0,0,0,0
4,2,0,3,21.0,19.0,5.25,15.0,13.0,3.75,6.0,6.0,1.5,103.143,692.925,0,0,0,0,0
7,4,0,3,146.0,69.0,208.571,8.0,4.0,114.286,138.0,69.0,197.143,222.857,105.264,0,0,0,0,0
7,3,0,3,9.0,5.0,128.571,9.0,5.0,128.571,0.0,0.0,0.0,236.143,636.984,0,0,0,0,0
21,4,0,5,65.0,16.0,309.524,77.0,21.0,366.667,-12.0,1.0,-0.571429,288.857,360.571,0,0,0,0,0
112,11,0,7,1709.0,500.0,152.589,1953.0,593.0,174.375,-244.0,44.0,-217.857,367.0,611.051,1,1,0,0,0
71,5,0,10,979.0,202.0,137.887,716.0,210.0,100.845,263.0,50.0,370.423,367.0,132.269,1,0,0,0,0
19,2,0,5,201.0,39.0,105.789,99.0,42.0,521.053,102.0,33.0,536.842,224.0,501.599,0,0,0,0,0
28,4,0,5,139.0,53.0,496.429,136.0,53.0,485.714,3.0,6.0,0.107143,367.0,537.605,0,0,0,0,0
12,5,0,4,56.0,27.0,466.667,45.0,27.0,3.75,11.0,10.0,0.916667,334.714,468.112,0,0,0,0,0
16,5,0,4,115.0,55.0,71.875,119.0,55.0,74.375,-4.0,6.0,-0.25,367.0,512.435,0,0,0,0,0
21,2,0,6,246.0,104.0,117.143,229.0,104.0,109.048,17.0,12.0,0.809524,367.0,552.096,0,0,0,0,0
35,6,0,5,386.0,100.0,110.286,214.0,100.0,611.429,172.0,37.0,491.429,227.571,925.426,1,0,0,0,0
73,9,0,7,2135.0,604.0,292.466,2223.0,604.0,304.521,-88.0,22.0,-120.548,367.0,734.238,1,0,1,0,0
33,5,0,4,617.0,331.0,18.697,324.0,129.0,981.818,293.0,202.0,887.879,140.143,484.719,0,0,0,0,0
30,9,0,7,198.0,77.0,6.6,115.0,77.0,383.333,83.0,36.0,276.667,333.143,723.867,0,0,0,0,0
9,5,0,4,12.0,4.0,133.333,11.0,4.0,122.222,1.0,1.0,0.111111,224.857,769.405,0,0,0,0,0
26,5,0,4,153.0,47.0,588.462,139.0,47.0,534.615,14.0,15.0,0.538462,367.0,653.119,0,0,0,0,0
183,30,0,9,2680.0,542.0,146.448,1779.0,542.0,972.131,901.0,84.0,49.235,367.0,108.119,1,0,0,0,0
3,1,0,3,5.0,4.0,166.667,5.0,4.0,166.667,0.0,0.0,0.0,177.143,345.714,0,0,0,0,0
8,4,0,4,155.0,76.0,19.375,19.0,11.0,2.375,136.0,76.0,17.0,223.571,10.482,0,0,0,0,0
11,4,0,3,234.0,205.0,212.727,29.0,9.0,263.636,205.0,205.0,186.364,322.714,695.672,1,0,0,0,0
44,6,0,6,328.0,72.0,745.455,277.0,72.0,629.545,51.0,34.0,115.909,367.0,68.76,0,0,0,0,0
140,26,1,10,7441.0,594.0,53.15,6989.0,594.0,499.214,452.0,111.0,322.857,367.0,556.267,1,0,0,0,0
72,4,0,7,3216.0,448.0,446.667,3112.0,448.0,432.222,104.0,52.0,144.444,367.0,109.796,1,0,0,0,0
35,7,0,6,205.0,78.0,585.714,214.0,78.0,611.429,-9.0,6.0,-0.257143,367.0,635.052,0,0,0,0,0
21,6,0,5,138.0,55.0,657.143,106.0,37.0,504.762,32.0,18.0,152.381,281.143,485.166,0,0,0,0,0
13,4,0,5,85.0,60.0,653.846,85.0,65.0,653.846,0.0,3.0,0.0,270.143,133.121,0,0,0,0,0
7,3,0,1,122.0,35.0,174.286,44.0,17.0,628.571,78.0,30.0,111.429,914.286,179.742,0,0,0,0,0
66,16,0,8,1809.0,310.0,274.091,1676.0,310.0,253.939,133.0,87.0,201.515,367.0,97.146,0,0,0,0,0
6,1,0,1,63.0,33.0,10.5,87.0,32.0,14.5,-24.0,1.0,-4.0,169.571,785.714,0,0,0,0,0
14,4,0,5,59.0,12.0,421.429,70.0,19.0,5.0,-11.0,4.0,-0.785714,322.714,690.678,0,0,0,0,0
53,9,0,7,420.0,133.0,792.453,382.0,133.0,720.755,38.0,19.0,0.716981,367.0,880.983,0,0,0,0,0
24,8,0,6,1029.0,316.0,42.875,448.0,159.0,186.667,581.0,290.0,242.083,220.143,151.756,0,0,0,0,0
45,15,0,7,625.0,230.0,138.889,368.0,230.0,817.778,257.0,104.0,571.111,333.143,71.442,0,0,0,0,0
43,7,0,8,888.0,445.0,206.512,427.0,216.0,993.023,461.0,229.0,107.209,262.0,102.345,0,0,0,0,0
112,26,0,10,5361.0,1562.0,478.661,2652.0,1562.0,236.786,2709.0,746.0,241.875,333.143,72.771,0,0,0,0,0
13,3,0,3,130.0,45.0,10.0,21.0,14.0,161.538,109.0,31.0,838.461,169.857,895.549,1,0,0,0,0
78,8,0,7,1025.0,277.0,13.141,1060.0,277.0,135.897,-35.0,64.0,-0.448718,367.0,655.231,0,0,0,0,0
49,13,0,8,785.0,308.0,160.204,525.0,308.0,107.143,260.0,61.0,530.612,333.143,677.934,1,1,0,0,0
9,3,0,4,149.0,68.0,165.556,13.0,4.0,144.444,136.0,68.0,151.111,220.857,939.981,0,0,0,0,0
18,4,0,4,246.0,75.0,136.667,254.0,75.0,141.111,-8.0,9.0,-0.444444,367.0,538.084,0,0,0,0,0
65,9,0,5,1612.0,232.0,24.8,1119.0,217.0,172.154,493.0,231.0,758.461,178.143,499.435,1,0,1,0,0
31,5,0,4,157.0,48.0,506.452,182.0,48.0,587.097,-25.0,6.0,-0.806452,367.0,793.467,0,0,0,0,0
