McCC,CLOC,LLOC,Number of committers,Number of developer commits,Number of previous fixes,Number of previous modifications,target
1,0,20,0,0,0,4,0
8,0,34,0,0,0,4,0
1,0,19,0,0,0,6,0
2,0,26,0,0,0,3,0
1,0,1,0,0,0,1,0
1,0,20,0,0,0,1,0
9,0,65,0,0,0,2,0
6,0,50,0,0,0,15,1
1,0,6,0,0,0,2,0
1,0,20,0,0,0,3,0
15,0,134,1,4,0,16,0
8,0,117,0,0,0,13,0
21,0,138,0,0,0,2,0
11,0,72,0,0,0,2,0
1,0,1,0,0,0,1,0
3,0,24,0,0,0,2,0
14,0,81,0,0,0,2,0
4,0,51,0,0,0,2,0
8,0,64,1,107,1,17,0
1,0,4,0,0,0,1,0
1,0,4,0,0,0,1,0
1,0,1,0,0,0,1,0
1,0,4,0,0,0,1,0
2,0,22,0,0,0,6,0
1,0,37,1,3,0,5,0
1,0,1,0,0,0,1,0
1,0,20,0,0,0,10,0
4,0,97,2,20,0,15,1
1,0,4,0,0,0,1,0
1,0,39,2,134,0,13,0
3,0,13,0,0,0,4,0
13,0,80,1,5,0,14,0
1,0,19,2,107,0,8,0
4,0,31,1,107,0,4,0
5,0,48,1,20,0,4,0
1,0,5,0,0,0,2,0
1,0,4,0,0,0,2,0
17,0,104,2,134,2,21,1
17,0,99,0,0,0,14,1
7,0,101,0,0,0,9,1
4,0,38,0,0,0,2,0
1,0,9,0,0,0,1,0
2,0,18,0,0,0,2,1
3,0,38,2,107,0,12,0
1,0,9,1,107,0,6,0
2,0,12,0,0,0,1,0
7,0,57,1,134,0,1,1
5,0,31,1,20,0,6,0
1,0,12,0,0,0,2,0
4,0,36,1,134,0,6,0
1,0,15,0,0,0,3,0
4,0,34,1,107,0,8,1
2,0,20,0,0,0,4,0
1,0,15,0,0,0,1,0
3,0,54,0,0,0,1,0
1,0,1,0,0,0,1,0
1,0,35,0,0,0,1,1
1,0,15,0,0,0,1,0
1,0,1,0,0,0,1,0
1,0,9,0,0,0,1,0
1,0,11,0,0,0,1,0
7,0,65,0,0,0,1,0
20,0,108,0,0,0,1,0
1,0,123,0,0,0,1,0
1,0,1,0,0,0,1,0
2,0,51,0,0,0,1,0
1,0,15,0,0,0,1,0
1,0,78,0,0,0,1,0
1,0,1,0,0,0,1,0
2,0,50,0,0,0,1,0
1,0,22,0,0,0,1,0
15,0,138,1,107,1,6,0
1,0,81,0,0,0,1,0
6,0,39,1,107,0,5,0
5,0,42,0,0,0,1,0
1,0,8,0,0,0,1,0
6,0,49,0,0,0,1,0
1,0,5,0,0,0,1,0
1,0,6,0,0,0,1,0
1,0,5,0,0,0,1,0
1,0,6,0,0,0,1,0
1,0,8,0,0,0,1,0
1,0,9,0,0,0,1,0
1,0,10,0,0,0,1,0
1,0,6,0,0,0,1,0
1,0,1,0,0,0,1,0
1,0,9,0,0,0,1,0
1,0,94,1,20,1,6,0
2,0,169,0,0,0,1,0
1,0,43,0,0,0,1,0
1,0,65,0,0,0,1,1
1,0,10,1,20,1,4,0
1,0,21,1,3,0,3,0
1,0,42,0,0,0,2,0
1,0,1,0,0,0,1,0
1,0,40,0,0,0,1,0
2,0,91,0,0,0,1,0
1,0,27,0,0,0,1,0
3,0,50,0,0,0,1,0
3,0,63,0,0,0,1,0
1,0,1,0,0,0,1,0
1,0,28,0,0,0,1,1
1,0,154,3,107,2,55,1
3,0,39,0,0,0,3,0
1,0,1,0,0,0,1,0
1,0,23,0,0,0,1,0
1,0,136,0,0,0,1,0
1,0,1,0,0,0,1,0
27,0,400,3,14,1,26,1
6,0,60,0,0,0,14,0
1,0,11,0,0,0,5,0
2,0,42,1,107,0,2,0
1,0,43,0,0,0,3,0
1,0,78,0,0,0,2,0
1,0,29,0,0,0,2,0
1,0,9,0,0,0,2,0
4,0,152,1,20,0,13,0
1,0,44,0,0,0,8,0
1,0,25,0,0,0,2,0
1,0,35,0,0,0,2,0
1,0,68,0,0,0,5,0
1,0,16,0,0,0,3,0
2,0,76,0,0,0,1,0
1,0,191,0,0,0,4,0
1,0,82,0,0,0,3,0
1,0,66,1,4,0,4,0
1,0,25,0,0,0,3,0
1,0,10,0,0,0,1,0
1,0,100,1,20,0,8,0
1,0,31,0,0,0,1,0
1,0,57,0,0,0,1,0
1,0,52,0,0,0,4,1
1,0,53,0,0,0,7,0
1,0,22,0,0,0,1,0
1,0,51,0,0,0,5,0
1,0,41,1,107,1,3,0
1,0,135,0,0,0,6,0
1,0,119,0,0,0,2,0
1,0,52,0,0,0,3,0
1,0,24,0,0,0,1,0
1,0,11,0,0,0,4,0
1,0,29,0,0,0,3,0
1,0,89,0,0,0,1,1
1,0,206,1,20,0,17,0
1,0,18,0,0,0,1,0
2,0,43,0,0,0,7,0
2,0,247,2,20,0,41,0
1,0,46,0,0,0,12,0
2,0,39,0,0,0,10,0
1,0,43,0,0,0,6,0
1,0,19,0,0,0,5,0
1,0,79,0,0,1,1,0
1,0,78,2,107,0,11,0
1,0,191,0,0,0,5,1
1,0,31,0,0,0,2,0
1,0,226,1,107,0,6,0
1,0,41,1,20,0,4,0
1,0,80,1,134,0,3,0
1,0,59,2,3,0,7,1
1,0,245,1,107,0,10,1
3,0,33,0,0,0,4,0
1,0,103,1,107,0,4,1
1,0,28,0,0,0,3,0
1,0,63,0,0,0,8,0
1,0,48,0,0,0,4,0
1,0,35,0,0,0,2,0
1,0,22,0,0,0,4,0
1,0,178,0,0,0,12,1
6,0,146,1,107,1,3,0
1,0,116,1,134,2,5,0
1,0,67,0,0,0,1,0
1,0,133,1,4,0,6,0
1,0,69,1,134,2,20,1
1,0,37,0,0,0,3,0
1,0,54,0,0,0,1,0
1,0,31,0,0,0,1,0
2,0,22,0,0,0,1,0
1,0,455,0,0,0,8,0
1,0,51,0,0,0,1,0
1,0,26,0,0,0,1,0
2,0,89,0,0,0,6,0
2,0,124,0,0,0,12,0
6,0,142,0,0,0,8,0
1,0,3,0,0,0,1,0
1,0,5,0,0,0,1,0
1,0,4,0,0,0,1,0
8,0,99,1,20,0,6,0
3,0,46,0,0,0,3,0
4,0,44,0,0,0,1,0
1,0,11,0,0,0,2,0
3,0,21,0,0,0,1,0
1,0,6,0,0,0,1,0
4,0,52,1,20,0,11,1
1,0,14,0,0,0,1,0
1,0,158,0,0,0,4,0
1,0,26,0,0,0,3,0
1,0,104,0,0,0,13,1
1,0,41,0,0,0,13,0
1,0,122,0,0,0,10,1
1,0,121,0,0,0,1,1
3,0,68,0,0,0,8,0
