McCC,CLOC,PDA,PUA,LLOC,LOC,ID.1,LongName.1,Parent.1,McCC.1,CLOC.1,LLOC.1,Number of developer commits,Number of previous modifications,Number of previous fixes,Number of committers,target
2,0,1,4,42,72,2218,86,220,2,0,42,8,16,0,8,0
11,0,1,2,58,88,2219,87,220,11,0,58,15,31,1,12,0
8,0,0,5,73,102,2220,88,220,8,0,73,288,13,0,9,0
5,0,0,3,46,72,2221,89,220,5,0,46,15,23,0,9,1
3,0,1,1,15,40,2223,90,220,3,0,15,8,11,0,5,0
3,0,1,3,22,53,2224,91,220,3,0,22,15,28,0,11,0
1,0,1,3,18,45,2225,92,220,1,0,18,8,9,0,5,0
1,0,0,0,1,22,2222,93,220,1,0,1,15,6,0,4,0
1,0,1,1,24,49,87,94,25,1,0,24,288,20,0,6,0
4,0,0,2,82,132,88,95,25,4,0,82,288,29,3,11,0
17,0,4,15,423,583,89,96,25,17,0,423,15,117,24,14,0
21,0,0,8,250,339,90,97,25,21,0,250,51,20,1,6,0
1,0,0,4,56,89,91,98,25,1,0,56,51,12,0,6,0
37,0,0,24,373,482,92,99,25,37,0,373,15,71,6,11,0
1,0,0,4,72,97,93,100,25,1,0,72,288,8,1,4,0
4,0,0,9,120,172,94,101,25,4,0,120,288,10,0,3,0
1,0,0,2,23,28,95,102,25,1,0,23,51,5,3,3,0
2,0,0,8,103,142,96,103,25,2,0,103,51,15,0,8,0
15,0,0,6,125,154,97,104,25,15,0,125,2899,13,0,3,0
5,0,1,16,159,224,2226,105,221,5,0,159,288,29,0,7,0
1,0,0,20,195,272,2227,106,222,1,0,195,288,17,0,6,0
2,0,1,10,167,230,0,107,0,2,0,167,288,11,0,6,0
2,0,1,9,135,193,1,108,0,2,0,135,288,11,0,6,0
1,0,1,2,40,69,677,109,102,1,0,40,15,12,0,8,0
3,0,1,3,50,81,2,110,1,3,0,50,288,34,0,7,0
1,0,0,16,176,232,3,111,2,1,0,176,51,8,0,4,0
2,0,0,7,73,102,4,112,2,2,0,73,51,8,0,4,0
11,0,1,31,526,699,5,113,2,11,0,526,51,13,0,4,0
5,0,0,14,140,189,6,114,2,5,0,140,753,63,3,14,0
3,0,0,5,109,140,7,115,2,3,0,109,288,24,0,8,0
1,0,0,6,24,52,8,116,3,1,0,24,288,3,0,2,0
1,0,0,3,13,20,9,117,3,1,0,13,288,3,0,2,0
1,0,0,4,15,38,10,118,3,1,0,15,288,3,0,2,0
1,0,0,5,22,49,11,119,3,1,0,22,288,3,0,2,0
1,0,1,9,44,81,12,120,3,1,0,44,51,6,0,4,0
1,0,1,9,41,79,13,121,3,1,0,41,51,6,0,4,0
1,0,0,9,38,70,14,122,3,1,0,38,288,3,0,2,0
1,0,0,2,9,11,15,123,3,1,0,9,288,3,0,2,0
1,0,0,2,9,11,16,124,3,1,0,9,51,5,0,4,0
2,0,1,1,12,23,17,125,5,2,0,12,1733,5,2,2,0
3,0,1,10,48,71,18,126,5,3,0,48,1733,5,2,2,0
1,0,1,3,39,68,19,127,6,1,0,39,288,22,0,7,0
9,0,0,7,94,110,20,128,7,9,0,94,2053,3,0,2,0
3,0,1,2,53,86,22,129,7,3,0,53,15,25,0,11,0
2,0,0,4,75,106,21,130,7,2,0,75,1147,23,2,7,0
1,0,0,4,49,76,28,131,9,1,0,49,288,10,0,2,0
1,0,0,4,45,73,29,132,9,1,0,45,288,13,0,5,0
1,0,0,3,39,60,30,133,9,1,0,39,288,10,0,2,0
7,0,0,5,110,133,31,134,10,7,0,110,2053,8,0,2,0
11,0,0,10,154,176,32,135,10,11,0,154,288,23,0,9,0
9,0,1,9,157,200,33,136,10,9,0,157,831,48,0,11,0
1,0,0,5,58,89,34,137,10,1,0,58,288,10,0,4,0
14,0,0,104,927,1156,35,138,12,14,0,927,51,6,0,4,0
5,0,1,5,105,167,36,139,12,5,0,105,8,20,0,7,0
4,0,0,42,485,598,37,140,12,4,0,485,51,5,0,4,0
7,0,0,7,143,182,38,141,12,7,0,143,2899,5,3,3,0
25,0,2,36,705,853,39,142,12,25,0,705,831,98,6,11,0
9,0,0,5,136,166,40,143,12,9,0,136,51,4,0,4,0
10,0,1,12,198,267,41,144,12,10,0,198,288,13,1,4,0
1,0,1,2,11,36,43,145,12,1,0,11,2053,8,1,4,0
6,0,1,3,78,93,44,146,12,6,0,78,288,3,1,3,0
2,0,1,3,78,105,45,147,12,2,0,78,288,10,4,6,0
1,0,0,1,17,39,54,148,13,1,0,17,2053,3,0,2,0
34,0,0,35,493,640,55,149,13,34,0,493,51,24,0,6,0
14,0,0,21,247,323,56,150,13,14,0,247,288,14,0,4,0
6,0,0,8,95,120,58,151,14,6,0,95,51,11,0,4,0
23,0,0,18,273,359,57,152,14,23,0,273,51,16,0,6,0
7,0,0,29,287,350,59,153,14,7,0,287,51,16,2,7,0
13,0,0,34,279,368,60,154,14,13,0,279,51,30,0,8,0
3,0,1,1,22,50,62,155,16,3,0,22,8,14,0,8,0
2,0,1,1,16,42,63,156,16,2,0,16,288,9,0,5,0
1,0,0,8,77,116,65,157,17,1,0,77,288,7,0,2,0
1,0,0,7,75,103,994,158,120,1,0,75,288,13,1,5,0
5,0,0,3,57,76,66,159,18,5,0,57,288,12,0,6,0
11,0,1,3,101,140,67,160,18,11,0,101,288,17,0,8,0
28,0,0,43,447,566,68,161,18,28,0,447,2053,42,2,8,0
63,0,0,46,657,850,71,162,19,63,0,657,15,35,2,10,0
4,0,1,23,192,243,74,163,20,4,0,192,288,42,0,9,0
8,0,0,6,114,137,75,164,20,8,0,114,2053,8,0,3,0
1,0,0,8,124,177,78,165,21,1,0,124,2899,15,2,6,0
7,0,0,7,35,64,79,166,22,7,0,35,51,7,2,5,0
1,0,0,1,5,24,80,167,22,1,0,5,51,7,2,5,0
6,0,0,8,82,101,81,168,23,6,0,82,288,14,0,5,0
11,0,2,7,103,132,82,169,23,11,0,103,51,15,0,6,0
6,0,2,6,79,107,83,170,23,6,0,79,288,15,0,5,0
14,0,2,7,117,149,84,171,23,14,0,117,288,15,0,5,0
17,0,0,15,152,190,85,172,23,17,0,152,288,8,0,4,0
2,0,0,6,58,90,86,173,24,2,0,58,288,37,0,9,0
1,0,1,4,58,89,2065,174,200,1,0,58,1733,32,0,7,0
5,0,1,25,389,523,2066,175,200,5,0,389,1733,54,0,10,0
4,0,0,11,186,250,2067,176,200,4,0,186,288,44,2,8,0
2,0,0,9,123,171,2068,177,200,2,0,123,288,31,0,7,0
1,0,0,11,133,188,2069,178,200,1,0,133,51,43,0,10,0
3,0,0,5,82,118,2070,179,200,3,0,82,288,38,1,7,0
15,0,0,12,193,248,2071,180,200,15,0,193,288,7,0,3,0
4,0,0,4,27,51,98,181,26,4,0,27,2053,24,1,7,0
1,0,0,1,8,27,99,182,27,1,0,8,1733,20,0,8,0
3,0,0,7,63,96,100,183,27,3,0,63,2053,20,1,7,0
5,0,0,3,54,85,101,184,28,5,0,54,2053,19,1,7,0
2,0,0,2,28,50,102,185,28,2,0,28,1733,25,0,9,0
2,0,0,2,17,38,103,186,29,2,0,17,1733,19,1,8,0
44,0,0,3,194,244,104,187,29,44,0,194,1733,52,0,8,1
7,0,0,3,52,78,106,188,31,7,0,52,1733,35,1,7,0
1,0,0,4,193,217,105,189,30,1,0,193,2053,18,0,7,0
4,0,1,10,58,93,173,190,36,4,0,58,2899,12,0,5,0
4,0,0,8,53,93,174,191,36,4,0,53,1733,6,0,5,0
1,0,0,7,33,59,175,192,36,1,0,33,1733,3,0,3,0
1,0,0,9,51,80,176,193,36,1,0,51,1733,3,0,3,0
5,0,0,4,33,58,177,194,36,5,0,33,1733,10,0,5,0
1,0,1,11,18,53,178,195,36,1,0,18,2053,6,0,5,0
11,0,0,4,37,63,179,196,36,11,0,37,753,5,0,3,0
8,0,5,7,93,145,198,197,40,8,0,93,1733,10,0,6,0
1,0,17,0,24,220,199,198,40,1,0,24,1733,3,0,3,0
1,0,1,7,30,63,200,199,40,1,0,30,1733,3,0,3,0
1,0,7,1,41,90,201,200,40,1,0,41,2899,6,0,4,0
1,0,2,6,33,71,202,201,40,1,0,33,1733,3,0,3,0
20,0,1,12,130,173,213,202,42,20,0,130,831,14,0,5,1
4,0,4,0,39,85,218,203,44,4,0,39,1733,14,0,6,0
11,0,0,0,69,95,219,204,44,11,0,69,8,29,1,9,0
4,0,0,3,35,59,220,205,44,4,0,35,1733,6,0,5,0
14,0,0,0,86,113,221,206,44,14,0,86,2899,13,0,6,0
1,0,0,4,9,32,222,207,44,1,0,9,1733,3,0,3,0
2,0,1,3,43,76,230,208,46,2,0,43,1733,9,0,6,0
1,0,1,7,38,69,231,209,46,1,0,38,2053,6,0,5,0
51,0,1,12,223,276,232,210,46,51,0,223,831,20,0,7,1
1,0,1,7,38,69,233,211,46,1,0,38,2053,9,0,6,0
7,0,1,2,49,77,234,212,46,7,0,49,831,12,4,5,1
10,0,1,11,62,104,235,213,46,10,0,62,2053,6,0,5,0
5,0,1,5,43,73,246,214,48,5,0,43,1733,3,0,3,0
2,0,0,0,60,116,247,215,48,2,0,60,1733,3,0,3,0
1,0,3,1,27,61,248,216,48,1,0,27,1733,3,0,3,0
1,0,1,13,50,86,249,217,48,1,0,50,1733,3,0,3,0
1,0,1,17,64,104,250,218,48,1,0,64,1733,3,0,3,0
6,0,1,2,43,68,251,219,48,6,0,43,2053,6,0,5,0
6,0,1,2,43,69,252,220,48,6,0,43,2053,6,0,5,0
1,0,0,2,10,33,253,221,48,1,0,10,1733,3,0,3,1
1,0,1,3,10,35,254,222,48,1,0,10,1733,3,0,3,0
1,0,0,2,12,34,255,223,48,1,0,12,1733,3,0,3,0
7,0,0,0,88,129,274,224,50,7,0,88,2899,2,0,2,0
4,0,1,4,36,65,275,225,50,4,0,36,2899,4,0,2,0
5,0,0,0,89,129,276,226,50,5,0,89,2899,2,0,2,0
4,0,1,4,36,65,277,227,50,4,0,36,2899,4,0,2,0
1,0,0,0,1,22,278,228,50,1,0,1,2899,2,0,2,0
1,0,0,4,96,123,180,229,37,1,0,96,288,48,1,12,0
15,0,0,6,199,246,181,230,37,15,0,199,51,14,4,5,0
2,0,0,3,41,67,182,231,37,2,0,41,288,26,4,6,0
4,0,0,3,78,105,183,232,37,4,0,78,288,34,4,8,0
5,0,0,2,81,108,184,233,37,5,0,81,288,32,0,8,0
1,0,0,15,57,96,288,234,54,1,0,57,1733,3,0,3,0
1,0,0,13,48,82,289,235,54,1,0,48,1733,3,0,3,0
4,0,0,3,57,86,279,236,51,4,0,57,2899,2,0,2,0
4,0,0,2,74,109,280,237,51,4,0,74,2899,2,0,2,0
4,0,0,1,65,101,185,238,38,4,0,65,2899,13,0,6,0
4,0,0,0,54,94,186,239,38,4,0,54,1733,6,0,5,0
1,0,0,0,38,64,187,240,38,1,0,38,575,6,0,4,1
1,0,0,0,53,83,188,241,38,1,0,53,288,11,0,8,0
5,0,0,0,33,58,189,242,38,5,0,33,1733,10,0,5,0
1,0,0,0,18,53,190,243,38,1,0,18,2053,6,0,5,0
11,0,0,0,37,63,191,244,38,11,0,37,753,2,0,2,0
9,0,0,0,95,147,203,245,41,9,0,95,1733,10,0,6,0
1,0,0,0,24,220,204,246,41,1,0,24,575,6,0,4,0
1,0,0,0,30,63,205,247,41,1,0,30,575,6,0,4,0
1,0,0,0,41,90,206,248,41,1,0,41,2899,9,0,5,0
1,0,0,0,33,71,207,249,41,1,0,33,575,6,0,4,0
20,0,0,0,130,173,214,250,43,20,0,130,831,14,0,5,1
4,0,0,0,39,85,223,251,45,4,0,39,1733,17,0,7,0
11,0,0,0,65,91,224,252,45,11,0,65,8,29,1,9,0
4,0,0,0,35,59,225,253,45,4,0,35,1733,6,0,5,0
14,0,0,0,86,113,226,254,45,14,0,86,2899,10,0,5,0
1,0,0,0,9,32,227,255,45,1,0,9,1733,3,0,3,0
2,0,0,0,43,76,236,256,47,2,0,43,1733,9,0,6,0
1,0,0,0,38,70,237,257,47,1,0,38,2053,9,0,6,0
51,0,0,0,223,276,238,258,47,51,0,223,831,25,0,8,1
1,0,0,0,38,69,239,259,47,1,0,38,2053,9,0,6,0
7,0,0,0,49,77,240,260,47,7,0,49,831,15,4,6,1
10,0,0,0,62,104,241,261,47,10,0,62,2053,9,0,6,0
5,0,0,0,43,73,256,262,49,5,0,43,575,6,0,4,0
2,0,0,0,59,116,257,263,49,2,0,59,1733,3,0,3,0
1,0,0,0,27,52,258,264,49,1,0,27,575,6,0,4,0
1,0,0,0,50,86,259,265,49,1,0,50,575,6,0,4,0
1,0,0,0,64,104,260,266,49,1,0,64,575,6,0,4,0
6,0,0,0,43,68,261,267,49,6,0,43,2053,9,0,6,0
6,0,0,0,43,69,262,268,49,6,0,43,2053,9,0,6,0
6,0,1,2,42,67,263,269,49,6,0,42,2053,9,0,6,0
1,0,0,0,10,33,264,270,49,1,0,10,575,6,0,4,1
1,0,0,0,10,35,265,271,49,1,0,10,575,6,0,4,0
1,0,0,0,12,34,266,272,49,1,0,12,575,6,0,4,0
1,0,0,22,76,117,267,273,49,1,0,76,575,6,0,4,0
7,0,0,0,88,129,281,274,52,7,0,88,2899,2,0,2,0
4,0,1,4,36,65,282,275,52,4,0,36,2899,4,0,2,1
5,0,0,0,88,128,283,276,52,5,0,88,2899,2,0,2,1
4,0,1,4,36,65,284,277,52,4,0,36,2899,4,0,2,0
1,0,0,0,1,22,285,278,52,1,0,1,2899,2,0,2,0
1,0,0,0,96,123,192,279,39,1,0,96,288,39,1,11,0
15,0,0,0,196,243,194,280,39,15,0,196,831,8,4,3,0
2,0,0,0,41,67,195,281,39,2,0,41,288,19,4,6,0
4,0,0,0,69,95,196,282,39,4,0,69,288,27,4,7,0
5,0,0,0,80,107,197,283,39,5,0,80,288,26,0,7,0
1,0,0,0,57,96,290,284,55,1,0,57,1733,2,0,2,0
1,0,0,0,48,82,291,285,55,1,0,48,1733,2,0,2,0
4,0,0,1,57,86,286,286,53,4,0,57,2899,2,0,2,0
4,0,0,1,74,109,287,287,53,4,0,74,2899,2,0,2,0
6,0,7,5,78,153,295,288,57,6,0,78,15,15,0,7,0
1,0,0,0,32,94,296,289,57,1,0,32,15,15,0,7,0
1,0,16,0,36,127,297,290,57,1,0,36,15,15,0,7,1
1,0,3,0,8,39,298,291,57,1,0,8,51,8,0,5,0
6,0,12,11,126,226,299,292,57,6,0,126,15,15,0,7,1
1,0,1,0,3,27,300,293,57,1,0,3,15,15,0,7,0
4,0,3,5,71,140,301,294,57,4,0,71,15,15,0,7,0
1,0,0,0,4,26,302,295,57,1,0,4,51,8,0,5,0
4,0,3,0,30,91,303,296,57,4,0,30,15,15,0,7,0
19,0,11,4,147,265,304,297,57,19,0,147,15,15,0,7,0
10,0,0,14,131,193,305,298,57,10,0,131,15,15,0,7,0
1,0,0,0,20,60,306,299,57,1,0,20,15,15,0,7,0
9,0,8,3,93,187,308,300,57,9,0,93,15,15,0,7,1
9,0,2,10,97,141,309,301,57,9,0,97,15,19,0,7,1
1,0,0,0,1,20,307,302,57,1,0,1,15,7,0,4,0
1,0,2,0,31,75,310,303,58,1,0,31,51,8,0,5,0
1,0,0,2,8,27,311,304,58,1,0,8,51,8,0,5,0
8,0,1,3,130,191,312,305,58,8,0,130,51,12,0,5,0
48,0,1,1,261,308,314,306,59,48,0,261,1733,26,1,8,0
25,0,0,1,131,170,315,307,59,25,0,131,15,56,1,13,1
137,0,0,1,694,779,316,308,59,137,0,694,1147,117,8,14,0
3,0,0,1,39,65,317,309,59,3,0,39,1118,16,0,6,0
2,0,0,2,18,38,318,310,59,2,0,18,2899,35,0,9,0
4,0,0,2,54,83,319,311,59,4,0,54,831,15,0,6,0
10,0,1,8,74,110,334,312,61,10,0,74,1733,33,0,11,1
5,0,1,6,47,77,335,313,61,5,0,47,2053,18,0,7,0
1,0,1,0,9,36,339,314,63,1,0,9,2053,22,0,7,0
6,0,1,3,42,69,340,315,63,6,0,42,2053,37,1,8,0
7,0,0,1,38,59,352,316,65,7,0,38,1733,17,0,6,0
2,0,3,7,39,72,354,317,67,2,0,39,1118,13,0,6,0
1,0,0,3,6,24,355,318,68,1,0,6,1118,14,0,6,0
10,0,0,12,101,134,356,319,68,10,0,101,1733,20,0,8,0
14,0,0,6,56,84,357,320,68,14,0,56,1118,14,0,6,0
1,0,0,4,13,33,358,321,68,1,0,13,1118,14,0,6,0
1,0,2,0,15,47,320,322,60,1,0,15,2053,20,0,7,0
1,0,0,5,13,40,321,323,60,1,0,13,2899,16,0,6,0
1,0,0,3,9,29,322,324,60,1,0,9,1118,12,0,6,0
1,0,0,4,14,38,323,325,60,1,0,14,2053,19,0,8,0
1,0,1,1,8,31,324,326,60,1,0,8,2053,18,0,7,0
1,0,1,1,8,30,325,327,60,1,0,8,831,12,1,4,0
1,0,0,3,11,32,327,328,60,1,0,11,2899,8,0,4,0
1,0,1,3,14,39,326,329,60,1,0,14,1733,13,1,5,0
1,0,0,8,24,57,328,330,60,1,0,24,2899,11,0,4,0
1,0,0,2,9,30,329,331,60,1,0,9,575,9,0,4,0
1,0,0,5,15,39,330,332,60,1,0,15,753,20,0,7,0
1,0,0,3,44,73,331,333,60,1,0,44,288,47,0,8,0
1,0,0,4,159,220,332,334,60,1,0,159,15,83,5,14,0
11,0,1,18,373,450,333,335,60,11,0,373,2899,137,5,13,0
1,0,1,9,39,76,336,336,62,1,0,39,2053,12,0,6,1
1,0,1,4,12,38,337,337,62,1,0,12,1733,14,0,6,0
5,0,0,10,84,122,338,338,62,5,0,84,288,34,0,8,0
2,0,1,4,24,52,341,339,64,2,0,24,575,10,0,4,0
1,0,1,0,13,40,342,340,64,1,0,13,2053,11,0,6,0
1,0,0,2,14,18,343,341,64,1,0,14,2053,5,3,3,0
2,0,1,2,22,33,344,342,64,2,0,22,831,9,0,3,0
1,0,1,2,24,56,345,343,64,1,0,24,288,18,0,10,0
9,0,1,8,60,100,346,344,64,9,0,60,288,22,0,9,0
1,0,1,1,9,34,347,345,64,1,0,9,575,8,0,4,0
1,0,1,1,11,36,348,346,64,1,0,11,575,8,0,4,0
11,0,1,7,48,85,349,347,64,11,0,48,2053,13,0,6,0
1,0,1,2,30,50,350,348,64,1,0,30,2053,8,3,3,0
3,0,1,7,124,167,351,349,64,3,0,124,288,76,0,10,0
1,0,0,4,55,85,353,350,66,1,0,55,288,34,0,9,0
1,0,0,4,14,37,359,351,69,1,0,14,1118,3,0,2,0
1,0,0,4,17,40,360,352,69,1,0,17,1118,3,0,2,0
5,0,0,9,117,150,361,353,69,5,0,117,288,28,0,8,0
1,0,1,1,9,31,362,354,70,1,0,9,831,5,4,2,0
1,0,1,1,9,31,363,355,70,1,0,9,831,5,4,2,0
1,0,1,0,3,9,364,356,70,1,0,3,831,5,4,2,0
1,0,1,0,3,9,365,357,70,1,0,3,831,5,4,2,0
1,0,1,4,21,32,366,358,70,1,0,21,831,5,4,2,0
16,0,0,0,104,140,369,359,72,16,0,104,15,60,0,15,1
3,0,1,5,35,61,370,360,72,3,0,35,15,14,0,8,0
2,0,1,7,40,68,372,361,72,2,0,40,15,13,0,8,1
1,0,0,3,10,30,373,362,72,1,0,10,1118,2,0,2,1
2,0,0,3,25,32,374,363,72,2,0,25,15,16,0,8,1
100,0,0,6,625,730,375,364,72,100,0,625,15,123,4,19,1
1,0,0,0,1,21,371,365,72,1,0,1,15,8,0,6,1
6,0,0,3,115,154,376,366,73,6,0,115,2053,6,0,3,0
8,0,0,1,35,61,377,367,73,8,0,35,2899,2,0,2,0
1,0,0,1,15,35,378,368,73,1,0,15,1118,2,0,2,1
1,0,0,9,117,178,379,369,73,1,0,117,288,20,3,6,0
1,0,0,9,49,78,380,370,74,1,0,49,15,14,0,6,0
1,0,0,1,7,26,381,371,74,1,0,7,2899,1,0,1,0
1,0,0,2,5,24,382,372,74,1,0,5,2899,1,0,1,0
3,0,0,5,23,47,383,373,74,3,0,23,1733,12,0,6,0
1,0,0,4,12,33,384,374,74,1,0,12,2053,5,0,2,0
1,0,0,7,13,39,386,375,74,1,0,13,753,7,0,3,0
1,0,0,3,54,78,387,376,74,1,0,54,2053,13,0,8,0
1,0,0,3,5,25,388,377,74,1,0,5,2899,1,0,1,0
1,0,1,30,35,89,389,378,74,1,0,35,288,17,0,7,0
18,0,0,33,342,404,390,379,74,18,0,342,15,53,0,11,0
1,0,0,1,7,26,391,380,74,1,0,7,2053,5,0,2,0
4,0,0,9,47,75,394,381,76,4,0,47,15,15,0,5,0
4,0,0,2,24,44,395,382,76,4,0,24,2899,1,0,1,0
6,0,0,4,42,67,396,383,76,6,0,42,15,19,0,8,0
1,0,0,3,11,32,397,384,76,1,0,11,2899,1,0,1,0
6,0,0,6,50,76,398,385,76,6,0,50,15,20,0,8,0
1,0,0,4,14,36,399,386,76,1,0,14,2053,5,0,2,0
8,0,0,8,49,76,400,387,76,8,0,49,15,15,0,5,0
3,0,0,2,22,43,401,388,76,3,0,22,2053,5,0,2,0
9,0,0,4,58,83,402,389,76,9,0,58,15,27,0,10,0
3,0,1,7,36,69,403,390,76,3,0,36,15,16,0,8,0
4,0,1,2,32,60,404,391,76,4,0,32,15,12,0,7,0
19,0,1,3,88,119,405,392,76,19,0,88,15,24,0,10,0
6,0,1,2,32,62,406,393,76,6,0,32,15,16,0,8,0
9,0,0,12,102,137,407,394,76,9,0,102,15,25,0,11,0
1,0,0,3,13,33,409,395,76,1,0,13,15,13,0,5,0
9,0,0,11,90,124,410,396,76,9,0,90,15,11,0,4,0
6,0,0,3,45,67,411,397,76,6,0,45,1733,4,0,4,0
26,0,1,3,138,184,412,398,76,26,0,138,15,26,0,10,0
3,0,0,6,27,52,413,399,76,3,0,27,15,15,0,5,0
