McCC,CLOC,PDA,PUA,LLOC,LOC,ID.1,LongName.1,Parent.1,McCC.1,CLOC.1,LLOC.1,Number of committers,Number of developer commits,Number of previous fixes,Number of previous modifications,target
2,0,5,0,23,95,76,30,13,2,0,23,0,0,0,12,0
1,0,1,0,9,40,77,31,13,1,0,9,0,0,0,2,0
1,0,1,0,9,36,78,32,13,1,0,9,0,0,0,1,0
1,0,1,0,9,61,79,33,13,1,0,9,2,134,0,21,0
13,0,5,0,81,138,80,34,13,13,0,81,0,0,0,2,0
1,0,1,0,10,40,81,35,13,1,0,10,0,0,0,1,0
1,0,1,0,9,47,83,36,13,1,0,9,1,107,0,11,0
1,0,2,0,16,69,84,37,13,1,0,16,0,0,0,1,0
6,0,0,5,65,79,100,38,15,6,0,65,0,0,0,17,0
23,0,2,9,117,192,101,39,16,23,0,117,2,107,0,24,0
1,0,1,0,7,43,102,40,16,1,0,7,2,107,0,11,0
1,0,2,0,7,16,103,41,17,1,0,7,0,0,0,3,0
12,0,8,0,100,171,104,42,17,12,0,100,0,0,0,39,0
8,0,4,0,118,167,105,43,17,8,0,118,1,4,0,27,0
3,0,0,0,23,31,106,44,18,3,0,23,0,0,0,3,0
1,0,5,1,33,63,107,45,18,1,0,33,0,0,0,8,0
2,0,5,0,41,71,108,46,18,2,0,41,0,0,0,10,0
1,0,2,0,8,32,109,47,19,1,0,8,0,0,0,2,0
1,0,0,1,6,10,110,48,20,1,0,6,0,0,0,1,1
1,0,0,1,6,10,111,49,20,1,0,6,0,0,0,1,1
9,0,0,10,71,90,112,50,20,9,0,71,0,0,0,2,0
1,0,0,2,5,9,114,51,20,1,0,5,0,0,0,1,1
1,0,0,1,7,13,113,52,20,1,0,7,0,0,0,1,0
1,0,0,5,25,32,115,53,20,1,0,25,0,0,0,6,1
14,0,0,6,165,200,116,54,20,14,0,165,1,20,0,33,1
1,0,0,1,7,12,117,55,20,1,0,7,0,0,0,1,0
17,0,2,1,99,126,118,56,21,17,0,99,0,0,0,14,1
7,0,2,11,101,133,119,57,21,7,0,101,0,0,0,9,1
4,0,0,5,38,49,120,58,21,4,0,38,0,0,0,2,0
1,0,0,1,9,14,121,59,22,1,0,9,0,0,0,1,0
2,0,0,2,18,24,122,60,22,2,0,18,0,0,0,2,1
3,0,3,2,36,60,123,61,23,3,0,36,0,0,0,2,0
3,0,0,5,32,40,124,62,23,3,0,32,0,0,0,1,0
12,0,2,0,47,77,125,63,23,12,0,47,1,20,0,9,0
1,0,0,1,8,11,126,64,23,1,0,8,0,0,0,4,0
2,0,0,2,15,19,127,65,23,2,0,15,2,14,1,8,1
1,0,0,3,6,9,128,66,23,1,0,6,0,0,0,1,0
1,0,0,3,10,16,129,67,23,1,0,10,0,0,0,1,0
6,0,0,7,73,99,130,68,23,6,0,73,0,0,0,7,0
4,0,0,3,43,57,131,69,24,4,0,43,0,0,0,4,0
4,0,0,4,36,45,132,70,24,4,0,36,0,0,0,3,0
2,0,0,2,12,17,133,71,24,2,0,12,0,0,0,2,0
1,0,0,4,18,26,134,72,24,1,0,18,0,0,0,1,0
2,0,0,2,15,21,135,73,24,2,0,15,0,0,0,2,0
1,0,0,2,10,15,136,74,24,1,0,10,0,0,0,4,0
1,0,0,2,9,14,137,75,24,1,0,9,0,0,0,2,0
3,0,0,3,20,26,138,76,24,3,0,20,0,0,0,2,0
1,0,0,6,26,34,139,77,25,1,0,26,0,0,0,4,0
1,0,0,2,20,25,140,78,25,1,0,20,0,0,0,4,0
5,0,1,7,54,68,141,79,25,5,0,54,0,0,0,6,0
1,0,1,2,20,31,142,80,25,1,0,20,0,0,0,4,0
1,0,0,3,20,28,143,81,25,1,0,20,0,0,0,4,0
8,0,3,0,34,61,144,82,25,8,0,34,0,0,0,4,0
1,0,0,4,19,26,145,83,26,1,0,19,0,0,0,6,0
2,0,2,1,26,42,146,84,26,2,0,26,0,0,0,3,0
1,0,0,3,20,26,148,85,26,1,0,20,0,0,0,1,0
1,0,0,0,1,6,147,86,26,1,0,1,0,0,0,1,0
9,0,1,2,65,79,149,87,27,9,0,65,0,0,0,2,0
6,0,0,4,50,60,150,88,27,6,0,50,0,0,0,15,1
1,0,0,0,6,14,151,89,27,1,0,6,0,0,0,2,0
1,0,0,5,20,31,152,90,27,1,0,20,0,0,0,3,0
15,0,0,8,134,159,153,91,27,15,0,134,1,4,0,16,0
8,0,1,5,117,145,154,92,27,8,0,117,0,0,0,13,0
21,0,1,4,138,158,155,93,27,21,0,138,0,0,0,2,0
11,0,1,6,72,92,156,94,27,11,0,72,0,0,0,2,0
3,0,1,2,24,41,158,95,27,3,0,24,0,0,0,2,0
14,0,1,6,81,103,159,96,27,14,0,81,0,0,0,2,0
4,0,1,4,51,70,160,97,27,4,0,51,0,0,0,2,0
3,0,0,7,38,51,161,98,28,3,0,38,2,107,0,12,0
1,0,0,2,9,13,162,99,28,1,0,9,1,107,0,6,0
2,0,1,1,12,22,163,100,28,2,0,12,0,0,0,1,0
1,0,0,0,1,6,157,101,27,1,0,1,0,0,0,1,0
7,0,2,0,57,93,164,102,29,7,0,57,1,134,0,1,1
5,0,0,3,31,38,165,103,30,5,0,31,1,20,0,6,0
1,0,0,3,12,18,166,104,30,1,0,12,0,0,0,2,0
4,0,0,3,36,46,167,105,30,4,0,36,1,134,0,6,0
1,0,0,3,15,22,168,106,30,1,0,15,0,0,0,3,0
4,0,0,3,34,44,169,107,30,4,0,34,1,107,0,8,1
2,0,0,3,20,30,170,108,30,2,0,20,0,0,0,4,0
1,0,9,0,32,84,171,109,31,1,0,32,0,0,0,24,0
1,0,0,0,1,9,172,110,31,1,0,1,1,20,0,3,0
1,0,0,0,1,8,82,111,13,1,0,1,0,0,0,1,0
2,0,4,0,33,76,173,112,32,2,0,33,1,107,0,3,0
5,0,6,1,70,137,174,113,32,5,0,70,1,107,0,11,1
1,0,1,1,25,69,175,114,32,1,0,25,2,107,0,16,0
1,0,2,0,8,40,176,115,32,1,0,8,0,0,0,2,0
2,0,1,2,19,28,177,116,32,2,0,19,1,107,0,1,0
3,0,6,0,43,91,178,117,32,3,0,43,2,3,0,5,1
1,0,2,0,12,40,179,118,32,1,0,12,1,107,0,4,0
1,0,2,0,6,55,180,119,32,1,0,6,1,107,0,12,0
2,0,1,1,30,92,181,120,32,2,0,30,1,107,0,7,1
2,0,5,1,32,98,182,121,32,2,0,32,0,0,0,3,1
1,0,2,1,13,49,183,122,32,1,0,13,1,107,0,7,0
1,0,1,1,16,46,184,123,32,1,0,16,1,107,0,7,0
1,0,3,0,21,41,185,124,33,1,0,21,0,0,0,8,0
1,0,2,0,4,12,186,125,33,1,0,4,0,0,0,3,0
11,0,18,3,113,240,187,126,33,11,0,113,1,3,0,23,1
5,0,15,0,87,187,188,127,33,5,0,87,0,0,0,18,0
2,0,12,0,56,162,190,128,33,2,0,56,0,0,0,24,0
1,0,8,0,61,105,191,129,33,1,0,61,4,3,0,18,1
1,0,1,0,12,35,193,130,33,1,0,12,0,0,0,4,0
1,0,4,0,9,40,192,131,33,1,0,9,0,0,0,7,0
8,0,6,0,64,115,194,132,34,8,0,64,1,107,1,17,0
1,0,2,0,4,17,195,133,34,1,0,4,0,0,0,1,0
1,0,1,0,4,9,196,134,34,1,0,4,0,0,0,1,0
1,0,2,0,4,18,198,135,34,1,0,4,0,0,0,1,0
2,0,3,1,22,47,199,136,34,2,0,22,0,0,0,6,0
1,0,0,0,1,7,197,137,34,1,0,1,0,0,0,1,0
1,0,7,1,37,78,200,138,35,1,0,37,1,3,0,5,0
1,0,8,0,20,94,202,139,35,1,0,20,0,0,0,10,0
4,0,12,0,97,166,203,140,35,4,0,97,2,20,0,15,1
1,0,1,0,4,12,204,141,35,1,0,4,0,0,0,1,0
1,0,0,0,1,6,201,142,35,1,0,1,0,0,0,1,0
1,0,0,0,1,6,189,143,33,1,0,1,0,0,0,1,0
1,0,2,0,7,25,205,144,36,1,0,7,0,0,0,2,0
17,0,2,0,199,399,206,145,36,17,0,199,5,134,1,82,1
1,0,2,0,7,23,207,146,36,1,0,7,0,0,0,1,0
6,0,3,0,94,162,209,147,36,6,0,94,3,2,2,40,1
19,0,5,2,204,371,210,148,36,19,0,204,3,134,4,57,1
3,0,6,0,63,131,211,149,36,3,0,63,1,4,0,50,0
1,0,4,5,39,66,212,150,37,1,0,39,2,134,0,13,0
3,0,0,0,13,21,213,151,37,3,0,13,0,0,0,4,0
13,0,10,3,80,145,214,152,37,13,0,80,1,5,0,14,0
1,0,4,1,19,40,215,153,37,1,0,19,2,107,0,8,0
4,0,2,3,31,61,216,154,37,4,0,31,1,107,0,4,0
5,0,4,1,48,105,217,155,37,5,0,48,1,20,0,4,0
1,0,3,0,5,22,218,156,37,1,0,5,0,0,0,2,0
1,0,2,0,4,16,219,157,37,1,0,4,0,0,0,2,0
17,0,8,1,104,154,220,158,37,17,0,104,2,134,2,21,1
1,0,0,0,1,8,208,159,36,1,0,1,0,0,0,3,0
1,0,1,2,15,22,27,160,7,1,0,15,0,0,0,1,0
3,0,1,7,54,63,28,161,7,3,0,54,0,0,0,1,0
1,0,1,5,35,66,30,162,7,1,0,35,0,0,0,1,1
1,0,9,0,11,45,31,163,8,1,0,11,0,0,0,1,0
7,0,3,12,65,78,32,164,8,7,0,65,0,0,0,1,0
20,0,1,12,108,124,33,165,8,20,0,108,0,0,0,1,0
1,0,0,24,123,143,34,166,8,1,0,123,0,0,0,1,0
1,0,0,0,1,4,35,167,8,1,0,1,0,0,0,1,0
1,0,0,0,1,4,29,168,7,1,0,1,0,0,0,1,0
1,0,1,2,15,23,36,169,9,1,0,15,0,0,0,1,0
1,0,1,0,9,15,38,170,9,1,0,9,0,0,0,1,0
2,0,1,6,51,64,39,171,10,2,0,51,0,0,0,1,0
1,0,1,2,15,23,40,172,10,1,0,15,0,0,0,1,0
1,0,1,4,78,98,41,173,10,1,0,78,0,0,0,1,0
2,0,1,7,50,63,43,174,10,2,0,50,0,0,0,1,0
1,0,0,0,1,4,42,175,10,1,0,1,0,0,0,1,0
1,0,1,2,22,31,44,176,11,1,0,22,0,0,0,1,0
15,0,1,16,138,171,45,177,11,15,0,138,1,107,1,6,0
1,0,0,20,81,103,46,178,11,1,0,81,0,0,0,1,0
6,0,2,3,39,48,47,179,11,6,0,39,1,107,0,5,0
5,0,1,7,42,56,48,180,11,5,0,42,0,0,0,1,0
1,0,1,1,8,14,49,181,11,1,0,8,0,0,0,1,0
6,0,1,8,49,64,50,182,11,6,0,49,0,0,0,1,0
1,0,1,1,5,9,51,183,11,1,0,5,0,0,0,1,0
1,0,0,2,6,10,52,184,11,1,0,6,0,0,0,1,0
1,0,1,1,5,10,53,185,11,1,0,5,0,0,0,1,0
1,0,0,2,6,11,54,186,11,1,0,6,0,0,0,1,0
1,0,0,2,8,13,55,187,11,1,0,8,0,0,0,1,0
1,0,0,3,9,14,56,188,11,1,0,9,0,0,0,1,0
1,0,0,4,10,15,57,189,11,1,0,10,0,0,0,1,0
1,0,1,1,6,10,58,190,11,1,0,6,0,0,0,1,0
1,0,1,2,9,17,60,191,11,1,0,9,0,0,0,1,0
1,0,1,13,94,105,61,192,11,1,0,94,1,20,1,6,0
2,0,1,14,169,190,62,193,11,2,0,169,0,0,0,1,0
1,0,1,6,43,55,63,194,11,1,0,43,0,0,0,1,0
1,0,0,8,65,72,64,195,11,1,0,65,0,0,0,1,1
1,0,0,4,10,15,65,196,11,1,0,10,1,20,1,4,0
1,0,0,0,1,4,59,197,11,1,0,1,0,0,0,1,0
1,0,0,0,1,4,37,198,9,1,0,1,0,0,0,1,0
1,0,1,2,21,30,66,199,12,1,0,21,1,3,0,3,0
1,0,0,11,42,54,67,200,12,1,0,42,0,0,0,2,0
1,0,0,2,40,46,69,201,12,1,0,40,0,0,0,1,0
2,0,0,8,91,110,70,202,12,2,0,91,0,0,0,1,0
1,0,1,4,27,39,71,203,12,1,0,27,0,0,0,1,0
3,0,0,5,50,61,72,204,12,3,0,50,0,0,0,1,0
1,0,0,0,1,4,68,205,12,1,0,1,0,0,0,1,0
3,0,1,10,63,77,221,206,38,3,0,63,0,0,0,1,0
1,0,1,4,28,39,223,207,38,1,0,28,0,0,0,1,1
1,0,0,26,136,158,224,208,39,1,0,136,0,0,0,1,0
1,0,0,0,1,7,225,209,39,1,0,1,0,0,0,1,0
1,0,0,0,1,6,222,210,38,1,0,1,0,0,0,1,0
1,0,1,1,154,160,226,211,40,1,0,154,3,107,2,55,1
3,0,0,3,39,47,227,212,40,3,0,39,0,0,0,3,0
1,0,0,5,23,32,229,213,40,1,0,23,0,0,0,1,0
27,0,2,64,400,487,230,214,41,27,0,400,3,14,1,26,1
6,0,0,8,60,72,231,215,41,6,0,60,0,0,0,14,0
1,0,0,2,11,14,232,216,41,1,0,11,0,0,0,5,0
2,0,1,3,42,61,233,217,41,2,0,42,1,107,0,2,0
1,0,1,9,43,55,234,218,42,1,0,43,0,0,0,3,0
1,0,0,15,78,97,235,219,43,1,0,78,0,0,0,2,0
1,0,0,3,29,36,236,220,43,1,0,29,0,0,0,2,0
1,0,0,2,9,11,237,221,43,1,0,9,0,0,0,2,0
4,0,0,29,152,178,238,222,44,4,0,152,1,20,0,13,0
1,0,0,5,44,53,239,223,44,1,0,44,0,0,0,8,0
1,0,0,1,25,29,240,224,44,1,0,25,0,0,0,2,0
1,0,0,2,35,44,241,225,44,1,0,35,0,0,0,2,0
1,0,0,18,89,107,242,226,45,1,0,89,0,0,0,1,1
1,0,0,52,206,255,243,227,45,1,0,206,1,20,0,17,0
1,0,0,4,18,25,244,228,46,1,0,18,0,0,0,1,0
2,0,0,10,43,54,245,229,46,2,0,43,0,0,0,7,0
2,0,1,30,247,294,246,230,46,2,0,247,2,20,0,41,0
1,0,0,7,46,55,247,231,47,1,0,46,0,0,0,12,0
2,0,0,5,39,45,248,232,47,2,0,39,0,0,0,10,0
1,0,0,3,43,52,249,233,48,1,0,43,0,0,0,6,0
1,0,0,3,19,22,250,234,48,1,0,19,0,0,0,5,0
1,0,0,12,79,94,251,235,49,1,0,79,0,0,1,1,0
1,0,1,13,78,102,252,236,49,1,0,78,2,107,0,11,0
1,0,0,36,191,233,253,237,49,1,0,191,0,0,0,5,1
1,0,0,4,31,38,254,238,49,1,0,31,0,0,0,2,0
1,0,0,37,226,276,255,239,49,1,0,226,1,107,0,6,0
1,0,0,8,41,51,256,240,49,1,0,41,1,20,0,4,0
1,0,0,11,80,97,257,241,49,1,0,80,1,134,0,3,0
1,0,0,9,59,72,258,242,49,1,0,59,2,3,0,7,1
1,0,0,43,245,302,259,243,49,1,0,245,1,107,0,10,1
3,0,0,5,33,40,260,244,49,3,0,33,0,0,0,4,0
1,0,0,19,103,125,261,245,49,1,0,103,1,107,0,4,1
1,0,0,4,28,35,262,246,50,1,0,28,0,0,0,3,0
1,0,0,5,48,58,264,247,50,1,0,48,0,0,0,4,0
1,0,0,6,63,76,263,248,50,1,0,63,0,0,0,8,0
1,0,0,2,4,8,265,249,51,1,0,4,0,0,0,1,0
8,0,0,8,99,122,266,250,51,8,0,99,1,20,0,6,0
3,0,0,3,46,58,267,251,51,3,0,46,0,0,0,3,0
4,0,0,7,44,55,268,252,51,4,0,44,0,0,0,1,0
1,0,0,3,11,16,269,253,51,1,0,11,0,0,0,2,0
3,0,0,4,21,27,270,254,51,3,0,21,0,0,0,1,0
1,0,0,1,6,9,271,255,51,1,0,6,0,0,0,1,0
4,0,0,5,52,66,272,256,51,4,0,52,1,20,0,11,1
1,0,0,2,14,17,273,257,51,1,0,14,0,0,0,1,0
1,0,0,31,158,204,274,258,52,1,0,158,0,0,0,4,0
1,0,1,3,26,38,275,259,52,1,0,26,0,0,0,3,0
1,0,0,17,104,127,276,260,52,1,0,104,0,0,0,13,1
1,0,0,4,41,50,277,261,52,1,0,41,0,0,0,13,0
1,0,0,22,122,153,278,262,52,1,0,122,0,0,0,10,1
1,0,0,23,121,146,279,263,52,1,0,121,0,0,0,1,1
3,0,0,13,68,80,280,264,52,3,0,68,0,0,0,8,0
1,0,0,16,68,82,281,265,53,1,0,68,0,0,0,5,0
1,0,0,3,16,20,282,266,53,1,0,16,0,0,0,3,0
2,0,0,5,76,90,283,267,53,2,0,76,0,0,0,1,0
1,0,0,44,191,223,284,268,53,1,0,191,0,0,0,4,0
1,0,0,12,82,101,285,269,53,1,0,82,0,0,0,3,0
1,0,0,12,66,80,286,270,53,1,0,66,1,4,0,4,0
1,0,0,2,25,28,287,271,53,1,0,25,0,0,0,3,0
1,0,0,2,10,12,288,272,53,1,0,10,0,0,0,1,0
1,0,1,22,100,124,289,273,53,1,0,100,1,20,0,8,0
1,0,0,4,31,34,290,274,54,1,0,31,0,0,0,1,0
1,0,0,12,57,70,291,275,54,1,0,57,0,0,0,1,0
1,0,0,6,52,64,292,276,54,1,0,52,0,0,0,4,1
1,0,0,11,53,66,293,277,54,1,0,53,0,0,0,7,0
1,0,0,6,22,29,294,278,54,1,0,22,0,0,0,1,0
1,0,0,8,41,50,296,279,55,1,0,41,1,107,1,3,0
1,0,0,9,51,63,295,280,55,1,0,51,0,0,0,5,0
1,0,0,33,135,168,297,281,55,1,0,135,0,0,0,6,0
1,0,0,37,119,150,298,282,55,1,0,119,0,0,0,2,0
1,0,0,0,1,8,228,283,40,1,0,1,0,0,0,1,0
1,0,0,12,35,41,299,284,56,1,0,35,0,0,0,2,0
1,0,0,5,22,27,300,285,56,1,0,22,0,0,0,4,0
1,0,0,35,178,217,301,286,56,1,0,178,0,0,0,12,1
6,0,0,12,146,171,302,287,56,6,0,146,1,107,1,3,0
1,0,0,12,116,140,303,288,56,1,0,116,1,134,2,5,0
1,0,0,15,67,86,304,289,56,1,0,67,0,0,0,1,0
1,0,1,30,133,168,305,290,56,1,0,133,1,4,0,6,0
1,0,0,19,69,87,306,291,56,1,0,69,1,134,2,20,1
1,0,0,9,37,45,307,292,56,1,0,37,0,0,0,3,0
1,0,0,11,54,68,0,293,0,1,0,54,0,0,0,1,0
1,0,0,8,31,40,1,294,0,1,0,31,0,0,0,1,0
2,0,1,3,22,31,2,295,0,2,0,22,0,0,0,1,0
1,0,0,130,455,521,3,296,1,1,0,455,0,0,0,8,0
1,0,0,13,51,59,4,297,1,1,0,51,0,0,0,1,0
1,0,0,8,26,32,5,298,1,1,0,26,0,0,0,1,0
2,0,0,31,89,103,6,299,1,2,0,89,0,0,0,6,0
2,0,0,47,124,148,7,300,1,2,0,124,0,0,0,12,0
6,0,0,25,142,171,8,301,1,6,0,142,0,0,0,8,0
1,0,0,10,52,69,9,302,2,1,0,52,0,0,0,3,0
1,0,0,5,24,29,10,303,2,1,0,24,0,0,0,1,0
1,0,0,2,11,14,11,304,2,1,0,11,0,0,0,4,0
1,0,0,7,29,35,12,305,2,1,0,29,0,0,0,3,0
1,0,0,1,3,6,13,306,3,1,0,3,0,0,0,1,0
1,0,0,0,5,8,14,307,3,1,0,5,0,0,0,1,0
