McCC,CLOC,LLOC,Number of committers,Number of developer commits,Number of previous modifications,Number of previous fixes,target
6,0,245,0,0,1,0,0
1,0,60,0,0,1,0,0
11,0,74,0,0,1,0,0
1,0,25,1,70,1,0,0
7,0,47,1,70,1,0,0
32,0,272,0,0,1,0,0
3,0,89,0,0,1,0,0
15,0,154,1,70,1,0,0
7,0,72,1,70,3,0,0
3,0,41,1,590,3,0,0
23,0,336,1,70,1,0,0
66,0,628,3,590,25,0,0
1,0,123,3,70,5,0,0
3,0,40,1,70,1,0,0
1,0,1,1,590,3,0,0
1,0,36,1,70,1,0,0
25,0,251,3,590,10,0,0
1,0,7,1,70,1,0,0
1,0,1,1,70,1,0,0
1,0,9,2,590,4,0,0
1,0,4,1,70,1,0,0
1,0,16,1,590,4,0,0
74,0,549,1,590,4,0,0
5,0,21,1,590,4,0,0
1,0,23,1,590,4,0,0
5,0,30,1,590,4,0,0
1,0,46,1,590,4,0,0
1,0,1,1,70,1,0,0
1,0,8,2,70,4,0,0
1,0,26,2,70,9,0,0
1,0,28,3,590,6,0,0
16,0,74,3,590,9,0,0
1,0,16,3,70,5,0,0
1,0,10,2,8,4,0,0
3,0,19,1,70,1,0,0
1,0,20,2,70,8,0,0
1,0,11,2,8,4,0,0
1,0,13,2,70,8,0,0
2,0,20,1,70,1,0,0
1,0,38,1,70,1,0,0
2,0,148,1,70,1,0,0
15,0,367,3,70,5,0,0
1,0,118,1,70,1,0,0
4,0,175,1,70,1,0,0
2,0,154,2,590,8,0,0
5,0,67,1,70,1,0,0
1,0,13,1,590,3,0,0
3,0,46,1,70,1,0,0
1,0,208,2,590,4,0,0
1,0,32,1,590,3,0,0
1,0,40,1,70,1,0,0
6,0,93,2,70,4,0,0
3,0,51,1,70,1,0,0
1,0,56,1,70,1,0,0
1,0,42,0,0,3,0,0
1,0,8,1,70,1,0,0
1,0,9,1,70,1,0,0
2,0,17,1,70,1,0,0
1,0,10,1,70,1,0,0
4,0,21,1,70,1,0,0
3,0,25,1,70,1,0,0
4,0,21,0,0,3,0,0
2,0,16,1,70,1,0,0
4,0,17,1,70,1,0,0
5,0,29,1,590,3,0,0
9,0,37,2,590,3,0,0
1,0,13,1,70,1,0,0
4,0,160,2,70,10,0,0
6,0,85,1,70,1,0,0
11,0,120,1,70,3,0,0
5,0,144,2,590,4,0,0
4,0,69,1,70,1,0,0
1,0,16,1,590,3,0,0
1,0,15,1,590,3,0,0
4,0,68,1,590,3,0,0
12,0,169,1,590,4,0,0
10,0,142,3,590,14,0,0
4,0,117,4,70,12,0,0
6,0,54,1,70,1,0,0
2,0,19,1,590,3,0,0
12,0,150,3,70,12,0,0
2,0,31,1,590,3,0,0
2,0,31,1,590,3,0,0
18,0,160,2,70,8,0,0
13,0,111,1,590,3,0,0
9,0,70,1,70,2,0,0
10,0,71,1,70,2,0,0
5,0,62,2,70,2,0,0
2,0,34,3,70,4,0,0
7,0,81,2,590,5,0,0
5,0,42,1,590,3,0,0
4,0,63,2,70,5,0,0
14,0,116,1,590,3,0,0
7,0,61,3,590,7,0,0
29,0,240,2,590,9,0,0
6,0,65,3,590,8,0,0
2,0,37,1,590,3,0,0
5,0,67,2,70,5,0,0
6,0,39,1,590,3,0,0
5,0,94,2,70,10,1,0
2,0,71,0,0,1,1,0
9,0,131,3,70,5,0,0
34,0,387,4,590,34,0,1
6,0,68,2,21,4,0,0
26,0,315,2,70,8,0,0
3,0,27,1,590,3,0,0
82,0,708,4,590,13,0,0
6,0,51,1,590,3,0,0
8,0,63,1,590,3,0,0
7,0,47,3,590,7,0,0
23,0,309,3,70,12,0,0
8,0,70,1,590,3,0,0
8,0,78,1,590,4,0,0
20,0,95,1,590,4,0,0
12,0,106,1,590,4,0,0
2,0,20,1,590,4,0,0
1,0,13,1,590,4,0,0
4,0,47,1,590,4,0,0
12,0,91,1,590,4,0,0
14,0,120,1,590,4,0,0
2,0,28,1,590,4,0,0
21,0,170,1,590,5,0,0
6,0,58,1,590,3,0,0
47,0,333,1,590,3,0,0
2,0,38,1,590,3,0,0
16,0,133,2,590,6,0,0
18,0,89,1,590,3,0,0
4,0,35,1,590,3,0,0
10,0,73,1,590,3,0,0
2,0,34,1,590,3,0,0
1,0,14,1,590,4,0,0
2,0,19,1,590,4,0,0
1,0,1,1,590,4,0,0
3,0,68,1,590,3,0,0
1,0,30,3,70,4,0,0
41,0,560,1,70,1,0,0
23,0,252,2,590,4,0,0
41,0,265,3,590,8,0,0
27,0,187,1,590,3,0,0
1,0,15,1,590,3,0,0
5,0,42,1,590,3,0,0
1,0,24,3,70,5,0,0
5,0,72,0,0,1,0,0
1,0,59,1,70,1,0,0
1,0,32,1,70,1,0,0
1,0,22,3,70,4,0,0
1,0,13,1,590,3,0,0
1,0,63,1,590,4,0,0
2,0,118,1,590,3,0,0
1,0,97,1,590,3,0,0
1,0,75,1,70,1,0,0
5,0,162,1,590,3,0,0
1,0,22,1,590,3,0,0
1,0,72,1,590,3,0,0
1,0,24,2,70,2,0,0
1,0,82,1,590,3,0,0
1,0,36,1,590,3,0,0
6,0,68,1,590,3,0,0
15,0,221,1,590,3,0,0
1,0,79,1,590,3,0,0
1,0,74,1,590,4,0,0
1,0,139,1,590,4,0,0
1,0,34,1,590,4,0,0
1,0,48,1,590,4,0,0
1,0,143,1,590,4,0,0
5,0,71,1,590,4,0,0
1,0,70,1,590,4,0,0
11,0,326,1,590,3,0,0
1,0,129,1,590,3,0,0
1,0,60,1,590,3,0,0
8,0,150,1,590,3,0,0
2,0,54,1,590,3,0,0
5,0,157,1,590,3,0,0
3,0,60,1,590,3,0,0
2,0,54,1,590,3,0,0
5,0,85,3,70,4,0,0
3,0,159,3,70,6,0,0
3,0,35,1,590,3,0,0
1,0,27,1,590,3,0,0
4,0,67,1,590,3,0,0
1,0,27,1,590,3,0,0
1,0,27,0,0,1,0,0
1,0,1,0,0,1,0,0
1,0,16,0,0,1,0,0
1,0,1,0,0,1,0,0
1,0,15,0,0,1,0,0
1,0,15,1,70,1,0,0
7,0,180,2,70,8,0,0
7,0,70,1,70,1,0,0
7,0,77,1,70,1,0,0
7,0,78,1,70,1,0,0
7,0,69,1,70,1,0,0
7,0,68,1,70,1,0,0
12,0,53,1,70,1,0,0
7,0,59,2,70,6,0,0
12,0,53,1,70,1,0,0
1,0,10,1,70,1,0,0
1,0,14,1,70,1,0,0
18,0,241,2,70,6,0,0
1,0,16,1,70,1,0,0
95,0,834,3,590,31,0,1
11,0,159,1,70,1,0,0
10,0,50,1,70,1,0,0
2,0,105,1,70,1,0,0
20,0,373,2,70,12,0,0
1,0,51,0,0,4,0,0
4,0,27,0,0,1,0,0
3,0,29,0,0,1,0,0
2,0,21,0,0,1,0,0
9,0,62,0,0,1,0,0
5,0,40,0,0,1,0,0
1,0,8,0,0,1,0,0
4,0,43,0,0,1,0,0
1,0,24,0,0,1,0,0
7,0,51,0,0,1,0,0
1,0,33,0,0,1,0,0
2,0,22,0,0,1,0,0
2,0,37,0,0,1,0,0
6,0,139,1,70,2,0,0
1,0,18,0,0,1,0,0
2,0,13,0,0,1,0,0
1,0,6,0,0,1,0,0
31,0,314,0,0,1,0,0
18,0,155,0,0,1,0,0
38,0,304,1,70,2,0,0
8,0,120,0,0,1,0,0
18,0,166,1,590,3,0,0
9,0,55,0,0,1,0,0
2,0,80,0,0,1,0,0
28,0,172,0,0,1,0,0
1,0,16,0,0,1,0,0
7,0,88,2,8,5,0,0
4,0,34,0,0,1,0,0
2,0,140,0,0,1,0,0
12,0,138,0,0,1,0,0
2,0,107,1,70,2,0,0
5,0,92,0,0,1,0,0
7,0,99,0,0,1,0,0
1,0,7,0,0,1,0,0
1,0,7,1,8,3,0,0
1,0,8,0,0,1,0,0
1,0,5,1,70,1,0,0
1,0,1,0,0,1,0,0
7,0,90,0,0,1,0,0
2,0,63,0,0,4,0,0
1,0,25,1,8,3,0,0
1,0,29,0,0,1,0,0
1,0,12,0,0,1,0,0
4,0,33,0,0,1,0,0
3,0,122,1,70,2,0,0
13,0,104,2,590,4,0,0
2,0,63,1,70,1,0,0
1,0,23,1,70,1,0,0
1,0,50,1,70,1,0,0
1,0,12,1,70,1,0,0
4,0,33,1,70,1,0,0
3,0,124,1,70,1,0,0
17,0,152,0,0,1,0,0
77,0,362,2,590,4,0,0
1,0,1,0,0,1,0,0
16,0,126,2,8,4,0,0
5,0,157,0,0,1,0,0
17,0,135,2,590,4,0,0
5,0,157,1,70,1,0,0
3,0,38,0,0,1,0,0
7,0,71,0,0,1,0,0
18,0,55,0,0,1,0,0
10,0,332,0,0,1,0,0
20,0,376,0,0,3,0,0
16,0,56,1,70,1,0,0
48,0,689,2,70,5,0,0
3,0,76,1,70,1,0,0
7,0,87,1,70,1,0,0
42,0,523,2,590,4,0,0
1,0,1,0,0,1,0,0
1,0,7,0,0,1,0,0
1,0,7,1,70,1,0,0
4,0,29,0,0,1,0,0
5,0,36,0,0,1,0,0
4,0,27,1,70,2,0,0
6,0,31,1,70,1,0,0
5,0,26,1,70,3,0,0
1,0,96,1,70,1,0,0
1,0,69,1,70,1,0,0
1,0,48,2,8,3,0,0
6,0,166,1,70,1,0,0
2,0,122,1,70,1,0,0
2,0,123,1,70,1,0,0
1,0,17,1,70,1,0,0
1,0,111,2,590,4,0,0
1,0,64,1,70,1,0,0
1,0,37,3,70,5,0,0
1,0,12,2,4,2,0,0
1,0,11,2,4,4,0,0
1,0,6,2,4,3,0,0
1,0,14,3,70,7,1,0
1,0,80,4,4,17,0,0
19,0,213,2,590,2,0,0
52,0,425,4,4,25,0,0
3,0,71,2,4,4,0,0
2,0,91,1,70,2,0,0
4,0,50,2,70,3,0,0
11,0,176,2,590,9,1,0
38,0,230,3,4,6,0,0
1,0,49,4,4,14,0,0
4,0,234,4,70,26,1,0
18,0,125,3,4,8,0,0
10,0,238,4,4,15,0,0
66,0,390,3,4,21,0,0
46,0,288,3,4,23,0,0
81,0,382,3,4,11,1,0
14,0,78,2,70,5,0,0
8,0,169,3,8,10,0,0
58,0,452,3,4,19,1,0
8,0,89,2,70,5,0,0
14,0,91,2,4,3,0,0
85,0,919,4,590,30,0,0
28,0,171,2,4,5,0,0
112,0,870,4,70,35,1,0
4,0,61,3,4,5,0,0
13,0,213,4,4,14,0,0
24,0,163,3,70,6,0,0
1,0,55,4,4,4,0,0
42,0,149,4,4,8,0,0
1,0,43,2,4,2,0,0
25,0,395,3,590,21,1,0
23,0,125,3,70,15,1,0
17,0,100,3,70,11,1,0
7,0,102,3,70,9,0,0
25,0,207,2,4,4,0,0
1,0,60,2,4,2,0,0
19,0,154,3,70,8,1,0
49,0,666,2,590,10,0,0
1,0,60,2,4,3,0,0
1,0,153,2,4,3,0,0
21,0,303,2,4,10,0,0
1,0,28,2,4,9,0,0
2,0,82,2,4,8,0,0
10,0,90,2,4,7,0,0
2,0,39,2,4,5,0,0
40,0,671,3,70,14,1,0
6,0,79,2,70,3,0,0
20,0,175,3,8,5,0,0
5,0,27,3,590,3,0,0
3,0,28,2,70,3,0,0
65,0,245,2,4,2,0,0
18,0,317,4,4,25,0,0
22,0,183,2,4,2,0,0
33,0,194,4,4,8,0,0
32,0,185,2,4,6,0,0
28,0,141,2,4,2,0,0
15,0,77,4,70,15,1,0
58,0,428,4,70,35,1,0
1,0,57,3,4,4,0,0
11,0,170,4,4,10,0,0
11,0,129,3,590,5,0,0
65,0,507,2,590,12,0,0
2,0,30,2,4,5,0,0
7,0,63,3,70,7,1,0
8,0,66,2,4,8,0,0
1,0,7,2,4,3,0,0
11,0,149,2,4,5,0,0
2,0,24,2,4,2,0,0
1,0,390,4,4,12,0,0
1,0,316,2,4,4,0,0
9,0,184,3,4,11,0,0
8,0,728,4,4,17,0,0
2,0,31,2,590,3,0,0
1,0,658,3,590,9,0,0
1,0,94,2,4,3,0,0
1,0,195,2,4,6,0,0
4,0,474,3,4,9,0,0
1,0,336,4,4,16,0,0
1,0,31,2,4,4,0,0
16,0,89,2,70,3,0,0
1,0,283,2,4,6,0,0
14,0,106,2,70,4,0,0
5,0,193,3,590,8,0,0
1,0,304,4,4,12,0,0
8,0,300,3,4,8,0,0
1,0,163,2,4,7,0,0
9,0,146,2,4,2,0,0
5,0,180,3,70,5,0,0
1,0,70,3,4,3,0,0
15,0,94,4,4,15,0,0
1,0,64,4,4,8,0,0
5,0,582,4,4,15,0,0
1,0,24,1,70,2,0,0
2,0,64,1,70,3,0,0
2,0,90,2,590,3,0,0
6,0,50,2,70,4,0,0
1,0,16,0,0,2,0,0
1,0,16,0,0,2,0,0
1,0,16,0,0,2,0,0
4,0,43,0,0,2,0,0
13,0,124,1,590,5,0,0
36,0,271,1,590,6,0,0
6,0,98,0,0,2,0,0
6,0,130,0,0,2,0,0
54,0,416,2,70,6,0,0
2,0,34,0,0,2,0,0
1,0,19,0,0,2,0,0
1,0,21,0,0,2,0,0
1,0,46,0,0,2,0,0
1,0,1,0,0,2,0,0
3,0,46,0,0,2,0,0
1,0,17,0,0,2,0,0
3,0,43,0,0,2,0,0
1,0,33,0,0,2,0,0
5,0,121,0,0,2,0,0
1,0,25,0,0,2,0,0
1,0,30,0,0,2,0,0
1,0,2,0,0,2,0,0
3,0,55,0,0,2,0,0
9,0,79,0,0,2,0,0
1,0,7,0,0,2,0,0
2,0,13,0,0,2,0,0
25,0,205,0,0,2,0,0
3,0,93,1,590,3,0,0
5,0,377,0,0,2,0,0
1,0,41,0,0,2,0,0
8,0,298,2,70,4,0,0
2,0,113,0,0,2,0,0
5,0,119,3,70,6,0,0
4,0,119,1,70,1,0,0
5,0,53,1,70,1,0,0
10,0,80,1,70,1,0,0
1,0,13,3,70,5,0,0
1,0,44,1,70,1,0,0
1,0,229,4,590,22,0,0
8,0,78,0,0,1,0,0
5,0,66,0,0,1,0,0
14,0,118,1,590,3,0,0
4,0,37,1,590,3,0,0
1,0,34,2,590,7,0,0
6,0,32,2,590,3,0,0
5,0,90,2,590,3,0,0
5,0,108,2,590,6,0,0
34,0,195,2,590,8,0,0
8,0,169,2,590,3,0,0
2,0,47,2,590,4,0,0
1,0,15,2,4,3,0,0
1,0,11,2,4,3,0,0
1,0,9,2,4,2,0,0
1,0,5,2,4,2,0,0
1,0,7,2,4,2,0,0
1,0,11,2,4,3,0,0
1,0,5,2,4,2,0,0
8,0,133,2,4,2,0,0
5,0,43,2,4,2,0,0
1,0,23,2,4,2,0,0
2,0,41,2,4,2,0,0
1,0,18,2,4,2,0,0
2,0,21,2,4,2,0,0
1,0,7,2,4,2,0,0
6,0,48,2,4,3,0,0
1,0,4,2,4,2,0,0
3,0,20,2,4,2,0,0
1,0,3,2,4,2,0,0
1,0,4,2,4,2,0,0
25,0,206,2,4,2,0,0
1,0,59,2,4,2,0,0
15,0,148,2,4,2,0,0
16,0,461,2,4,2,0,0
1,0,56,2,4,2,0,0
1,0,141,2,4,2,0,0
4,0,229,2,4,2,0,0
22,0,183,2,4,2,0,0
5,0,94,2,4,2,0,0
12,0,65,2,4,2,0,0
8,0,169,2,4,2,0,0
19,0,273,2,4,2,0,0
1,0,27,2,4,2,0,0
2,0,75,2,4,2,0,0
11,0,85,2,4,2,0,0
2,0,40,2,4,2,0,0
25,0,134,2,4,2,0,0
3,0,29,2,4,3,0,0
6,0,109,2,590,7,0,0
8,0,90,2,590,5,0,0
6,0,53,2,590,4,0,0
3,0,67,2,590,4,0,0
7,0,88,2,4,8,0,0
2,0,24,2,4,6,0,0
2,0,16,1,590,3,0,0
9,0,80,1,590,3,0,0
38,0,213,1,590,3,0,0
3,0,32,2,70,4,0,0
1,0,81,2,70,4,0,0
1,0,37,2,70,4,0,0
1,0,33,3,70,4,0,0
202,0,1026,2,590,3,1,0
1,0,88,1,70,1,0,0
191,0,1135,2,590,7,0,0
13,0,330,3,70,8,0,0
3,0,241,3,70,8,0,0
38,0,318,2,70,2,0,0
23,0,349,2,70,2,0,0
7,0,63,2,70,2,0,0
57,0,335,2,70,2,0,0
2,0,28,2,70,2,0,0
38,0,223,2,70,2,0,0
2,0,28,2,70,2,0,0
48,0,400,2,70,2,0,0
3,0,109,1,70,1,0,0
2,0,77,1,70,5,0,0
7,0,77,1,70,1,0,0
1,0,63,1,70,3,0,0
6,0,58,1,70,1,0,0
5,0,32,1,70,1,0,0
3,0,92,3,70,5,0,0
6,0,66,1,70,2,0,0
1,0,13,3,70,5,0,0
2,0,112,1,70,1,0,0
22,0,240,1,70,4,1,0
1,0,16,3,590,5,0,0
1,0,1,3,590,4,0,0
1,0,16,3,590,4,0,0
2,0,24,3,590,10,0,0
1,0,1,3,590,4,0,0
19,0,118,3,590,5,0,0
5,0,21,3,590,9,0,0
1,0,15,3,590,4,0,0
2,0,59,3,590,6,0,0
1,0,20,3,590,4,0,0
1,0,9,3,590,7,0,0
1,0,18,3,590,8,0,0
15,0,98,3,590,24,0,0
46,0,290,3,590,19,0,0
1,0,1,3,590,5,0,0
13,0,118,3,590,14,0,0
1,0,24,3,590,8,0,0
1,0,51,3,590,13,0,0
4,0,66,2,70,3,0,0
1,0,13,0,0,1,0,0
1,0,5,0,0,1,0,0
1,0,35,2,590,3,0,0
5,0,51,2,590,4,0,0
77,0,303,2,590,2,0,0
98,0,375,2,590,2,0,0
1,0,26,0,0,1,0,0
4,0,31,0,0,1,0,0
18,0,119,4,70,6,0,0
8,0,46,0,0,1,0,0
65,0,305,0,0,1,0,0
1,0,1,0,0,1,0,0
1,0,8,0,0,1,0,0
1,0,14,0,0,1,0,0
4,0,96,4,70,5,0,0
1,0,4,4,70,6,0,0
1,0,21,2,70,2,0,0
34,0,190,4,70,6,0,0
6,0,103,4,70,6,0,0
1,0,12,0,0,1,0,0
1,0,282,0,0,1,0,0
1,0,20,2,590,3,0,0
1,0,25,0,0,1,0,0
63,0,912,2,590,2,0,0
74,0,1035,2,590,2,0,0
1,0,20,0,0,1,0,0
2,0,120,2,70,3,0,0
3,0,128,4,70,8,0,0
2,0,126,2,70,3,0,0
3,0,229,4,70,8,0,0
15,0,83,0,0,1,0,0
23,0,79,0,0,1,0,0
1,0,1,0,0,1,0,0
18,0,95,0,0,1,0,0
47,0,323,0,0,1,0,0
1,0,6,0,0,1,0,0
1,0,8,0,0,1,0,0
52,0,238,0,0,1,0,0
16,0,75,0,0,1,0,0
31,0,225,4,70,14,0,0
64,0,409,4,590,11,0,0
1,0,7,0,0,1,0,0
1,0,1,0,0,1,0,0
1,0,44,2,590,3,0,0
85,0,489,4,590,10,0,0
35,0,228,0,0,1,0,0
24,0,201,2,70,6,0,0
3,0,30,0,0,1,0,0
8,0,110,2,70,3,0,0
1,0,7,0,0,1,0,0
1,0,5,0,0,1,0,0
10,0,82,0,0,1,0,0
4,0,63,4,590,5,0,0
15,0,115,0,0,1,0,0
4,0,58,0,0,1,0,0
2,0,32,0,0,1,0,0
1,0,40,4,70,9,0,0
1,0,32,0,0,1,0,0
1,0,9,0,0,1,0,0
1,0,135,0,0,1,0,0
4,0,236,0,0,1,0,0
4,0,445,0,0,1,0,0
1,0,116,0,0,1,0,0
1,0,382,0,0,1,0,0
2,0,449,4,70,6,0,0
2,0,389,0,0,1,0,0
2,0,716,4,590,8,0,0
1,0,177,2,590,3,0,0
1,0,123,2,70,5,0,0
1,0,36,0,0,1,0,0
1,0,25,4,70,6,0,0
2,0,127,0,0,1,0,0
2,0,127,0,0,1,0,0
2,0,52,0,0,1,0,0
2,0,261,0,0,1,0,0
3,0,44,0,0,1,0,0
1,0,55,4,70,5,0,0
3,0,71,2,590,3,0,0
2,0,40,4,70,5,0,0
18,0,187,0,0,1,0,0
1,0,43,0,0,1,0,0
5,0,114,0,0,1,0,0
2,0,47,0,0,1,0,0
5,0,66,0,0,1,0,0
5,0,59,4,70,5,0,0
2,0,39,0,0,1,0,0
2,0,35,0,0,1,0,0
5,0,73,0,0,1,0,0
2,0,43,4,70,5,0,0
2,0,76,0,0,1,0,0
4,0,95,0,0,1,0,0
2,0,96,2,590,2,0,0
1,0,74,0,0,1,0,0
2,0,72,0,0,1,0,0
2,0,34,0,0,1,0,0
6,0,113,4,70,6,0,0
1,0,119,0,0,1,0,0
